data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;
3 de janeiro de 2025;Preço justo pelo que oferecem! Poderia melhorar na segurança já que observei que só tem sistema de câmeras na recepção e;Recepcionistas todos muito atenciosos e prestativos!;Quem acorda um pouco mais tarde, e vai tomar o café por volta das 9h… não tem quase nada, o hotel não repõe os itens do café depois das 9h! Falta suco, café e até água tem que pedir para eles reporem.;;;;;
;;;;;;;;
Vizinhança: Tem que ter atenção a noite quando for a pé pra orla;" porque a uma quadra do hotel fica muitas pessoas de rua pedindo em uma ponte que você precisa passa por ela pra chegar na praia. Achei um pouco perigoso a região a noite! Durante o dia é tranquilo por conta do fluxo de pessoas transitando a pé.""";6;;;;;;
31 de dezembro de 2024;Sincera;Localização, preço;Ar condicionado barulhento, café da manhã congestionado, instalações de uma maneira geral;8;;;;
30 de dezembro de 2024;Bom custo benefício.;Do atendimento dos funcionários do hotel. Excepcional! Atenciosos, prestativos e gentis.;No quarto ñ havia muita privacidade. A porta do quarto tinha um vão que qualquer pessoa conseguia observar o que acontecia dentro do quarto.;;;;;
"A janela do banheiro ñ fechava.""";7;;;;;;;
30 de dezembro de 2024;Muito bom;Da localização e custo benefício;Ar condicionado antigo. Muito barulho. Café da manhã fraco;8;;;;
27 de dezembro de 2024;Satisfatório;A localização;O ar condicionado não estava funcionando.;6;;;;
27 de dezembro de 2024;Muito bom;Ótima localização;O café da manhã poderia ser melhor;8;;;;
26 de dezembro de 2024;Muito bom;Preço benefício;;8;;;;
24 de dezembro de 2024;Bom;Hotel simples, mas tudo bem limpinho, cama e travesseiro confortáveis. O atendimento dos funcionários é ótimo. Café da manhã muito bom.;Não tenho do que reclamar.;7;;;;
24 de dezembro de 2024;Bom;Localização;;7;;;;
18 de dezembro de 2024;Muito bom;Do atendimento;O ar-condicionado na gelava! Aí no outro dia mudei de quarto;8;;;;
13 de dezembro de 2024;bom custo beneficio;podíamos pedir tapioca ou ovos mexidos feito na hora;a escada que tem antes de pegar o elevador;7;;;;
11 de dezembro de 2024;Bom;Localização;;7;;;;
9 de dezembro de 2024;Bom;Localização;Condicionador de ar barulhento demais;7;;;;
5 de dezembro de 2024;Satisfatório;Localização;Quarto antigo;6;;;;
5 de dezembro de 2024;Satisfatório;Localização;O quarto é antigo;6;;;;
26 de novembro de 2024;Bom;Café da manhã;O espelho do quarto ser no banheiro;7;;;;
26 de novembro de 2024;Muito boa;Localização;Nada a declarar;8;;;;
23 de novembro de 2024;Satisfatório;Cafe da manhã e localização satisfatorios;A acomodação, às fotos do booking não condizem com o aspecto do hotel, é bem mais antigo do que nas fotos, não há cobertores nos quartos, não havia um tapete no banheiro, é um hotel pra ficar apenas de passagem, nem uma diária completa acho que valeria a pena.;6;;;;
18 de novembro de 2024;Bom;A localização é muito boa;A área do café da manhã é apertada, quando o hotel está com muitos hóspedes é complicado o espaço para tomar café, mesas insuficientes. Há uma certa demora pra reabastecer a comida, gerando espera.;7;;;;
18 de novembro de 2024;Bom;Gostei muito do atendimento e da localização, café da manhã também bastante agradável.;O hotel não tem estacionamento interno, somente poucas vagas na calçada. No dia que fomos tinham pessoas de um evento então tivemos que estacionar do outro lado da rua, aparentemente sem perigos, mas pela descrição de possuir estacionamento essa foi uma situação desagradável. Sobre as acomodações tivemos problemas com o ar condicionado, mas como ficamos só uma noite decidimos não informar, é um prédio antigo então há questões de conforto que deixam a desejar, mas para quem for apenas dormir e sair uma noite ou duas como nós atende a necessidade.;7;;;;
17 de novembro de 2024;Satisfatório;;O banheiro tem um cheiro absurdo de esgoto que contamina todo o quarto é bem difícil de dormir.;6;;;;
15 de novembro de 2024;Muito bom;Custo-benefício bom! Recomendo principalmente para deslocamentos rápidos. Café da manhã bom, ótima localização em Boa Viagem.;;8;;;;
12 de novembro de 2024;boa;atendimento dos funcionarios e localização do hotel.;do quarto que eram os antigos e nao os reformados.;7;;;;
9 de novembro de 2024;Vale o custo benefício;Localização;Muito antigo e ar condicionado de caixa faz mais barulho;6;;;;
8 de novembro de 2024;boa;bom;cama caiu;7;;;;
7 de novembro de 2024;Bom;O ar é o colchão muito bom.;O box do banheiro muito encardido.;7;;;;
30 de outubro de 2024;uma estadia só por um dia;localização;conforto da cama;7;;;;
27 de outubro de 2024;boa;Localização e café da manha;primeiro atendimento, na reserva não informou que check-in era feito apartir das 14:00hrs, cheguei as 7:00 da manha e só poderia me hospedar antes , se pagasse uma taxa adicional;7;;;;
26 de outubro de 2024;Razoável;localização;Não tinha nem sabonete no banheiro;8;;;;
23 de outubro de 2024;Pode ser melhor;Localização;Tomada c fiação exposta;6;;;;
19 de outubro de 2024;Satisfatório;Acomodações antigas , banheiro com cheiro de esgoto , bacia sanitária antiga e solta , ar condicionado não gelava, tv antiga com defeito tive que pedir ajuda;Limpeza do banheiro, tv e ar-condicionado;6;;;;
8 de outubro de 2024;Bom;valor em conta;wi-fi, poucas opções de café e conforto da cama;7;;;;
6 de outubro de 2024;Hotel bem localizado próximo a praia e ao aeroporto.;O hotel tem boa localização, fica a 5 minutos de caminhada da praia e a minutos de carri do aeroporto. Tem restaurantes e supermercados bem próximo. O preço da diária é bem atrativo Wifi funciona bem. Banheiro com bom chuveiro. Cama confortável e ar-condicionado funcionando 100%. Cafe da manha simples;;7;;;;
1º de outubro de 2024;eu recomendo,;os funcionários, muito gentis, atenciosos.;;;;;;
a localização; muito boa;;;;;;;
cafe da manhã ótimo ;;;;;;;;
custo benefício .;;;;;;;;
"pretendo retornar""";as instalações estão passando por reformas. ;;;;;;;
"como estava muito cheio não pudemos ir para um quarto melhor.""";8;;;;;;;
24 de setembro de 2024;Satisfatório;Bom custo benefício e boa localização. Ao lado da feira de boa viagem, a poucos metros da praia, variedade de comércio e próximo ao aeroporto.;Café da manhã bem simples. instalações antigas nos quartos. Padrão diria que é duas estrelas. Os quartos necessitam de modernização.;6;;;;
22 de setembro de 2024;Bom;Localização;Cama e lençóis precisar melhorar;7;;;;
21 de setembro de 2024;Bom;A localização é excelente, o café é bom e o check-in foi flexível.;O quarto não estava tão limpo, o banheiro fedendo a xixi. Isso não me agradou nem um pouco :(;7;;;;
19 de setembro de 2024;Razoável devido ao custo benefício;Cama confortável;Chuveiro, café da manhã, a energia elétrica do quarto caia, tive que trocar de quarto de madrugada.;6;;;;
18 de setembro de 2024;Bom;Da cordialidade e educação dos funcionários;Não funciona wifi nos quartos ;;;;;
Estrutura elétrica antiga;;;;;;;;
"Vazamento na pia do banheiro""";7;;;;;;;
17 de setembro de 2024;Satisfatório;A recepção no hotel foi legal, o tamanho do quarto é ótimo.;Mas pelo valor pago não tinha uma mesa para para por computador. Só tinha uma cadeira. Não gostei do banheiro, a àgua acumulava nos pés enquanto vc toma banho.;6;;;;
14 de setembro de 2024;Hotel mediano em uma ótima localização na cidade;Do café da manhã variado e da ótima localização, muito próximo da praia, do aeroporto, do mercado de Boa Viagem e da Pracinha/Igrejinha de Boa Viagem, de supermercados/mercados de bairro, de academias, restaurantes, lanchonetes etc.;Das outras vezes que me hospedei, não tive os problemas de agora. Escolham sempre o sexto andar, onde os quartos são melhores. Vou relatar os problemas do quarto 207 (segundo andar), que precisa de uma reforma urgente. A única coisa boa nesse quarto foi a cama grande e confortável. Seguem os problemas:;;;;;
;;;;;;;;
1. Paredes sujas e com o reboco descolando em alguns locais;;;;;;;;
2. Frigobar muito velho e sem a grade interna;;;;;;;;
3. Ar condicionado com ruído muito alto e; se colocar no máximo; o piso fica vibrando;;;;;;
4. Armário muito antigo; danificado e com algumas partes já estufadas;;;;;;;
5. Banheiro extremamente antigo com itens que devem ser melhorados pra trazer mais conforto:;;;;;;;;
5.1. Espelho velho e morfado;;;;;;;;
5.2. Acionador da descarga duro e gotejando;;;;;;;;
5.3. Box extremamente apertado; sendo difícil até fechar a porta depois que entra (não sei como uma pessoa obesa conseguiria);;;;;;;
5.4. Pia bem antiga; sem espaço pra apoio de itens e muito baixa também.;;;;;;;
6. A Internet simplesmente não funcionou.;;;;;;;;
;;;;;;;;
A falta de conforto e acessibilidade é muito grande. Mas pra mim; uma coisa muito pior; foi chegar a noite e encontrar meu quarto sujo e desarrumado; do jeito que deixei quando saí de manhã.;;;;;
;;;;;;;;
Quanto as àreas comuns; também falta acessibilidade. As mesas no café da manhã são muito próximas e o espaço de circulação pra pegar comida fica muito pequeno.;;;;;;;
;;;;;;;;
"Uma pena que um hotel tão bem localizado deixa a desejar em tantas coisas.""";6;;;;;;;
14 de setembro de 2024;Satisfatório;Colchão confortável e rapidez no checkout.;Das baratas no quarto e das instalações do banheiro.;6;;;;
12 de setembro de 2024;Mais conforto e bom custo-benefício;Excelente localização e um ótimo custo-benefício muito próximo a igrejinha de boa viagem;Os quartos preciso de uma reforma itens velhos e ar condicionado barulhento.;7;;;;
9 de setembro de 2024;Excelente localização;o quarto estava bem limpo. Gostei do café da manhã com sobremesas e empadas. a localização é muito boa!;O elevador demorou um pouco a abrir. Também o prédio é antigo. Tinha um buraco na porta do meu quarto.;8;;;;
7 de setembro de 2024;bom;café da manhã;serviço de quarto. Limpeza;6;;;;
6 de setembro de 2024;Hotel bem localizado próximo a vários serviços;Do café da manhã variado, da localização próximo à vários serviços e do quarto espaçoso.;Da falta de uma mesa de apoio no quarto e da ausência de black-ou no quarto.;8;;;;
4 de setembro de 2024;Excelente relação custo x benefício.;Excelente localização.;Estrutura antiga.;8;;;;
4 de setembro de 2024;Muito bom;Localização muito boa, e um café excelente.;;8;;;;
4 de setembro de 2024;Bom;Localização muito boa perto da pracinha, da praia bem movimentado, café da manhã excelente bastante variável,os quarto e grande.;O banheiro e minúsculo e com sensação de sujeira ;;;;;
o sanitário com tampa quebrada; e o estacionamento e cobrado a parte 30 por dia ;;;;;;;
"Pelo custo benefício e razoável""";7;;;;;;;
1º de setembro de 2024;Melhor custo-benefício e localização;Excelente localização. Próximo da praia para caminhadas cedinho, supermercados e restaurantes. Acomodações bem limpas e amplas.;O atendimento durante o café da manhã que mesmo iniciando as 07h00 os funcionários ficavam ocupados em colocar os produtos e ficavam sem tempo para atender os hospedes para preparar algum alimentação que era oferecida pelo hotel (tapioca ou ovo frito).;8;;;;
1º de setembro de 2024;razoável;A localização é muito boa. O pessoal desatencioso, exceto a recepcionista Elba que é muito educada.;No café da manhã não tem pessoal suficiente para servir e a qualidade é baixa. Finalmente, a limpeza deixou muito a desejar, pois encontrei barata no quarto .;6;;;;
28 de agosto de 2024;Se investirem em estrutura podem ser excelentes.;Localização;Banheiro quando cheguei pia toda suja, o aspecto em si do quarto deixa a desejar.;6;;;;
26 de agosto de 2024;Custo beneficio para quem não se importa com conforto;Da localização;Das acomodações;7;;;;
26 de agosto de 2024;Atendeu às minhas necessidades;Café da manhã honesto, quarto espartano, mas atendeu a necessidade do momento.;Lance de escada para pegar o elevador com malas, é muito ruim !!!!;7;;;;
26 de agosto de 2024;Satisfatório;Gostei dos funcionários, super atenciosos e solícitos.quarto limpo. Café legal.;Chuveiro frio, água gelada. O chuveiro estava queimado e não resolveram o problema.;;;;;
"O quarto estava com cheiro de mofo.""";6;;;;;;;
26 de agosto de 2024;Satisfatório;Localização e custo benefício.;Wi Fi e atendimento.;6;;;;
24 de agosto de 2024;Boa.;Café da manhã é muito bom. Tapioca feita na hora. Café preto de boa qualidade.;;8;;;;
23 de agosto de 2024;atendeu as minhas necessidades.;poderia ser um pouco melhor, mas foi bom.sem;sem comentário.;8;;;;
17 de agosto de 2024;Regular;Adorei a localização do hotel e o custo - benefício bom. Para viagens rápidas e de última hora ótimo local para ficar.;As instalações são antigas, o ar-condicionado estava com defeito, a cama não era tão confortável, o café da manhã não era tão diversificado, inclusive tinha presunto com gosto azedo (como se estivesse estragado).;7;;;;
15 de agosto de 2024;Bom;Cama confortável ;;;;;;
Tamanho do quarto bom;;;;;;;;
Localização para restaurante boa;;;;;;;;
Chuveiro bom ;;;;;;;;
"Bom atendimento da equipe de funcionários""";Ar condicionado barulhento;7;;;;;;
14 de agosto de 2024;Estadia tranquila, levando em consideração custo benefício o hotel atende bem.;Hotel bem próximo ao aeroporto, café da manhã ok, instalações ok. Justo, visando custo benefício.;Senti falta de uma colcha/edredom. Só tínhamos lençóis não muito macios para nos cobrir.;8;;;;
13 de agosto de 2024;Muito bom;Não usei o serviço. Fiz o check-out muito cedo.;;8;;;;
11 de agosto de 2024;Fiquei pouco tempo no hotel para ter uma ideia mais profunda.;Atendimento da recepção.;Ter que levantar da cama para apagar ou acender a luz. É inadmissível o descuido com um item tão simples como esse.;8;;;;
10 de agosto de 2024;Muito bom;Localização, atendimento, café da manhã.;Cama e travesseiro, estacionamento.;8;;;;
7 de agosto de 2024;Foi um bom descanso;Atendimento bem prestativo uma boa localização confortável;A Internet trava muito e lenta demais.;8;;;;
6 de agosto de 2024;Bom;Localização;Quando chegamos para realizar o check-in havia funcionários ( assim parecia) bebendo na recepção,falando alto e até ouvimos palavrões,achamos isso bem estranho. Nos deram um quarto sujo,armário com cheiro de mofo,chuveiro não funcionava água quente,travesseiro cheirando a cabeça suja. Mas logo foi resolvido. Entrei em contato com a recepção e a recepcionista logo resolveu,sendo bem solicita.;;;;;
E o café da manhã poderia ter mais opções.;;;;;;;;
"Esse foi o ponto negativo.""";7;;;;;;;
31 de julho de 2024;Mais ou menos;Preço acessível para o quarto simples.;Café da manhã, faltou mais variedades;7;;;;
29 de julho de 2024;Muito bom;O quarto estava muito bom;Não tem;8;;;;
18 de julho de 2024;Ótimo custo benefício;Localização;Café da manhã;7;;;;
17 de julho de 2024;Agradeço e recomendo atendimento na recepção excelente;O café estava ótimo,somente o horário a sugestão iniciar mais cedo devido a viagem ser comercial;O elevador com defeito todos os dias pela questão segurança;8;;;;
16 de julho de 2024;Boa;Fácil acesso na chegada do aeroporto;Limpeza , quarto apertado, baixa qualidade das toalhas;7;;;;
12 de julho de 2024;Desconfortável;Da localidade;Café, quarto e banheiros antigos;6;;;;
11 de julho de 2024;Aconchegante e Formidável;do café da manhã dias: 05 e 06 julho 2024 e o local na Feirinha de Boa Viagem e na Suíte 404 tinha FRIGOBAR para uso de minhas INSULINAS.;Nada a DECLARAR.;8;;;;
7 de julho de 2024;Nos atendeu dentro da proposta de acompanhamento ao nosso filho em competições.;Cordialidade, localização, espaço;Roupa de cama puída e toalhas ásperas. Mobiliário antigo e desarmonioso.Falta de variedade no café da manhã.;7;;;;
1º de julho de 2024;Bem localizado e boa estadia.;Não tomei o café da manhã, pois, meu voo estava marcado para às 04:0h. A relação custo benefício é bem satisfatória, considerando a localização numa área central dos pontos de interesse do viajante, praia, shopping, aeroporto.;Como já narrado, não tive descontentamento, pois, pela relação custo-benefício, para mim, satisfatório.;7;;;;
29 de junho de 2024;Razoável;Localização;Quarto muito simples, TV não funcionava canal;7;;;;
29 de junho de 2024;Muito bom;Localização e limpeza atendimento;Falta de cobertor na cama;8;;;;
28 de junho de 2024;Muito bom;A localização é excelente, funcionários muito atenciosos, banheiro com chuveiro de água quente e um ótimo café da manhã.;;8;;;;
26 de junho de 2024;Bom;Localização,;Café da manhã precisa melhorar, só tinha salgados , um cuscuz duro, salsinha, senti falta de pão, tapioca, ovos;7;;;;
25 de junho de 2024;Custo benefício médio;O hotel tem uma excelente localização , fica na boa viagem, próximo a pracinha!!;;;;;;
O staff de colaboradores em sua maioria atende às necessidades do hóspede!!;;;;;;;;
Como já me hospedei antes; já sabia das deficiências que encontraria nos apt do hotel; que segundo as placas no estabelecimento; estão em reforma e em transição de empresa!!;;;;;
Se investirem nos quartos; dando um melhor conforto aos hospedes; será; futuramente; um dos melhores locais; para ficar; a preços; mais populares; no Recife!!
Enquanto isso não se concretizar; ficarão muito a desejar;" nesse sentido!!""";Do conforto e do aspecto descuidado dos quartos!!;7;;;;
23 de junho de 2024;Pode melhorar.;A localização.;Toalhas com manchas aparentava estarem sujas.;6;;;;
23 de junho de 2024;Para trabalho é o suficiente.;A localização é muito boa!!!;As camas não são tão confortáveis e também não gostei mt do café;7;;;;
23 de junho de 2024;Bom;Localização;Sujeira no corredor;7;;;;
20 de junho de 2024;Tranquila;O café da manhã;A cama;7;;;;
20 de junho de 2024;Bom;Preço de acordo com oferecido;Falta toalhas e edredondos no quarto para dias mais frios;7;;;;
19 de junho de 2024;Bom;A moça da recepção muito simpática e atenciosa.;O ar condicionado não estava gelando, e também o cheiro do quarto não era bom!!!;7;;;;
17 de junho de 2024;Local Mediano;Local é perto de farmácia, supermercado e restaurante, exatamente como li nos antigos comentários.;A cama um pouco desconfortável, café da manhã é repetitivo, tem muita massas e não é tão saboroso, o local é bem antigo. Cheguei e me colocaram em um quarto com a fechadura quebrada achei um erro da recepção, pois estava chegando de uma viagem e o certo é recepcionar já em um quarto de acordo com o que oferece para evitar má impressão,sendo que tinha outro quarto,tive que pegar todas as minhas coisas para ir para outro quarto, outro episódio desconfortante foi chegar de um passeio, como o local a garagem é rotativa chegamos, cansados, e havia um carro mal estacionado no local e as recepcionistas não fizeram tanta questão para solucionar o problema, visto que o certo seria ver quem estacionou errado, já que aqui eles colocam que tem estacionamento.;6;;;;
16 de junho de 2024;Acomodação decente.;A localização é excelente. O café da manhã é maravilhoso. Quartos grandes.;Banheiro do quarto sujo e não foi limpo nem para a entrada e nem durante a estadia.;6;;;;
13 de junho de 2024;Bom;Localização.;Limpeza. Poucas opções no café da manhã. Para acessar os elevadores é necessário subir uma escada. Não tem funcionário para auxiliar com as malas. Os dois elevadores são velhos e o uso foi interrompido várias vezes, tendo que usar a escada. O chuveiro é elétrico e sujo. As instalações são antigas e necessitam de manutenção. Trocamos de quarto por problemas na televisão, no telefone e com o lençol sujo.;7;;;;
12 de junho de 2024;boa;não tomamos café nessa unidade, mas a localização é boa sim.;quarto muito apertado;6;;;;
11 de junho de 2024;Bom;Refeição, atendimento!;Acesso ao elevador;6;;;;
9 de junho de 2024;Simples porem cumpre o que promete.;Localizacao boa, cafe da manha bom, equipe muito boa e educada. Quarto simples porem tinha tudo o que precisava.;Uma cortina blackout no quarto seria muito melhor. Porem, consegui dormir sem problemas.;8;;;;
7 de junho de 2024;SATISFATÓRIO;A localização do hotel;-O café da manhã poderia ser mais cedo para quem é viajante pois eu tinha meu voo previsto para 7:30h e infelizmente sair do hotel com fome .;;;;;
" -Banheiro não tinha ducha higiênica e instalações antigas . Aspecto de velho!""";6;;;;;;;
5 de junho de 2024;Não era o que eu esperava.;Fui bem recebido....;Para quem não quer gastar muito, é uma boa escolha. Faltam cortinas melhores, pois a luz da tua tava muito forte e a cortina não cobria toda a janela, também senti falta de um edredom, a porta também não abriu com o cartão, tive que ficar usando dois. Mas no geral, para quem não quer gastar muito, é uma opção interessante.;6;;;;
4 de junho de 2024;Bom;Excelente localização e o pessoal!!;Qualidade dos quartos;7;;;;
3 de junho de 2024;Satisfatório;;Café da manhã sem ovos.;6;;;;
2 de junho de 2024;Muito bom;Simpatia dos funcionários;;;;;;
Café da manhã;;;;;;;;
"O tamanho e limpeza da suíte.""";O wi-fi não funcionou na suíte, durante toda a estadia.;8;;;;;;
2 de junho de 2024;Boa localização;Boa localização;;7;;;;
2 de junho de 2024;Bom;;Café da manhã muito fraco;7;;;;
31 de maio de 2024;Boa, mas há sempre algo para melhorar.;Da localização e do atendimento dos profissionais.;"Faltam cabides no ""armário"". O ar condicionado é um pouco barulhento, deveria ser um outro modelo, mais moderno, split. O custo do hotel é suficiente para repor certos itens, sugiro providenciar.";7;;;;
31 de maio de 2024;Não recomendo para pessoas exigentes.;A localização boa.;No primeiro quarto, o ar-condicionado fazia barulho. As instalações eram bem antigas, mas funcionando. O segundo quarto era ótimo, bastante confortável. O chuveiro e o café da manhã foram muito bons. As funcionárias excelentes, inclusive a localização. Gostamos muito da experiência!;7;;;;
29 de maio de 2024;Para uma estadia curta e muito bom.;Café da manhã muito bom e a localização tbm.;;8;;;;
28 de maio de 2024;Hotel vale a localização;Localização do hotel;Para cama de casal eles juntam duas de solteiros;;;;;
28 de maio de 2024;Bom;Atendimento ótimo, camas confortáveis, boa localização, ótimo café da manhã.;Infelizmente meu chuveiro não funcionou, no segundo dia informaram que houve manutenção, mas sem sucesso. Banho frio nos dois dias. Não recebi nenhuma cortesia pelo desconforto.;7;;;;
28 de maio de 2024;Bom;Café da manhã muito bom!!;;;;;;
Atendimento na recepção maravilhoso;;;;;;;;
;;;;;;;;
".""";Cheiro da água. Deixa o banheiro com odor. Não é falta de limpeza é a água.;7;;;;;;
20 de maio de 2024;Satisfatório;Atendentes educadas , café bom , ar condicionado e travesseiro antigos;Travesseiro e ar condicionado;6;;;;
11 de maio de 2024;Satisfatório;O hotel é bem localizado.;;6;;;;
7 de maio de 2024;Bom;Proximidade do aeroporto;Toalhas poderiam ser mais limpas;7;;;;
