data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota
23 de setembro de 2024;Esperiencia ótimo beijos equipe;Adorei tudo principalmente a cama ,os travesseiros vê cobertores tudo muito aconchegante;Apenas o banheiro um pouco apertado;8
16 de setembro de 2024;Muito bom;A recepção é 24h, o que foi muito bom. o Hotel fica bem próximo do aeroporto, e durante o dia é bem tranquilo ir até a pé para lá. Também é possível ir a pé até a praia. O café da manhã foi muito bom e bem servido, comida bem temperada e frutas fresquinhas.;Nada a reclamar do hotel. O único incoveniente foi o ônibus que vai para Porto de Galinhas que passa na frente do hotel (de hora em hora só) e não para naquele ponto de ônibus que fica literalmente na frente do hotel.;8
13 de setembro de 2024;Ok;Os funcionários são muito simpáticos e solicitos;O banheiro fica com o fedor do esgoto o tempo todo, mesmo colocando panos em cima do ralo e dentro da pia. E os travesseiros também não são bons.;6
12 de setembro de 2024;Muito bom;Localização ótima, próximo de mercado, padaria e do aeroporto. Funcionários atenciosos, sobre as instalações: Camas, travesseiros e cobertores confortáveis, quarto limpo.;Banheiro pequeno, área do banho empossa água e vaso sanitário ruim.;8
7 de setembro de 2024;Bom;Não tem almoço, apenas café da manhã!;;7
5 de setembro de 2024;Legal;O quarto novo;Chuveiro fraco e banheiro estreito;8
2 de setembro de 2024;Razoável;O atendimento da recepção é ótimo.;As instalações são bastante rústicas pelo preço cobrado.;6
1º de setembro de 2024;Bom;Próximo ao aeroporto.;Cama desconfortável;8
27 de agosto de 2024;Bom;Café da manhã e localização perto do aeroporto;Vocês não parcelam no cartão;7
27 de agosto de 2024;Ótimo;Tudo bom …;LOCALIZAÇÃO muito feia … da medo quando chega.;8
18 de agosto de 2024;Fantástico;O atendimento, o café da manhã e a localização.;A cama;9
13 de agosto de 2024;Bom;Um hotel simples para pernoite equipe gentil educada café manhã básico .Limpeza ok;;7
10 de agosto de 2024;Otimo custo benefício para quem precisa pernoitar e pegar voo no outro dia,;Camas confortáveis e lençóis limpos, ar condicionado bom e local muito silencioso.;O serviço de café da manhã começar a ser servido às 7, como tínhamos que pegar voo às 8 não aproveitamos o café da manhã;8
28 de julho de 2024;Muito bom;Atendimento excelente. Estrutura simples porém super atendeu às expectativas. Localização próxima ao aeroporto.;;8
25 de junho de 2024;Bom;Localização próx aeroporto;Colchão fino, de um buraco qdo levantei.;7
24 de junho de 2024;Muito bom;Café da manhã é bom. Funcionários atenciosos. O hotel fica na beira da praia mas não dá para tomar banho no mar. A piscina é pequena, mas é boa.;;8
15 de junho de 2024;Bom;A localização;;7
5 de junho de 2024;Bom custo benefício;Bem perto do aeroporto, precisávamos para passar a noite e foi suficiente;Banheiro muito pequeno e prédio sem elevador;9
5 de junho de 2024;Bom;Foi o precisava pra quem estava fazendo uma conexão demorada , uma cama confortável, limpa, ar gelando e Um bom café sem falar bem perto aeroporto, os funcionários cordias já é 2 X q fico MT bom.;;7
4 de junho de 2024;Ótimo custo benefício;Próximo ao aeroporto. Era o nosso objetivo;Quarto sem janela;8
14 de maio de 2024;Bom;Limpo e organizado, café da manhã simples mais bem feito;Estacionamento praticamente é na rua;7
28 de abril de 2024;Perto do aeroporto;Quarto confortável, e limpo porém, Precisa de reformas. Funcionários atenciosos. Localização próxima ao aeroporto.;Porta do banheiro não fechava e tinha mofo no banheiro. Café da manhã simples.;7
23 de abril de 2024;Boa, voltaria!;Café da manhã muito bom. Funcionários muito prestativos. Banheiro e chuveiro muito bons.;Não tem janela no quarto e eu sou um pouco claustrofóbica. Colchão não muito bom. Não tem elevador e tivemos que subir dois andares com nossas malas .;9
15 de abril de 2024;Bom;Café da manhã;Não tem janelas, sem garagem, o carro fica na rua.;7
2 de abril de 2024;Bom;Café da manhã adequado e pertinho do aeroporto;Não tem elevador e janela muito pequena;7
29 de março de 2024;Muito bom;Estadia e café muito bons.;Fui informado via telefone que poderia pagar a estadia via débito e ao chegar no local fui informado que não era aceito e tive que pagar no crédito.;8
25 de março de 2024;Bom lugar de passagem.;Boa localização.;;
Ótimo café da manhã.;;;;
"Ambiente confortável.""";Nada a reclamar do local.;8;;
18 de março de 2024;Bom;;Funcionários sem vontade e nos tratando de forma grosseira;7
11 de março de 2024;Fantástico;Da Cama muito boa;o chão estava grudando;9
22 de fevereiro de 2024;Boa pousada;Localização, custo benefício, bom café da manhã. Excelente pousada para 1 ou 2 noites;Foi necessário trocar de quartos. O ar condicionado não estava funcionando. O chuveiro estava com a ducha soltando. Solicitei a troca de quarto e fui atendido prontamente.;7
12 de fevereiro de 2024;Muito bom;Localização, café da manhã.;Quarto pouco arejado.;8
9 de fevereiro de 2024;Satisfatório;Gostei do atendimento e café da manhã;Limpeza do banheiro e quarto . O cheiro do quarto tb não estava bom. O ar condicionado tb não regulava direito.;6
9 de fevereiro de 2024;Agradável.;Adoramos a tapioca, os sucos e quitandas típicas da região. Café da manhã foi muito agradável. Bem localizado e próximo do aeroporto, tudo que estávamos precisando para a noite que pernoitamos ali em Recife. Cama confortável e lençóis macios.;Ficamos em um quarto no térreo, sem janelas, só isso me incomodou um pouco.;8
8 de fevereiro de 2024;Para passagem rápida vale a pena;Acessibilidade ao local;Área do café pode ser melhorado em todos os sentidos;8
31 de janeiro de 2024;Satisfatória;Proximidade do aeroporto, para quem tem voos de madrugada como foi meu caso e um excelente lugar para ficar com um custo benefício razoável;O hotel fia em frente a uma favela o que cria um sensação de insegurança. Queríamos sair para comer alguma coisa a noite mas não tivemos coragem.;6
26 de janeiro de 2024;Ótima;Café da manhã perfeito;O Wi-Fi não funciona muito nos quartos .;7
25 de janeiro de 2024;Ótimo custo-benefício;Limpeza. Atendimento. Café da manhã. Quarto.;Não tem elevador. Banheiro antigo e muito pequeno. Estacionamento na rua.;8
23 de janeiro de 2024;Bom;Localização;Muito produto de limpeza no chão, o chão estava pregando;6
20 de janeiro de 2024;Muito bom;Limpo e muito próximo do Aeroporto;Comunidade no entorno do Hotel;8
18 de janeiro de 2024;Fantástico;Localização e limpeza;Sem observação;9
14 de janeiro de 2024;Atende as necessidades para passar a noite.;Limpeza, conforto e localização. Café da manhã muito bom!;Não tinha tomada próximo da cama e não tem elevador (foi ruim subir as escadas com as malas).;9
7 de janeiro de 2024;Fantástico;Limpeza, organização e atendimento;Faltou opções no café da manhã.;9
3 de janeiro de 2024;Muito bom;Café da manhã. Tapioca maravilhosa;Prédio sem acessibilidade nos andares superiores;8
1º de janeiro de 2024;Justa;Atendimento;Sem elevador;7
1º de janeiro de 2024;Ótima opção para quem chega/sai de viagem pelo aeroporto.;Limpo e organizado.;;9
28 de dezembro de 2023;Muito bom;Café da manhã começa tarde, por ser próximo ao aeroporto devia começar às 06h, daria tempo aos hospedes de tomar o desejum com calma.;Quarto pequeno para três pessoas, e embora limpo precisava ter sido arejado, pois o cheiro de mofo persistia.;8
21 de dezembro de 2023;Satisfatório;Café de amanhã, excelente!;Tinha insetos (barata e polias), e as almofadas tinham cheiro (muito forte) de umidade.;6
21 de dezembro de 2023;Ficamos felizes e satisfeitos, melhor custo-benefício;Quarto arrumadinho, canais de Tc a cabo, café da manhã, funcionários ótimo;O ar condicionado é um pouco barulhento;8
15 de dezembro de 2023;Bom para quem vai voar;Fica a metros do aeroporto.;Subir escadas;7
4 de dezembro de 2023;Fantástico;Cama é bem confortável, tudo na cama tava aparentemente limpo;So tem escada, e estacionamento é aberto e tem poucas vagas;9
27 de novembro de 2023;Perfeito para uma noite antes/depois do aeroporto;A localização pra quem quer ir ao aeroporto é perfeita. Também é perto de Boa Viagem se você tem algum tempo entre voos.;É bem simples. Nada de luxo e alto conforto. Mas o vale o preço.;8
23 de novembro de 2023;Satisfatório;A tapioca e o bolo do céu estavam ótimos;O quarto que entramos tinha barata e o ar condicionado não funcionava. Nos trocaram de quarto. Os funcionários não eram amigáveis. A localização é bem ruim. Perto de um canal de esgoto e de uma favela.;6
23 de novembro de 2023;Bom;Localização;Café da manhã;7
22 de novembro de 2023;Opção ruim;Difícil. Somente a localização é boa. O quarto muito pequeno, apertado para 3 camas, o desnível para o banheiro, um perigo cair ao ir ao banheiro à noite, as camas duras, acordamos doloridos, ainda bem que só passamos 1 noite. Além do mais bastante caro.;;6
21 de novembro de 2023;Nota 3;Atenção Funcionarios;Chuveiro do quarto queimado e paredes com mofo.;6
21 de novembro de 2023;Bom;A localização é próxima a aeroporto;Hotel um pouco velho;7
20 de novembro de 2023;Ótimo pernoite;Limpeza e localização;;9
19 de novembro de 2023;Receptividade;Café da manhã, proximidade do aeroporto!;Gostaria de ter ficado mais tempo para conhecer!!;9
16 de novembro de 2023;Muito bom;Pousada bem perto do aeroporto, chegamos apenas para dormir e não vimos muito a pousada, para quem procura um lugar custo benefício é perfeito.;Café da manhã com pouca variedades.;8
13 de novembro de 2023;Bom;O atendimento, o café da manhã.;A localização. Fica longe da praia e é quase em frente à uma comunidade.;7
8 de novembro de 2023;Bom custo benefício!;Staff atencioso;;8
8 de novembro de 2023;Muito boa opção;Perto do aeroporto e da praia de Boa Viagem, a localização é ótima. Quarto confortável e bem equipado.;Nada;9
6 de novembro de 2023;Conveniência;Custo benefício. É um hotel simples, mas próximo do aeroporto. No nosso caso foi uma hospedagem apenas de dormida, pois chegamos tarde de viagem e iríamos para Porto de galinhas no outro dia. Então, nesse caso compensa. Tem uma boa cama e ar condicionado q funciona bem e em uma localização conveniente em relação ao aeroporto;É um hotel simples, com café da manhã bem simples;7
3 de novembro de 2023;Satisfatório, principalmente para quem vai pernoitar para viagem.;Quarto bom, café da manhã bom, cama boa, lençol limpo.;Faltam tomadas para carregar telefones e aparelhos. O local em frente a acomodação gera sensação de insegurança para locomover a pé.;9
26 de outubro de 2023;Bom custo benefício próximo do aeroporto;Excelente custo benefício, localização próxima do aeroporto;Não dispor de elevador;9
18 de outubro de 2023;Fantástico;Muito próximo ao aeroporto e fácil acesso à Praia da Boa Viagem. Dava para ir caminhando. Bom café da manhã. Equipe muito simpática.;Acesso a internet falho.;9
4 de outubro de 2023;Bom para dormir;Localização excelente perto do aeroporto, ideal para quem precisa de uma estadia rápida na cidade.;As camas não são tão confortáveis, mas o quarto é limpo e as instalações funcionam bem (chuveiro quente e forte, tv, split). Fiquei num quarto com 4 camas que acomodou bem para dormir uma noite apenas. Café da manhã excelente. Voltaria com certeza.;8
1º de outubro de 2023;Se vc vai para o aeroporto e precisa economizar é uma opção, mas se puder ficar no Íbis vale a pena!;;Ouve-se muito barulho externo!;7
17 de setembro de 2023;Satisfatório;Boa relação custo benefício;Banheiro não era muito limpo.;6
16 de setembro de 2023;Otimo Custo Benefício;Bom Café, bom quarto, boa localização;Barulho e luminosidade do corredor dos quartos a noite;9
13 de setembro de 2023;Satisfatório;Café da manhã bem servido.;Poucas vagas para carros e é do lado de fora do hotel. O quarto não tinha janelas, e achei meio apertado, mas cumpriu a proposta que era dormir apenas uma noite! Só achei salgado o valor pelo que oferecem!;6
13 de setembro de 2023;Prático para quem vai passar uma noite para pegar um voo cedo no outro dia!;Para uma noite a estadia foi boa, por ser bem próximo ao aeroporto. O quarto limpo e um café da manhã bom. Todos da equipe atenciosos e simpáticos;Um pouco barulhento;7
10 de setembro de 2023;Fantástico;O café da manhã é excelente.;O cheiro dos lençóis. Dava a impressão que tinha sido usados e não lavados;9
10 de setembro de 2023;Ótima estadia, próximo a aeroporto;Conforto do quarto;O café é bom, mas poderia ter mais opções.;9
4 de setembro de 2023;Muito bom;Quarto confortável e atendimento muito bom dos funcionários;A janela do quarto é bem pequena e é para um corredor.;8
28 de agosto de 2023;Muito bom;Estava tudo limpo,café da manhã muito bom.;Localização um pouco complicada para andar à noite;8
28 de agosto de 2023;Fantástico;Atendimento dos funcionários.;;9
19 de agosto de 2023;Boa;;Falta secador cabelo,;
"Área coberta na frente.""";7;;;
6 de agosto de 2023;Indico;Atendimento bom;Eu reservei cama de casal. Peguei uma de solteiro. Não muito macia.;8
28 de julho de 2023;Bom;Das camas;Do banheiro xom limbo nos azulejos;7
20 de julho de 2023;Bom;Café da manhã, camas, roupa de cama. Localização.;Banheiro sem janela, não tem estacionamento. O carro fica na calçada, em frente a entrada do hotel.;
A janela do quarto é muito pequena; e da para o corredor. Ou seja;" é como se não tivesse janela no quarto.""";7;
14 de julho de 2023;Muito bom;Custo benefício, limpeza, café da manhã;;8
11 de julho de 2023;Muito bom;Limpeza e comodidade;Quarto sem janela e muito barulho próximo ao café da manhã, tanto de madrugada quanto de manhã cedo;8
11 de julho de 2023;Satisfatório;Fácil acesso, atendentes educados e prestativos, fora o edredom que parece que não foi lavado, o quarto e o banheiro é muito limpo e bem conservado.;O edredom tinha um cheiro esquisito, como se estivesse com cheiro de usado felizmente tinha outras opções, o resto estava muito limpo, banheiro, quarto, etc.;
;;;;
"O colchão estava meio desconfortável e com deformidades.""";6;;;
9 de julho de 2023;Muito bom;Gostaria da comodidade próx ao aeroporto e café da manhã diversificado.;Cama não era tão confortável;8
7 de julho de 2023;Boa;A localização;Das escadas;8
3 de julho de 2023;Muito bom;Localização, super perto do aeroporto. Para 1 noite, perfeito;;8
10 de junho de 2023;Agradável.;A localização e atendimento são bons.;Tínhamos feito reserva para um quarto com 4 camas, porém ao fazer checkin fomos informados que a unidade estava em reforma. Fomos acomodados em outro com 1 cama de casal e duas de solteiro, comprometeu um pouco o conforto mas resolveram o problema.;7
1º de junho de 2023;Muito bom;Da proximidade do aeroporto, para ser um local de transição até você ir para seu destino final.;Não deixei de gostar de nada, porém a instrutura é simples, mais organizada, o serviço da recepção é bom.;8
25 de maio de 2023;Fantástico;Limpeza. Recepção bem atenciosa;;9
8 de maio de 2023;Muito bom;Não tomei;O banheiro é apertado, poderia ser mais um pouco espaçoso.;8
6 de maio de 2023;Excelente localização;Excelente localização e custo benefício. ;;
"Café da manhã bom.""";O quarto é bom, organizado e limpo, mas achei o abafado, possui ar condicionado, mas não estava funcionando direito e não tinha janela para ventilar.;8;;
2 de maio de 2023;Bom;custo-beneficio, hotel de passagem ;;
"recepção simpática""";quarto com cheiro muito forte;7;;
25 de abril de 2023;Muito bom;Gostamos da localização e da limpeza do quarto.;Das escadas, não tem elevador e fomos para o 2 andar.;8
17 de abril de 2023;Atendeu às minhas expectativas;Boa variação do cafe da manhã.;;
Excelente atendimento: tanto de recepção;" qto nos demais serviços.""";O colchão poderia ser melhor.;7;
13 de abril de 2023;Boa relação custo/benefício com boa localização.;A localização e o atendimento da recepção.;Banheiro e uma das camas que apresentava defeito.;7
10 de abril de 2023;No geral foi bom.;O café da manhã foi muito bom.;Não consegui falar com a recepção quando precisei.;8
28 de março de 2023;Ok;Localização;Conforto;
"Comodidade""";6;;;
22 de fevereiro de 2023;hotel bem honesto se propõe ao oferecido;café da manhã muito bom, acomodações honestas ! localização ótima.;;9
6 de fevereiro de 2023;local bom para passar nada mais que uma noite, tudo quarto pequeno, sem janelas e com um forte cheiro de naftalina, aos;Local razoavelmente perto do aeroporto, o que facilita o transporte, funcionários solícitos;Cama EXTREMAMENTE dura, da a impressão que não tem colchão.;7
2 de fevereiro de 2023;Muito bom;Localização;Cheiro de mofo;8
29 de janeiro de 2023;Muito bom;Tudo muito limpo e organizado.;;8
23 de janeiro de 2023;Fantástico;Seu jailson muito atencioso educado ,nos recebeu muito bem !;;
"Recepção nos atendeu muito bem !""";Só não gostei pq o para estacionar ,tem poucas vagas em frente ao hotel, mas o senhor já cuidou muito bem do carro que ficou parado ao lado , e assim que teve uma vaga ,ele trouxe o carro para frente do hotel, enquanto eu dormia !;9;;
19 de janeiro de 2023;Satisfatório;Cama e travesseiro;Instalações;6
10 de janeiro de 2023;Hospedagem;Boa localização por ser perto do aeroporto e bom café da manhã. Funcionários prestativos e atenciosos.;O ar condicionado não funcionava direito mas deu para dormir. O hotel não possui garagem por isso o carro dormiu em frente ao hotel e tbm não possui elevador.;7
8 de janeiro de 2023;Satisfatório;;colchões da cama afundando;6
3 de janeiro de 2023;preencheu às necessidades;limpeza e atendimento;camas;7
31 de dezembro de 2022;Custo-benefício;Apartamento, localização, café da manhã, atendimento dos funcionários;Gostei de tudo;9
26 de dezembro de 2022;Quarto com mofo;Para passar uma noite é um bom custo benefício. O chuveiro é bem forte, tem água quente.;Realmente lendo todos os comentários, o quarto cheira muito a mofo. A água da torneira tem um cheiro muito forte também.;7
22 de dezembro de 2022;Boa localização;;;
19 de dezembro de 2022;Fantástico;Ótimo custo benefício! Boa localização para quem vai usar o aeroporto.;Não tem estacionamento!;9
18 de dezembro de 2022;Fantástico;;O café da manhã poderia ser um pouco melhor.;9
5 de novembro de 2022;Funcionários atenciosos, mas o local é bem “meia-boca”.;O hotel é bem próximo ao aeroporto;A localização é bem ruim, não tem elevador, alguns lugares em reforma no hotel. O quarto oferecido tinha cheiro de mofo, solicitei a troca e fui atendida.;7
31 de outubro de 2022;Maravilhoso para ficar próximo ao aeroporto.;Muito confortável a cama. Café da manhã bem servido.;;9
18 de outubro de 2022;Equipe mt boa, café superou minhas expectativas;Café da manhã maravilhoso;Tive que subir escadas pra meu quarto, foi um pouco ruim pq estava com muita mala, preferia o térreo;7
17 de outubro de 2022;Bom;Atendimento, muito simpáticos e atenciosos.;Café da manhã e Banheiro.;7
1º de outubro de 2022;Hotel simples mas com bom custo beneficio para quem quer ficar perto do aeroporto.;O hotel é bem próximo do aeroporto, quase 5 minutos. Café da manhã bom, bem diversificado. com opções de tapiocas, ovos mexidos etc. Lençóis e Toalhas bem higienizados;Os arredores do hotel. Leve cheiro de mofo no quarto, mas você se acostuma com o tempo. O ralo do box era entupido o que fazia com que o nivel dagua fosse subindo. O banheiro é bem simples.;6
1º de outubro de 2022;Localização Boa, funcionários educados e atenciosos;Café da manhã satisfatório;Quarto com muito mofo e pequeno para 4 pessoas;7
23 de setembro de 2022;providencial e acertiva.;tranquilidade;;8
23 de setembro de 2022;supriu minhas necessidades.;funcionarios educados, prestativos;cheiro de mofo no quarto;
colchao duro e velho;;;;
"banheiro que mal cabia no box""";8;;;
19 de setembro de 2022;Boa localização próximo ao aeroporto;Ótima localização para quem precisa ficar próximo ao aeroporto. Ar condicionado e chuveiro bons, fornecem coberta, possui TV a cabo, toalhas muito boas. Café da manhã simples e bom. Funcionários muito simpáticos e educados.;Wifi não funciona muito bem no andar superior, o hotel não possui elevador, então são alguns lances de escadas para chegar ao quarto, se não puder subir escadas solicite algum quarto do andar térreo.;8
21 de agosto de 2022;A localização foi o que eu precisava;Café da manhã muito simples;;
;;;;
"Localização para o que eu precisava estava excelente""";A cama;6;;
16 de agosto de 2022;Local prático e próximo ao aeroporto;localização bem próxima ao aeroporto;a única janela era pequena e dava para o corredor;7
13 de agosto de 2022;Custo benefício adequado para viagem rapida de negocios.;Café da manhã excelente. Equipe prestativa, proximidade do aeroporto.;Quarto com marcas de mofo no teto, Cama desonfortável;8
30 de julho de 2022;Bom custo benefício para quem deseja ir para aeroporto, pois fica próximo;Ficamos por uma noite, apenas para facilitar pela manhã que iríamos pegar o avião as 10h e precisávamos devolver o carro na localiza que tbm fica muito próximo.;;
O café da manhã é servido as 7 horas; mas é possível encontrar opções frias as 6h30 caso esteja com pressa.;;;
O quarto é simples;" mas atendeu a necessidade do momento.""";O banheiro precisa de renovação e a porta do banheiro estava emperrando.;7;
9 de julho de 2022;Bom;Otimo café da manhã. Ideal para quem faz conexão no aeroporto (uber foi 7 reais);;7
3 de julho de 2022;Satisfatório;Café da manhã;Localização;6
20 de junho de 2022;bom;Conforto da cama, café da manhã é bom.;Isolamento acústico é péssimo e o quarto não tem janela.;8
17 de junho de 2022;É lugar bom mas tem o que melhorar;o café da manhã com variedades.;o piso do quarto é diferente envelhecido.;6
13 de junho de 2022;Satisfatório;;Colchão muiiito desconfortavel;6
13 de junho de 2022;Muito bom;}No anuncio tinha avisando que tinha estacionamento no local. Não foi localizado, e sim apenas um estacionamento em fente;;8
6 de junho de 2022;Boa!;Café da manhã muito bom!;Acesso apenas por escada.;7
24 de maio de 2022;é necessário revitalizar os quartos e principalmente a cama;o atendimento dos funcionários.;o quarto é muito antigo, necessita de reparos. A cama é extremamente dura, é difícil dormir.;6
22 de maio de 2022;Hotel em Recife;Localização;Tudo bom;8
21 de maio de 2022;Custo-benefício;Localização;Café da manhã pouco variável e equipe da cozinha pouco paciente;8
