data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;
17 de março de 2024;Ótimo custo benefício;Achei tudo ok.;Ar condicionado e chuveiro elétrico que demora a esquentar. Falta estacionamento.;8;;;;;
17 de março de 2024;Bom;Localização excelente ;;;;;;;
Funcionários atenciosos ;;;;;;;;;
O hotel super limpo ;;;;;;;;;
"O quarto tbm""";Café da manhã até as 9:30 ;;;;;;;;
Cheguei às 9 em ponto;praticamente já não tinha nada ;;;;;;;;
E não estavam repondo;ou seja ;"teria que vir bem cedo para poder pegar o café!""";7;;;;;;
15 de março de 2024;Boa.;Acomodação, café da manhã;A rua da frente muito movimentada de carro parece bia expressa.;8;;;;;
13 de março de 2024;Fantástico;Localização, café da manhã e atendimento dos funcionários;Travesseiro muito duro e desconfortável.;9;;;;;
12 de março de 2024;Solicitação de melhoria e agradecimento pela estada;Atendimento, acomodação e café da manhã. Prorrogação do checkout até às 13h pra atender uma necessidade do cliente. Parabéns !;Indisponibilidade de toalha de banho e de rosto. Shampoo e condicionador poderiam ser disponibilizados aos clientes.;8;;;;;
8 de março de 2024;Ótima;Vista;Localização;8;;;;;
27 de fevereiro de 2024;Bom;A localização era a mostrada no mapa.;Quarto, cama e banheiro bastante gastos. Toalhas de banho velhas e de uma com bege que fazia parecer suja. Não havia toalha de rosto. Ralo do box meio entupido, não dava vazão se o banho fosse longo.;;;;;;
"Atendimento fraco e sem atençãoao cliente. Café da manhã fraquissimo.""";7;;;;;;;;
18 de fevereiro de 2024;Muito bom;Tudo é muito bom, só conforto do quarto a café da manhã.;O banheiro um pouco apertado.;8;;;;;
13 de fevereiro de 2024;Boa opção de custo benefício para quem vai a trabalho.;Ar condicionado e limpeza do quarto.;Necessidade de pegar itens na recepção para o frigobar.;7;;;;;
10 de fevereiro de 2024;Muito bom;;O café da manhã não tem variedade, todos os dias a mesma coisa;8;;;;;
7 de fevereiro de 2024;Alcancei o objetivo da viagem.;Foi bom. Gostei.;;8;;;;;
27 de janeiro de 2024;Bom;Custo benefício;Os quartos já são velhos e as camas são bem ruins, mas dá pra ficar;7;;;;;
27 de janeiro de 2024;Muito bom;A localização facilita pra quem contratar um receptivo, pois eles te pegam na pousada.;Em frente a pousada há uma praia linda, porém é proibido entrar por conta de ataques de tubarão e também um pouco perigoso pra quem gosta de caminhar à noite.;8;;;;;
26 de janeiro de 2024;Muito bom;Localização ótima,bom café da manhã,camas confortáveis.;Falta de atenção em detalhes *sem papel higienico,falta toalha de banho.;8;;;;;
23 de janeiro de 2024;Muito bom;Limpeza.;Embora tivéssemos colocado na reserva que éramos dois adultos e uma criança de 12, mas somos dois adultos e duas crianças, reservamos um quarto quádruplo e, quando chegamos o quarto era triplo com a desculpa de que acharam que seria melhor, qdo na verdade não havia disponibilidade. Fomos orientados a trocar de quarto ao meio dia, qdo o quarto que reservamos estaria disponível. Ao chegar do passeio, por volta das 17h, a pessoa da recepção já sabia do ocorrido e disse que não teria como, pois teria que ser feito ao meio dia, ou seja, teríamos que perder o dia de passeio até que consertassem o erro. ;;;;;;
Insistimos e magicamente o quarto apareceu. O ar não dava vazão pq a parede estava fervendo. Mas; felizmente a limpeza estava excelente. ;;;;;;;;
Cama nada confortável e o vaso sanitário estava solto.;;;;;;;;;
"Café da manhã terrível.""";8;;;;;;;;
11 de janeiro de 2024;foi um momento para descansar;;do atendimento da recepção. no dia 7/01/2024, no período da manhã, a funcionária vivia pendurada no celular. eu passei 4 vezes pela recepção e ela estava em ligação de vídeo as 4 vezes. falando alto. um horror. nem levantava a cabeça p atender. eu tinha que chamar p ela olhar que eu precisava de algo.;8;;;;;
11 de janeiro de 2024;Muito boa;Café da manhã Bom;;;;;;;
"Acomodação atendeu as expectativas""";Vaga de estacionamento insuficiente;8;;;;;;;
9 de janeiro de 2024;Estadia muito bom!;Localização excelente!;;9;;;;;
5 de janeiro de 2024;Fantástico;Ótima localização.;;9;;;;;
3 de janeiro de 2024;Satisfação;Gostei muito do quarto e conforto do ambiente, bastante tranquilo e receptivo para os hospedes. Acredito que logo voltarei para outra festividade e ficarei no mesmo hotel.;Acredito que poderia melhor o café da manhã e o seu horário que é servido para os hospedes. Acredito que fosse interessante colocar outras frutas, bolos regionais. O ambiente é muito bom!;9;;;;;
28 de dezembro de 2023;Muito bom;excelente localização;;8;;;;;
25 de dezembro de 2023;Funcionários muito prestativos e ótimo atendimento;Funcionários e localização;Nada;9;;;;;
28 de novembro de 2023;Legal;Bons funcionários e bom café da manhã;Tudo ok;8;;;;;
26 de novembro de 2023;Fantástico;Facilidade em estacionar e limpeza;Não ter opção alimentação, somente café da manhã;9;;;;;
22 de novembro de 2023;Viagem à 2 para Recife;A localização do hotel é muito boa, em frente ao mar, infelizmente ser uma praia onde o risco de ataque à tubarão seja grande, a vista é perfeita, fresco, próximo à shopping, feiras, o café da manhã era muito gostoso, muita opção de comida, sucos, cafés, chás,;O hotel estava em reformas, isso não é problema visto que melhorias são uma coisa boa, mas o hotel estava com um cheiro horrível de esgoto, na recepção, no banheiro do quarto, o cheiro era muito forte, alguns momentos incomodava bastante;8;;;;;
21 de novembro de 2023;Fantástico;Limpeza e café da manhã;;9;;;;;
20 de novembro de 2023;Hotel normal para curta estadia.;Café da manha razoável mas de boa qualidade. Boa localização. Silencio.;Recepcionistas na maneira pouco cortes nas palavras quando indagados. Quarto com poucas tomadas e sem interfone impossibilitando contato com a recepção. Não oferece opções de almoço e jantar. Reserva quarto de casal e recebi um quarto com 4 camas de solteiro.;8;;;;;
14 de novembro de 2023;Pelo atendimento e facilidade foi excelente mas precisa melhorar quanto a esses detalhes nos quartos.;Fácil acesso e os funcionários são todos atenciosos e educados.;Quarto com poucas tomadas, precisava trabalhar e a única tomada que tinha próximo a mesa era padrão antigo não sendo possível ligar o notebook. E no local não tem estacionamento, sorte que é em teoria tranquilo de parar na frente do hotel.;8;;;;;
31 de outubro de 2023;Muito bom;Pelo preço o hotel esta bem localizado de frente para a praia;;8;;;;;
26 de outubro de 2023;Bom para quem não fica muito tempo no hotel.;Preço bom, café gostoso, de frente para o mar.;Quarto pequeno e apertado. Mar perigoso, tubarões.;7;;;;;
23 de outubro de 2023;Bom;Boa localização, espaços amplos e agradáveis.;A cama poderia ser melhor.;7;;;;;
20 de outubro de 2023;Fora o constrangimento que tive ao ser obrigado a tirar meu veículo do local, foi tranquila.;Um ótimo café da manhã, excelente localização.;Existe a possibilidade de demarcar duas vagas de estacionamento nas laterais em frente ao hotel, dentro da área privativa do estabelecimento, ao invés disso proíbem estacionar, deixam de proporcionar essa comodidade aos hóspedes, fiquei bastante constrangido ao ser determinado que retirasse meu veículo deste espaço. Este local não atrapalha de forma alguma qualquer veículo se locomover, nem mesmo caminhão, logo é uma falta de visão por parte dos proprietários. Min;7;;;;;
20 de outubro de 2023;Recomendo;Vista do mar;Apartamento pequeno para 3 hóspedes;8;;;;;
17 de outubro de 2023;Muito bom;Perto do aeroporto, em frente a praia.;Tudo tranquilo.;8;;;;;
17 de outubro de 2023;Bom custo benefício;Vista para o mar (lembrando que há tubarões no mar de Recife, mas isso eu já sabia);;;;;;;
Funcionários prestativos.;;;;;;;;;
"Café da manhã muito bom.""";A região no entorno do hotel é mais tranquila. Para chegar na região mais animada (Boa Viagem), tive de chamar carros de app, mas eram corridas bem curtinhas.;;;;;;;;
"Baixa pressão da água no vaso sanitário.""";8;;;;;;;;
16 de outubro de 2023;Foi uma boa estadia, no geral.;Localização ótima;Existem hotéis com instalações melhores e preços semelhantes. Os barulhos ultrapassam as paredes facilmente.;7;;;;;
16 de outubro de 2023;òtima escolha custo e benefício;Da limpeza dos quartos e lençois;o Cafe da manhã deixou um pouco a desejar;9;;;;;
15 de outubro de 2023;Fácil acesso e aconchegante;É um bom lugar para descansar;Fácil acesso ao aeroporto, mas para ir às praias precisa de um deslocamento maior;8;;;;;
13 de outubro de 2023;Muito bom;Gostei muito da localização, próximo ao aeroporto... o quarto é confortável...ambiente limpo...;Não gostei do café da manhã... poucas opções e o que tinha não era gostoso...;8;;;;;
12 de outubro de 2023;Precisa melhorar;Localização boa, café da manhã completo;Camas antigas e barulhentas, banheiro com um odor horrível;7;;;;;
9 de outubro de 2023;Muito bom;Localização;Mau cheiro no banheiro.;8;;;;;
8 de outubro de 2023;Bom;Ótima localização, tem estacionamento em frente;Camas velhas e barulhentas, pouco de cheiro de mofo;7;;;;;
4 de outubro de 2023;Bom;Localização, limpeza;Mal cheiro de fossa no banheiro;7;;;;;
30 de setembro de 2023;Muito bom, recomendo.;Hotel beira mar, bom atendimento, boas instalações, camas confortáveis, café da manhã muito bom, vista p mar. Ótimo custo benefício, voltaria.;Não possui serviço de quarto depois das 22 horas.;9;;;;;
27 de setembro de 2023;Boa localização e atendeu às expectativas.;Localização muito boa e estadia custo benefício. Ficamos apenas uma noite pois estávamos em trânsito para outra cidade do litoral. Mas nos atendeu super bem.;Qualidade dos pães do café da manhã deixou a desejar.;7;;;;;
25 de setembro de 2023;Boa;Não deu tempo pra aproveitar pois foi só uma noite pois meu voo era na madrugada;Idem;8;;;;;
23 de setembro de 2023;Muito bom;Café da manhã, limpeza, funcionários prestativos, localização;Chuveiro com jato ruim, cama e travesseiros precisando trocar;8;;;;;
21 de setembro de 2023;Bom;Instalação do hotel é boa e a acomodação é confortável. E a vista do mar salva.;Hotel fica longe do ponto turístico do bairro de Boa Viagem. Na verdade, fica no bairro de Piedade. É muito isolado, não há lojas, restaurantes ou supermercafo perto, que possa ir caminhando, dependendo muito de carro. O café da manhã é bem simples....nos dias q fiquei serviram pão endurecido...deixou a desejar.;7;;;;;
13 de setembro de 2023;Fantástico;Quarto confortável;Café da manhã com poucas opções e o pão estava igual pedra;9;;;;;
13 de setembro de 2023;Fantástico;Quarto confortável;Achei o café cm poucas opções e o pão estava igual pedra;9;;;;;
9 de setembro de 2023;Fantástico;Da localização e do quarto em si.;Os travesseiros são muito baixos.;9;;;;;
8 de setembro de 2023;Fantástico;Localização;O café pode melhorar, mas, é bom.;9;;;;;
4 de setembro de 2023;Praia em frente ao hotel proibido entrar no mar.;Conforto, vista do mar, fácil transporte público. Ar condicionado silencioso e eficiente.;Falta de lugar pra secar roupas usadas na praia. Café da manhã com pouca opção.Cabeceira da cama próximo da luminária, bati a cabeça várias vezes.;;;;;;
"Localização longe do comércio.""";8;;;;;;;;
25 de agosto de 2023;Muito bom;Gostei da excelente localização, em frente à Praia de Boa Viagem, podendo caminhar no calçadão que tem diversos quiosques. Considerando os preços da acomodação, a relação custo/benefício é positiva.;;8;;;;;
21 de agosto de 2023;Legal! Indicaria para outras pessoas.;Achei o quarto espaçoso, eletrônicos em bom estado e funcionando bem.;Não gostei do chuveiro.;8;;;;;
5 de agosto de 2023;Muito bom;do cafe da manhã;;8;;;;;
3 de agosto de 2023;Bom;Localizaçao é boa.;As toalhas eram velhas. Mas é so isso. O hotel é muito razoável. Os funcionários são ótimos.;8;;;;;
21 de julho de 2023;Voltaria com certeza;Localização;;8;;;;;
21 de julho de 2023;Bom;Limpeza e camas confortáveis;Tv não tem canais a cabo, barulho de aviões decolando a todo momento, não disponibilizam toalhas de rosto;7;;;;;
18 de julho de 2023;Fantástico;Café da manhã, localização;Cama;9;;;;;
17 de julho de 2023;Muito bom;Perto da praia;;8;;;;;
12 de julho de 2023;Fantástico;Os funcionários sempre atenciosos e educados.;Pra quem não está de carro, um pouco longe p ir até a feirinha, mas se estiver disposto a andar, da p ir sem problemas.;9;;;;;
1º de julho de 2023;Muito boa;Ótimo;Do colchão prefiro ortopédico;8;;;;;
27 de junho de 2023;Muito bom;Café da manhã e espaço bom;Nada a declara;8;;;;;
25 de junho de 2023;Um otimo custo-benefício.;Limpeza, higiene e atendimento.;Nao tinha interfone no quarto;;;;;;
"Café da manha deixa a desejar um pouco.""";8;;;;;;;;
