data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;
19 de março de 2025;Beach Class é um bom hotel!;Hotel confortável, limpo, com localização conveniente, restaurante disponível para todas as refeições do dia.;Do atendimento da recepção, da TV antiquada e de pequeno tamanho, quebrou, foi substituía por outra que também estava quebrada e finalmente uma terceira funcionou.;8;;;;;;
15 de março de 2025;Excepcional;Ótimas instalações, confortável, bom café da manhã. Funcionários simpáticos.;Nada;10;;;;;;
14 de março de 2025;Voltarei mais vezes.;Localização maravilhosa, ótimo café da manhã, quartos confortáveis, limpeza impecável.;Tive alguns problemas com hóspedes fumando nos quartos próximos e o cheiro do cigarro indo para o meu quarto. Mas a equipe rapidamente me trocou de quarto, para que eu permanecesse tendo meu conforto. Impecável o atendimento!;9;;;;;;
14 de março de 2025;Me sentir em casa;A cama muito confortável;;10;;;;;;
11 de março de 2025;Ótimo e agradável.;Ótima localização. Quartos adequados, com vista distante para o mar. Café da manhã bem diversificado e saboroso.;Conservação do quarto poderia ser melhor.;8;;;;;;
10 de março de 2025;Excelente;Ótimas instalações e serviços. O quarto é incrível com uma visão privilegiada do oceano.;O serviço à lá carte do restaurante do hotel precisa melhorar em tempo de atendimento e opções.;10;;;;;;
10 de março de 2025;Vale a pena pelo custo benefício;Quarto extremamente confortável, grande e espaçoso.;A limpeza do banheiro não estava boa, cheiro de urina;9;;;;;;
10 de março de 2025;Excepcional;Conforto;Localização;10;;;;;;
10 de março de 2025;Excelente;Dos funcionários muito atenciosos;;9;;;;;;
9 de março de 2025;Hotel muito bom. Voltaria mais vezes, com certeza.;Hotel muito bom, com um bom café da manhã e uma excelente academia. É bem localizado. À noite, a rua fica meio deserta, mas tudo ali fica. Quarto confortável. Pessoal cordial.;Minhas únicas questões são: a localização do ar condicionado, bem em cima da cama (ao menos no quarto em que fiquei);;;;;;;
9 de março de 2025;Ótimo hotel com preço acessível;Hotel com ótima localização, quarto amplo e confortável e funcionários cordiais.;;9;;;;;;
9 de março de 2025;Um dia de excelência!!;Excelente custo-benefício, café da manhã espetacular,acomodação super confortável, academia grande e com variedade de aparelhos, localização,funcionários prestativos e atentos.Foi um dia perfeito.;Nada a declarar..;10;;;;;;
9 de março de 2025;Custo x benefício;Bom;;8;;;;;;
8 de março de 2025;Conforto, ótima localização e atendimento excelente.;Atendimento excepcional, deste a recepção, café da manhã bem servido, quartos aconchegante e limpeza impecável.;Gostei de tudo;10;;;;;;
7 de março de 2025;Um hotel de padrão meio luxuoso perto da orla de boa viagem.;No geral gostamos do hotel, especialmente do quarto em que ficamos, com excelente vista da capital pernambucana, além de outros confortos.;Não gostei de ter que pagar pelo estacionamento do meu carro, já que estava num hotel com uma tarifa diária um pouco alta.;8;;;;;;
7 de março de 2025;Fantástico;;Piscina poderia estar mais limpa. A área do café da manhã, café muito bom por sinal, é pequena, muito apertada para um hotel desse porte.;9;;;;;;
6 de março de 2025;Excelente!;Localização excelente, bem pertinho da praia de boa viagem, quarto confortável e limpo. Funcionários solícitos e prestativos. Café da manhã muito bom também com várias opções.;;10;;;;;;
6 de março de 2025;Fantástico;Confortável, estrutura nova e bem conservada;;9;;;;;;
6 de março de 2025;Muito bom;Conforto, atendimento e localização.;Café da manhã fraco, com poucos variedade, as frutas sem gosto e não estavam frescas.;8;;;;;;
6 de março de 2025;Dentro das minhas expectativas.;Quarto amplo.;O valor da diária.;10;;;;;;
4 de março de 2025;10;de tudo. Inclusive que tem tomada ao lado do vaso. rsrsrs;nada a reclamar;10;;;;;;
28 de fevereiro de 2025;Fantástico;Acomodação confortável: quarto e banheiro amplos(chuveiro ótimo)…;Nada a reclamar…;9;;;;;;
24 de fevereiro de 2025;Maravilhosa;Comodidade;De ficar pouco tempo;10;;;;;;
22 de fevereiro de 2025;Excepcional;.;.;10;;;;;;
20 de fevereiro de 2025;Muito bom;Localização e comodidades.;A velocidade da internet é muito baixa.;8;;;;;;
19 de fevereiro de 2025;Muito boa, voltaria;Quarto amplo e cama boa, vista do 27 andar linda;Achei o quarto com poucas luzes;10;;;;;;
19 de fevereiro de 2025;Fantástico;Café da manhã muito completo;;;;;;;;
18 de fevereiro de 2025;Otima Localização;Localização e equipe do hotel.;O café da manhã precisa melhorar.;8;;;;;;
18 de fevereiro de 2025;Ótima acomodação por um preço justo;Boas acomodações.;;8;;;;;;
17 de fevereiro de 2025;Boa;Cama confortável.;Tolhas e coberta com cheiro ruim.;8;;;;;;
14 de fevereiro de 2025;Excepcional;Localização boa atendimento bom quarto bem limpo;Gostei de tudo;10;;;;;;
12 de fevereiro de 2025;Excelente;Café da manhã com várias opções e conforto do quarto.;;10;;;;;;
11 de fevereiro de 2025;Muito bom o custo benefício. Atendimento ótimo.;Bom atendimento.;;9;;;;;;
11 de fevereiro de 2025;Ótimo para um breve período.;A cama é boa, travesseiros bons, a roupa de cama e as toalhas estavam limpas. ;;;;;;;;
"O chuveiro oferece um bom banho.""";O café da manhã poderia ser melhor e a localização do ar condicionado incomoda muito na hora de dormir.;8;;;;;;;;
10 de fevereiro de 2025;Foi útil ao meu propósito, pois era perto de onde eu precisava ir;Localização, conforto atendimento;Café da manhã bem mais ou menos, banheiro apertado;8;;;;;;
8 de fevereiro de 2025;Excelente acomodação, equipe muito atenciosa;Toda a atenção da equipe no ajuste das datas de entrada e saída. Erro na compra. Muito obrigado;Tudo otimo;10;;;;;;
7 de fevereiro de 2025;Gostamos e recomendamos.;Quarto grande, com janela ampla que permite boa iluminação natural e bela vista da cidade e do mar. Café da manha variado e com itens de qualidade. Atendimento cordial.;O hotel fica numa região que oferece poucas opções de bares ou lanchonetes, o que faz com que à noite as ruas tenham pouco movimento de pedestres, a opção foi pegar o carro e ir para o shopping Recife - por sinal muito bom.;9;;;;;;
6 de fevereiro de 2025;Excepcional;atendimento excelente, cafe da manhã excelente e almoço também;a cama eu não gostei achei o colchão muito duro;10;;;;;;
4 de fevereiro de 2025;Boa localização;Bom custo benefício;;9;;;;;;
4 de fevereiro de 2025;Boa;Café da manhã;;8;;;;;;
3 de fevereiro de 2025;Excelente;Quarto amplo e confortável, bom chuveiro e com variedade de auto serviço como academia e salão de beleza;O check out foi um pouco demorado, mas não por culpa da funcionária e sim porque um hotel desse porte não pode ter somente duas pessoas exercendo suas atividades em pleno horário de meio dia;10;;;;;;
3 de fevereiro de 2025;Fantástico;Atendimento, acesso a garagem com leitura de placa, tamanho e limpeza do quarto;Um pouco longe da praia;9;;;;;;
3 de fevereiro de 2025;Ótimo hotel.;Ótima localização, o quarto é super confortável, o banheiro limpo e espaçoso, café da manhã completo e cheio de opções.;Não tenho do que reclamar.;10;;;;;;
3 de fevereiro de 2025;Boa estadia atendeu as expectativas.;Boa localização, bom atendimento e café da amanhã .;;10;;;;;;
2 de fevereiro de 2025;Um ótimo lugar para passar uns dias de lazer.;À vista para a praia, o tamanho do quarto e os itens.;A janela do quarto estava muito suja e não tinha um pano de chão no banheiro.;8;;;;;;
1º de fevereiro de 2025;Nada excelente! Apenas bom ou muito bom!;Localização;Hotel muito movimentado com recepção e elevadores que não acompanham a demanda;8;;;;;;
31 de janeiro de 2025;Vale a pena;Cama extremamente confortável;Pessoas do serviço do café da manhã com pouca atenção;9;;;;;;
27 de janeiro de 2025;Recomendo hotel, é muito bom. Café da manhã excelente. Funcionários, muito educados, bem apresentados e hotel boa locali;Acomodação excelente…ambiente ótimo e bancada de apoio muito boa e portas objetos, excelente.;Apenas pra deixar registrado, mas nada de incômodo… teve apenas um dia que notei q as toalhas não foram trocas…!;10;;;;;;
25 de janeiro de 2025;Muito bom;Cama de casal imensa;;8;;;;;;
25 de janeiro de 2025;Recomendo para famílias;A vista do apartamento é linda. A cordialidade dos funcionários é sensacional! O café da manhã é bem variado e atende algumas restrições alimentares.;As camas de solteiro não tem o mesmo tamanho. Éramos três adultos e fiquei com a cama pequena que não tinha escoro para a cabeça e os travesseiros caiam.;9;;;;;;
23 de janeiro de 2025;Excepcional;;A moudura du espelho desmontando, e cesto do banheiro pedia ser com tampa e maior.;10;;;;;;
21 de janeiro de 2025;Excelente;Limpeza;Calor no elevador;10;;;;;;
21 de janeiro de 2025;Atendeu as expectativas. Bom custo benefício.;Hotel bom, muito bem localizado e limpo, com ótimo custo benefício.;O café da manhã poderia ter uma maior variedade de itens. Além disso os quartos são um pouco barulhentos.;9;;;;;;
21 de janeiro de 2025;Exceto café da manhã, TUDO LINDO.;Quartos espaçosos, excelente colchão é ótimo chuveiro,;Café da manhã deixa é muito a desejar, pela estrutura do hotel poderia e deveria ser muuuito melhor (soube que é terceirizado). Sucos que parecem água, bolos aparentemente dormidos (duros) e itens invariáveis sempre os mesmos todos os dias.;;;;;;;
"Gostos de vinhos específicos (não disponíveis na carta do hotel) comprei em outro lugar e por esta razão não disponibilizaram taças….lamentável""";9;;;;;;;;;
21 de janeiro de 2025;Praticidade;Localização;Limpeza deixou a desejar. Precisa melhorar. ;;;;;;;
Quando chegamos o quarto estava com forte cheiro de mofo; cortinas estavam sem cuidados; as cobertas estavam úmidas guardadas em saco; deveriam ter mais atenção e cuidado com os quartos; principalmente na entrada de hóspedes;" passaram o 1° dia sem limpar a após reclamar a recepção que fizeram uma limpeza de verdade no quarto.""";9;;;;
20 de janeiro de 2025;Uma Experiência Inesquecível: Hospitalidade e Surpresas no Meu Aniversário;A hospitalidade do hotel foi excepcional. Durante minha estadia, celebrei meu aniversário na cidade, e a equipe do hotel demonstrou um cuidado especial ao escolher um quarto com uma vista deslumbrante de Boa Viagem, além de me surpreender com uma sobremesa de cortesia.;;10;;;;;;
18 de janeiro de 2025;Muito bom;Localização;;8;;;;;;
16 de janeiro de 2025;Conforto e praticidade para o aeroporto;A localização do hotel é uma ótima opção para necessidade de ir para o aeroporto em qualquer horário. O café da manhã é bem variado;Gostei de tudo;9;;;;;;
16 de janeiro de 2025;Voltaria com certeza;Amei a localização. Perto de tudo e do aeroporto. O quarto é enorme!! O café da manhã completo. Tem academia grande. A vista é espetacular.;nada;10;;;;;;
15 de janeiro de 2025;Maravilhosa.;Tudo.;Nada. Tudo perfeito.;10;;;;;;
15 de janeiro de 2025;Não gostei da localização;Café da manhã;Recepção tumultuada.;8;;;;;;
15 de janeiro de 2025;Muito bom;Do quarto, café, localização, etc;Do problema na descarga do sanitário e um dia à noite faltou energia;8;;;;;;
15 de janeiro de 2025;Hotel muito confortável, boa localização e bom custo benefício.;Hotel limpo e com excelente conforto, já me hospedei várias vezes e sempre os quartos estão impecáveis.;Café da manhã muito lotado da última vez, não consegui pedir minha omelete.;9;;;;;;
14 de janeiro de 2025;Estada agradável;Do conforto do quarto e do café da manhã;Nada;10;;;;;;
14 de janeiro de 2025;Muito bom;;Achei que o café da manhã ficou um pouco a desejar.;8;;;;;;
13 de janeiro de 2025;Ótimo hotel!!;Atendimento, quartos espaçosos, profissionalismo, café da manhã farto, variado.;Pode melhorar apenas no modo de lavagem das toalhas. As que foram disponibilizadas para nós estavam com cheiro.;9;;;;;;
12 de janeiro de 2025;Excepcional;Atendimento excelente, café da manhã maravilhoso e acomodação confortável.;;10;;;;;;
11 de janeiro de 2025;Bem razoável;Nada em especial;Preço, distância para a orla e entorno do hotel.;8;;;;;;
10 de janeiro de 2025;Ficaria novamente, hotel muito bom, recomendo;Localização, tamanho do quarto, banheiro com secador, café da manhã variado e recepcionistas educados apesar de recepção bem cheia;Os corredores poderiam receber uma pintura nova, café da manhã apesar de ser muito bom, o espaço não é grande, enche rápido e o estacionamento paga 25,00;8;;;;;;
9 de janeiro de 2025;Ótima localização!;Ótima localização. Quarto muito confortável. Café da manhã variado e saboroso.;;9;;;;;;
8 de janeiro de 2025;Recomendo!;Excelente atendimento.;A sauna e piscina estavam em manutenção mas não foi comunicado antecipadamente.;8;;;;;;
8 de janeiro de 2025;muito agradável;boa localização, café da manhã com variedades de alimentos, camas confortaveis, academia com bons equipamentos, proximo de varios restaurantes e supermercados, atendimento excelente dos funconários;solicitei um quarto com duas camas e não foi atendido, deveria haver lencois extra no quarto.;9;;;;;;
8 de janeiro de 2025;Ótima estadia;Café da manhã ;;;;;;;;
Academia ;;;;;;;;;;
"Localização""";Poucos elevadores , demora;8;;;;;;;;
8 de janeiro de 2025;Ótima experiência;Localização ;;;;;;;;
Café da manhã ;;;;;;;;;;
Atendimento ;;;;;;;;;;
"Ótima academia""";Demora dos elevadores;8;;;;;;;;
7 de janeiro de 2025;Vista panorâmica;O hotel tem um quê de Ibis, mas o quarto é bem amplo, como também o banheiro, e com cama bem confortável. Se tiver sorte, como eu tive, de se hospedar nos andares mais altos em um quarto voltado para a Praia de Boa Viagem, a vista panorâmica do quarto é muito linda. Há um cuidado maior com a segurança, pois é necessária identificação da digital para se acessar os elevadores. O café da manhã é bem variado todos os dias, e também oferecem tapiocas e omeletes preparadas na hora. Todos os dias trocam o cardápio dos pratos quentes, como legumes cozidos, ovos mexidos, salsichas, banana da terra cozida. Ainda oferecem tortas e frutas. Enfim, o café da manhã é muito bom. Todo o staff do hotel é muito solícito. O hotel tem boa localização, se encontra a poucas quadras da Praia de Boa Viagem e a uma curta viagem de carro do centro histórico de Recife. Eu tenho só coisas boas para falar da minha estadia nesse hotel.;;9;;;;;;
7 de janeiro de 2025;Muito bom;Hotel é bom e bonito! Gostei da visão que tive no meu quarto;;8;;;;;;
6 de janeiro de 2025;Excelente Custo x Benefício;Quantos amplos, confortáveis e limpos. Café da manhã com um excelente variedade de opções.;Para ser chato, a localização poderia ser melhor.;9;;;;;;
6 de janeiro de 2025;Bom hotel com funcionários da recepção e limpeza a melhorarem.;Boa localização, piscina satisfatória e quarto amplo. Bom sistema de segurança interna.;Bastante demorado para realizar o check-in, só tinha uma funcionária e quando outra chegou (às 15h) era só para check-out. Uma maquiadora foi fazer minha maquiagem e de uma amiga e o hotel queria que fosse paga uma taxa de visitante, como se a maquiadora fosse passar o dia lá, os funcionários estavam resistentes em avaliar a situação e se criou um mal estar desnecessário até que ela fosse liberada a subir. O banheiro estava com um cheiro forte, semelhante a urina ao redor do vaso. Não foi feita a limpeza do quarto mesmo não havendo plaquinha de não limpar na porta.;8;;;;;;
5 de janeiro de 2025;Fantástico;Café da manhã muito bom. Estacionamento excelente;O chuveiro tem q ser mais bem limpo. Estava sujo;9;;;;;;
5 de janeiro de 2025;Excepcional;Funcionários bem prestativos, instalações limpas e organizadas, quarto muito confortável;Falta um bar na piscina;10;;;;;;
5 de janeiro de 2025;Foi tudo dentro do esperado;Tudo;Nada;10;;;;;;
4 de janeiro de 2025;Excepcional;Excelente espaço, vista e localização;;10;;;;;;
4 de janeiro de 2025;Simpatia;Gostei da simpatia e do bom atendimento, da equipe que me atendeu durante minha estadia.;;9;;;;;;
4 de janeiro de 2025;Inesquecível! Tudo perfeito!;Muito confortável e amplo!;Amamos tudo!;10;;;;;;
3 de janeiro de 2025;Excepcional;Café da manhã muito bom, quarto confortável, banheiro espaçoso;;10;;;;;;
1º de janeiro de 2025;Levei um tombo na saída do hotel. Ninguém me socorreu. Péssima experiência. Molhando plantas na porta do hotel. Vai de t;Fato de ter salão de beleza no prédio;;8;;;;;;
31 de dezembro de 2024;Fantástico;Localização;Chuveiro necessita limpeza.;9;;;;;;
30 de dezembro de 2024;Excepcional;Gostei de tudo;De tudo;10;;;;;;
29 de dezembro de 2024;Fantástico;Café da manhã, limpeza, qualidade dos quartos e excepcional café da manhã.;Nada.;9;;;;;;
29 de dezembro de 2024;Hospedagem 10/10;Quarto, café da manhã e academia;Gostei de tudo;10;;;;;;
27 de dezembro de 2024;Excelente custo benefício;Acomodação espaçosa e confortável. Excelente custo benefício.;;10;;;;;;
26 de dezembro de 2024;Boa relação custo benefício quando em promoção.;Atendimento, tamanho instalações, limpeza;Wi-Fi , apesar da internet a cabo ser de excelente qualidade. Necessita melhorar a qualidade toalhas (antigas e desgastadas);8;;;;;;
25 de dezembro de 2024;Muito bom;;Do café da manhã;8;;;;;;
23 de dezembro de 2024;Muito bom;Localização;Café da manhã;8;;;;;;
21 de dezembro de 2024;Excepcional;Tudo perfeito o hotel é surreal;;10;;;;;;
19 de dezembro de 2024;Muito bom;O tamanho do quarto e o café da manhã;O ar condicionado do quarto estava muito sujo pois eu e minha família ficamos doentes por conta do ar do quarto.;8;;;;;;
17 de dezembro de 2024;Excepcional;Excelente!!!;;10;;;;;;
16 de dezembro de 2024;Excepcional;Sim;Sim;10;;;;;;
16 de dezembro de 2024;Muito Bom;Quarto muito espaçoso e muito bem localizado. O café da manhã é maravilhoso.;;10;;;;;;
16 de dezembro de 2024;Satisfatória;Conforto das camas;Café da manhã (variedade de alimentos e local muito apertado);9;;;;;;
15 de dezembro de 2024;Excelente quarto , conforto , silêncio . Oferece o que promete .;Quarto , camas , localização , limpeza .;Café da manhã poderia ter mais opções . Evitaria por exemplo : berinjela , batata inglesa .;9;;;;;;
14 de dezembro de 2024;Agradável.;Cama, chuveiro, conforto, bela vista.;Nada;10;;;;;;
13 de dezembro de 2024;As acomodações são muito boas, necessita melhorar o detalhe;Bom apartamento, necessita de manutenção em alguns itens, cabideiro, melhorar os itens de uso de itens no banheiro. Shampoo, creme e sabonete.;Localização, estacionamento e o apartamento é bom;8;;;;;;
12 de dezembro de 2024;Ótimo custo beneficio em Recife!;Hotel muito bom e organizado. Os funcionários são muito educados e prestativos. O café da manhã é bom e variado, você consegue comer bem. O quarto é aconchegante e bem organizado. Tudo estava limpo e arrumado quando chegamos. Adoramos a experiência, valeu muito a pena pelo custo beneficio.;Tentamos fazer um pedido no nosso quarto, mas em todos os números que nos deram ninguém atendia. Ficamos um pouco decepcionados com isso. E há poucos canais disponíveis na televisão.;9;;;;;;
11 de dezembro de 2024;Excepcional;Café da manhã e localização;Foi para nadar alto;10;;;;;;
9 de dezembro de 2024;Fantástico;Cama, chuveiro, vista do mar, luzes e abajures.;;9;;;;;;
9 de dezembro de 2024;Excepcional;Localização;Não tem o não gostou;10;;;;;;
9 de dezembro de 2024;atendeu a expectativa.;Café da manhã e academia.;atendeu a expectativa.;10;;;;;;
8 de dezembro de 2024;Excepcional;Tudo perfeito ;;;;;;;;
 Café da manhã incrível ;;;;;;;;;;
Funcionários maravilhosos ;;;;;;;;;;
"Sem falar a possibilidade de sair a noite muitos restaurantes e bares ao redor""";;10;;;;;;;;
8 de dezembro de 2024;Confortável;Gostamos da localização, das acomodações amplas e do atendimento;Como sugestão no café da manhã colocar um aviso dos pratos quentes: tapioca, ovo etc próximo da janela de comunicação onde faz o pedido, na nossa estadia não fomos informados sobre a opção essas opções;10;;;;;;
5 de dezembro de 2024;Muito bom;Bom café da manhã, com variedades, tapioca e omelete faziam na hora. Hotel cerca de 10 min a pé da praia de boa viagem, ótima localização. Quarto amplo e chuveiro muito bom.;O wi-fi no quarto não funcionava muito bem, era meio lento. Além disso, o check-in foi demorado, tinha uma fila bem grande, e demorou o atendimento.;8;;;;;;
5 de dezembro de 2024;IDEAL PARA CONVENÇÕES;Das instalações. A localização é boa.;;;;;;;;
A praia é distante ;" mas dá pra ir a pé.""";De ter que usar toque digital para entrar e sair da garagem, através do hotel.;9;;;;;;;
3 de dezembro de 2024;Um bom razoável.;Localização.;Climatização e isolamento acústico.;8;;;;;;
3 de dezembro de 2024;Fantástico;Dos funcionários, muito educados e prestativos, os quartos são excelentes;Não há pontos negativos;9;;;;;;
3 de dezembro de 2024;Boa estadia!;Os funcionários foram muito gentis. Da pra ir a pé para a praia. Tem supermercado próximo e dispõe de restaurante 24h. O café da manhã é bem servido.;O café da manhã não tem muitas opções para intolerantes a lactose. A tapioca, por exemplo, não sai sem queijo. Mas é um detalhe pequeno.;9;;;;;;
2 de dezembro de 2024;Boa.;Elevadores de alta capacidade. Vista.;Ar condicionado direcionado para a cama. Ausência de canais de notícias na TV.;8;;;;;;
2 de dezembro de 2024;Excepcional;Hotel em excelente localização e ótimo custo benefício. Funcionários atenciosos.;Não tenho do que reclamar. Muito bom tudo.;10;;;;;;
30 de novembro de 2024;O melhor custo X benefício;Quartos espaçosos e muito confortáveis. Café da manhã com grande variedade e ambiente agradável.;A localização deixa um pouco a desejar;9;;;;;;
29 de novembro de 2024;Fantástico;;Meio longe da praia, mas como só reservei 1 nt, ficou tudo bem.;9;;;;;;
28 de novembro de 2024;Custo beneficio.;A localização e a equipe são os pontos fortes.;Melhorar as camas e o café da manha.;8;;;;;;
27 de novembro de 2024;Excepcional;Quartos não possuem tv smart;;10;;;;;;
26 de novembro de 2024;Ótima;Chuveiro;TV não é SmartTV, poderia ser mais moderna pra assistir streaming;10;;;;;;
25 de novembro de 2024;Preço bom boa localização;Preço acessível/ localização;Nada;9;;;;;;
25 de novembro de 2024;Fantástico;Café da manhã, vista alta, serviço de quarto e atendimento da equipe;Pedir comida de madrugada, pessoa foi grossa com minha noiva, no cardapio está que o restaurante é 24 hrs;9;;;;;;
25 de novembro de 2024;Ótimo custo-benefício;Hotel honesto e entrega o que promete! Café da manhã excelente, apesar da falta da tapioca doce.;Localização um pouco distante da praia, mas dá para ir a pé.;9;;;;;;
23 de novembro de 2024;Muito bom;Variedade do café da manhã.;Área do café da manhã muito cheia e chuveiro que perdia a pressão.;8;;;;;;
21 de novembro de 2024;Quarto limpo, grande, confortável e chuveiro com água forte.;O hotel é muito bom. Nossa recepção foi fantástica. A recepcionista Kalline foi atenciosa e nos cativou logo no Check-in. O quarto é grande e confortável, colchão de mola, firme e lençóis novos e cheirosos. Quarto bem limpo sem cheiro de produto de limpeza que usam para disfarçar a limpeza do quarto. O banheiro tem um espaço muito bom, agua forte no chuveiro e até varalzinho para quem quiser deixar suas roupas de banho. Bons restaurantes por perto e tem um restaurante Português uma delicia há uma quadra de distancia. Localização excelente. Ficamos em um andar alto e a vista do hotel é incrível a noite. Pertinho do aeroporto 7 minutinhos sem trânsito. Atentem se forem pegar voo na hora do rush pode ser que demore um pouco mais. Café da manhã bem variado achei compatível com o valor da diária.;Poderia ter bolo de rolo no café da manhã. :);9;;;;;;
19 de novembro de 2024;Ótima;Tudo bem organizado e limpo.;;9;;;;;;
18 de novembro de 2024;Bom custo benefício;Cama confortável, quarto de bom tamanho. Chuveiro bom.;Limpeza do chão poderia ser melhor.;8;;;;;;
18 de novembro de 2024;Muito bom;O hotel é bom. Serviços bons. Achei bem longe da praia. Limpeza ok;Distância da praia e restaurantes;8;;;;;;
18 de novembro de 2024;Muito bom;Amei a acomodação, achei tudo muito limpo e organizado, a academia é sensacional, surpreendeu as expectativas. Funcionários muito simpáticos.;Acho que na cozinha podemos ter mais opções de pratos.;8;;;;;;
18 de novembro de 2024;Fantástico;Localização;A sauna não estava limpa;9;;;;;;
18 de novembro de 2024;Razoável;;Do café da manhã;8;;;;;;
18 de novembro de 2024;Muito bom;Do atendimento dos funcionários, instalações, localização;Toalhas de banho poderiam estar com um perfume melhor.;8;;;;;;
17 de novembro de 2024;Dias maravilhosos junto a minha família;Tudo;Nada;10;;;;;;
17 de novembro de 2024;Muito bom;Boa localização, pessoal da recepção atende muito bem.;Ao entrar no banheiro o barulho do exaustor é muito alto, fomos jantar no restaurante do hotel e não estava bom.;8;;;;;;
17 de novembro de 2024;Padrão 3 estrelas;A acomodação é normal, só não pode estar avaliada como 4 estrelas, entrega bem para um 3 estrelas .;Achei que pela avaliação de 4 estrelas o quarto seria mais novo e o café com mais variedades é o salão pouca iluminação . ;;;;;;;
"O meu quarto atrás da porta estava com lixo que parece que esqueceram de recolher . Os funcionários muito atenciosos e simpáticos .""";8;;;;;;;;;
16 de novembro de 2024;Hotel maravilhoso;Café da manhã maravilhoso e acomodação perfeita.;;10;;;;;;
16 de novembro de 2024;Excepcional;Da vista, acolhimento.;;10;;;;;;
16 de novembro de 2024;Vista mar - vista espetacular;Comodidade dos quartos, o vista espetacular da cidade, tanto durante o dia, quanto a noite.;Achei o banheiro com mau cheiro de cigarro, não gostei.;9;;;;;;
15 de novembro de 2024;Excepcional;De tudo, maravilhoso!!!;;10;;;;;;
14 de novembro de 2024;Recomendo a todos .;De tudo, hotel maravilhoso.;Nada, tudo perfeito.;10;;;;;;
14 de novembro de 2024;Sensacional;Excelente infraestrutura, completo de tudo. Sensacional.;;;;;;;;
Cama confortabilíssima;",Nada.""";10;;;;;;;;
11 de novembro de 2024;Muito bom!!;Amplitude dos quartos, vista, cores leves, quarto claro, limpeza, café da manhã etc.;Não gostei da lixeira do banheiro sem tampa, afff!;9;;;;;;
10 de novembro de 2024;Ótimo custo benefício;Melhor custo benefício de Recife. Bem localizado, quarto amplo, bom café da manhã. Adoramos a surpresa para nossa filha que estava fazendo aniversário.;O ar condicionado que estava fazendo bastante barulho.;10;;;;;;
10 de novembro de 2024;Ótima estadia, com conforto, bom atendimento e facilidade de acesso;Café da manhã bom, com variedade de opções para diferentes gostos;;;;;;;;
A localização é excelente. facilitando acesso a diferentes bairros da cidade;" bem como a proximidade do aeroporto""";Não teve nada que não tenha gostado pelo menos um pouco;10;;;;;;;
