data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;
9 de fevereiro de 2025;Bom;Cama confortável, banheiro grande, localização legal;Paredes do quarto sujas, gerando aspecto de sujeira no quarto;7;;;;;;;;
9 de fevereiro de 2025;Lugar acolhedor e de excelência;A limpeza espetacular;O café da manhã pra mim precisa ter mais opções;8;;;;;;;;
6 de fevereiro de 2025;Muito bom;As acomodações são confortáveis e para quem viaja a negócio, o hotel se mostra uma ótima opção. Sobretudo, dada à localização: perto de um shopping, próximo do aeroporto e ainda nas proximidades da orla da praia da Boa Viagem, cujo acesso exige uma caminhada de poucos minutos.;;8;;;;;;;;
1º de fevereiro de 2025;Bom;Ar condicionado ok, cama ok, banheiro ok.;Tive problemas com o estacionamento do carro e quando cheguei 2:30 da manhã fiquei meia hora esperando para conseguir colocar o carro dentro do estacionamento porque o sensor nao estava reconhecendo.;7;;;;;;;;
31 de janeiro de 2025;Bom;Atendimento da recepção;Preços do frigobar são abusivos. Serviço do restaurante é fraco. Café da manhã é fraco.;7;;;;;;;;
30 de janeiro de 2025;Voltaríamos a nos hospedar.;Foi tudo ótimo.;Estacionamento é do próprio hotel e é cobrado, mesmo sem usar manobrista.;8;;;;;;;;
29 de janeiro de 2025;Prática e bom custo-benefício;Proximidade do aeroporto e custo mais em conta do apartamento em hotel de rede, o qual tende a oferecer uma condição padronizada de serviço.;Não gostamos da falta de água mineral no frigobar quando da chegada no hotel, mas eles têm um pequeno serviço de 24h com venda de pouco objetos e itens essenciais onde pudemos fazer a aquisição da água mineral.;8;;;;;;;;
27 de janeiro de 2025;Muito bom;Estivemos em outra hospedagem no quarto que dá para a fachada e que era muito quente;;;;;;;;;;
27 de janeiro de 2025;Bom;Estrutura do hotel é muito boa;;;;;;;;;;
27 de janeiro de 2025;Muito bom;Recepção e segurança gentis e educados.;Barulho vindo dos anúncios do mix Matheus;8;;;;;;;;
27 de janeiro de 2025;Volterei… c certeza!;Limpeza! Pronto atendimento!;;;;;;;;;;
"Funcionários cordiais!""";Poderiam melhorar as opções no café!;;;;;;;;;;;
"Senti falta de um iogurte!""";9;;;;;;;;;;;
26 de janeiro de 2025;Boa, mas poderia ser melhor;Da localização e da educação do atendimento.;Dos barulhos, da falta de isolamento acústico.;7;;;;;;;;
25 de janeiro de 2025;Razoável para uma noite apenas.;Boa localização e colaboradores atenciosos.;Quarto muito pequeno e sem conforto. Além disso no primeiro andar há muito ruído de máquinas o que incomoda um pouco para dormir. Café da manhã variado mas sem muito sabor.;7;;;;;;;;
24 de janeiro de 2025;Fantástico;Localização;Café da manha dependendo do horário. Nao conseguiam repor ;;;;;;;;;
"Limpeza do quarto começaram e esqueceram de finalizar ( cesto de lixo do banheiro estava em cima da pia ) e o chão sujo""";9;;;;;;;;;;;
24 de janeiro de 2025;Muito bom;Localização;Cama pequena;8;;;;;;;;
23 de janeiro de 2025;Muito bom;Boa localização, atendimento prestativo , instalações clean , típicas de um hotel com boa relação custo/ benefício.;;8;;;;;;;;
23 de janeiro de 2025;Muito boa e recomendo as outras pessoas !!;Atendimento, limpeza do ambiente, estacionamento e a localização;Torneira do chuveiro de água quente cm defeito!!;8;;;;;;;;
21 de janeiro de 2025;Gostei bastante para hospedagens curtas!;A localização é incrivel, é possivel ir ao shopping, mercado e praia andando em segurança. Além disso, o hotel conta com area kids, o que é claramente um diferencial;Acredito que a manutenção e aspecto do banheiro possa melhorar um pouco, o quarto é muito bonito e aconchegante versus o banheiro da acomodação.;8;;;;;;;;
21 de janeiro de 2025;Bom;Boa localização.;Café da manhã com poucas opções, elevadores quebrados, pouca assistência para malas.;7;;;;;;;;
20 de janeiro de 2025;Bom;Boa localização, quarto confortável.;Não gostei que ter que subir as escadas com as malas quando sai do estacionamento, somente um andar tem acesso direto ao elevador;;;;;;;;;
19 de janeiro de 2025;Bom;Conforto do quarto. Limpeza;Café da manhã;7;;;;;;;;
18 de janeiro de 2025;Apesar de tudo o custo benefício compensa;Tudo normal nada a exaltar;Não havia sabão líquido … estava em falta . ;;;;;;;;;
O quarto tinha cheiro de humildade. ;;;;;;;;;;;;
"E o café é pessimo .""";7;;;;;;;;;;;
17 de janeiro de 2025;1 noite em Recife;Hotel bem localizado, bem limpo e organizado. O café estava ok. Cama confortável, tomadas para carregar celular dos dois lados da cama. Quarto era bem apertado para duas pessoas. Frigobar com bebidas. Local para colocar as malas.;Ficamos apenas 1 noite no hotel e nesta noite havia muito barulho no corredor, crianças gritando, batendo nas portas. Na manhã seguinte percebemos que havia um grupo de adolescentes hospedados no hotel, que eram os culpados pelo barulho.;9;;;;;;;;
17 de janeiro de 2025;Boa opção de hospedagem;O Hotel é moderno, limpo e organizado. O café da manhã inicia às 6h30min. Então, isso ajuda ao hóspede que deseja fazer passeio.;O quarto é pequeno, mas deu para nos atender.;9;;;;;;;;
15 de janeiro de 2025;Ótimo;Hotel novo, moderno, quarto espaçoso e organizado, roupa de cama e banho limpos, cama confortável, chuveiro ok, banheiro ok, ar condicionado funcionando. Atendimento cordial e eficaz pelos funcionários da recepção e também do restaurante. Todos funcionários educados e prestativos. Chegamos cedo e fomos recepcionados pela Raíssa que gentilmente antecipou o nosso check in. O café da manhã tem variedade de pão, bolo, suco, fruta. O local onde servem o café não é espaçoso, mas os funcionários repõem os alimentos rapidamente. Caminhando dez minutos estamos na praia. A hospedagem foi maravilhosa.;Nada a reclamar;9;;;;;;;;
15 de janeiro de 2025;Estadia boa. Só o café da manhã que foi ruim.;Hotel bem localizado e confortável. Estacionamento conveniente.;A área do café da manhã é péssima, muito pequena e desagradável. Já comi em cozinhas que eram lugares mais agradáveis.;7;;;;;;;;
14 de janeiro de 2025;Razoável;Localização boa, quarto com tudo funcionando normalmente, academia boa, estacionamento interno e seguro.;O café da manhã poderia ser melhor, principalmente na apresentação. A comida variava entre muito sal e pouco gosto. Poderia ter opção de preparar algo na hora, como omelete ou tapioca.;7;;;;;;;;
13 de janeiro de 2025;Foi maravilhoso!;Boa localização. Café da manhã não era tão variado, mas era uma delícia de bom. Funcionários bem educados e solícitos. Quarto bem arrumado.;Escutar o barulho do quarto ao lado. Tinha uma pessoa roncando alto que atrapalhou o sono. No demais foi uma ótima experiência!;9;;;;;;;;
12 de janeiro de 2025;Excelente custo benefício;Limpeza;Quarto bem apertado;9;;;;;;;;
11 de janeiro de 2025;Fantástico;;Em relação a Cefé da manhã, deveria ter mas opções e um toque a mas na comidas... deveria ja incluir o estacionamento no serviço oferecido pelo site e não deixar pra dizer no momento do check-in.;9;;;;;;;;
11 de janeiro de 2025;Fantástico;Hotel muito bom, ótima localização;As camas são de casal mas são pequenas, e não é possível colocar cama extra. Se vc viaja um casal e uma criança pequena não é confortável para dormir;9;;;;;;;;
10 de janeiro de 2025;Hotel Ok;Localização, limpeza do quarto e conforto da cama.;Estacionamento apertado e não gratuito;;;;;;;;;
9 de janeiro de 2025;Muito bom;Do quarto;Da localização;8;;;;;;;;
8 de janeiro de 2025;Confortável;Gostei da localização e do café da manhã.;Da entrada da garagem. Ela fica ao contrário de quem chega ao Hotel, a depender do movimento, se não conseguir dar ré no veículo, terá de dar uma volta no quarteirão para acessar a garagem. Achei horrível.;8;;;;;;;;
6 de janeiro de 2025;Local bom somente para casais sem filhos;O quarto estava limpo e bem arrumado. O check in foi rápido. Possui cobertura com piscina e bela vista.;Reservei um quarto para um casal e uma criança, porém, somente no momento em que entrei no quarto descobri que tinha apenas uma cama de casal simples, quando fui questionar na recepção informaram que todos os quartos possuem este layout e que a criança seria cortesia e deveria dormir junto aos pais. Caso esta informação estivesse clara na locação eu teria optado por outro hotel.;7;;;;;;;;
5 de janeiro de 2025;Bom;Tem mercados e shopping perto.;Longe da praia, quarto pequeno, de frente porta de emergência, os funcionários passavam e soltavam a porta, bem incômodo, cafe poucas opções.;7;;;;;;;;
4 de janeiro de 2025;Fantástico;Gostei muito da educação e disposição dos funcionários. O café da manhã é completo, as instalações são novas e a infraestrutura é excelente.;;9;;;;;;;;
4 de janeiro de 2025;Fantástico;Café da manhã é maravilhoso! Muitas variedades de pães, frutas, bolos, sucos e acompanhamentos. Gostei muito. E o espaço onde é oferecido,também.;Kit de amenites. Poderia ter mais produtos;9;;;;;;;;
4 de janeiro de 2025;Otima Localizacao e preco excelente.;Localizacao;Toalhas de banho velhas e de ma qualidade.;8;;;;;;;;
3 de janeiro de 2025;Ótima;Localização próx ao aero ;;;;;;;;;;
Local c itens novos;;;;;;;;;;;;
Ar cond bom;;;;;;;;;;;;
"Wi-Fi bom""";Um pouco longe da praia;9;;;;;;;;;;
2 de janeiro de 2025;Boa estadia;O quarto atendeu ao que precisava, estava de passagem e foi apenas para uma estadia;O ar condicionado é direcionado bem para a frente da cama, o que muitos achariam ótimo, mas por ser muito forte acabou não nos deixando dormir direito.;9;;;;;;;;
28 de dezembro de 2024;Minha experiência;Café da manhã ótimo, funcionários super educados , piscina ótima, quarto confortável, Internet de boa qualidade, próximo de tudo.;A TV não se conectar com a Internet;9;;;;;;;;
28 de dezembro de 2024;Minha experiência;Café da manhã ótimo, funcionários super educados , piscina ótima, quarto confortável, Internet de boa qualidade, academia razoável próximo de tudo.;A TV do quarto não pega Internet;9;;;;;;;;
27 de dezembro de 2024;Muito bom;Do quarto não muito amplo mas bem limpo, armários, conforto. Muito bom! Café bom tb.;Gostei de tudo.;8;;;;;;;;
27 de dezembro de 2024;Muito bom;Limpa e organizada;Cama muito pequena para um casal;8;;;;;;;;
25 de dezembro de 2024;Muito bom;Boa localização, funcionários gentis e educados, tudo muito limpo. O ar condicionado e o chuveiro são muito bons, os travesseiros poderiam ser mais confortáveis.;O café da manhã não tem variedade, o ovo estava estranho, não sei se pela lotação pro concurso que teria no dia, mas não estava bom.;8;;;;;;;;
24 de dezembro de 2024;Fantástico;;Deixei por 10-15 min uma fatia de torta p/ uma amiga depois que deixei o quarto. Voltei após esse período e haviam aberto o recipiente e a torta não estava mais lá. Não tem problema pq era algo pequeno, mas não sei se fosse algo mais importante se seria a mesma coisa.;9;;;;;;;;
24 de dezembro de 2024;Muito bom;Limpeza ;;;;;;;;;;
Silencioso ;;;;;;;;;;;;
"Aparência""";Café da manhã é bastante ruim;8;;;;;;;;;;
22 de dezembro de 2024;bom atendimento;do chuveiro;nada;9;;;;;;;;
20 de dezembro de 2024;Excelente;Instalações impecáveis.;Embora seja relativamente perto da praia, não tem muito a fazer no entorno, a pé.;9;;;;;;;;
17 de dezembro de 2024;Dentro do padrão normal;Localização;Limpeza, deixou a desejar .;7;;;;;;;;
16 de dezembro de 2024;Otima;Café da manhã, acomodação, limpeza, localização.;Não tem;8;;;;;;;;
15 de dezembro de 2024;Muito bom;Bem localizado;Café da manhã tava faltando muitos itens e demoraram para reposição.;;;;;;;;;
"Recepcionista muito chata""";8;;;;;;;;;;;
12 de dezembro de 2024;Fantástico;Funcionarios educados, local muito bom e limpeza;;9;;;;;;;;
9 de dezembro de 2024;Muito bom;Das instalações;Não tem o não gostou;8;;;;;;;;
9 de dezembro de 2024;Muito bom;As instalações são muito boas.;No café da manhã os funcionários não conseguiram fazer um ovo frito pra minha esposa, ficamos um tempão esperando pra depois falarem que não conseguiriam fazer.;8;;;;;;;;
9 de dezembro de 2024;Bastante interessante;Equipe de atendentes;Restaurante;9;;;;;;;;
8 de dezembro de 2024;Viagem a trabalho .;Muito bom a estadia, funcionários sempre atenciosos. Recomendo;Café da manhã precisa melhorar com alimentos sem lactose e sem açúcar. Bolos e etc.;7;;;;;;;;
8 de dezembro de 2024;Muito bom;Conforto;Café da manhã, pouca variedades faltou energia pela manhã;8;;;;;;;;
7 de dezembro de 2024;Bem safisfatória, mas o custo benefício poderia ser melhor.;Quarto e café da manhã;Localização;8;;;;;;;;
7 de dezembro de 2024;OK!;;Os quartos são MUITO barulhentos;;;;;;;;;
;;;;;;;;;;;;
Seja por falta de abafar o som do corredor (porta fina) seja pelo barulho entre quartos (chuveiro;" descarga)""";8;;;;;;;;;;
6 de dezembro de 2024;Muito bom;Atendimento, localização, bem montado;Quarto pequeno, disjuntor geral do apartamento estava fazendo muito ruído e foi preciso desligá-lo para conseguir dormir!;8;;;;;;;;
6 de dezembro de 2024;Tranquila e satisfatória.;Posso ressaltar que todo o atendimento foi bom, porém, o pessoal da limpeza foi excelente.;Não teria nenhum ponto específico.;9;;;;;;;;
4 de dezembro de 2024;Ótimo custo benefício;Localização;Café da manhã razoável;8;;;;;;;;
4 de dezembro de 2024;Acomodação prática e agradável.;Os quartos são mais compactos, mas são confortáveis. Excelente localização, poucos minutos do aeroporto, shoppings e praia de boa viagem. Bom atendimento.;Precisam melhorar um pouco na limpeza e precisam revisar a umidade dos quartos. Fora isso, tudo ocorreu bem.;8;;;;;;;;
4 de dezembro de 2024;Bom para ficar pouco tempo, café da manhã ok porém poderia ser melhor;Cama super confortável;Café da manhã confuso, disposição das mesas ruim e tumultuada;8;;;;;;;;
4 de dezembro de 2024;Um bom hotel quando se vai a trabalho, perto da praia;O chuveiro é muito bom;O travesseiro, o andar ser baixo apesar de ter pedido um andar alto e o ralo do chuveiro que não vazão adequada a água, precisando removê-la;8;;;;;;;;
2 de dezembro de 2024;Não sei se voltaria;A localização do hotel é muito boa, bem próximo de supermercado (Mix Matheus) e as instalações parecem ser novas. Também o fato de estar localizado no bairro Boa Viagem faz do hotel um atrativo em custo-benefício.;a pouca variedade do café da manhã, sem muitas opções de frutas (ex.: banana, maça etc), pães (ex.: pão de queijo), iogurtes, sucos (só tinha 2 opções todos os dias), enfim, não valeu a pena ter incluído na diária. Outro detalhe foi a sanduicheira (UMA ÚNICA) que não tinha sido bem higienizada, de modo que todos os pães grudavam na chapa (isso percebi nos 3 dias que estive no hotel). Outro ponto de reprovação foi a acústica dos quartos, porque se conseguia ouvir, com detalhes, o que se falava nos quartos do lado e no corredor.;7;;;;;;;;
2 de dezembro de 2024;Ótimo custo-beneficio.;Excelente infraestrutura;Café da manhã um pouco simples;9;;;;;;;;
30 de novembro de 2024;Fantástico;Os quartos são pequenos, mas são confortáveis, o hotel tem uma boa infraestrutura de sauna, piscina e academia pequena, mas atendem!!!;Café da manhã poderia ter mais variedades, mas não é tão ruim!!!;9;;;;;;;;
28 de novembro de 2024;Quartos extremamente pequenos.;Ótima localização, funcionários super atenciosos, café da manhã muito bom.;Os quartos são extremamente pequenos, no aplicativo aparentam ser bem maiores, o banheiro ocupa grande parte do quarto.;8;;;;;;;;
28 de novembro de 2024;Bom;Boas instalações;Quarto com paredes finas. Se ouve toda a conversa e tv do quarto ao lado;7;;;;;;;;
27 de novembro de 2024;Honesto pelo preço.;Confortável e com café da manhã legal.;Apartamentos pequenos. Mais ok.;8;;;;;;;;
27 de novembro de 2024;Um bom custo benefício e ótima localização.;Localização limpeza e o custo benefício.;Cama não era tão confortável e café da manhã não surpreendeu.;7;;;;;;;;
25 de novembro de 2024;Ótima localização e boas instalações;A localização do hotel é muito bom, próximo ao shopping recife e relativamente próximo à praia. O quarto é um pouco pequeno, mas o banheiro é espaçoso. A academia e piscina também são bons.;O quarto poderia ser um pouco maior para poder mexer nas malas com mais tranquilidade. Mas de modo geral o quarto é muito bom. Na academia tinha um aparelho de braço que não estava podendo ajustar. O local do café da manhã é bem pequeno para a quantidade de hóspedes. Então seria bom uma ampliação se possível.;9;;;;;;;;
24 de novembro de 2024;Satisfatório;Localização;O quarto achei muito apertado;8;;;;;;;;
24 de novembro de 2024;Limpo, ótimo café;Ótimo café, só atentar para os horários, porque fica cheio;Esqueceram a porta do meu quarto abert quando foram limpar e depois não deram satisfação;9;;;;;;;;
23 de novembro de 2024;Muito bom;Localização;Tv apesar de ser smart… não pega nenhum streaming (Netflix, Prime…).;;;;;;;;;
No jantar pedi um peixe ao molho de camarão… onde tem acompanhamento purê e arroz. Inexplicavelmente… veio um macarrão no prato (nos leva a imaginar algum tipo de reaproveitamento… ).. chamei garçom que pediu desculpa e trocou o prato. Além disso estava sem gosto algum. ;;;;;;;;;;;;
"No café da manhã… no dia seguinte… ao me servir da salsicha … o que encontro no molho… de novo outro macarrão… perdido ali dentro! No mínimo… estranho!""";8;;;;;;;;;;;
22 de novembro de 2024;Foi boa;Tudo gostoso , só que estava muito cheio;Um local maior para o café;8;;;;;;;;
21 de novembro de 2024;Muito bom;Localização e instalação..;Café da manhã muitíssimo ruim..;8;;;;;;;;
20 de novembro de 2024;Viagem;Da localização;O colchão eh péssimo e quarto pequeno;7;;;;;;;;
20 de novembro de 2024;Ótimo custo-benefício em Boa Viagem;Funcionários atenciosos;;;;;;;;;;
"Café da manhã bem servido""";Poucos funcionários na recepção, que, por isso, está sempre lotada;9;;;;;;;;;;
18 de novembro de 2024;Boa, mas poderia ter sido mais silenciosa.;Gostei da localização do hotel, do café da manhã e dos funcionários/equipe do hotel.;Não gostei do barulho e dos ruídos que podiam ser ouvidos do meu quarto.;8;;;;;;;;
18 de novembro de 2024;Bom;localização;cafe da manha com poucas opções e não tinha coisas para pessoas com restrição a gluten;7;;;;;;;;
17 de novembro de 2024;Atende super bem;Gostei da localização próxima ao aeroporto. Quarto limpo e equipado com tudo que é necessário;Só não gostei na aglomeração no check in, devido a demora pra fazer à admissão dos hospedes, chegamos cansados e tinha muita gente na fila. Eu nunca havia visto um check tão lento assim;8;;;;;;;;
15 de novembro de 2024;Boa;Tudo só o restante que é péssimo;O restaurante o café da manhã muito fraco e atendimento péssimo e o ala carte cozinha nso sabe fazer uma picanha ao ponto duas vês torrada não adianta reclamar;7;;;;;;;;
15 de novembro de 2024;Muito Boa;Do quarto e recepção.;Do restaurante. Não havia disponibilidade vários pratos ou sobremesas do cardápio.;8;;;;;;;;
12 de novembro de 2024;Ótimo custo benefício;A vista da área da piscina é incrível! A piscina é muito boa, o quarto é silencioso e o café da manhã é bom!;O estacionamento é pago, o quarto é bem pequeno e achei longe da praia para ir caminhando, principalmente a noite, porque as ruas não tem muito movimento.;8;;;;;;;;
12 de novembro de 2024;Muito bom;Bem localizado;Higiene um pouco a desejar, manta com poeira, tive crise alérgica por conta disso;8;;;;;;;;
12 de novembro de 2024;Bom, mas longe de ótimo!;Localização. Bom quarto.;Sinalização da saída no hotel confusa, garagem apertadissima e muito mal resolvida. Café da manhã num espaço minúsculo e pouco variado.;7;;;;;;;;
