data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;
20 de outubro de 2024;Não muito agradável.;Gostei do atendimento;Falta de estacionamento que consta como grátis. Meu carro dormiu na rua. Café da manhã escasso,colchão e travesseiros ruins. Ar condicionado não esfria.;6;;;;;;;;
12 de outubro de 2024;Muito bom;Localização privilegiada, funcionários atenciosos;;8;;;;;;;;
11 de outubro de 2024;Uma Boa Estadia.;Café da manhã, mais muito bom, funcionários bem atenciosos, quarto bem limpo.;Quando cheguei pra fazer o chech-in eles tinham marcado apara o dia a hospedagem, mas o atendente arrumou um quarto e deu tudo certo.;8;;;;;;;;
3 de outubro de 2024;Regular;Localização;Acesso aos aptos ;;;;;;;;;
( lances de escadas; sem elevadores);;;;;;;;;;;
Café da manhã poucas opções ;;;;;;;;;;;;
"Diária caríssima pra o q hotel oferece""";7;;;;;;;;;;;
3 de outubro de 2024;Ótimo custo-benefício mas há melhorias à fazer;A localização é excelente!! Logo na rua de trás da orla, próximo à padaria Boa Viagem e à bons restaurantes e bares. A recepção 24 horas e o guarda-volumes também são diferenciais. O hotel é bem simples mas tem todo o básico (TV, ar condicionado, boa cama, espaço pra por malas e roupas, etc). O preço também foi bem em conta. A equipe é toda muito cordial.;O quarto que pegamos inicialmente estava bem ruinzinho (número 116): é bem pequeno, o ar não gelada direito é estava vazando, só tem espelho no banheiro, o banheiro tem só a iluminação central e bem fraquinha, precisei usar a lanterna do celular para me maquiar e o box não estava bem vedado, a água saía por baixo, alagando o banheiro e escorrendo para o quarto. Conversamos na recepção, nos cederam mais panos de chão pra deixar ali estancando a água quando íamos tomar banho e, depois que liberaram quartos, nos remanejaram e foram dar as manutenções necessárias nesse. Fomos para o quarto 114, esse era bem melhor, maior, com tudo funcionando direitinho, tem um espelho grande no quarto e iluminação em cima da pia do banheiro também.;;;;;;;;;
O café da manhã é simples mas suficiente (uns três tipos de pão; dois de bolo; dois de fruta; café; suco; iogurte; presunto; muçarela; goiabada; cuscuz; ovo mexido;"...). Mas é praticamente o mesmo diariamente""";7
2 de outubro de 2024;Satisfatório;O hotel tem um bom café da manhã.;;6;;;;;;;;
1º de outubro de 2024;Para duas pessoas, valeu o preço, mas não voltaria;A localização;Os quartos não sao novos e as paredes do banheiro estavam com limo, logo, a limpeza deixou a desejar.;7;;;;;;;;
1º de outubro de 2024;Muito bom;Localização, cama boa.;Café da manhã, só tinha uma funcionária para repor. Tinha que ficar aguardando.;;;;;;;;;
"Chuveiro tbm precisa de reparos. Ok""";8;;;;;;;;;;;
29 de setembro de 2024;Muito bom;É bem localizado, com exceção de um dos recepcionistas, o atendimento foi excelente, pessoas atenciosas e muito educadas, gentis e prestativas. Café da manhã super delicioso e sortido, a pessoa da cozinha, muito atenciosa e com uma mão abençoada pra fazer as delícias.;Na primeira noite, ficamos em um quarto com ar muito velho e barulhento, porém, na manhã seguinte ao conversar com o recepcionista, prontamente ele nos mudou de quarto.;;;;;;;;;
Sugiro apenas que; haja flexibilidade na questão de meia diária;" mas entendemos as razões pelas quais atualmente não pudemos ser atendidas.""";8;;;;;;;;;
27 de setembro de 2024;Razoável;Localização e funcionários;Café da manhã e não tem elevador, escadas muito alto;6;;;;;;;;
24 de setembro de 2024;Boa viagem;localização. recepcionista muito atencioso a noite. qdo cheguei.;o ar não tava esfriando muito. mas tava tranquilo;7;;;;;;;;
4 de setembro de 2024;Tem melhores.;Quase nada.;Funcionários enrolados. Quase não conseguem emitir uma nota fiscal.;6;;;;;;;;
3 de setembro de 2024;Muito bom;Excelente localização, ótimo café da manhã, cama, chuveiro e ar condicionado. Atende aos critérios ofertados. A janela do nosso quarto dava para o corredor e o acesso é por escada. Ficamos bem satisfeitos com a hospedagem.;;8;;;;;;;;
3 de setembro de 2024;Foi bom dentro do meu esperado;Limpeza;Café da manhã poderia ter mais opção;8;;;;;;;;
3 de setembro de 2024;Pousada simples e atende as necessidades das pessoas que vão para curtir a cidade;Cama confortável!;Chuveiro fraco ;;;;;;;;;
"Café da manhã poderia ter o bolo tradicional de rolo""";7;;;;;;;;;;;
3 de setembro de 2024;Muito recomendãvel;Gostei de quase tudo: comforto da cama, amabilidade, ar condicionado, café da manhã, banheiro, facilidade para estacionar na rua, etc.;A sala do café da manhã: muito pouco espaço. Muitas cadeiras e mesas.;8;;;;;;;;
2 de setembro de 2024;Ótimo custo benefício;Uma boa localização com um ótimo custo benefício.;Uma acomodação bastante simples, mas de acordo com o baixo custo.;6;;;;;;;;
1º de setembro de 2024;Satisfatório;Café da manhã e Internet/tv. Muito perto da praia, serviços e facilidade de acesso aos pontos turísticos;Não tem elevador e os quartos do piso térreo não tem iluminação natural e ventilação;6;;;;;;;;
22 de agosto de 2024;Razoável;Localização;Achei o café da manhã muito limitado. Não pode pedir uma tapioca que eles não tem.;6;;;;;;;;
20 de agosto de 2024;Custo benefício ok;Da localização;Não tinha elevador e as escadas são bem ruins pra subirmos com malas pesadas;8;;;;;;;;
19 de agosto de 2024;Muito bom;;Escadas muito altas;8;;;;;;;;
11 de agosto de 2024;Sem elevador não e muito bom;Sem elevador;Limpesa;8;;;;;;;;
2 de agosto de 2024;Boa estádi , ótimo atendimentos mais deixa a deseja na central de Atentimento - até interno no quarto com a recepção;Ha limpeza e atenção dos funcionários .;Da central para contratar a rede Andrade;8;;;;;;;;
30 de julho de 2024;Bom custo benefício para quem vai apenas pernoitar.;A limpeza do meu quarto estava ok, porém as do grupo teve 1 que estava com mal odor e a outra o suspiro do banheiro estava exalando odor de esgoto, falamos com a recepção porém, não haviam quartos disponíveis para a troca.;Dos odores e da organização do café, espaço apertado com algumas dificuldades nas reposições do Buffet por haver apenas uma pessoa na cozinha.;7;;;;;;;;
28 de julho de 2024;Hotel bem localizado;O hotel é bem localizado, funcionários prestativos, boa limpeza.;O café da manhã deveria ter queijos regionais como manteiga e qualho e pão francês, deveria fornecer pratos, talheres e copo pra quem comida já que não tem restaurante e nem piscina. ;;;;;;;;;
Nas padarias que tem na região vende caldos e sopas deveria ter pratos e talheres pra quem não gosta de sair a noite; pra mim que já fiquei 2 vezes no hotel sentir muita falta. ;;;;;;;;;;;
"E a TV deveria ter mais opções de canais.""";7;;;;;;;;;;;
27 de julho de 2024;Super bem localizado muito próximo a restaurantes e aos principais quiosques da praia;Localização impecável e custo bom;Quarto sem janela mas atendeu o que precisávamos.;7;;;;;;;;
25 de julho de 2024;Bom;Localização excelente;Logo na chegada o banheiro não estava limpo. Precisei pedir para trocar de quarto.;;;;;;;;;
"No café da manhã a sanduicheira/gril estava quebrada e suja.""";7;;;;;;;;;;;
22 de julho de 2024;Satisfatório;Acheio o quarto e o banheiro muito pequenos;A localização;6;;;;;;;;
21 de julho de 2024;Muito bom a limpeza é excelente;Gostei do atendimento todos são muito atenciosos, a limpeza no quarto é todos os dias, troca às toalha todos os dias, em relação o Hotel eu não tenho nada para reclamar, atendeu as minhas expectativas. Super recomendado.;Eu não gostei de subir a escada, não tem elevador, para idosos é terrível, é cansativo, mas nada empediu o que eu fui fazer lá o café da manhã é rezualável faltava mamão,;8;;;;;;;;
20 de julho de 2024;Funcionários com atendimento execelente;Atendimento dos funcionários;Ar condicionado faz muito barulho;8;;;;;;;;
19 de julho de 2024;Muito bom;Localização;Não tem elevador;8;;;;;;;;
17 de julho de 2024;Razoável.;Localização e simpatia dos atendentes.;Segurança. A janela do meu quarto ficava no1o andar q dava para um corredor externo. Ao abri a cortina deparei com duas pessoas conversando na minha janela q era de vidro transparente. Me senti muito vulnerável.;7;;;;;;;;
16 de julho de 2024;Bom;A localização é funcionários.;Limpeza e cafe da manhã com poucas opções.;7;;;;;;;;
15 de julho de 2024;Bom;Funcionários muito simpáticos, alegres e prestativos.;Não tem elevador.;;;;;;;;;
Chuveiro muito fraco.;;;;;;;;;;;;
Café da manhã com poucas opções.;;;;;;;;;;;;
Espaço para o café da manhã extremamente apertado;" todo mundo se esbarrando.""";7;;;;;;;;;;
15 de julho de 2024;Bem razoável;Boa localização;Um apartamento bem velho, Paredes do banheiro mofadas, tv não funciona, cheiro forte no quarto.;6;;;;;;;;
13 de julho de 2024;Satisfatório;Custo benefício;;6;;;;;;;;
11 de julho de 2024;Util;Café da manhā bom.;;;;;;;;;;
"Atendimento do pessoal muito bom""";A limpeza.;7;;;;;;;;;;
10 de julho de 2024;Hospedagem dentro da expectativa custoxbeneficii;Cafe da manha razoavel e boa localizacao;Escada;8;;;;;;;;
9 de julho de 2024;Estadia básica para pernoitar;Da localização do hotel na região.;O quarto não tinha cobertor, travesseiros gastos e sem condições de utilização.;6;;;;;;;;
5 de julho de 2024;Bom;Cafe da manhã;Hotel velho;7;;;;;;;;
1º de julho de 2024;Poderia ser melhor;Ambiente limpo;;;;;;;;;;
;;;;;;;;;;;;
O café da manhã tem poucas opções.;;;;;;;;;;;;
;;;;;;;;;;;;
No geral; se você quer pagar pouco; ou só precisa de um lugar pra pernoitar;" é razoável.""";6;;;;;;;;
24 de junho de 2024;Muito bom;Gostei do conforto, e limpeza.;;8;;;;;;;;
22 de junho de 2024;Foi boa, café da manhã bem servido, mas o quarto deixou a desejar;Café da manhã e localização, bem próximo do centro e da praia;O quarto estava com cheiro muito forte de Cândida. Não possuíam cobertor pra todos do quarto.;6;;;;;;;;
20 de junho de 2024;Muito bom;Próximo à praia.;Café da manhã poucas opções.;8;;;;;;;;
18 de junho de 2024;Bom;Localização!;O chuveiro e o condicionador de ar não funcionaram devidamente!;7;;;;;;;;
18 de junho de 2024;Muito bom;Acomodação, café da manhã,;Não tem estacionamento;8;;;;;;;;
18 de junho de 2024;Bom;Localização;Prédio bem antigo e sem acessibilidade. Precisando de uma reforma em sua estrutura (principalmente pintura).;7;;;;;;;;
13 de junho de 2024;Bom;;Café da manhã horrível, faltando tudo.;7;;;;;;;;
13 de junho de 2024;Muito bom;Localização e atendimento;;8;;;;;;;;
7 de junho de 2024;Boa;Localização excelente, bom café da manhã, só precisa atualizar os quartos.;Escada e ar condicionado velho.;7;;;;;;;;
7 de junho de 2024;Satisfatório;;Não possui elevador, toalhas muito fedorentas como se nem estivessem sido lavadas. Ar condicionado não gelava;6;;;;;;;;
7 de junho de 2024;Excelente Localização, custo benefício. Fica uma rua atrás da Avenida Boa Viagem. Hotel simples.;Localização, valor da diária, atendimento, funcionários;Não tem estacionamento, o carro fica na rua, na frente do hotel há apenas três vagas.;7;;;;;;;;
6 de junho de 2024;Muito bom;Localização.;O hotel é simples - Não tem elevador, nada de luxo. Porém, o preço é ótimo, a equipe é atenciosa e a localização é muito boa. Boa opção para viagem rápida a trabalho.;8;;;;;;;;
3 de junho de 2024;Se vc vai rápido, sem pretensão de conforto, dá p ficar.;Da localização. É super perto da Av. Boa viagem;O quarto é bem simples. O banheiro não é bom. Manchas na porta, box com vazamento. Bem feio.;6;;;;;;;;
3 de junho de 2024;Muito bom;Localização;;8;;;;;;;;
9 de maio de 2024;Razoavel;Pequeno almoço;Quarto;8;;;;;;;;
2 de abril de 2024;Boa localização , porém quarto velho e com roupas de camas velhas e sujas .;A localização é muito boa . Próximo a praia .;Toalhas e jogos de cama bem feios e velhos .nao tem produtos de higiene que todo hotel disponibiliza.;7;;;;;;;;
29 de março de 2024;Satisfatória;A localização é excelente. Próximo à praia, bares, restaurantes, shopping, supermercado.;O hotel precisa de manutenção, pintura velha, falta de decoração, a limpeza deixa a desejar, o café da manhã fraco, pode melhorar muito.;6;;;;;;;;
7 de março de 2024;Precisa melhorar;Recepcionistas atenciosos.;;;;;;;;;;
;;;;;;;;;;;;
Ótima localização; bem perto da praia da Boa Viagem.;;;;;;;;;;;
;;;;;;;;;;;;
"Preço justo.""";Café da manhã ruim. Os frios não ficam em plataforma que mantenha a temperatura, com isso havia uma mortadela com aspecto e gosto ruim. Também há poucas variedades. O melhor é o ovo mexido feito na hora, porém nem sempre tem.;;;;;;;;;;;
;;;;;;;;;;;;
Espeço do café da manhã bem apertado.;;;;;;;;;;;;
;;;;;;;;;;;;
A fachada é bem mais bonita que o interior do hotel.;;;;;;;;;;;;
;;;;;;;;;;;;
A maior parte dos quartos não é tão nova como aparece nas fotos. Acomodações antigas.;;;;;;;;;;;;
;;;;;;;;;;;;
Na primeira vez que você entra no hotel sente um cheiro um pouco forte; depois acostuma.;;;;;;;;;;;
;;;;;;;;;;;;
Meu quarto estava com problema na fechadura; tinha que abrir e fechar a porta várias vezes para conseguir trancar.;;;;;;;;;;;
;;;;;;;;;;;;
Ar condicionado também apresentou problema; gerando certa quantidade de água que escorria pela parede e molhava o piso.;;;;;;;;;;;
;;;;;;;;;;;;
"Não disponibilizam sabonete.""";6;;;;;;;;;;;
4 de março de 2024;Satisfatório;O café da manhã foi bom, mas, se repetiu durante toda a estada do grupo. Não houve mudança no cardápio e local para realizar as refeições era de um tamanho um pouco pequeno.;Poderiam varia mais o cardápio, inserir mais produtos regionais (locais).;6;;;;;;;;
27 de fevereiro de 2024;Muito bom;Gentileza dos funcionários e localização.;Pouca iluminação no quarto.;8;;;;;;;;
22 de fevereiro de 2024;Excelente localização, mas precisa de ajustes;Ótimo atendimento dos funcionários, muito atenciosos. Ar condicionado funcionando bem. O café também foi bom.;O quarto só tem janela para o corredor, o que atrapalha muito na circulação do ar.;8;;;;;;;;
22 de fevereiro de 2024;O local é ótimo e bem localizado, porém o custo-benefício não vale a pena.;Ótima localização, próximo a praia de Boa Viagem, dá pra ir andando sem grande esforço.;As acomodações são simples e antigas, não tem elevador apenas escadas e há apenas 3 vagas para estacionamento na frente do hotel, quando chegamos no local não havia vaga disponível para estacionar e as ruas são bem cheias por ser próximo a praia. O café da manhã é bem simples.;6;;;;;;;;
20 de fevereiro de 2024;Bom;A limpeza e a localização são os pontos que mais gostei.;Os equipamentos de ar são antigos e um pouco barulhento, funcionam, mas poderiam ser atualizados.;7;;;;;;;;
19 de fevereiro de 2024;Não tive surpresas, levando em conta o custo-benefício, quem procura algo melhor tem que pagar mais;Sem dúvida nenhuma a localização é o destaque, bem próximo a praia e restaurantes. Local que, particularmente, achei seguro para caminhar.;Café da manhã muito fraco, poderiam melhorar mais. O acesso aos quartos por escada é ruim, degraus fora dos padrões, o que fica bastante cansativo, não aconselho para pessoas com dificuldade de locomoção. Barulho de hospedes no quarto vizinho pela madrugada, mais creio que não é culpa dos funcionários, bati na porta e pedi silêncio e pararam.;7;;;;;;;;
12 de fevereiro de 2024;simples e funcional;café da manhã bem simples, mas funcional. quarto conta com bom ar condicionado e chuveiro também. localização é bem de playboy, lugar onde o governo investe porque é de rico, mas é boa. fica bem perto da praia e tem um carrefur próximo, o que facilita na alimentação;por conta da localização de playboy, restaurantes são muito caros.;8;;;;;;;;
8 de fevereiro de 2024;Bom, mas deixa a desejar.;Gostei da localização do valor da diária!;Não tem shampoo e sabonete de cortesia nos banheiros do hotel!!!!;6;;;;;;;;
5 de fevereiro de 2024;Muito bom;Atendimento do funcionário foi muito bom.;O ar condicionado não gelava;8;;;;;;;;
3 de fevereiro de 2024;A estadia foi boa!;Café da manhã ótimo, todos os atendentes muito gentis e educados! Boa localização!;"O quarto não era muito arejado e tinha um leve cheiro de ""guardado"".";7;;;;;;;;
1º de fevereiro de 2024;Bom;O hotel é simples, mas atendeu minhas expectativas. Fiquei apenas por algumas horas.;;7;;;;;;;;
23 de janeiro de 2024;Custo benefício excelente.;Localização excelente, perto de restaurantes bons, padarias, cafés, farmácias.;;7;;;;;;;;
21 de janeiro de 2024;Satisfatória e com ótima localização.;Localização do hotel e educação dos atendentes.;O prédio não tem elevadores e ficamos no 3o andar. Poderiam também mehorar o café da manhã, com mais opções de frutas e bolos.;8;;;;;;;;
18 de janeiro de 2024;Recomendo pelo custo beneficio para estadia curta ou para viagem de emprego.;Custo benefício;Ar condicionado faz muito barulho, é um modelo velho. Acesso a apartamento por 3 lances de escada e sem ninguem para ajudar a subir com a mala pesada, no caso de minha sogra que é idosa eu que voltei para ajudar.;8;;;;;;;;
17 de janeiro de 2024;Um hotel muito bom, apenas a escada que deixa a estadia um pouco desconfortável.;Ótima localização.;Escadas íngremes, sem acessibilidade.;7;;;;;;;;
16 de janeiro de 2024;Muito bom;Localização é ótima.. próximo da praia.e.tbm da feirinha de boa viagem.;Quarto com cheiro bem forte.. acredito que esteja ocorrendo alguma reforma no local.;8;;;;;;;;
11 de janeiro de 2024;Bom custo benefício;Quarto limpo e confortável.;Café da manhã com poucas opções. Não tem elevador, só escadas.;8;;;;;;;;
8 de janeiro de 2024;Alguns quartos são bem cuidados, com bom chuveiro e ar condicionado split. Outros, não. De toda forma, é um local ok a s;Gostei da localização, muuuito perto da praia, perto de restaurantes também. Apesar da cama de casal ser duas camas de solteiro juntas, era confortável. Lençóis ok. Café da manhã muito ok também pelo preço que se paga.;O chuveiro do quarto 125 ruim, o jato saia todo torto, logo caia apenas pequenos feixes de água, difícil tomar banho. Não dão nem aqueles sabonetes pequenos de hotel, vendem na recepção. O ar condicionado desse mesmo quarto não gela direito durante o dia, pois é aquele quadrado de janela, mas à noite deixa o clima confortável para dormir.;7;;;;;;;;
