data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;
22 de janeiro de 2025;Custo benificio excelente;Localização excelente;Quartos cheiro de cigarro;8;;;;
14 de janeiro de 2025;Estadia razoável;Café da manhã.;Internet péssima.;;;;;
"Televisão péssima.""";6;;;;;;;
12 de janeiro de 2025;Satisfatório;Localização;Café da manhã.;6;;;;
7 de janeiro de 2025;Bom custo-benefício.;Quarto e banheiro limpos. Cama confortável. Localização bem próxima ao aeroporto.;Café da manhã razoável. Prédio um pouco antigo.;8;;;;
7 de janeiro de 2025;Muito bom;Custo benefício bom para quem quer uma hospedagem próxima ao aeroporto.;;8;;;;
5 de janeiro de 2025;Para hospedar enquanto aguarda uma conexão longa de viagem.;Localização bem próximo ao aeroporto;É um hotel mais simples, com limitações o conforto. Mas recomendo para fins de transição de viagem.;7;;;;
25 de dezembro de 2024;Bom;;Muito barulho na madrugada, hóspedes sem educação;7;;;;
23 de dezembro de 2024;Tranquila e boa estadia!;Recepção e café da manhã;Não tenho o que reclamar;8;;;;
10 de dezembro de 2024;Muito bom;Café da manhã.;Colchao da cama muito mole.;8;;;;
4 de dezembro de 2024;Muito bom;Localização;Cobrança de valores para além da oferta booking. Depois de muita reclamação, que me gerou constrangimentos, devolveram o valor cobrado a mais.;8;;;;
3 de dezembro de 2024;Bom;Gostei da localização. Perto da praia e ainda permite se deslocar com facilidade pela cidade.;A cama é muito desconfortável. Na parte que você deitar (lado, centro), vai afundar.;7;;;;
3 de dezembro de 2024;Muito bom;Muito bem localizado, limpo e muito agradável;;8;;;;
29 de novembro de 2024;Absurdo cobrar estacionamento!!;A localização sempre é o que me faz ter o Nacional Inn Recife como/por opção.;Desta vez em relação a minha última hospedagem teve uma alta absurda no preço num intervalo de tempo pequeno. E outra coisa que sempre falo no balcão da recepção e aqui nas avaliações é que acho um total absurdo a cobrança de R$ 25,00 de estacionamento por dia para que o carro fique literalmente num terreno sujo. Se tivessem uma estrutura digna, organizada, coberta, aí ao meu ver poderiam impor a cobrança de estacionamento apesar que acho que estacionamento faz parte da hospedagem .;8;;;;
28 de novembro de 2024;ótima;Excelente acolhimento pela recepção, no restaurante.;ar condicionado não resfriou como devia;8;;;;
28 de novembro de 2024;Quebra o galho, mas não ficaria novamente;O ponto alto desse hotel é a boa localização (5 min do aeroporto) e o café da manhã nordestino, com cus cus e várias opções de frutas frescas. Os funcionários são bem simpáticos.;O quarto simplesmente não tinha isolamento acústico com o quarto ao lado, porque a janela é a mesma e existe um vão. Então eu fui acordada às 5:30 da manhã pelo outro hóspede falando (gritando?) ao telefone. Nunca vi isso, isolamento de som entre os quartos é o mínimo que se espera ao ficar num hotel. Além disso, apesar do quarto ter ar condicionado, o hotel não oferece uma colcha ou cobertor, é só lençol. E o chuveiro é apenas morno, não esquenta. Provavelmente fazem isso pra economizar energia, mas vale a pena?;7;;;;
23 de novembro de 2024;Precisa melhor os funcionários da recepção e o conforto dos quartos;Café da manhã razoável;;;;;;
"Localização é perfeita""";Já fico no hotel de forma espaçada há quatro anos, a qualidade da equipe vem caindo de forma progressiva. A cama de casal é uma cama padrão, muito pequena para os dias atuais e o Wi-Fi não funciona de nenhuma maneira. Se não fosse a localização e a cordialidade dos funcionários especificamente do café da manhã eu não voltaria;6;;;;;;
6 de novembro de 2024;Bom;Cafe da manha, banheiro.;Elevadores pequenos com fila, cama dura e cama de casal sao 2 de solteiro c buraco no meio. Lençol fino demais.;7;;;;
5 de novembro de 2024;Um hotel que atende a necessidade para uma hospedagem rápida.;O hotel atendeu as minhas necessidades.;Não há reclamações.;8;;;;
29 de outubro de 2024;Razoável;A localização do hotel é muito boa próximo ao aeroporto e no bairro de Boa Viagem que permite locomoção próxima as principais atrações.;A cama do hotel é antiga e os lençóis não são de boa qualidade. É um hotel antigo que precisa passar por alguma melhorias para se atualizar.;7;;;;
28 de outubro de 2024;Satisfatório;Café da manhã agradável, boa localização, funcionários prestativos, roupa de cama e banheiro precisam melhorar, mas vale o custo benefício.;;6;;;;
20 de outubro de 2024;Satisfatório;;O ar condicionado fazia muitíssimo barulho;6;;;;
19 de outubro de 2024;Excelente relação custo/benefício;A equipe de atendimento é muito boa, pessoal muito educado e prestativo e o café da manhã é excelente!;Os lençóis são muito finos a cama é pequena e o colchão é ruim;7;;;;
9 de outubro de 2024;Muito bom;limpeza impecável muito organizado,gostei muito do espaço os funcionários super educados, a localização excelente.;;8;;;;
3 de outubro de 2024;Sugestão;Localização.;Equipamentos do quarto e banheiro precisando ser melhorados.;6;;;;
25 de setembro de 2024;Lista de compras;Nada excepcional;Da lista com os valores dos itens do enxoval que recebi logo na recepção.;;;;;
;;;;;;;;
Extremamente ANTIPÁTICO.;;;;;;;;
;;;;;;;;
Fico imaginando isso num restaurante: ;;;;;;;;
. O garfo custa 20;0;;;;;;;
. A faca custa 30;0;;;;;;;
. O prato custa 40;0;;;;;;;
. Toalha de mesa custa 60;0;;;;;;;
;;;;;;;;
"Totalmente dispensável""";7;;;;;;;
24 de setembro de 2024;bom para hospedagens solo;simples e prático.;banheiros não possuem portas, há apenas um box que tampa metade do banheiro. privacidade zero.;6;;;;
23 de setembro de 2024;Tranquila;Localização;Banheiro;7;;;;
22 de setembro de 2024;Cumpriu a minha necessidade de momento.;Limpeza e localização próxima ao aeroporto.;Os quartos precisam de reforma.;6;;;;
22 de setembro de 2024;ATENDEU AS NECESSIDADES;Acomodações, café da manhã e piscina.;Banheiro com porta de vidro e sem isolamento na área do vaso sanitário. Quarto conjugado, sem isolamento acústico com o quarto do lado, tanto na porta, como na janela. Cortina corta luz danificada.;8;;;;
20 de setembro de 2024;Muito bom;Ótimo custo benefício, perto do aeroporto, bom café da manhã!;;8;;;;
19 de setembro de 2024;Vale o custo;Colaboradora atenciosa e com o checkin completamente lotado com um grupo e ela fez a gentileza de me atender na frente. Parabéns pela percepção .. café bom, chuveiro bom …..;Toalhas bem surradas,;7;;;;
17 de setembro de 2024;Se você só quiser dormir, o hotel é ideal para você, pois é bem simples e não oferece muita coisa. O café da manhã é bom;Da localização.;O quarto é antigo e bem simples.;7;;;;
17 de setembro de 2024;Bom;Localização e café excelente;O quarto tava sujo banheiro com cabelo, vaso sujo,pia suja, lençol.eatava fedendo;7;;;;
16 de setembro de 2024;Bom;O chuveiro sai água em ótima quantidade.;A internet oscilando demais e a tv não saia imagem.;7;;;;
16 de setembro de 2024;Muito boa;A localização do hotel foi excelente, ficou vizinho a faculdade onde fui participar de um evento. O café da manhã muito bom, com diversas opções. Os funcionários atenciosos e prestativos.;;8;;;;
13 de setembro de 2024;Bom;Café da manhã;Falta de cobertores, travesseiros extras, toalha de rosto;7;;;;
11 de setembro de 2024;Muito bom.;Café da manhã.;A cama de casal é bipartida, ou seja, dois colchões de solteiro juntos.;8;;;;
4 de setembro de 2024;Ótimo custo benefício e boa localização;Chuveiro e ar condicionado;Da tv q não ligava;8;;;;
3 de setembro de 2024;Hotel antigo com quartos novos;Quartos reformados muito confortáveis;Achei um absurdo a recepção não providenciar um prato para eu poder comer uma comida que pedi via ifood. Disse que a cozinha estava fechada.;8;;;;
31 de agosto de 2024;Tem que melhorar algumas coisas mas voltarei;Oi bom gostei muito do café da manhã 😋 caprichado,o que eu achei que tem que melhorar colocar cobertor no quarto pois quando cheguei só tinha pra se cobrir o lençol da cama, também não gostei do preço tinha reservado por 174 00ao chegar me cobraram 192 00, isso eu não gostei a tv muito pequena mal da pra ver as as pessoas , wi-fi ruim fica caindo toda hora,a sorte foi que a recepcionista me deu um cobertor , porque o rapaz disse que tinha mandado pra lavanderia;Da tv ,do wi-fi e a falta de cobertor tive que ir pedir na recepção e ainda disseram que tinha ido pra lavanderia , nao gostei muito da recepção ,só dá moça que né entregou o cobertor;7;;;;
31 de agosto de 2024;Muito bom;O quarto e principalmente a limpeza do quarto foi o que eu mais gostei.;Esperava mais do café da manhã, o elevador deixou a desejar.;8;;;;
29 de agosto de 2024;Muito bom;Do custo benefício, o quarto é simples mas limpo o café da manhã é bom sem luxo;;;;;;
O hotel é perto do shopping ;;;;;;;;
"Passei apenas 1 boite""";;8;;;;;;
28 de agosto de 2024;Razoável;Localização;Custo benefício;7;;;;
28 de agosto de 2024;Satisfatório;Bem localizado. Piscina boa, funcionários extremamente solícitos. Perdi meu voo é eles conseguiram um quarto para minha hospedagem.;Fiquei no último andar. Daí o elevador ia até o penúltimo andar e tinha que subir uma escadinha. O ar condicionado era antigo, bem barulhento( mas fui informada que eles irão substituir).O frigobar funciona vc comprando antes e tendo que levar para o quarto. Mas atendeu a minha demanda. Só escolham o quarto em outro andar. Custo benefício foi bom. Não tomei café da manhã.;6;;;;
27 de agosto de 2024;Precisava de um hotel proximo ao aeroporto para seguir viagem no dia seguinte. Bom custo beneficio. Ficamos satisfeitos.;Bom custo benefício. Instalaçoes boas e confortáveis.;Localização;7;;;;
27 de agosto de 2024;Precisa melhorar em diversos pontos.;O atendimento das funcionárias do café da manhã foi bom, são super prestativas.;A água quente do chuveiro não estava funcionando, precisei tomar banho frio. O banheiro tem porta transparente e pela metade (nunca vi isso em lugar nenhum). A internet (Wi-fi) oscila MUITO e fica mais tempo sem funcionar do que funcionando. Cobram 25 reais a diária de estacionamento. O café da manhã tem pouca variedade e muitos itens estavam frios.;6;;;;
24 de agosto de 2024;Muito bom;Quarto grande, bem mobiliado e limpo, ótimo café da manhã.;Chuveiro frio, muito barulho no hotel, blackout do quarto insuficiente.;8;;;;
24 de agosto de 2024;Hotel melhorando ao longo do tempo.;O hotel melhorou demais. Ar condicionados novos nos quartos, café da manhã compatível, funcionários diligentes e cama limpa. Localização excepcional.;Alguns ajustes ainda são necessários:;;;;;
;;;;;;;;
1.melhorar a lavagem/odor das toalhas de banho;;;;;;;;
2. disponibilizar ferro de passar roupa e tábua ou local apropriado no térreo para os hóspedes utilizarem;;;;;;;;
3. disponibilizar secador de cabelo para as mulheres;;;;;;;;
4. disponibilizar cobertor e ao menos mais um sabonete no quarto; para lavar as mãos;;;;;;;
5. toalha de rosto para os hóspedes.;;;;;;;;
;;;;;;;;
Opcionalmente; a incrementar:;;;;;;;
;;;;;;;;
6. disponibilizar itens no frigobar do quarto ou grande freezer à vista na recepção com itens básicos a serem comercializados; como água; cerveja; refrigerantes; sanduíches naturais; biscoitos; barbeador; etc.;
;;;;;;;;
7. substituir a crônica porta de vidro dos banheiros. Anti-higiênica pelo odor que vai ao quarto; falta de privacidade e; certamente com aumento do gasto de energia pela área alargada a ser resfriada pelo ar condicionado.;;;;;;
;;;;;;;;
8. dispensar custo de estacionamento para o hóspede; ou pelo menos; deixá-lo já incluído na diária. Seria um diferencial. ;;;;;;
;;;;;;;;
Medidas simples e básicas; mas que certamente elevarão e muito a avaliação do hotel.;;;;;;;
;;;;;;;;
"Grato.""";8;;;;;;;
23 de agosto de 2024;Muito bom;Atendimento. Limpeza. ;;;;;;
"Instalações.""";A porta do banheiro poderia ser mais privativa.;;;;;;;
"Tem um espaço muito grande na parte de baixo.""";8;;;;;;;
20 de agosto de 2024;Muito bom;Café da manhã excelente, equipe muito simpática e eficiente, quarto confortável com bons e úteis móveis, cama muito boa, muito bom chuveiro (inclusive ótimo sabonete, adoramos! :D).;O ar condicionado já é mais antigo e era muito barulhento, além de não esfriar tanto o quarto. Não seria melhor um ventilador? Gosto muito de ventiladores e geralmente prefiro ao ar condicionado (resseca muito o ar e por vezes faz muito barulho). A porta do banheiro é pequena e de vidro, isto tira muito a privacidade da pessoa que está no banheiro. Prefiro portas comuns.;8;;;;
17 de agosto de 2024;Dentro da média. O que ainda o que mais me chama a atenção é a proximidade do aeroporto de Recife.;Prático e com limpeza adequada;A TV é extremamente pequena e só te dá opções em poucos canais e ainda imagem muito ruim, controle quebrado, com pilhas gastas. Em pleno século 21 oferecer este tipo de serviço ao hóspede é considerado falta de respeito, até porque estamos fora de casa e no mínimo poderiam ter esta consideração.;7;;;;
17 de agosto de 2024;Muito bom;Custo x benefício.;Cobrar o estacionamento R$ 25,00 a diária pra ser num terreno sem sequer uma cobertura/estrutura.;8;;;;
14 de agosto de 2024;Satisfatório;Quarto bom;Da limpeza;6;;;;
11 de agosto de 2024;Muito bom;Nada em especial;Não havia nada no frigobar, hotel sem nenhum atrativo diferenciado.;8;;;;
4 de agosto de 2024;Gostei pela localização;Localização;;8;;;;
29 de julho de 2024;Aceitável;Localizacao;Limpeza e conservação;6;;;;
28 de julho de 2024;Boa experiência;Excelente custo benefício. Café da manhã muito bom. Boa localização. Ótima equipe e atendimento. Limpeza boa.;O hotel entrega o que promete.;8;;;;
25 de julho de 2024;Logística e acomodação de primeira.;Acomodações com boa flexibilidade e logística de hotel.;Pagamento de taxa extra para estacionamento.;8;;;;
21 de julho de 2024;Muito bom;Houve uma migração de Hospedagem. Ficamos instalados no Hotel Euro Boa Viagem. Mesma rede do Hotel Nacional Inn Recife. Nada opor.;O Hotel fica a beira mar da praia de Boa Viagem.;8;;;;
15 de julho de 2024;Boa;Chuveiro;Janela não é antirruído;8;;;;
14 de julho de 2024;Ok para passar a noite.;Ok para passar a noite.;Localização num local duvidoso e barulhento. Não é tão perto do aeroporto. É caro para o que oferece.;6;;;;
10 de julho de 2024;proximidade do aeroporto;atenção dos funcionários , bem prox do aeroporto;box nao fechava, sem toalha de mão;8;;;;
9 de julho de 2024;Frustrado;;Internet não funcionava a semanas no hotel e só soubemos por outros hóspedes. Um cobertor se quisesse teria que pagar a parte.;;;;;
Estacionamento na verdade um terreno baldio cobrando 25;00 a diária.;;;;;;;
"Canais de tv uns 10 no total""";6;;;;;;;
3 de julho de 2024;Boa;A limpeza, o café da manhã, a proximidade do aeroporto e o custo.;Um pouco de barulho nos corredores ,a falta de cobertor e serviço no frigobar.;8;;;;
19 de junho de 2024;tranquila;;Não gostei do banheiro que não tinha box, era uma cortina, achei o quarto onde fiquei bastante úmido e o ar não estava um dos melhores.;6;;;;
14 de junho de 2024;Recife;Os funcionários são simpáticos e prestativos, tem um bom café da manhã.;Barulho próximo a janela, parecia o respingo do ar condicionado.;8;;;;
11 de junho de 2024;Bom;Simpatia dos atendentes.;;;;;;
"Boa localização.""";Falta de alguns itens como toalhas de rosto e secador de cabelos.;7;;;;;;
10 de junho de 2024;Muito bom;Localização boa;Manutenção do quarto, com problemas no chuveiro e no vaso;8;;;;
6 de junho de 2024;Bom;Localização e um café da manhã razoável.;Porta do banheiro totalmente fora do padrão. Incompleta, faltando um pedaço na parte de baixo. Não há toalhas de rosto, janelas que não abrem forçando uso do ar condicionado e o hotel não tem cobertores para todos os quartos.;7;;;;
4 de junho de 2024;Fiz reservas e paguei pelo aplicativo, quando cheguei paguei 279,22 reais;Do café da manhã;Os preços;7;;;;
4 de junho de 2024;Bom no geral, mas pode melhorar muito!;De modo geral o hotel é muito bom e fica bem localizado.;Os elevadores são velhos, maltratados e lentos. E a televisão, no apartamento em uma grade ridiculamente restrita de canais.;8;;;;
3 de junho de 2024;Adequada;Localização próxima ao local do evento que participei;Próximidade com comunidade, aparentando risco de assaltos;8;;;;
26 de maio de 2024;Bom;Localização.;Cobrança de R$25,00 por um estacionamento que não passa de um terreno ao lado do hotel. Totalmente desnecessária a cobrança ao meu ver.;7;;;;
6 de maio de 2024;Cuidado com a porta do banheiro.;A cama era boa.;TV não era smart, banheiro tinha que ter muito cuidado para quebrar a porta de vidro porque batia forte mesmo com cuidado e já tinha aviso na porta sobre isso.;7;;;;
5 de maio de 2024;Cumpriu seu propósito de facilidade de deslocamento.;A localização é excelente para quem pretende ficar próximo ao aeroporto, facilitando o deslocamente principalmente para quem viaja a negócios, ou em uma viagem mais rápida.;O ar condicionado era antigo, não conseguia gelar completamente o quarto, fazia um pouco de barulho, e não possuía controle remoto, sendo necessário se levantar para ajustar. Para o valor da diária, deveria ser modernizado.;7;;;;
2 de maio de 2024;Boa localização;Boa localização próximo ao aeroporto, o que facilitou a conexão.;;;;;;
"A estrutura do prédio é boa.""";Nao observei nada.;8;;;;;;
1º de maio de 2024;Hotel antigo mas pelo custo benefício está bom .;O quarto é simples , ar condicionado bom e tv .;Não gostei da divisória com porta para o outro quarto, como viajei só fiquei insegura. Ouvia o barulho dos outros quartos na madrugada , a primeira noite foi péssima sem conseguir dormir .;6;;;;
30 de abril de 2024;Satisfação;Gostei da recepção e do apartamento, foram muito satisfatórios e apreciaveis.;A localização, ficou um pouco distante dos locais que eu necessitava ir.;8;;;;
22 de abril de 2024;Bom custo-benefício;A cama é confortável, o ar-condicionado funciona muito bem e a ducha também é boa. O café da manhã é bom e a reposição dos itens ocorre rapidamente. A localização também é boa.;Não agrada a taxa de estacionamento cobrada, 25 reais a diária.;8;;;;
20 de abril de 2024;Bom;Os funcionários são atenciosos, o café da manhã é farto com bastante opções.;As instalações são antigas e alguns lugares do hotel precisam de manutenção.;7;;;;
11 de abril de 2024;Bom;Localização, tamanho do quarto e café da manhã.;Limpeza dos corredores, havia várias baratas;7;;;;
16 de março de 2024;Foi tudo ótimo;;Mais tempo;8;;;;
15 de março de 2024;Hotel para aguardar o voo.;Excelente café da manhã.;Não existe Internet. O primeiro quarto (10 andar) não tinha elevador até lá. Descia no nono e subia de escada.;6;;;;
25 de fevereiro de 2024;A estadia foi aceitável;Chegamos 9 horas pra o café da manhã já não tinha mais nada mas depois de um tempo foi abastecido,o café da manhã simples mas foi bom.Localização boa perto do shopping recife.;O quarto 207 que ficamos tinha uma porta que dava acesso a o quarto do lado,inclusive dava pra ouvi o casal do lado,custava nada fechar a porta com parede de gesso.Pra que não leu na hora da reserva assim como eu o estacionamento tem que pagar 25 reais a diária;6;;;;
17 de fevereiro de 2024;Satisfatório;Localização próxima ao aeroporto.;Limpeza e TV não funcionava.;6;;;;
10 de fevereiro de 2024;Bom;Localização;Quarto. Muito mosquito;7;;;;
6 de fevereiro de 2024;Há o que melhorar;Café da manhã, limpeza, praticidade no pré-checkin.;;;;;;
"Funcionários nos atenderam bem.""";Área de academia de péssima qualidade, por causa de equipamentos quebrados, escassos e falta de limpeza.;;;;;;;
"Funcionários não indicaram um lugar para almoço e jantar.""";7;;;;;;;
26 de janeiro de 2024;Satisfatório;;Quarto com camas de solteiro pressupôe a necessidade de privacidade, porém a porta do banheiro é de vidro, o que é um inconveniente até mesmo para um casal.;;;;;
Além disso; toda hora alguém bate na porta do quarto. É muito ruim você estar hospedado e ter gente;;;;;;;
" incomodando.""";6;;;;;;;
22 de janeiro de 2024;Bom;Localização;Ar Condicionado barulhento;7;;;;
18 de janeiro de 2024;Razoável;Localização;Da cama;7;;;;
10 de janeiro de 2024;Hotel bom, mas não totalmente.;Local bom, próximo ao Shoping Recife e uma ótima panificadora.;Recife não é uma cidade segura, portanto, as redondezas não são muito seguras.;8;;;;
10 de janeiro de 2024;Só vale a pena se for uma passagem de ida ou chegada do aeroporto;A localização em relação ao aeroporto;Desconforto do quarto e excesso de barulho;6;;;;
8 de janeiro de 2024;Tranquila;Bom;Bom;8;;;;
7 de janeiro de 2024;Muito bom;Atendeu as nossas necessidades, hotel simples porém como não buscamos luxo, foi satisfatório. O café da manhã é muito bom.;Da porta principal do banheiro da suíte. Ela era blidex (fumê). Como a viagem era com amigos, isso prejudicou a privacidade. Entendi a necessidade da porta de correr por causa de espaço, mas existem portas de madeira também de correr e seria uma boa opção.;8;;;;
3 de janeiro de 2024;Ótimo custo-benefício, atendeu perfeitamente ao que procurávamos, que foi apenas passar a noite.;Hotel bem localizado e próximo ao aeroporto. Chegamos apenas para passar a noite e atendeu tranquilamente às nossas expectativas.;;8;;;;
3 de janeiro de 2024;Muito bom;Localização e atendimento;;8;;;;
3 de janeiro de 2024;Boa;Ok;Ok;8;;;;
30 de dezembro de 2023;Bom;Localização próxima do aeroporto;;7;;;;
29 de dezembro de 2023;Bom;Gostei do café.;Havia um barulho no ar-condicionado do quarto ao lado, que perturbou o sono.;7;;;;
29 de dezembro de 2023;Muito bom;Bem satisfatória. Atendeu bem a necessidade;No quarto não tem cobertor;8;;;;
28 de dezembro de 2023;Muito bom;Localização;Nada a reclamar;8;;;;
28 de dezembro de 2023;Satisfatório;Gostei do custo benefício, porém fiquei num quarto que a vista era bem de frente com uma construção abandonada...;;;;;;
Mas o hotel é muito silencioso me sentir totalmente a vontade ;;;;;;;;
"Gostei muito do rapaz que estava na recepção teve muita paciência comigo e minha amiga que estava com uma criança de colo e se depoz a levar nossas malas.""";A tv não tem acesso a internet coisa que era pra ser dito ou talvez resolvido,fui com um grupo de amigas e não podemos bem ouvir músicas ou assistir algo ...;;;;;;;
a piscina não estava totalmente cheia.;;;;;;;;
E por fim;" teve uma recepcionista que me recebeu digamos que um pouco hostil porque fiz as reservas dos quartos pelo celular e lá estava constando uma coisa porém essa funcionária queria impor outra coisa e fui obrigada a da meu celular na mão dela para ela poder de fato fazer oque eu havia pedido ( eu já havia mostrado as reservas tanto a ela quanto a outra recepcionista) até acho que esse """" contra tempo"""" influenciou a hospedagem do quarto pois essa recepcionista que pegou meu aparelho celular na mão para fazer a verificado"; foi ela mesma que mandou a outra recepcionista por a gente nesses específicos quartos...;;;;;;
Não sei se de fato tinha outros quartos ou apenas aqueles porém foi essa a impressão que tive pela hostilidade dela... ;;;;;;;;
Tanto eu quanto minha amiga que estava com uma bebê ficamos digamos que constrangidas ;;;;;;;;
"Digamos que não indicaria pra amigos por conta desse pequenos detalhes da piscina e da tv""";6;;;;;;;
26 de dezembro de 2023;Bom para uma estadia curta (algumas horas), mas não recomendaria de fosse ficar na cidade;Fiquei somente por algumas horas porque cheguei de madrugada no aeroporto. Cumpriu o esperado. Nada luxuoso, mas consegui dormir bem. Café da manhã ok.;O lugar é ruim. Tinha chovido e a rua estava com bastante água. Achei um pouco perigoso à noite.;7;;;;
26 de dezembro de 2023;Bom;Proximidade do aeroporto;Achei mal cuidado o hotel, e nas imediações não tinha comércio;7;;;;
23 de dezembro de 2023;Nem ótimo, nem pessimo, ok.;LOCALIZAÇÃO, dois funcionários da segurança e porta, o senhor grisalho e o rapaz alto, extremamente atencioso e prestativos. O café da manhã é bom e as funcionárias são excelentes!;O wi fi não funciona, muito ruim mesmo, nem no quarto e nem na recepção. O telefone também não funcionou no quarto 808. O chuveiro demora de esquentar a água porque é caldeira, deveriam tentar mudar isso.;7;;;;
20 de dezembro de 2023;Dentro do esperado para a categoria do hotel.;Café da manhã bom, condizente com a categoria do hotel e o valor da diária.;Pedimos manta ou colcha, atendente da recepção informou que não havia mais disponível , que todas já haviam sido distribuídas aos hóspedes e que aquele horário (22h, horário que fizemos o check-in) não tinha mais disponíveis. Só havia lençol para se cobrir.;7;;;;
19 de dezembro de 2023;Muito bom;Localização;Estacionamento 25,00 e não tem opção de outro local . Hotel poderia considerar como diferencial;8;;;;
19 de dezembro de 2023;Bom;Da localização;Sem palavras foram poucas horas q passei;7;;;;
15 de dezembro de 2023;Muito bom;Localização excelente.;Manutenção da limpeza do quarto. ;;;;;
"Cobrança de taxa de estacionamento. Valor cobrado desproporcional para o serviço prestado. Local sem estrutura para a guarda de veículos.""";8;;;;;;;
14 de dezembro de 2023;Gostei, mas poderia ser melhor;Ótimo café da manhã, localização, facilidade de acesso, quarto com espaço, atendentes prestativos e educados.;Ar condicionado esfriava o quarto, mas não gelava. Barulho da rua entrava com facilidade no quarto. Colchão poderia ser melhor. Chuveiro também merecia uma atenção.;7;;;;
13 de dezembro de 2023;Bom;a localização perto do aeroporto. O café da manhã bem razoável. A recepção atendeu a minha solicitação pela troca do apartamento.;Se estivesse uma boa fiscalização depois que a camareira, limpasse o apartamento. Encontrei barata morta , telefone sem funcionar e box entupido.;7;;;;
13 de dezembro de 2023;Muito bom;Como foi uma viagem de uma noite só, ficamos pouquíssimo tempo, mas deu pra descansarmos ... É bem confortável os quartos e todos tem ar, apesar de ser aquele ar antigo. O cafe da manhã é bem variado e gostoso. Infelizmente nem pude ir na piscina, infelizmente vai ficar para próxima.;;8;;;;
11 de dezembro de 2023;Bom;;Ar condicionado com a grade solta e filtro sujo.;7;;;;
10 de dezembro de 2023;Banheiro sem privacidade;Localização;Banheiro;7;;;;
8 de dezembro de 2023;Tranquila, mas já me hospedei em hotéis da rede mais confortáveis e achei chato não terem ferro para disponibilizar para;Lençol sempre trocado e limpo;Não tinha ferro a disponibilizar;7;;;;
