data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;
16 de fevereiro de 2025;Boa estadia.;Localização.;Não ter refeições em outros horários.;9;;;;
12 de fevereiro de 2025;No geral gostamos do hotel;Equipe atenciosa, tudo muito limpo.;Ar condicionado estava fraco, mesmo ajustando a temperatura;9;;;;
8 de fevereiro de 2025;Fantástico;Tudo.;Nada;9;;;;
7 de fevereiro de 2025;Otimo Custo-benefício;Conforto, limpeza, funcionarios atenciosos, cafe da manhã variado;;9;;;;
6 de fevereiro de 2025;Gostei muito, voltaria de novo.;O hotel é muito bom, oferece o que é contratado, funcionários educados, ambiente da recepção acolhedor, fiquei no quarto com vista incrível para o mar, o café da manhã é maravilhoso, com muitas opções, o local do café também conta com uma bela vista. Fica em frente a praia da Boa Viagem, próximo a feirinha de artesanato, da para ir a pé.;Senti falta de uma mantinha no quarto , mas todo o mais foi satisfatório.;9;;;;
6 de fevereiro de 2025;Bom;Localização;Muita ruído ao redor do hotel;7;;;;
30 de janeiro de 2025;Ótima estadia;Tudo limpo e organizado e o café da manhã é maravilhoso! Eu nunca tinha visto seriguela no café, gostei muito.;Não tinha entendido que a refeição oferecida pelo hotel era marmita congelada. Isso foi uma decepção.;9;;;;
30 de janeiro de 2025;Muito bom;Piscina poderia ser maior;;8;;;;
28 de janeiro de 2025;Tava muito bom .. menos a geladeira no chão ...;Acomodação;Tava muito bom se noa fosse a geladeira.. melhor tirar do quarto do que deixar ela no chão ;;;;;
". Tem que ajoelhar para abastecer.. pessimo""";7;;;;;;;
28 de janeiro de 2025;Espetacular;Limpeza impecável;;9;;;;
27 de janeiro de 2025;Fantástico;Atendimento da equipe, vista da beira-mar, café da manhã, localização excelente.;;9;;;;
27 de janeiro de 2025;Muito bom;O que mais gostei foi a limpeza e a localização e a variedade no café da manhã.;Quarto pequeno.;8;;;;
26 de janeiro de 2025;-;O café da manhã é bom e a localização também, de frente para a praia.;Do banheiro. O vaso sanitário quase não permite seu uso, não há espaço suficiente.;7;;;;
20 de janeiro de 2025;Fantástico;Localização e do atendimento dos funcionários.;Praia não é propício, pois tem ataque de tubarões;9;;;;
18 de janeiro de 2025;Ótima localização e vista sensacional.;Quarto limpo, roupa de cama e banho super cheirosa.;Frigobar;8;;;;
16 de janeiro de 2025;Bom custo benefício;Da localização, café da manhã.;Prédio antigo, ar condicionado no apto triplo pequeno para o ambiente;7;;;;
14 de janeiro de 2025;Bom custo benefício;Café da manhã muito bom, com variedades.;;8;;;;
14 de janeiro de 2025;Fantástico;Cafe da manha, localizacao, cordialidade;Colchao velho;9;;;;
12 de janeiro de 2025;Bom;Recepcionista Rafael foi muito solicito e profissional .;;7;;;;
12 de janeiro de 2025;Muito bom;Tudo.;;8;;;;
11 de janeiro de 2025;Velho, mas confortável!;Café da manhã excelente, com vista para o mar. Cama confortável e ótimo chuveiro.;As instalações são antigas.;8;;;;
9 de janeiro de 2025;Maravilhosa;A Localizaçao, Atendentes gentis e otimo cafe da manha;NA;9;;;;
8 de janeiro de 2025;Bom;Do chuveiro.;Café da manhã razoável,;7;;;;
6 de janeiro de 2025;Muito bom;Bem localizado. Café da manhã bom. Bom custo-benefício.;Instalações antigas, porém condizentes com o preço.;8;;;;
4 de janeiro de 2025;Bom;Boa localização. Bom café da manhã. Equipe atenciosa. Tive problemas com minha reserva e me realocaram em um bom quarto.;Quarto reservado não muito bom. Bastante diferente das fotos. Tem janelas laterais sem cortina, e tem um rebaixamento muito estranho, que causa incômodo.;7;;;;
3 de janeiro de 2025;Boa estadia, café da manhã excelente.;Café da manhã;Barulho que parecia ser de obra, mas acredito ser do elevador por conta do quarto ser ao lado do mesmo.;8;;;;
2 de janeiro de 2025;Boa no geral;Funcionários;Ar condicionado;7;;;;
31 de dezembro de 2024;Muito bom;Custo x benefício;Instalações antigas;8;;;;
31 de dezembro de 2024;O atendimento é o diferencial do hotel.;Limpeza e o café da manhã,incríveis!;Só tinha um elevador funcionando!;9;;;;
31 de dezembro de 2024;Foi boa mas não atendeu minha expectativa;Localização!;Quarto pequeno!;8;;;;
30 de dezembro de 2024;Atende às expectativas.;O café da manhã estava bom! A localização é muito boa.;;7;;;;
29 de dezembro de 2024;Muito bom;Bom. Localização e limpeza;;8;;;;
26 de dezembro de 2024;Satisfeito;Me atendeu perfeitamente.;Nada;8;;;;
26 de dezembro de 2024;Bom;Óptima localização e funcionários prestáveis;As janelas não têm isolamento e ouve-se tudo o que se passa na rua;;;;;
26 de dezembro de 2024;Bom custo-benefício;Bom custo benefício e o hotel era próximo do aeroporto que era o que precisavamos;;9;;;;
23 de dezembro de 2024;Muito bom;Vista do quarto linda para o mar.;;;;;;
"Ótimo cafe da manhã""";;8;;;;;;
22 de dezembro de 2024;Tudo blz!;quanto e café da manhã.;box de banho pequeno demais, frigobar pequeno e baixo.;9;;;;
20 de dezembro de 2024;Atendeu as expectativas;Sem comentários..;Instalações antiga..;9;;;;
18 de dezembro de 2024;Fantástico;Boa localização, em frente à praia e com bom atendimento;Elevador demora um pouco;9;;;;
16 de dezembro de 2024;Confortável e bem localizado;quarto confortável e excelente café da manhã;o box do banheiro acumulava água, o caimento não levava a água para o ralo;9;;;;
16 de dezembro de 2024;Normal;Cumpre com o combinado;Travesseiros poderiam ser melhores;7;;;;
15 de dezembro de 2024;Indico;Café da manha e funcionários;;8;;;;
15 de dezembro de 2024;Muito prazeirosa e confortável;Da localização, café da manhã muito bom;Achei o ar condicionado muito próximo da cama.;9;;;;
12 de dezembro de 2024;Muito bom;Adoramos o cafe da manhã;Elevador um pouco demorado;8;;;;
12 de dezembro de 2024;Fantástico;Muito bom Hotel. Recomendo. Funcionarios ajudou em tudo que precisava;;9;;;;
11 de dezembro de 2024;Muito bom;;A internet não estava funcionando na tv, o pessoal informou que estava em manutenção, porém finalizou minhas 2 diárias e não funcionou.;8;;;;
7 de dezembro de 2024;Muito bom;Ótimo atendimento, funcionários prestativos e um bom e variado café da manhã;Almoço do hotel poderia ser melhorado pois eles tem um bom restaurante;9;;;;
6 de dezembro de 2024;Bom;Localização e limpeza.;Água quente demora muito para sair. Mesa suporte do quarto é incômoda se precisar trabalhar no PC.;7;;;;
5 de dezembro de 2024;Fantástico;Ótimo café da manhã, comida regional e qualidade boa. Localização do hotel é boa, mas não há praia para banho nas proximidades.;Não há praias para banho nas proximidades.;9;;;;
4 de dezembro de 2024;Vista do mar sensacional!;Vista e localização.;.;7;;;;
28 de novembro de 2024;Muito bom;café da manhã, localização e atenção dos funcionários;tamanho do box do banheiro;8;;;;
27 de novembro de 2024;agradável surpresa;localização e simpatia do staff;as instalações estão um pouco gastas mas o qualidade preço acho que está bom;7;;;;
26 de novembro de 2024;O Hotel atendeu a minha necessidade, mas não a minha expectativa.;Ótima localização. Ótimo atendimento. Funcionários atenciosos. Café da manhã excelente, servido a partir das 6 horas.;O Hotel necessita de reforma urgente! Foi preciso trocar de quarto, o que ocasionou uma despesa extra. Banheiro com vazamento de água no box. Porta que não fechava direito. Paredes manchadas e com sujeira. Havia apenas um elevador em funcionamento, causando um certo transtorno. A rampa de entrada que dá acesso ao Hotel é adaptada, poderia ser melhor construída, oferecendo mais conforto e segurança na utilização.;7;;;;
26 de novembro de 2024;Bom custo-benefício;Melhor preço de frente para a Praia de Boa Viagem que encontrei. O café da manhã foi excelente, com várias opções. O fato do bar ser 24h ajuda muito também.;As instalações no quarto são bem antigas. Mas para quem vai passar poucos dias e só usar o hotel para dormir, ainda vale a pena.;7;;;;
25 de novembro de 2024;Hotel muito confortável para minha estadia, atendeu todas as minhas expectativas.;O café da manhã atendeu as expectativas, muito bom. A localização de frente pra praia de Boa viagem também foi um privilégio. Com certeza voltarei a me hospedar nesse hotel.;Não tenho do que reclamar. O hotel atendeu todas as minhas necessidades.;9;;;;
21 de novembro de 2024;Excelente!;O pessoal do hotel foi super atencioso, pude guardar minhas malas sem custo adicional após o checkout, além de me auxiliar na hora de colocá-las no táxi! O café da manhã também foi muito bom e a vista do hotel é linda!;;9;;;;
17 de novembro de 2024;Boa localização;Boa localização. Bom café e funcionários atenciosos.;Hotel com infraestrutura antiga.;7;;;;
12 de novembro de 2024;Excelente custo-benefício;O atendimento é excelente. Funcionários muito receptivos e educados. O café da manhã é muito bom, com variedade de frutas, pães, salgados e doces. Sempre tem um buffet quente saboroso. A vista do café da manhã é excepcional. A piscina é pequena, mas limpa e em boas condições de uso. O serviço de bar/restaurante é muito bom também. O quarto é pequeno, instalações mais antigas, mas tem um chuveiro de qualidade e boa cama. A garagem é bem apertada, rotativa, dispõe de 7 vagas e em apenas um dia não conseguimos estacionar por estar lotado, mas foi seguro deixar o veículo em frente ao hotel.;;;;;;
A parte bem da frente do hotel é onde a maré normalmente baixa e fica com a praia em local disponível pra banho. É um excelente trecho para se hospedar. Tem uma boa padaria próxima que serve jantar; podendo se deslocar a pé;" assim como para a feirinha de Boa Viagem.""";O ar condicionado é muito potente para o tamanho do quarto, deixando-o muito frio. Não cheguei a solicitar uma coberta, mas o normal é já ter alguma à disposição no local.;8;;;;
12 de novembro de 2024;Não vale o custo-benefício;A vista para o mar é muito bacana;A localizaçãoé ruim, numa área estritamente residencial não oferece estabelecimentos para alimentação nem praia para banho porque não tem faixa de areia em frente ao hotel;;;;;
" As janelas não permitem nenhuma abertura reduzindo muito a experiência de pagar por uma acomodação em frente ao mar""";8;;;;;;;
10 de novembro de 2024;Muito bom;Café da manhã ótimo, pessoas muito acolhedores;Quarto precisa de reforma;8;;;;
9 de novembro de 2024;Bom;Amamos o café maravilhoso;;7;;;;
9 de novembro de 2024;Fantástico;Bom café, funcionários muito educados;Internet não é boa.;9;;;;
7 de novembro de 2024;Razoável.;Localização, chuveiro e café da manhã excelentes.;Cama desconfortável, molas de má qualidade, toalhas muito gastas e com cheiro desagradável, blackout que não funciona.;7;;;;
27 de outubro de 2024;Bom;;Piscina sem aquecimento;7;;;;
27 de outubro de 2024;Muito bem atendida, custo benefício excepcional;Localização. Limpeza, funcionários, café da manhã;Banheiro apertado e as torneiras emperradas, com bastante uso precisa manutenção, mas funcionou;9;;;;
25 de outubro de 2024;Ótimo custo beneficio;Ótima localização, boa área lazer, funcionários atenciosos, café da manhã diverso.;Academia precisa de renovação dos aparelhos;9;;;;
25 de outubro de 2024;Bom;localização excelente, limpeza ótima, equipe de limpeza muito gentil e simpática, café da manhã muito bom.;wifi não funciona de forma alguma no quarto, chega a ser chato o tempo inteiro pedir na recepção para averiguar e sem retorno, pessoal da recepção precisa melhorar o humor,;7;;;;
25 de outubro de 2024;Fantástico;Localização boa;faltou o estacionamento;9;;;;
25 de outubro de 2024;Muito bom;A localização é ótima, com uma vista linda.;;;;;;
Agora o café da manhã; superou minhas expectativas; tinha muitas opções; tudo bem fresquinho; ambiente limpo e agradável;" com uma vista maravilhosa.""";;8;
24 de outubro de 2024;boa pra muito boa....;localização e café da manhã....;custo benefício;7;;;;
21 de outubro de 2024;regular;O quarto é bem amblo e limpo, a localização é excelente.;O quarto ao lado do elevador dava para ouvir todo o barulho de quem chegava, outra coisa o boxe é imoral de tão pequeno o espaço.;8;;;;
18 de outubro de 2024;Recomendo ótimos funcionários;Atendimento;Instalação antiga;7;;;;
8 de outubro de 2024;Fiquei apenas um dia, mas foi bom;O Cafe da manha e razoavel;Da Localizacao;8;;;;
7 de outubro de 2024;Uma boa experiência;Boa estrutura, instalações modernas.;Única coisa que não gostamos foi a posição do banheiro, onde não havia janelas e dificultava o arejar do banheiro;9;;;;
4 de outubro de 2024;Ficaria de novo no hotel.;A localização e o café da manhã são muito bons.;Quarto um pouco pequeno e banheiro tb. Box mal cabe uma pessoa e local do vaso sanitário apertado.;7;;;;
1º de outubro de 2024;Bom custo benefício. Acomodação sem requinte.;O café da manhã estava mto bom e atendeu bem as expectativas, o hotel é beira mar , então tem uma vista incrível. Tem uma excelente localização, e fomos muito bem atendidos pelos funcionários mto atenciosos. A cama era boa. Bom custo benefício;Apesar do hotel ser beira mar, a praia enfrente não é apropriada para banho, a praia para banho ficava ha uns 3km . ;;;;;
As Acomodação e infraestrutura estrutura do quarto é bem antiga;" quarto e banheito sem nenhum requinte.""";7;;;;;;
1º de outubro de 2024;Lugar limpo e organizado!;A vista perfeita;O tamanho do quarto;8;;;;
21 de setembro de 2024;Parabéns a equipe;O atendimento dos funcionários é exemplar! 👏;A localização.;8;;;;
18 de setembro de 2024;Bom;Boa localização;Comida fora de horário somente congelada. Mal tinha água quente e quarto antigo.;7;;;;
16 de setembro de 2024;Muito boa;O café da manhã é maravilhoso.;Não tenho do que reclamar;9;;;;
16 de setembro de 2024;Muito bom;Da localização.;Achei que o prédio é antigo. Mas tudo funciona bem.;8;;;;
10 de setembro de 2024;Oportuna;Café da manhã.;As marmitinhas de refeições, tanto para janta como para o almoço. Deveria ter um cardápio mas amplo. O frigobar vazio.;7;;;;
8 de setembro de 2024;Mediana;Foi, dentro da normalidade.;Problemas na fechadura do apartamento com o cartão tivemos que volta na recepção para cadastra o cartão, garagem muito apertada, onde o guarda que estava no momento um pouco impaciente.;;;;;
O elevador ele abre as porta em todos os andares;" em alguma vezes ele vai até a garagem por nada.""";7;;;;;;
3 de setembro de 2024;Fantástico;Os colaboradores foram bem atenciosos. O cafe estava muito bom!;Faltou fazer um check no quarto. A fechadura nao funcionava com o cartao e nao havia toalhas. Tive que descer duas vezes pra solicitar.Mas depois tudo se acertou! Recomendo.;9;;;;
29 de agosto de 2024;Muito bom;Atendeu as minhas expectativas e o café da manhã é ótimo.;Acredito que é um prédio antigo;8;;;;
28 de agosto de 2024;Fantástico;Localização e café da manhã MARAVILHOSOS;;9;;;;
28 de agosto de 2024;Fantástico;Ótima localização visão linda do mar;Gostei de tudo;9;;;;
28 de agosto de 2024;Muito bom;Localização excenlente, a beira mar e muito próximo da feirinha de boa viagem. Café da manhã diversificado e muito bom.;;8;;;;
26 de agosto de 2024;Muito bom;Tudo recepção, café da manhã;Barulho no nosso quarto, acho que da academia que fica em cima;8;;;;
20 de agosto de 2024;Bom;Cama excepcional;Box pra banho muito pequeno;7;;;;
15 de agosto de 2024;Simples e aconchegante;Da localização e atendimento;O banheiro minúsculo uma pessoa gorda não entra e frigobar velho;9;;;;
11 de agosto de 2024;Boa estadia.;Estrutura do hotel é boa.;;;;;;
Café da manhã bom. ;;;;;;;;
"Serviço de cozinha bom.""";BOX do banheiro minúsculo - apto 809;;;;;;;
"Praia a frente não é utilizável para banho.""";7;;;;;;;
11 de agosto de 2024;Ótima estadia, café de manhã muito bom!;Café da manhã muito bom. Bom custo-benefício. O hotel fica de frente ao mar na praia de Boa Viagem. Não é a zona mais movimentada da praia mas é lindo e tranquilo. Reservamos três quartos e fomos acomodados no mesmo andar.;Não colocaram cobertor nos quartos.;8;;;;
9 de agosto de 2024;Muito bom;Fui muito bem atendida, o café da manhã estava maravilhoso , e quarto confortável;quarto era confortável porém muito barulhento, tinha uma porta entre um quarto e outro que tirava a privacidade pois ouvia tudo do quarto ao lado;8;;;;
6 de agosto de 2024;Muito bom;Atendimento Excelente e muito bons profissionais.;;8;;;;
3 de agosto de 2024;Tranquilo;;Acesso ao Wi-Fi e da TV;8;;;;
23 de julho de 2024;Fantástico;Atendimento dos funcionários;O banheiroo banheiro;9;;;;
22 de julho de 2024;Foi OK;O quarto era silencioso, bom para descanso. Tinha frigobar, a cama casal para os adultos, mesinha para duas pessoas fazer refeição, cofre e armário.;Se estiver viajando com criança menor de 6 anos não recomendo pois após a reserva que o hotel informou não caber sofá-cama ou cama-extra no quarto. Isto não está claro no anúncio do booking, e com isso a experiência geral foi só OK.;7;;;;
19 de julho de 2024;Razoável;Cama confortável, chuveiro bom;Internet não entrou em nenhum momento, TV pega mal;7;;;;
19 de julho de 2024;Fantástico;Super confortável, funcionários muito receptivos;Não tenho do q reclamar;9;;;;
15 de julho de 2024;Fantástico;Atendimento e limpeza;Nao.;9;;;;
14 de julho de 2024;Deixou a desejar;Localização e café da manhã;Falta de manutenção nos quartos,;;;;;
Ar condicionado não funcionou; fechadura de cartão da porta não funcionava; porta de entrada não abria só com empurrão.;;;;;;
Trocado quarto tive problemas com registro do chuveiro que ficava pingando ;;;;;;;;
E porta do banheiro era maior e não fechava ;;;;;;;;
"Hotel de ótima localização e café de manhã mas peca pela manutenção preventiva e corretiva""";7;;;;;;;
14 de julho de 2024;Fiquei apenas 1 diaria, mas gostei;bom cafe da manha, otima localizacao, bom atendimento no chekin;poderiam melhoar o banheiro chuveiro;8;;;;
14 de julho de 2024;Muito bom;Café da manhã com bastante variedade e muito bom. Cama e travesseiros confortáveis.;Box banheiro muito pequeno. Mar em frente do hotel é impróprio para uso.;8;;;;
13 de julho de 2024;Boa;Funcionários bons e o café maravilhoso;Limpeza deixou um pouco a desejar;9;;;;
12 de julho de 2024;Satisfeito;Atendimento, café da manhã, limpeza;Tudo certo. Nada para reclamar.;9;;;;
8 de julho de 2024;Bom;Localização;;7;;;;
7 de julho de 2024;Muito bom;Boa localização a beira-mar, colaboradores atentos e eficientes,cafe da manhã bem variado.;Quarto pequeno (3 pessoas),faltam moveis/acessorios de apoio. Não ha onde pendurar uma roupa,toalha , apoiar um laptop ou mesmo sentar confortavelmente.;8;;;;
2 de julho de 2024;Fantástico;Próximo do aeroporto, cafe da manhã farto, vista pro mar, boa localização, perto do shopping, bom banho, cama confortável.;Instalações antigas, a praia em frente não é própria para banho.;9;;;;
2 de julho de 2024;Bom;Gostei do café da manhã, muitas opções, achei bem caprichado. A localização é ótima, da pra ir no mercado e a pracinha que tem umas barraquinhas de comidas.;O Wi-Fi é horrível, não pegou nenhum dia que fiquei lá, usei meu dados móveis todos os dias. O box do banheiro é muito pequeno, uma pessoa de peso jamais consegue banhar ali, muito apertado.;7;;;;
30 de junho de 2024;ótima!;Funcionários super simpáticos!;quarto.;9;;;;
30 de junho de 2024;Fantástico;gostei de tudo;box para banho mt apertado;9;;;;
27 de junho de 2024;Fantástico;Os funcionários são muito atenciosos e receptivos. O café da manhã é muito bom também. Tem o Plus de um bar que tem comidas também. Isso é muito bom. A localização é excelente, embora não tenha estacionamento.;O hotel é mais antigo, nas instalações mesmo. O corredor dos quartos muito escuros. A luz demora a ativar e não tem luzes de segurança. Elevador minúsculo e demora demais. Num geral são instalações mais velhas mesmo. Mas num geral eu gosto do hotel. É sempre uma opção quando vou ao Recife.;9;;;;
20 de junho de 2024;Recomendamos muito!;A localização é muito boa, com uma vista linda da praia durante o café da manhã. Inclusive, um café da manhã farto com muitas opções (destaque para os ovos mexidos que eram incríveis). As áreas comuns eram óptimas também. Eu e minha família voltaríamos com certeza. Fomos muito bem recepcionados pelos colaboradores, que foram super gentis.;O quarto é menor do que eu imaginava, com a mesa de apoio um pouco deteriorada, mas nada que interferisse na nossa estadia. Sentimos muita falta de um ferro de passar roupas no quarto para facilitar.;9;;;;
18 de junho de 2024;Dentro do programado;O café da manhã é de excelente variedade e qualidade de produtos.;O Box do banheiro estava com o ralo entupido de cabelo, fazendo que o mesmo fique com água retida.;;;;;
"Não há manutenção preventiva.""";8;;;;;;;
17 de junho de 2024;Nao recomendo;Localização e recepcionistas gentis;Quarto minúsculo ;;;;;
box do banheiro apertado ;;;;;;;;
Não tem nenhuma bancada para colocar as malas ;;;;;;;;
E olha que não foi barato. 316;00 a diária ;;;;;;;
"Deveria ter avisado que o quarto era muito apertado""";8;;;;;;;
16 de junho de 2024;deixou a desejar no sentido estacionamento.;atendimento;não possui estacionamento compatível com o número de leitos. Tive que deixar o carro estacionado no outro lado da avenida e como era época de chuva, todas as vezes tomei chuva para me dirigir ao local estacionado e vice-versa.;7;;;;
16 de junho de 2024;Bom;Ótimo café da manhã, localização e funcionários atenciosos.;Quarto necessitando de reforma urgente. A disposição no banheiro é péssima, eu que sou alto tive problemas pra utilização do vaso e pra tomar banho.;7;;;;
16 de junho de 2024;Bom;Gentileza dos funcionários, café da manhã;Quarto sem manutenção, vazamento de água no teto e entrada de água de chuva pelo quadro da janela que molhava o piso do quarto;7;;;;
13 de junho de 2024;Boa;Localização e café da;;;;;;
"Manhã""";Muito barulho nos corredores e apartamento ao lado;7;;;;;;
11 de junho de 2024;Muito bom;Achei a cama confortável. Funcionários atenciosos, limpeza e serviço de quarto disponível. Café da manhã muito bom, com o restaurante com vista de frente para a praia. Localização boa, porque, embora fique distante da região com mais comércios, fica bem em frente à praia e a alguns metros da feirinha de Boa Viagem.;O quarto que peguei tinha uma porta em uma das paredes que parecia uma divisória com um outro quarto. Para mim gerou um certo desconforto, sensação de que alguém vai entrar no quarto a qualquer momento (Não sei se todos são assim). Box do banheiro também é pequeno.;8;;;;
11 de junho de 2024;Só para dormir;Estava tudo bom m;;8;;;;
10 de junho de 2024;Hotel para ficar devido a localização;O quarto, apesar das instalações serem antigas, é confortável. Tem TV a cabo com vários canais de filmes, incluindo HBO. O café da manhã tem muita variedade de comida, muito bom.;O wi-fi não funcionou nenhum dia. O banheiro é apertado, de forma que quando se usa o vaso sanitário, a pessoa fica com a cara no Box. A academia é péssima, sem halteres e praticamente sem nenhum equipamento.;7;;;;
8 de junho de 2024;Estadia tranquila, excelente localização, de frente para a praia e atendimento muito bom.;Café da manhã de alto nível, com excelente variedade.;Nada a reclamar.;9;;;;
6 de junho de 2024;O café da manhã foi ótimo, mas o hotel precisa melhorar suas acomodações.;Gostei do tamanho do quarto e a vista, porém o hotel é antigo e precisa de melhor manutenção. Por exemplo: desentupir o ralo do box, trocar a tampa do vaso que está quebrada, arrumar a porta do banheiro e o secador de cabelo que esquenta muito e não dá para usa O café da manhã é ótimo. A apresentação dos funcionários na recepção, assim como a música ambiente, deixa um ar de sofisticação. O tratamento dos funcionários com educação e cordialidade.;Com poucos reparos nas acomodações o hotel ficará muito melhor. Penso que são coisas básicas que não sairá caro para o hotel. Eu descrevi sugestão de alguns ajustes na resposta anterior.;7;;;;
3 de junho de 2024;custo x beneficio alto com relação ao atual momento do hotel;fiquei uma diária no hotel mas posso dizer que o custo x beneficio dele por ser 4 estrelas no booking achei que não vale a pena. A expectativa foi bem maior que a realidade. Hotel bem antigo, quarto grande e espaçoso porem o banheiro é muito pequeno com relação ao tamanho todo. O box do banheiro é o que mais me desagradou.;;;;;;
O café da manhã é bem servido;" tem varias opções e o atendimento dos colaboradores é o diferencial""";achei que o custo x beneficio não corresponde pela atual situação do hotel.;7;;;;;
2 de junho de 2024;Bom;Café da manhã muito bom;O vaso do banheiro não funciona!tinha que tira a tampa pra da descarga!;7;;;;
1º de junho de 2024;Bia e agradável;Café da manhã muito bom e diversificado! Localização excelente;As chaves do quarto com problemas;9;;;;
30 de maio de 2024;Maravilhosa;O quarto na frente do mar é sensacional, a vista maravilhosa, café da manhã ótimo;O hotel aparenta ser um pouco mais antigo, o ar condicionado não estava muito bom. Mas estadia é muito boa, voltarei com certeza;8;;;;
29 de maio de 2024;Mediano;Do preço.;Hotel é mediano, acho que poderia ser melhor. Pontos que eu não gostei: check-in parece que você está na fila da UPA, levei 40 minutos para ser atendido. Segundo ponto, passei mais 20 minutos para poder entrar no quarto, pois como é tudo muito velho, a fechadura estava com defeito. O café não é tudo o que falam nos comentários. Tirando essas coisas, é até legal.;7;;;;
28 de maio de 2024;Muito boa;A vista do mar;O cheiro de urina no vaso sanitário;9;;;;
26 de maio de 2024;Bom;Localização!;Box do Banheiro;7;;;;
23 de maio de 2024;nota 7;bom café da manhã e bom quarto;estrutura antiga, telefone do quarto quebrado, garagem pequena;7;;;;
19 de maio de 2024;Fantástico;Gostei do conforto, atendimento, e localização.;;9;;;;
14 de maio de 2024;Hotel um pouco antigo, mas bons atendentes. Sr. Lourenço é excelente.;Da vista do quarto.;Da piscina que é pequena e o qt. é pequeno.;7;;;;
14 de maio de 2024;Muito bom;Silêncio a noite;Box do banheiro apertado;8;;;;
13 de maio de 2024;Razoável visto o custo benefício.;;Na acomodação faltou uma mesa e dadeira de apoio.;7;;;;
10 de maio de 2024;Voltarei a trabalho em pouco tempo e quero um quarto de frente para o mar;Excelente atendimento na recepção: Petro e Felipe.;;;;;;
Atenciosos e disponíveis para resolver problemas.;;;;;;;;
D Flávia a camareira muito atenciosa;" educada me deixava trabalhar e voltava depois para limpar. Até colocou um perfume extra no quarto. Parabéns""";Poucas vagas de estacionamento ;;;;;;
Só tinha sanduíche de frango (detesto);;;;;;;;
"Não servia suco""";9;;;;;;;
10 de maio de 2024;Fantástico;;Banheiro em desnível de modo que não tinha queda para a água sair;9;;;;
5 de maio de 2024;Vou voltar se possível;Frente mar;Quarto secundário;8;;;;
6 de abril de 2024;Muito bom;Localização e atendimento;Instalações do banheiro;8;;;;
5 de abril de 2024;Muito bom;Bar 24h;do quarto. claustrofobico e barulhento motor de ar condicionado enorme e barulhento na marquise ao lado e embaixo da janela.do quarto 107.;8;;;;
3 de abril de 2024;Muito bom;Localização;Banheiro;8;;;;
1º de abril de 2024;Hotel bom;Serviço da camareira e a atenção na recepção;Da falta de sorriso 😁Dos funcionários no café da manhã;7;;;;
1º de abril de 2024;Muito bom;Café da manhã bom e ótima localização.;;8;;;;
31 de março de 2024;Ótima;Localização;Banheiro;9;;;;
