data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;;
8 de março de 2025;Décimo andar precisa de reforma;Fiquei a primeira vez no sétimo andar, depois voltei uma semana depois e fiquei do décimo , uma diferença gritante, o corredor inteiro estava molhado e com vazamento saindo do teto,um ambiente muito estranho e aparentemente sujo, o quarto em que ficamos tbm era velho e a limpeza deixou a desejar;;7;;;;;;;;;
8 de março de 2025;OTIMO.;QUARTO,CAFE E ATENDIMENTO.;PRECO KKKKK;9;;;;;;;;;
4 de março de 2025;Muito boa;Cordialidade dos funcionários e café da manhã;Apto precisando de manutenção;9;;;;;;;;;
26 de fevereiro de 2025;Ótima escolha em Boa Viagem;À princípio, nos destinaram um quarto aquém do reservado, mas logo que falei que estava diferente da reserva, recebemos um upgrade para ala reformada do hotel que está excepcional. Quarto amplo, confortável e muito bem decorado. Café da manhã ótimo, bem como a localização.;;9;;;;;;;;;
23 de fevereiro de 2025;Péssima;A recepção é bonita, a área do restaurante tbm;A estrutura do quarto percebemos que é algo velho maquiado, a cama não é conforta, não durmi bem, sem falar que não tem cobertor grosso pra quem tem costume de dormir com bons cobertor;7;;;;;;;;;
23 de fevereiro de 2025;Boa localização.;Localização. Atendimento no café da manhã pela Débora que foi excepcional.;Demora na limpeza do quarto..;;;;;;;;;;
"Preços abusivos da cerveja e amenidades.Piscina regular.""";8;;;;;;;;;;;;
22 de fevereiro de 2025;Muito bom;Bom pequeno-almoço;;8;;;;;;;;;
22 de fevereiro de 2025;Adorei;O ponto mais especial do hotel é o aufitrião Xodó, que sempre te recebe com o maior carinho. Localização perfeita, perto de marcado, restaurantes, farmácias, de frente para a praia de boa viagem bem onde forma uma piscina no mar que dá pra entrar na água. O hotel tem uma estrutura maravilhosa, café da manhã muito bem servido inclusive com pratos típicos e opções para serem preparadas na hora como tapioca. Funcionários muito educados, a recepcionista da noite prontamente atendeu meu pedido de um quarto longe do elevador e foram levados mais travesseiros e um cobertor rapidamente após o meu pedido. Limpeza impecável, camas confortáveis, ar condicionado funcionando, dava para ver o mar da minha janela. No meu quarto não tinha nenhum cheiro de mofo;Reservei o quarto mais em conta disponível, ele não era reformado, a estrutura é mais antiga, creio que com a reforma que estão fazendo no hotel os quartos que faltam serão reformados, mas não tinha nada que me incomodasse;9;;;;;;;;;
20 de fevereiro de 2025;Conforto, excelente café da manhã e a equipe do Xodó é muito cordial.;Funcionários extremamente gentis, café da manhã excelente, quartos confortáveis e o melhor de tudo o AUfitrião XODÓ.;O andar em que me hospedei tinha vazamento com goteiras no teto. Embora o hotel esteja passando por reformas deveriam dar prioridade a esses vazamentos.;9;;;;;;;;;
20 de fevereiro de 2025;Fantástico;Achei a cama muito confortável e o apartamento bem grande;Só do barulho do quarto de cima , a descarga do quarto de cima incomodava bastante , além dos hóspedes ficarem arrastando os móveis, além disso poderiam melhorar na limpeza .;9;;;;;;;;;
17 de fevereiro de 2025;Hotel excelente, equipe atenciosa.;Excelente hotel, café da manhã bem variado, ótima localização. Funcionários muito atenciosos, tudo muito limpo. Nada a reclamar, ao contrário.;Não tenho reclamações.;9;;;;;;;;;
15 de fevereiro de 2025;Boa;Localizacao;Demora para realizar o checkin.;;;;;;;;;;
Chegamos 13h50 e mesmo assim não foi possível realizar. Direcionaram a gente para almoçar no hotel e depois subir para o quarto.;;;;;;;;;;;;;
Mesmo assim após o almoço; nao deixaram pronto o fluxo de checkin;" cadastramento do cartão do quartos e etc.""";7;;;;;;;;;;
14 de fevereiro de 2025;Bom café, localização excelente. Quarto e conforto a desejar;Localização e café da manhã;Colchão não era tão confortável para um 4 estrelas, além de me colocarem num quarto antigo que me recusei a ficar. Trocaram a acomodação, mais nova, mas ficou essa sensação de defasagem.;7;;;;;;;;;
6 de fevereiro de 2025;Muito bom;Localização perfeita, café maravilhoso, ótimo atendimento dos funcionários e limpeza.;Já tive outras experiências no Mercure e percebo que os quartos continuam com estrutura envelhecida e mofada. Nesta hospedagem e outras vezes que me hospedei precisei pedir a troca de quarto.;8;;;;;;;;;
3 de fevereiro de 2025;Tranquila;Tamanho do quarto;Banheiro antigo e janela abriu sozinha no meio da noite, não tinha trava e poderia ser perigoso com crianças ou sonâmbulos…;8;;;;;;;;;
30 de janeiro de 2025;A estadia foi relaxante e nos proporcionou momentos de muita alegria.;A equipe do hotel é muito atenciosa e prestativa. O café da manhã é diversificado e a comida é muito saborosa!;Umidade no piso do quarto, próximo ao banheiro.;9;;;;;;;;;
30 de janeiro de 2025;Muito bom;A maioria dos apartamentos são grandes mas não foram renovados desde anos 70/80…;;;;;;;;;;;
Somente o bussine flor que são os 3 últimos pisos foram renovados.;;;;;;;;;;;;;
"Problema dos não renovados é que o ar condicionado não funciona e as janelas não estão isoladas""";;8;;;;;;;;;;;
30 de janeiro de 2025;Serviço de estacionamento;Hotel excelente, nada contra.;Serviço de estacionamento péssimo, bateram meu carro e quebraram o retrovisor.;9;;;;;;;;;
27 de janeiro de 2025;Bom;Localização;Hotel muito velho, precisa de uma atualização;7;;;;;;;;;
26 de janeiro de 2025;Pretendo voltar em breve;Ótimo atendimento;;9;;;;;;;;;
22 de janeiro de 2025;Bom, mas tem muitas a melhorar, preços do bar são astronômicos, muito caro.;Localização, café da manhã, conforto do quarto.;Elevadores em estado ruim.;;;;;;;;;;
"Ar condicionado do quarto com muito barulho.""";8;;;;;;;;;;;;
20 de janeiro de 2025;Ótima .;Localização e conforto do hotel.;Café da manhã, sem opções de comida vegana e sem açucar.;9;;;;;;;;;
16 de janeiro de 2025;Fantástico;Gostei do quarto,a localização, o café da manhã,o atendimento foi ótimo;Do Frigobar, porque a água em latinha estavam uma bola de gelo e a noite foi tomar água e não tinha,ai deixei la latinha para descolgelar e a latinha explodiu..e o quarto alem de confortavel, acho que no futuro vai prescisar de alguma reforma..Mais isso não deixo de tirar pontos do hotel que é um exelente hotel, desde quando era o Recife palace..;9;;;;;;;;;
12 de janeiro de 2025;Hospedagem no iglu sem cobertor;Custo benefício e localização;Ar central muito frio e colchas não disponíveis no quarto. Passamos muito mal a primeira noite. Pedimos cobertas na recepção e tudo se normalizou, mas deveriam estar disponíveis desde o primeiro momento.;8;;;;;;;;;
12 de janeiro de 2025;Hotel muito bom, recomendo;Foi uma experiência muito boa. Ficamos com um quarto gigante, deveria ter pelo menos uns 70m2. Com sala, quarto e banheiro espaçosos. Tinha uma vista maravilhosa para a praia da Boa Viagem. O restaurante do hotel é bacana, servem bons pratos. Comemos no almoço e jantar, mas o jantar não estava legal, acredito que tenha sido outro cozinheiro(a). A equipe é muito educada e atenciosa.;O quarto estava com cheiro forte de mofo. O ar-condicionado fazia muito barulho.;8;;;;;;;;;
11 de janeiro de 2025;Saudades do luxo e da elegancia do hotel.;A localização é excepcional, em frente a praia da Boa Viagem, próximo do principal shopping center, restaurantes ;;;;;;;;;;;
"O pequeno almoço muito bem estruturado com itens clássicos e outros tantos da cozinha regional.""";Quartos amplos ( 9.and) mas com mobiliário antigo, corredores antiquados.;8;;;;;;;;;;;
10 de janeiro de 2025;Hotel Simples;Café da manhã, recepção, funcionários, muito cordial o gerente.;Valor pago não condiz com o que foi oferecido.;8;;;;;;;;;
7 de janeiro de 2025;Muito bom;Beira mar e quarto amplo;Algumas coisas do quarto estavam quebradas e faltando;8;;;;;;;;;
7 de janeiro de 2025;Regular;Localização;Cafe da manhã.;7;;;;;;;;;
7 de janeiro de 2025;Lugar de tranquilidade e ótima localização. Ideal para uma boa estadia em Recife;Quarto reformado e vista para praia de boa viagem;Academia. Estrutura antiga e com necessidade de reforma.;9;;;;;;;;;
6 de janeiro de 2025;Legal e tranquila;A Localização é boa , café da manhã muito bom e a equipe de atendimento nota 10, ficou a desejar a limpeza e os valores das bebidas no bar e frigobar muito caras.;Não gostei da limpeza dos quartos, chegamos estava tudo em ordem, mas no dias seguintes a camareira não arrumava a cama e tive que pedir para trocar as toalhas de banho.;8;;;;;;;;;
4 de janeiro de 2025;Bom;A localização é excelente! O quarto é bem espaçoso e a equipe é muito prestativa e atenciosa. O café da manhã servido é de excelente qualidade,;A porta do quarto fazia barulho constante, de modo que tive que colocar uma cadeira à frente para parar o ruído. Há poucos elevadores disponíveis e a infraestrutura do hotel é antiga, precisando de reparações.;7;;;;;;;;;
3 de janeiro de 2025;De modo geral agradavél .;Localização;Quartos datados precisando de renovação e iluminação do mesmo muito ruim;8;;;;;;;;;
2 de janeiro de 2025;REVEILLON PODERIA SER MAIS ANIMADO.;Conforto, atenção dos colaboradores, localização.;Ter ficado preso no elevador por duas vezes. O hotel não ter providenciado alguma animação na virada do ano a não ser um buffet pago até as 01:00h. Música alta nas piscinas e um café da manhã que deixa a desejar pelo que cobram na diária.;9;;;;;;;;;
2 de janeiro de 2025;Muito bom;Localização ;;;;;;;;;;;
"Atendimento""";Não gostei de voltar da praia e entrar pela recepção com pé de areia.;8;;;;;;;;;;;
1º de janeiro de 2025;Vale a pena se hospedar nesse hotel.;Hotel bem localizado, quarto bem confortável, café da manhã bem variado.;Não tem nada que posso reclamar.;9;;;;;;;;;
30 de dezembro de 2024;Bom mas pelo preço deveria estar em melhores condições.;Cama, chuveiro e café da manhã excelentes. A localização é ótima, a praia em frente ao hotel possui os recifes que formam a piscina natural. Vários restaurantes próximos.;Os quartos são muito antigos e estava com cheiro forte. Precisa urgentemente de uma reforma. No piso térreo também não há banheiros ou torneiras para limpar o pé chegando da praia.;8;;;;;;;;;
27 de dezembro de 2024;Fantástico;Atendimento, higiene, localização, alimentação...;;9;;;;;;;;;
22 de dezembro de 2024;Fantástico;;Iluminação poderia ser mais forte...;9;;;;;;;;;
15 de dezembro de 2024;Boa localização e excelente café da manhã.;Café da manhã excelente, boa localização e bom atendimento dos funcionários. Cama confortável.;Falta de manutenção no blackout do quarto que estava rasgado. Como na cidade amanhece muito cedo, isso pode prejudicar o sono porque o quarto fica muito iluminado.;7;;;;;;;;;
10 de dezembro de 2024;otima;otimo;;9;;;;;;;;;
9 de dezembro de 2024;Fantástico;Todos os colaboradores do hotel são extremamente educados e solícitos!;;;;;;;;;;;
A vista é maravilhosa.;;;;;;;;;;;;;
"Café da manhã muito bom.""";A demora no check in. Era um final de semana lotado, e o horário de entrada não foi respeitado.;9;;;;;;;;;;;
7 de dezembro de 2024;Bom;Tamanho do quarto e da sala de estar;Quarto antigo muita coisa deteriorada , banheiro antigo ,;8;;;;;;;;;
7 de dezembro de 2024;Fantástico;Localização e café da manhã;Quarto meio antigo, precisando de reforma, e escuro.;9;;;;;;;;;
2 de dezembro de 2024;Fantástico;O conforto e atendimento;Demora no atendimento do restaurante;9;;;;;;;;;
2 de dezembro de 2024;Muito bom;"O funcionário Mateus da recepção foi muuuuuuito gentil e profissional quando pedi para mudar de quarto (razões abaixo). Ele me mudou para um quarto excelente, com todas as características que eu precisava (silencioso, alto, longe do elevador). E com o ""plus"" de ser enorme e ter uma vista espetacular. O que tornou minha viagem bastante agradável. Pretendo voltar!";;;;;;;;;;;
;;;;;;;;;;;;;
A área da piscina/restaurante é muuuuito bonita e agradável! A comida é deliciosa! ;;;;;;;;;;;;;
Seria legal se deixassem o som um pouco mais baixo; apenas de fundo; mas nada que comprometa o ambiente. ;;;;;;;;;;;
;;;;;;;;;;;;;
O café da manhã é excelente. Com muitas opções e tudo mto gostoso!;;;;;;;;;;;;;
;;;;;;;;;;;;;
Gostei muito de poder deixar minha mala na recepção após o check-out; para poder fazer prova. E por poder jantar antes de ir embora;" já que meu voo era de madrugada.""";A princípio me deram um quarto oposto ao que pedi na reserva que fiz há meses, mesmo reiterando o pedido no check-in. Eu fui a Recife para fazer prova de concurso e por isso era indispensável um quarto silencioso, em andar alto e longe do elevador, para poder estudar e dormir bem.;;;;;;;;;;
;;;;;;;;;;;;;
Mas no primeiro momento me colocaram no 5 andar exatamente em frente do elevador e em cima da piscina. E precisei pedir para mudar.;;;;;;;;;;;;;
;;;;;;;;;;;;;
"Achei os quartos muito antigos para o padrão do hotel.""";8;;;;;;;;;;;;
25 de novembro de 2024;Muito bom;O café da manhã estava bem farto e tudo muito fresco. Várias opçoes de frutas e o lugar bem agradável.;;8;;;;;;;;;
24 de novembro de 2024;Muito boa;Café faltavam algumas coisas ;;;;;;;;;;;
;;;;;;;;;;;;;
"pão de queijo""";Do q usei do hotel, não teve nenhum ponto;9;;;;;;;;;;;
21 de novembro de 2024;Foi uma estadia boa e divertida por conta do xodó;Do cachorro xodó recebendo os hóspedes na recepção.;O box do banheiro estava vazando água, então toda vez que se tomava banho o banheiro fica inundado.;9;;;;;;;;;
19 de novembro de 2024;Bom;Localização;Internet no quarto;7;;;;;;;;;
18 de novembro de 2024;Hospedagem aconchegante!;Bem localizado, atendimento excepcional, pessoal bem treinando e muito atencioso!;Prédio construído há 38 anos, mas com bom retrofit! ;;;;;;;;;;
Um fato preocupante é a colocação do nicho com as bisnagas de sabonetes líquidos a uma distância de 1;8 metro do chuveiro; naturalmente deslizante; e não haver corrimão nas paredes laterais para se sustentar no deslocamento de um ponto a outro . A queda de um hóspede; jovem ou idoso; traria sérios problemas para o hotel e para o hóspede. ;;;;;;;;
Levamos o fato à recepção; em alternativa colocaram um tapete plástico antiderrapante;" menos mal!""";7;;;;;;;;;;
18 de novembro de 2024;Rápida;Nada declarar;Achei muito velho precisa de uma reforma;8;;;;;;;;;
10 de novembro de 2024;Muito bom;Do apartamento reformado;Da reforma parafa;8;;;;;;;;;
29 de outubro de 2024;O custo benefício não é dos melhores, mas o hotel é bom;Inicialmente, o recepcionista LAURENT é Fabuloso: educado, atento e eficiente e o seu colega Mateus também é muito prestativo e cuidadoso. O quarto é amplo e aconchegante e o hotel está passando por uma boa reforma, espero que melhore. A localização é excelente e o café da manhã com muitas opções. Voltaremos com certeza.;Estive no Hotel, participando de um treinamento, que começou pela manhã e terminaria na hora do almoço, como o almoço foi na cobertura, loca de treinamento, atrasamos a nossa saida por, no máximo duas horas. descemos correndo e pedimos humildmente para reativar o cartão, somente para retirarmos as malas do quarto. O colaborador Jeferson, foi de uma insensibilidade e arrogância extrema, acho que falta neste atendente, a empatia que sobra nos outrois dois citados acima: Apesar de setarmos pedidindo um favor, pagamos pela diária, somos clientes e pacientemente aguardamos nas filas tanto do Check-in como do Check-out, pacientemente, e quando precisiamos que o hotel tivesse um pouco de apciência conosco, o seu preposto foi extremamente frio e intransigente. Será mesmo que numa segunda-feira, as 14h, o hotel estivesse tão lotado, que o recepcionista não pudesse ser cordial e propocionasse uma experiência positiva aos seus hóspedes?;8;;;;;;;;;
28 de outubro de 2024;Valeu a pena por serem só dois dias. Mas o preço está caro.;Bem espaçoso. O fato de terem feito upgrade no quarto. Vê-se que estão em melhorias e nota-se um esforço para serem melhores.;Barulho do ar condicionado. Ralo da base do duche entupido.;8;;;;;;;;;
27 de outubro de 2024;Boa;Achei o quarto muito bom ( reformado );O hotel muito confuso , elevadores ruins , café muito desorganizado;8;;;;;;;;;
24 de outubro de 2024;Fantástico;Localização e quarto reformado;Predio em reforma a longa data;9;;;;;;;;;
22 de outubro de 2024;Satisfatório;Localizacao excelente;Café da manha, bastante variedade porem faltou carinho na montagem da mesa, nos cortes das frutas;8;;;;;;;;;
21 de outubro de 2024;Hotel novo, reformado, com bom café e super bem receptivo.;Café da manhã é incrível, bons horários e bastante variedade. A equipe toda do hotel é super educada, solicita e sempre disponível, me ajudaram muito pois eu não conhecia nada da cidade.;Como o quarto era muito novo e recém reformado, havia muito espaço livre dando impressão que faltava algo e a pia do banheiro tinha um vazamento pingando água no chão a noite toda.;9;;;;;;;;;
20 de outubro de 2024;Muito bom;Tudo;;8;;;;;;;;;
20 de outubro de 2024;Bom custo benefício;Cafe da manhã;Quartos antigos;7;;;;;;;;;
19 de outubro de 2024;Hóspede frequente de hotéis, pois viajo quase que semanalmente;Café da manhã;Alguns quartos com instalações velhas, madeiras aglomeradas inchadas, cortinas rasgadas, cortinas que não vedam a entrada de luminosidade, etc apto 1103;;;;;;;;;;
Quando cheguei por volta da meia noite me colocaram no apto 802. Acontece que no apto 803 tinha cachorro latindo fortemente;;;;;;;;;;;;;
 Depois de muita espera consegui trocar para o 1103;" com os problemas elencados acima.""";7;;;;;;;;;;;
19 de outubro de 2024;Funcional e agradável;Localização, acolhimento pelo hotel, os funcionários, a qualidade da cama (colchão confortável), ducha muito boa e produtos do banheiro também, o café da manhã muito bom;Quarto muito escuro, só tinha um abajur para iluminar que não parava de piscar o quarto que é muito amplo e mal iluminado trás risco de acidente.;;;;;;;;;;
No banheiro uma das presilhas da tampa da bacia sanitária estava solta que é um risco de acidente. O quarto não tem ventilação natural sendo necessário permanecer com o ar ligado; não havia colcha ou coberta além do lençol de cobrir. Ao longo da noite senti desconforto para dormir pela falta de coberta. ;;;;;;;;;;;;
"Todos os pontos citados poderão ser corrigidos pelo hotel com facilidade""";8;;;;;;;;;;;;
18 de outubro de 2024;A localização é ótima, o restaurante também.;A localização é ótima, o restaurante também.;;8;;;;;;;;;
17 de outubro de 2024;Muito bom;Quarto que fiquei é bastante amplo, cama confortável, vista do mar, café bom e bem variado, ambiente em geral climatizado.;;8;;;;;;;;;
16 de outubro de 2024;Fantástico;Excelente localização, quarto muito amplo, café da manhã delicioso.;Nada;9;;;;;;;;;
16 de outubro de 2024;Boa estadia;Tamanho, conforto da cama e travesseiros;2 baratas no banheiro;8;;;;;;;;;
16 de outubro de 2024;Muito bom;Fiquei no quarto reformado que está ótimo;;8;;;;;;;;;
12 de outubro de 2024;Muito boa;Localização e o café da manhã;Eu reservei um quarto executivo de luxe e trocaram por uma suíte que tinha uma sala. O problema foi que o quarto e banheiro eram menores que o reservado. Com a sala a suíte é maior mas para o conforto vale o quarto e o banheiro.;8;;;;;;;;;
12 de outubro de 2024;Sempre ficamos hospedados neste hotel e esperamos continuar vindo.;Café da manhã, e a localização;Troca do quarto reservado por uma suíte que tem uma sala mas o quarto e o banheiro são menores que o quarto que reservei. Isto prejudicou o conforto.;8;;;;;;;;;
10 de outubro de 2024;Prorroguei a hospedagem e agora no quarto escolhido por mim.;Atendimento e o visual do quarto;Eu havia reservado o quarto duplo reformado em frente à praia . Mas no checkin disponibilizaram a “suite” que tem a sala antes do quarto. O quarto e o banheiro são menores que o quarto reservado. Não gostei da atitude do pessoal da reserva, sem nos consultar.;9;;;;;;;;;
8 de outubro de 2024;;;;8;;;;;;;;;
8 de outubro de 2024;Tudo muito legal. Recomendo este hotel;Café da manhã bom! Hotel oragnizado, limpo. Excelente localização perto do aeroporto e numa praia muito bacana e sem tubarões.;Só um detalhe o ralo do chuveiro tinha um escoamento limitado que não comportava a pressão da água gerando um alagamento no banheiro na hora do banho.;9;;;;;;;;;
6 de outubro de 2024;Gran Mercure Hotel;Gostei muito da cordialidade dos funcionários e da vista/ localização excelente.;;9;;;;;;;;;
3 de outubro de 2024;Fantástico;Adorei o quarto e o café da manhã!!;;9;;;;;;;;;
2 de outubro de 2024;Bom;Boa localização ao lado da praia;;;;;;;;;;;
Café da manhã com varias opções;;;;;;;;;;;;;
"Restaurante (Almoço e jantar) no local""";Batidas de porta para fecharem o quarto;;;;;;;;;;;;
Iluminação do quarto é um pouco escuro;;;;;;;;;;;;;
Alguns itens do quarto (ar condicionado;" internet e interruptores do lado da cama) não estavam funcionando""";7;;;;;;;;;;;
26 de setembro de 2024;estadia;localização próximo da praia;quarto antigo e com vários móveis velhos a porta do banheiro estava estragada não fechava;9;;;;;;;;;
25 de setembro de 2024;Muito bom;vista para mar. café da manhã;;8;;;;;;;;;
21 de setembro de 2024;Muito bom;Localização e equipe;Hotel muito velho;8;;;;;;;;;
19 de setembro de 2024;Boa.;Quarto espaçoso;O ar condicionado.;8;;;;;;;;;
18 de setembro de 2024;Muito bom;Localização . Equipe muito educada;Hotel velho, necessitando de reparos. Já não atende a categoria 5 estrelas. Comida no restaurante muito ruim.;8;;;;;;;;;
3 de setembro de 2024;Boa;Da localização;Da propaganda que dizia no site que não necessitaria de pré pagamento.. porém após 3 dias foi faturado as diárias. Tem que rever esse anúncio.;9;;;;;;;;;
29 de agosto de 2024;Bom;Localização;Quartos antigos, bem diferentes das fotos daqui... mofo nas paredes e ar condicionado pingando...;7;;;;;;;;;
28 de agosto de 2024;Muito bom;Um dos melhores atendimentos que já vi.;;8;;;;;;;;;
27 de agosto de 2024;Muito bom;;Não tinha lençol na cama! Somente um edredom;8;;;;;;;;;
27 de agosto de 2024;Localização perfeita !!!;Nesse hotel tem algumas suítes que passaram por reestruturação e outras que pararam no tempo, até aí tudo ok …No começo dessa viagem eu tive a oportunidade de estar em uma suíte renovada, que è um verdadeiro luxo e no final da viagem eu voltei para esse mesmo hotel e escolhi uma unidade não renovada eu recebi uma suite “ nível basicão” faltou um pouco do conforto de um cinco estrelas … Se è 5 estrelas teria que ser realmente um 5 estrelas em todas as ocasiões . O café da manhã muito bom com muitas opções.. os funcionários sempre solícitos muito educados.. na recepção, na área do café da manhã, os manobristas . Gostei muito da minha estadia . Voltei e voltaria mais vezes !!!! ;;;;;;;;;;;
Localização perfeita .. local da praia e a área em torno como farmácias; supermercados;" restaurantes.. vale a pena fica lá.""";Faltou uma máquina de café e algumas das suítes são dos anos 90 .. quando vocês irão terminar a reestruturação total desse hotel????;7;;;;;;;;;
26 de agosto de 2024;Muito bom;Localização e tamanho do quarto.;Não gostei do chuveiro, água fraca, e muito demorado para aquecer;8;;;;;;;;;
25 de agosto de 2024;Boa;Bom café, bem atendido, bastante opções;Faltou o antigo piano-bar que existia na época do Recife Palace;8;;;;;;;;;
24 de agosto de 2024;Bom;Ótimo quarto grande e confortável. Localização muito boa.;Instalações envelhecidas. ;;;;;;;;;;
Café da manhã farto;" mas se qualidade duvidosa.""";7;;;;;;;;;;;
21 de agosto de 2024;Fantástico;O hotel tem boa localização. O quarto é amplo, confortável e funcional. Foi oferecido um upgrade sem custos adicionais. O café da manhã é excelente.;O banheiro alagou algumas vezes após o banho. Não cheguei a reportar o problema.;9;;;;;;;;;
19 de agosto de 2024;Muito bom;Da recepção;Chuveiro sem água quente...;8;;;;;;;;;
16 de agosto de 2024;Excelente!;Fizemos uma passagem rápida e eles foram impecáveis. Tiveram todo o cuidado, carinho e ainda por cima o funcionário do café da manhã deu uma dica deliciosa do que não estava no cardápio: cartola! ;;;;;;;;;;;
A grandeza de tudo está nos detalhes.;;;;;;;;;;;;;
"Voltarei assim que possível.""";;9;;;;;;;;;;;
15 de agosto de 2024;Mas o menos;Localização do hotel;Hotel em reforma desde a pandemia.. no site só falam da reforma quando ja esta feita a reserva. Piscina não pega o sol.;7;;;;;;;;;
15 de agosto de 2024;Fantástico;A vista é linda, o ambiente é limpo e os atendentes são bastante prestativos, inclusive nosso recepcionista xodó que me apaixonei hahahah;Não tinha ar condicionado no quarto.;9;;;;;;;;;
14 de agosto de 2024;Fantástico;Apartamento muito amplo, localização excelente, ótimo café da manhã.;O fechamento do box, uma cortina, não veda a água e ensopa o chão do banheiro. Um hotel desse nível requer um fechamento decente, com blindex, por exemplo.;9;;;;;;;;;
9 de agosto de 2024;Viajei para relaxar, pois estou com burnout, e o hotel ajudou MUITO nisso!;Amei o café da manhã e tudo que pedi no restaurante era delicioso! A acomodação era ótima, eu moraria nela. Localização perfeita também.;Nada;9;;;;;;;;;
9 de agosto de 2024;Muito bom;Localização, conforto e Café manhã com muitas opções.;Achei o quarto escuro.;8;;;;;;;;;
4 de agosto de 2024;Razoável. Os funcionários são muitos simpáticos e fazem de tudo para tentar resolver os inconvenientes;O quarto é bem grande;Infelizmente está sem manutenção, muito mofo e mobília muito antiga, armário que não abre, porta que não fecha, janela que bate muito com o vento;8;;;;;;;;;
1º de agosto de 2024;Foi legal , mais não causou nada de mais empolgante;O quarto e café da manhã;Área piscina ( tb num era aquecida), academia, recepção;7;;;;;;;;;
1º de agosto de 2024;Fantástico;Gostei da receptividade dos funcionários, ótima localização, café da manhã fantástico!;;9;;;;;;;;;
29 de julho de 2024;Estadia foi ótima.;Atendimento, funcionários educados, limpeza satisfatória e café da manhã muito bom.;Iluminação do quarto deixa a desejar.;8;;;;;;;;;
26 de julho de 2024;Abaixo da expectativa e do padrão do hotel;Café da manhã e da localização;O hotel necessita de muitos reparos. Pintura das paredes, portas, acabamentos, estão mal conservados. Sempre me hospedo nesse hotel e desta vez passei por uma situação durante meu check in que merece registro. Aguardava minha vez na fila quando um outro hóspede simplesmente passou na minha frente e foi atendido normalmente pelo recepcionista. Parecia que eu era invisível.;7;;;;;;;;;
20 de julho de 2024;Hotel razoável;Localização muito boa, café da manhã muito bom;Acomodação antiga, academia abandonada e com aparelhos ultrapassados.;;;;;;;;;;
"Hall de entrada do Hotel pouco confortável e antigo.""";7;;;;;;;;;;;;
