data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;
O quarto é muito pequeno e o ar condicionado bem antigo;" daqueles de janela.""";7;;;;
16 de janeiro de 2025;Bom8;Localização;Limpeza;7;;
16 de janeiro de 2025;Deixou a desejar;Proximidade com praia, shopping e aeroporto;Ar condicionado barulhento, banheiro minúsculo, box muito pequeno , tv não é smart;5;;
16 de janeiro de 2025;Bom;Localização muito boa .;Não tinha estacionamento, somente uma toalha no quarto, recepção sem troco , inclusive não recebi até agora o Pix do troco;7;;
15 de janeiro de 2025;Satisfatório;Foi bom! Só falta trocar o arcondicionado e a TV 📺;A TV não é smart e o arcondicionado faz muito barulho!;6;;
15 de janeiro de 2025;O valor cobrado não é compatível com as instalações do hotel.;Gostei da localização.;Pedi pra antecipar algo do café da manhã, porque precisaria sair cedo e não me deram um posicionamento.;5;;
13 de janeiro de 2025;Bom;Perto da Praia;As acomodações poderia ser um pouco melhor.;7;;
12 de janeiro de 2025;Local para apenas uma noite.;Dos funcionários, bem receptivos, atenciosos e educados. Café da manhã bem servido. Localidade também é perfeita.;Dos mofos no quarto, cheiro ruim. Baixo custo mas não precisa ser pra tanto. Até um motel barato tem mesa, cadeira e um banheiro espaçoso.;6;;
12 de janeiro de 2025;Bom;Localização excelente, atendimento dos funcionários e limpeza.;Manutenção da estrutura dos quartos,.;7;;
6 de janeiro de 2025;custo benefício pela localização;localização;ar condicionado não funciona e barulhento, chuveiro somente água gelada;5;;
5 de janeiro de 2025;Crítica positiva.;Funcionários atenciosos, quarto bem limpo e café da manhã muito bom.;O prédio, no geral, está precisando de cuidados. Vi hóspedes reclamando de chuveiro que não funciona, porta agarrando, toalha de banho encardida, falta de um tapete no banheiro e faltado toalhas de rosto.;7;;
4 de janeiro de 2025;Tem uma ótima localização e para poucos dias é uma boa opção.;Localização;;7;;
4 de janeiro de 2025;O que salva é a localização e a presteza dos funcionários.;O café da manhã poderia ser bem melhor. A acomodação deixou a desejar. O banheiro mínimo.;O café da manhã pode melhorar muito e o banheiro desconfortável.;6;;
3 de janeiro de 2025;Razoável por causa do atendimento de uma funcionária e de um senhor;Localização e do atendimento de um funcionário que estava na recepção de madrugada.;Recepção. Antes de ir para o hotel eu enviei um e-mail perguntando se poderia fazer o check in 1 hora antes ( e responderam que sim), pois eu iria sair do hotel no mesmo dia da entrada. Quando cheguei na recepção cansado por causa de uma escala no voo, fiquei esperando 1 hora para fazer o check in, ou seja, esperaram dar o horário certo.;6;;
13 de dezembro de 2024;Poderia ser melhor;Boa localização, próximo a praia de Boa Viagem e a feirinha que acontece a noite. Funcionários simpáticos.;Quarto muito apertado. Um das camas estava sem um dos pés de suporte. Café da manhã com uma demora imensa na reposição.;7;;
8 de dezembro de 2024;Quarto bom,porém caro para hotel.;Poucas opções;Da recepção do hotel,foram bem hostil e café poucas opções;6;;
8 de dezembro de 2024;Aceitável;Só do café da manhã;;5;;
2 de dezembro de 2024;Bom;Localização perfeita, café da manhã bom;ar condicionado barulhento, quarto poderia ser melhor;7;;
29 de novembro de 2024;Sofrível. Estava programado 2 noites mas conseguimos ficar somente uma.;;Anunciam que tem estacionamento incluso, porém no local há estacionamento para somente 3 carros para o hotel inteiro.;5;;
23 de novembro de 2024;Aceitável;Localização;Fui com meu esposo e quando chega no quarto, tinha 2 cama de solteiro em vez de uma de casal .;5;;
20 de novembro de 2024;Atende ao que se propõe!;Localização, café da manhã, custo-benefício.;Confronto +/-, só ter 03 vagas no estacionamento, e assim o veículo quase sempre fica na rua. Poderia ter uma piscina ou área destinada a recreação infantil.;7;;
18 de novembro de 2024;Bom;;mofo no banheiro;7;;
13 de novembro de 2024;Bom;localizacao;travesseiros e banheiro pequeno;7;;
10 de novembro de 2024;Bom;Da localização e do atendimento.;Falta pano de chão no banheiro e também toalha de mão.;7;;
1º de novembro de 2024;Satisfatório;A localização é ótima, porém, o prédio está precisando de uma pintura, infelizmente tudo muito antigo, espelho mofado, estruturas um pouco danificada, mas a limpeza estava ok.;;6;;
29 de outubro de 2024;Muito bom curtir a praia da Boa Viagem;A localizacao do hotel eh excelente e o atendimento dos funcionarios foi muito bom.;O estado de conservacao do hotel deixa a desejar. Em funcao disso creio que o valor da diaria estava alta demais.;7;;
26 de outubro de 2024;Bom;o café da manhã e a localização;sem nada a reclamar;7;;
20 de outubro de 2024;Bom;Da acomodação,simpatia dos funcionários,chuveiro, limpeza do ambiente,perto de restaurante.;Do barulho do ar condicionado.;;;
A forma de fazer tapioca;"mas repassamos a funcionária a forma correta de fazê-la.""";7;;;;
18 de outubro de 2024;Aceitável;Localização;Conforto;5;;
14 de outubro de 2024;Bom;;Quarto pequeno.;7;;
13 de outubro de 2024;7;Boa relação custo x benefício. Vista bonita no café da manhã;Box do banheiro é extremamente pequeno;7;;
6 de outubro de 2024;Hotel quebra galho;Os funcionários são muito educados e prestativos;Instalações bem antigas, o prédio precisa de uma revitalização. Cama ruim, congelador do frigobar totalmente fechado com gelo, estacionamento para apenas 3 carros na calçada. É o famoso hotel quebra galho que já teve seus momentos de glória;5;;
23 de setembro de 2024;Bom custo benefício para pernoites, hotel se enqadra para pessoas q esºao de passgem por recife;custo benefio;um pouco antigo, mas pelo preço esta valando;6;;
21 de setembro de 2024;tudo bom dentro do possível;confortável, organizado;café preto sempre meio frio, gosto de café!;7;;
10 de setembro de 2024;Bom custo benefício;Da localização!;Não tem garagem.;7;;
9 de setembro de 2024;Aceitável;Localização;Café da manhã,limpeza os funcionários sem prática;5;;
7 de setembro de 2024;Satisfatório;Area do café da manhã.;A tv poderia já ser uma smartv.;6;;
3 de setembro de 2024;Bom;O café da manhã poderia ser melhor , e a localização muito boa;Café da manhã;7;;
27 de agosto de 2024;Aceitável;A localização é ótima e a cama muito confortável.;O café da manhã estava péssimo. Até frio o café estava.;5;;
26 de agosto de 2024;Bom;Ponto alto são os funcionários e a localização;;7;;
13 de agosto de 2024;Regular;Atendimento de alguns funcionários .;Instalação precária, portas e lixeiras quebradas, ar-condicionado sujo, o quarto não é limpo diariamente, principalmente o banheiro. Pela localização e preço poderia ser melhor.;6;;
12 de agosto de 2024;Foi normal pelo preço;Boa localização;Lençóis e toalhas poderiam ser mais bem higienizados e o quarto também, tinha aranhas;7;;
8 de agosto de 2024;Satisfatório;Boa localização, na praia da Boa Viagem. Apesar do hotel ser antigo serviu bem para uma noite. O quarto é espaçoso, estava bem limpo, o duche é bom e o pequeno almoço é bom com vista para o mar.;O hotel é muito antigo, está a precisar de uma remodelação. O ar condicionado é ruidoso. As cortinas velhas e sujas, precisam ser trocadas;6;;
7 de agosto de 2024;Razoável;Do quarto e localização;Café da manhã péssimo;5;;
1º de agosto de 2024;Aceitável;A localização é boa, no entanto é possível encontrar acomodações melhores na região pela mesma faixa de preço. O café da manhã não é espetacular, mas é decente.;O quarto que ficamos é muito pequeno. Banheiro minúsculo, ar-condicionado antigo e barulhento. As camas também são velhas e desconfortáveis.;5;;
30 de julho de 2024;Boa!;hotel compatível com anúncio, ótimo custo benefício, boa localização, café da manhã bom! o atendente Mário foi muito educado e solícito, deu todas as orientações, o hotel é bem simples, mas estava limpo, chuveiro quente.;no anúncio fala que tem estacionamento, mas na verdade é apenas 3 vagas na calçada em frente o hotel, portanto só os 3 primeiros que chegam consegue estacionar, o resto fica na rua mesmo.;7;;
19 de julho de 2024;Razoável;Ótima localização, perto de restaurantes, supermercados e da orla de Boa viagem.;As instalações, o banheiro minúsculo, a parte de tomar banho super apertada e o pior foi o ar condicionado, era dos antigos e fazia barulho demais, além de não gelar NADA.;6;;
17 de julho de 2024;Satisfatório;Excelente localização;Roupas de cama antigos. Colchão antigo e travesseiros finos.;6;;
17 de julho de 2024;Realista;O valor, apesar de alguns fatores e aspectos, pareceu-me razoável em detrimento da localização.;Ausência de estacionamento adequado e reservado.;6;;
15 de julho de 2024;Mas foi bom;Localização;Camas de solteiro sendo que seria de casal;7;;
10 de julho de 2024;Hotel bem localizado;Bem localizado, quarto amplo com ;;;;
"Vista pro mar. Um bom café da manhã e funcionários muito atenciosos.""";Falta de manutenção, dando a sensação e aspecto de sujeira. A pintura e o estado do forro estão muito ruins.;7;;;;
8 de julho de 2024;Desconfortável;O café deixa um pouco a desejar,a localização é ótima;Fiz a reserva,cheguei de madrugada e tinham cancelado minha reserva sem ao menos me avisar,tive que ficar no quarto do meu amigo,e cobraram o valor de um quarto completo,ou seja pagamos o valor de dois quartos por um.;6;;
7 de julho de 2024;Bom;Localização e Bom café da manhã!;Quarto não tinha pano de chão de banheiro, paredes com infiltração e não possui estacionamento.;7;;
2 de julho de 2024;Bom custo-benefício, conforto limitado, mas excelente localização.;Localização, custo e vista do café da manhã.;Instalações um pouco antigas.;7;;
27 de junho de 2024;Bom;O quarto!;;7;;
24 de junho de 2024;Foi boa;Localização e café variado, então um bom custo benefício.;Cheguei e estava o nome de outro hotel(antigo). Era bom terem comunicado antes, pq fiquei muito em dúvida.;7;;
24 de junho de 2024;Bom;ótima localização;não possui estacionamento, carro fica na rua.;7;;
23 de junho de 2024;Razoável;O hotel é caro para o que oferece. Café da manhã não é muito bom, o café estava frio. Diz que tem estacionamento privativo, mas o carro fica na rua.;Estrutura, café da manhã;6;;
23 de junho de 2024;Pelo custo da diária o hotel ele atende as exigências além de ser próxima a praia de boa viagem;O café da manhã é bem servido e com muitas variedades! Bem gostoso! Vista para o mar de boa viagem.;A limpeza do apartamento poderia ter sido melhor! Colocar lençóis melhores nas camas.;7;;
20 de junho de 2024;Bom;;Incrível. O hotel mudou de nome para Aquamar e não avisaram à booking. Quase nso acho.;7;;
25 de março de 2025;Votaria novamente sem problemas.;Café da manhã excelente e com bastante variedade.;;8;;
23 de março de 2025;Acomodação não valeu a pena, não voltaria novamente.;Gostei da localização.;Os funcionários, principalmente o recepcionista com quem falei não foi muito receptivo. Atrasaram mais de 1h no check in, que foi feito quase 15h da tarde. Os lençóis da cama muito finos, senti muito frio a noite toda, foi desconfortável. A limpeza estava deixando um pouco a desejar, pelo cheiro incômodo que havia no quarto, como se não tivesse sido limpo naquele dia.;3;;
19 de março de 2025;Muito bom;Da próximidade da praia;Os restaurantes longe;8;;
18 de março de 2025;Totalmente satisfatória, recomendo e espero retornar;Localização é dos funcionários;Poderia melhorar um pouquinho o café da manhã, mas atende bem pelo valor cobrado;9;;
14 de março de 2025;Vale o custo benefício;Localização, café da manhã.;Banheiros, pintura.;8;;
12 de março de 2025;AMBIENTE PESSIMA ACOMODAÇÃO,DESCONFORTAVEL;DEIXA A DESEJAR;;;;
NÃO TEM NADA QUE POSSA DIZER QUE TEM DE BOM;;;;;;
TV ANTIGA NAÕ PEGA NENHUM CANAL;;;;;;
AR CONDICIONADO DE GAVETA NAO PRESTA;;;;;;
CAMA PESSIMA;;;;;;
TOALHAS VELHAS;;;;;;
BANHEIRO ANTIGO PESSIMO AS LOUÇAS SANITARIAS;;;;;;
AGUA MINERAL 8;00 500|ml;;;;;
"CAFE DA MANHA DEIXA A DESEJAR""";GOSTEI DE NADA;1;;;;
10 de março de 2025;Paguei valor de hotel 5 estrelas para ficar em uma pousada;Hotel muito caro para o que oferece, instalações antigas, eu escutava o motor do elevador do meu quarto.;Cama velha, o quarto que eu estava o elevador não chegava.;4;;
6 de março de 2025;Atende o esperado;Ótima localização.;Instalações antigas.;9;;
3 de março de 2025;Excelente!;Camas e organização;Boa estrutura;9;;
1º de março de 2025;Fantástico;O atendimento é ótimo o local e excelente.;;9;;
21 de fevereiro de 2025;Excepcional;cafe da manha;o ar condicionado não gelava muito;10;;
20 de fevereiro de 2025;Muito ruim;Localização boa;;;;
"Café da manhã bom""";Banheiro pequeno e antigo;;;;;
Quarto também antigo;" até fios aparecwndo""";2;;;;
19 de fevereiro de 2025;Ruim;Apenas da localização.;"A garagem do hotel é rotativa e para apenas 3 carros. O quarto tem aspecto de velho e com manutenção prejudicada. Inclusive, a cama é péssima ( Dura). A rede do Wi-Fi estava oscilando , liguei para o recepcionista , mas no conseguia ouvir o mesmo, uma vez que o telefone me pareceu com defeito.. No dia seguinte, fui tomar o café da manhã, mas foi decepcionante, pois, a reposição é lenta e com pouca variedade. Infelizmente, peguei um melão azedo. Mais tarde, quando retornei do passeio, notei que a camareira "" arrumou o apartamento "" porém, a mesma, consumiu uma água e deixou a garrafa pela metade em cima de uma mesinha. Encontrei no banheiro uma toalha molhada e suja em cima da pia do banheiro. Obs. Não era a toalha que eu estava usando. E pra terminar , no momento do check out, o recepcionista queria me cobrar 8 reais pela água que a camareira abriu e deixou no mei quarto pela metade. Eu não volto nunca mais.";3;;
18 de fevereiro de 2025;Pode melhorar o conforto pra os clientes;Localização;Ar condicionado não presta, banheiro pequeno;2;;
17 de fevereiro de 2025;Decepcionante;Localização excelente, pertinho da praia. A equipe de atendimento foi acolhedora e os funcionários demonstraram grande simpatia e profissionalismo. O processo de check-in foi rápido e sem complicações.;O quarto, embora bem limpo e organizado, me deixou insatisfeito com a cama. Percebi que eram duas camas de solteiro unidas, o que não ofereceu o conforto esperado para uma boa noite de descanso. Isso foi um grande inconveniente, já que a junção das camas criava um desconforto visível e até um pequeno desnível.;;;
;;;;;;
Outro ponto que me desagradou foi o café da manhã. Apesar de ser bem servido; achei a variedade um pouco limitada. Faltaram opções mais diversificadas; como mais frutas da estação.;;;;
;;;;;;
Além disso; o chuveiro foi um grande problema. Não consegui tomar banho com água quente;" o que foi uma experiência extremamente desagradável.""";4;;;
11 de fevereiro de 2025;Foi o pior hotel que já me hospedei;Nada, infelizmente não tem pontos positivos!;O ar condicionado era velho e não gelava bem, o quarto cheirava muito mal e a janela não abria, iluminação ruim que deixava o quarto escuro, frigobar com mofo em cima, no banheiro tudo extremamente apertado e velho, o chuveiro não esquentava bem e o papel higiênico não foi se quer reposto! Tivemos problema com o botão do ar condicionado diversas vezes e precisamos ficar indo na recepção pedir ajuda pra conseguir ligar o aparelho, que funcionava bem mal! Os lençóis e travesseiros também estavam manchados e o café da manhã tinha um gosto duvidoso, fora que faltavam alguns itens. Funcionários também não foram tão receptivos, fora o elevador velho que por alguns momentos chegou a travar e não abrir as portas, sendo necessário pedir na recepção que puxassem o elevador novamente .;2;;
6 de fevereiro de 2025;TEM MUITO A MELHORAR;ATENDIMENTO DO CAFE DA MANHA, O CAFE DA MANHA MUITO EXCELENTE.;QUARTO MUITO VELHO, AR CONDICIONADO NÃO FUNCIONAVA, LENÇOE COM CHEIRO DE SUJO, BANHEIRO MUITO MINUSCULO, INFOMOU QUE TIRIA ESTACIONAMENTO CHEGANDO NO HOTEL NÃO FORNECE.;3;;
6 de fevereiro de 2025;Muito bom mesmo;Tudo certo;Nada;9;;
5 de fevereiro de 2025;Foi ótimo muito bem recebido;Tudo;;9;;
1º de fevereiro de 2025;Ruim;Senhor que estava na portaria uma simpatia em pessoa;Quarto muito velho moveis velho e também não condiz com as fotos não voltaria;3;;
30 de janeiro de 2025;Fantástico;Sim;Nada;9;;
30 de janeiro de 2025;Férias em Recife.;Café, atendimento, localização;;9;;
30 de janeiro de 2025;Péssimo;Infelizmente o hotel é muito fraco muito ruim pelo valor que cobra;Da acomodação do hotel muito ruim os móveis velho tudo ruim;1;;
28 de janeiro de 2025;Gostei muito;Climatizado e localização;;8;;
27 de janeiro de 2025;Péssimo;Tive uma experiência horrível. Primeiro que a foto não é compatível com o que eles oferecem, quarto ruim, fedido, cama ruim, lâmpada horrível, banheiro precisando de reforma e está de péssima qualidade. Não recomendo. Café da manhã ruim. Me decepcionei, quarto precisa ser reformado, parede com infiltração, luz péssima, fedor de quarto velho, estava em viagem a trabalho e precisava descansar do domingo para segunda para em seguida pegar um voo de volta à Brasília, e infelizmente não consegui descansar em um quarto tão nojento e desagradável.;;1;;
27 de janeiro de 2025;Vale o custo benefício;Localização;Ar condicionado barulhento;8;;
27 de janeiro de 2025;Ruim;Cafe bom!;Da acomodação e limpeza;3;;
26 de janeiro de 2025;Decepcionante;Os funcionários foram muito receptivos e atenciosos. ;;;;
"A localização também é muito boa. Pertinho da praia e do aeroporto.""";O chuveiro não esquenta. Móveis velhos e quebrados. Choveu e o quarto molhou inteiro.;4;;;;
25 de janeiro de 2025;Satisfatório;Localização excelente , enxoval de qualidade , café da amanhã bom;;8;;
25 de janeiro de 2025;Voltarei outra vezes;A vista do local, ficar na varanda olhando o mar, e lindo.;Não se aplica;9;;
24 de janeiro de 2025;Boa pela localização e valor porém falta infraestrutura e limpeza.;a localização do hotel é ótima, perto de mercados, praia, fácil acesso para tudo.;Os funicionários foram gentis e simpáticos, porém o quarto não era devidamente limpado, tava na cara que trocavam apenas as toalhas e lençois, não havia de fato uma limpeza.Na primeira noite apareceu 2 baratas, informei a recepção sugeri até uma realocação, o que não houve, a torneira do banheiro vasava tive que pedir duas vezes para resolverem o problema.;4;;
22 de janeiro de 2025;A localização é boa mas precisa melhorar na limpeza e manutenção do quarto.;A cama é macia, a localização é boa, o café da manhã é bom, mas tem vários pontos negativos.;Lençóis sujos com cheiro de suor, não tem estacionamento, ar condicionado não resfria bem, ducha do banheiro não funciona, toalha super encardida e tv apenas com canais abertos.;3;;
19 de janeiro de 2025;Custo benefício baixíssimo. W b;Apenas da localização.;Higiene muito, muito precária. Prato sujo no café que em nada era saboroso. Poucos funcionários, inclusive para reposição dos itens do café. Estacionamento, na verdade, são três vagas que não podem ser usadas, posto que havia um ônibus parado na frente.;3;;
15 de janeiro de 2025;Péssima,precisa de uma boa reforma urgente, principalmente o elevador;Nada;Tudo velho,mofado e quebrado;1;;
13 de janeiro de 2025;Excepcional;De tudo;Nada;10;;
13 de janeiro de 2025;Não consegui descansar por causa do cheiro de morfo!!;Cama boa, localização, atendimento dos funcionários.;Muito morfo!!;4;;
13 de janeiro de 2025;Fantástico;Localização maravilhosa. Café da manhã com fartura .;;9;;
13 de janeiro de 2025;Ok;Localização e custo benefício;Ar condicionado não gela bem;8;;
11 de janeiro de 2025;Muito bom;Atendimento. Custo-benefício.;;8;;
10 de janeiro de 2025;Fantástico;Localização;O atendimento pode ser ainda melhor;9;;
10 de janeiro de 2025;Péssima estadia. Não recomendo.;De nada;Quartos com lençol rasgado. Café da manhã péssimo. Não fizeram reposição das comidas. Cheguei no restante e todas as mesas estavam com pratos sujos. Banheiro não tem tapete de chão, só trocam toalha a cada 3 dias. Os quartos não são bonitos e limpos, como mostra nas fotos.;1;;
8 de janeiro de 2025;Não gostei cama ruim não tinha uma mesinha nem pra por um copo;De nada;Cama;1;;
5 de janeiro de 2025;Excelente estadia.;Quartos limpos e espaçosos;O horário do café pode ser mais cedo, às 06:00 hrs e não as 07:00hrs;10;;
5 de janeiro de 2025;Boa.;As camas são confortáveis.;O ralo do banheiro estava entupido. Mas logo resolverão esse problema.;8;;
2 de janeiro de 2025;Lugar mau cuidado!;Localização e café da manhã.;Interfone não funcionava e apesar de aviso, a lâmpada do banheiro ficou queimada. Um descaso com o hóspede.;;;
;;;;;;
"Barulho de madrugada no quarto acima.""";2;;;;;
31 de dezembro de 2024;Muito bom;Eu gostei muito da localização. Fica pertinho da Praia de Boa Viagem.;;8;;
28 de dezembro de 2024;Ruim;Localização;Desorganização dos funcionários, após confirmação de reserva o funcionários ligou avisando que não tinha vaga. Falta de trato para resolver pendências.;3;;
28 de dezembro de 2024;Péssimo;A localização do.hotel é boa. Porém, a estrutura do hotel é péssima. Precisa urgente de uma reforma. Os ar condicionados são muito antigos, são aqueles refrigeradores quadrados que não gelam nada. Passei muito calor. Reclamei. A recepcionista foi muito gentil e ligou para a gerente, para ver se resolvia o problema do ar condicionado, a gerente foi super arrogante e me informou que em todos os quartos, são aqueles tipos de ar condicionado da década de 80. Triste. Não tem conforto.;;1;;
23 de dezembro de 2024;Boa.;O atendimento é maravilhoso. Pessoas muito educadas e prestativas.;O prédio é antigo, mas estava tudo limpinho .;9;;
18 de dezembro de 2024;vale pelo custo beneficio;localização e preço;achei o cafe da manhã sem muitas opções;8;;
16 de dezembro de 2024;Muito bom;Muito bem localizado.;O espaço do box do banheiro era muito pequeno.;8;;
15 de dezembro de 2024;Decepcionante;Só a localidade, quarta muito pequeno;Que estão me cobrando uma coisa que não consumimos, até porque passei no máximo 3 horas no hotel, e estão me taxando 2 águas e duas cervejas;4;;
12 de dezembro de 2024;Procurem;O que tinha de bom nesse hotel, foi só a toalha macia e o papel higiênico macio.;;;;
"Localização próximo do que eu precisava.""";Atendimento ruim, começamos da recepção, não tem garagem (Os carros ficam na rua) acomodações péssimas, estrutura velha, banheiro apertado, instalações do tempo das cavernas.;2;;;;
9 de dezembro de 2024;Decepcionante;O atendimento de Roberto, ele é muito atencioso. A localização é ótima.;O café da manhã, cama desconfortável, durante a nossa estadia o corredor de acesso ao quarto permaneceu obstruído com uma cama box.;4;;
7 de dezembro de 2024;Chuveiro queimado;;Cheguei ao hotel em uma sexta-feira, por volta das 16h. Quando fui tomar banho (17h30) , vi que o chuveiro estava queimado. Simplesmente falaram que poderia trocar só no dia seguinte, por volta de 9h, sendo que eu sairia do hotel as 8h. Não tinham outro quarto para me colocar, pois falaram que todos os quartos já estavam com hóspede.;4;;
7 de dezembro de 2024;Não gostei, não volto no hotel.;Somnente a localização é boa.;Privada entupida. ;;;
Roupa de cama não cheirava bem.;;;;;;
"Café muito precário.""";1;;;;;
24 de novembro de 2024;Viagem Curta em Casal;Localização, vista do quarto, tomadas funcionais no quarto, café da manhã, fast foods próximos, bem próximo da orla e ponto de bike Itaú.;Espaço da ducha do banheiro, um pouco apertado.;8;;
19 de novembro de 2024;Lençóis manchados de sangue;Localização;A limpeza do quarto, com lençóis sujos, com manchas de sangue;1;;
18 de novembro de 2024;Muito bom;Ótimo custo benefício, funcionários prestativos e educados;Somente um elevador;8;;
16 de novembro de 2024;Muito bom;Sim;Os sucos;8;;
15 de novembro de 2024;Ruim;Apenas da vista do mar;Das instalações de um modo geral! Desde o elevador, a limpeza, o quarto é muito ruim. No primeiro dia qdo cheguei, 23:30h, tive que subir o último lance pela escada, e o quarto estava alagado devido a vazamento no ar condicionado! Geladeira desligada , não tinha nem água dentro! Não pude mudar de quarto, só no dia seguinte! O outro quarto, o ar condicionado praticamente não resfriava e fazia muito barulho! Não recomendo a hospedagem...;3;;
15 de novembro de 2024;NÃO RECOMENDO;Só o café da manhã que é ótimo;Não gostei da hospedagem! Não recomendo.;;;
Roupas de cama muito sujas e cama dura ;;;;;;
Banheiros com cheiro de xixi ar condicionado não gela bem; ;;;;;
"Não tem estacionamento disponível para todos os hóspedes""";1;;;;;
10 de novembro de 2024;Muito ruim;De nada;;2;;
10 de novembro de 2024;Perfeita;Tudo;Nada;10;;
9 de novembro de 2024;excelente equipe de atendimento...atenciosos e prestativos.;bom;gostei de tudo !;8;;
3 de novembro de 2024;O pior local que já reservei.;Somente da localização mas levando em consideração o resto, não vale a pena… tem outros na mesma faixa de preço e local.;Por onde começar? O quarto que ficamos é no último andar e ainda sobe uma escada no meio do local do café da manhã, pensei: ok. não é um problema. Mas estava tendo uma farra no local do café da manhã à noite… várias pessoas bebendo, fazendo carne em uma airfryer, ouvindo música e falando alto e tivemos que passar pelo meio deles várias vezes (me senti em um BAR de beira de esquina e não em um hotel tamanha era a cachorrada no local). ;;;
;;;;;;
