data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;
5 de março de 2025;Pelo preço e localização vale muito!;Localização e preço.;O quarto sem janela, somente basculante. Achei claustrofóbico e até perigoso caso haja algum incêndio, não tem escape.;8;;;;;;;
2 de março de 2025;Excelente custo benefício,;ótima estada, ótimo preço, voltaria a me hospedar no Uzimar.;Foi tudo bom, talvez um serviço de copa a noite.;9;;;;;;;
2 de março de 2025;Fantástico;Conforto;Sem lugar suficiente para estacionar o carro;9;;;;;;;
1º de março de 2025;Muito boa.;Localização boa. Perto da praia, de padaria, farmácia, mercadinho e restaurante.;Cafe da manha pode melhorar. Tinha poucas opções para um hotel.;8;;;;;;;
24 de fevereiro de 2025;Muito bom;Bem localizado, quartos bons e amplos e café da manhã bom.;Um ponto negativo eram as roupas de cama, que só tinham lençóis para se cobrir. Esse detalhe teria feito a experiência ser melhor.;8;;;;;;;
22 de fevereiro de 2025;Localização.;Da equipe da recepção.;Da falta de limpeza diária no quarto, do tipo de colchão (muito duro).;7;;;;;;;
21 de fevereiro de 2025;Muito bom;Localização.;A água que saia das torneiras do banheiro, estava com gosto ruim, no banho de tão estranha o sabonete não espumava. Causou irritação na pele de uma das colegas. Café da manhã fraco.;8;;;;;;;
21 de fevereiro de 2025;Muito boa. Recomendo e pretendo voltar.;;O box do banheiro era muito pesado para ser fechado. ;;;;;;;;
"O ralo demora para sugar toda a água depois do banho.""";9;;;;;;;;;;
18 de fevereiro de 2025;Ótimo custo-benefício;Equipe super prestativa, quartos espaçosos, hotel em ótima localização (inclusive, com relação ao aeroporto), café da manhã simples e justo, tudo bem limpo.;Camas um pouco duras, banheiro com chuveiro gotejando, acústica nada favorável ao sono.;7;;;;;;;
17 de fevereiro de 2025;Fantástico;Localização;;9;;;;;;;
17 de fevereiro de 2025;Bom;Hotel organizado, quartos limpos e camas boas, café da manhã ótimo e variado.;Água salobra, falta de coberta.;8;;;;;;;
17 de fevereiro de 2025;Bom;Bem próximo a praia. Boa localização. Boa limpeza dos quartos e dos ambientes;Estrutura do quarto bem simples. Banheiro com entupimento. Cama pouco confortável. Tv muito antiga. Café da manhã pouco atrativo, mas bem organizado.;7;;;;;;;
17 de fevereiro de 2025;Muito bom;Excelente localização ;;;;;;;;;
Excelente custo benefício ;;;;;;;;;;;
"Cafe da manha bom""";;8;;;;;;;;;
8 de fevereiro de 2025;Muito bom;Localização e conforto;Serviços;8;;;;;;;
7 de fevereiro de 2025;Bom;Localização;;7;;;;;;;
5 de fevereiro de 2025;Fantástico;Boa localização, quarto confortável;;9;;;;;;;
3 de fevereiro de 2025;Ok;Bom custo benefício, padrão.;TV ser smart, o que não era;8;;;;;;;
2 de fevereiro de 2025;Ótima, recomendo!.;Excelente atendimento, café da manhã muito bom.;Muito barulho no corredores pela manhã.;9;;;;;;;
29 de janeiro de 2025;recomendo;Atendimento;;;;;;;;;
"Equipe muito atenciosa""";;9;;;;;;;;;
27 de janeiro de 2025;Excêntrico custo benefício;Excelente custo beneficio, a localização é um ponto forte dessa hospedagem, pois é possível ir a vários restaurantes, e para a própria praia de boa viagem em poucos passos. O café da manhã é bem variado e surpreendeu.;A água do banheiro estava bastante salobra, o que chegou a nos incomodar durante nossa estadia. Também achamos a quantidade de tomadas aquém da nossa necessidade, também não tinha nenhuma do lado das camas.;9;;;;;;;
27 de janeiro de 2025;Atendeu muito bem minhas necessidades.;Café da manhã muito bom. Tinha muita variedade e bem feito.;;8;;;;;;;
27 de janeiro de 2025;Hospedagem tranquila, acessivel, gostei bastante.;Localização ótima, café da manhã gostoso, quartos confortáveis!;Um probleminha no ralo do banheiro, q estava enchendo o box de água, mas depois tiramos o ralo do box e deu tudo certo;7;;;;;;;
26 de janeiro de 2025;Bom;Bom;Bom;8;;;;;;;
25 de janeiro de 2025;Boa;Localização;Porta de entrada que precisa esperar abrir;8;;;;;;;
24 de janeiro de 2025;Bom;Localização muito boa.;;;;;;;;;
"Café da manhã bem diversificado.""";Prédio um pouco antigo, a porta do banheiro estava um pouco estragada, não tinha TV a cabo.;7;;;;;;;;;
24 de janeiro de 2025;Ok;Preço;;;;;;;;;
"Localização""";Café da manha abaixo das expectativas. Ar condicionado Ok.;8;;;;;;;;;
22 de janeiro de 2025;Muito bom;Da loca localização, excelente e com bons restaurantes ao redor.;A estrutura do hotel é simples;8;;;;;;;
20 de janeiro de 2025;Muito bom;Os funcionários são super resolutivos e educados. Conseguimos deixar nossas coisas na recepção antes do check in e acabamos entrando no quarto mais cedo. O café da manhã é bem variado e de qualidade. Localização muito boa, dois quarteirões da praia. Custo-benefício compensa demais!;Poucas tomadas no quarto e falta de ducha no banheiro.;8;;;;;;;
20 de janeiro de 2025;Fantástico;Ambiente limpo, quarto confortável , bom café da manhã.;A água do chuveiro e pia estava salgada, bastante salgada. Somente isso que foi um pouco ruim.;9;;;;;;;
16 de janeiro de 2025;Muito bom;Tamanho dos quartos;Foi esquecido de fazer a limpeza do quarto num dia.;8;;;;;;;
16 de janeiro de 2025;Ótimo custo benefício;Da localização e do café da manhã;Da cama, pois o colchão é colocado em cima de uma base de cimento com pontas nas extremidades. Não gostei do espaço de convivência, pois é pequena e sem ventilação.;8;;;;;;;
13 de janeiro de 2025;Muito bom;Limpeza e localização excelente.;Falta de alguém para carregar as malas para o 1° ou 2° piso, pois não tem elevador.;8;;;;;;;
13 de janeiro de 2025;ótimo;Quarto confortável, bom atendimento dos funcionários, café da manhã muito bom.;;9;;;;;;;
12 de janeiro de 2025;Por detalhes podia ser uma experiência melhor !;Boa localização !;Banheiro muito apertado, água salobra;8;;;;;;;
11 de janeiro de 2025;Bom em relação ao custo benefícios.;Localização.;O cheiro do colchão. Um cheiro ruim;7;;;;;;;
10 de janeiro de 2025;Bom custo-benefício;Excelente localização, café da manhã é razoável, cama confortável, banheiro tem tamanho adequado, e os funcionários da recepção são educados e ágeis.;A TV do quarto parou de funcionar, o Wi-Fi fica oscilando, os funcionários do restaurante são mal educados e a água quente do chuveiro tem temperatura excessiva. Cobertores da cama são muito finos.;8;;;;;;;
9 de janeiro de 2025;Ótima Localização, café da manhã excelente.;Quarto, Café da manhã, estacionamento, localização.;Não possui tomadas 110V.;9;;;;;;;
8 de janeiro de 2025;Muito bom;Funcionários excelentes, ótimo café da manhã.;Hotel sem elevador, peguei muitas escadas, um labirinto, eu que tenho claustrofobia demorei a me estabilizar, mas quase não consigo ficar naquele lugar, zero entrada de ar, e sem janelas nos corredores;8;;;;;;;
8 de janeiro de 2025;Muito bom;Café da manhã e localização;;8;;;;;;;
7 de janeiro de 2025;Tranquilo;Café da manhã razoável!!;Não deu tempo de avaliar;8;;;;;;;
7 de janeiro de 2025;Pousada ok.;;Local não possui recepção, que dificulta o check in. A cama de solteiro do quarto triplo não era boa, colchão extremamente fino, muito desconfortável para dormir…;7;;;;;;;
6 de janeiro de 2025;Bom;;Café da manhã não tem muitas opções.;7;;;;;;;
6 de janeiro de 2025;Muito bom;Da localização.;;8;;;;;;;
5 de janeiro de 2025;Muito bom;Proximidades da praia!;Não havia muitas opções de lazer no entorno.;8;;;;;;;
5 de janeiro de 2025;Muito bom;Quanto bem confortável e limpinho, porém a entrada no quarto teve um hora de atraso foi o único ponto negativo da estadia.;;8;;;;;;;
4 de janeiro de 2025;Muito bom;Quartos simples porém funcionais e limpos..;;;;;;;;;
Café da manhã com ótimas opções.;;;;;;;;;;;
"Localização muito boa em Recife.""";Acústica dos quartos não é muito boa.;;;;;;;;;;
"No check-in o processo é realizada de forma escrita.""";8;;;;;;;;;;
4 de janeiro de 2025;Satisfeita!;Localização maravilhosa, ambiente limpo, preço justo, quarto arrumadinho.;Pouca luz no banheiro para fazer maquiagem, café da manhã poderia ser um pouco melhor, mas já atende o objetivo, não vi elevador para subir com muitas malas.;8;;;;;;;
3 de janeiro de 2025;Carioca;Gostei de tudo;Nada a Declarar;9;;;;;;;
3 de janeiro de 2025;Fantástico;Muito bom;Sim;9;;;;;;;
3 de janeiro de 2025;fiquei apena um dia nem tomei café, saí de nadrugada;;os travesseiros são pessimos e o sabonete ma qualidade;7;;;;;;;
3 de janeiro de 2025;foi uma boa estadia, recomendo.;as instalações são muito boas. Só acho que o café pode ser melhorado.;pouca variedade no café.;9;;;;;;;
30 de dezembro de 2024;Boa;O hotel parece uma pousada , é simples . Pra quem não precisa de muito luxo tá ótimo . O chuveiro é excelente, cama ótima pra quem tem problema na coluna , o ar-condicionado funciona bem , café da manhã razoável e funcionários bem educados . Pelo custo benefício é bom .;Chuveiro e localização;7;;;;;;;
29 de dezembro de 2024;Ótimo custo-beneficio. Boa limpeza e localização. A água do hotel é salobra, mas não tem cor.;Ótima localização e custo-benefício.;Penso que o prédio tem poço próprio e que a água é salobra, por conta da proximidade com o mar. Mas a água é limpa e sem cor.;9;;;;;;;
20 de dezembro de 2024;Fantástico;O café melhorou, porque a equipe acho que mudou. Estão mais atentas as reposições. Espero que continue melhorando mais e mais. Nos demais itens tudo ótimo!;;9;;;;;;;
17 de dezembro de 2024;Boa;Localização;Wi-Fi;8;;;;;;;
17 de dezembro de 2024;Atendeu as expectativas para uma hospedagem rápida a trabalho;É bastante razoável, cumpre bem o papel de primeira refeição do dia;Quarto poderia ser um pouquinho maior, para três pessoas é pequeno, ainda que eu estivesse sozinho no quarto;7;;;;;;;
17 de dezembro de 2024;Bom;Café da manhã muito bem servido! Apesar de não ser garantido, possui estacionamento com algumas vagas disponíveis, depende da hora que você chegar.;Limpeza dos banheiro. Privada não funcionava bem.;7;;;;;;;
17 de dezembro de 2024;Muito bom;Excelente localização, hotel com ótima relação custo x benefício. Embora informe indisponibilidade de estacionamento, creio por não poder atender a quantidade de leitos disponível. mas existe vaga na área interna e na frente do hotel.;;8;;;;;;;
17 de dezembro de 2024;Bom;a localização e a limpeza;;7;;;;;;;
9 de dezembro de 2024;Um hotel prático para se passar uma noite , pra quem vem a negócios .;Quarto limpinho com ar bom , café da manhã gostoso, o bolo de chocolate é bom mesmo !;Concordo com as reclamações que citaram aqui : acústica péssima, o lençol parece de plástico . ;;;;;;;;
Poderiam fazer convênio com algum estacionamento; deixei o carro na rua;" fiquei preocupada pq a rua a noite é esquisita""";7;;;;;;;;
6 de dezembro de 2024;Muito bom!;Custo Benefício;;9;;;;;;;
2 de dezembro de 2024;Fiquei satisfeita com o custo/benefício;Da localização, bem próxima à praia de boa viagem e tb do aeroporto.;O café da manhã fica a desejar.;8;;;;;;;
2 de dezembro de 2024;Bom;O hotel não consegue ofertar conforto sonoro aos hospedes e quem viaja a trabalho sofre.;Acústica ruim do quarto.;7;;;;;;;
1º de dezembro de 2024;Muito bom;;a água do chuveiro não permite o sabonete ensaboar.;8;;;;;;;
1º de dezembro de 2024;Bom custo benefício;Localização muito boa.;Lençóis finos e a acústica do quarto não é muito boa.;8;;;;;;;
28 de novembro de 2024;Bom;Custo benefício.;Vaga para estacionar.;7;;;;;;;
27 de novembro de 2024;Pode melhorar;A localização é excelente!;Hotel deixa a desejar em vários quesitos, mas o principal é o conforto, o banheiro é pequeno e mal dividido, toalha áspera, lençóis de cobrir muito fino e a cama não é confortável.;7;;;;;;;
25 de novembro de 2024;Ótima localização.;Café da manhã justo, com um bolo de chocolate delicioso.;;;;;;;;;
;;;;;;;;;;;
"Excelente localização.""";A cama é dura demais pra mim. Pra quem curte camas ortopédicas é um prato cheio.;;;;;;;;;;
;;;;;;;;;;;
"O ralo do chuveiro não é adequado para a vazão da água do chuveiro. Mas ajustando a potência fica ok.""";8;;;;;;;;;;
20 de novembro de 2024;Fantástico;;FALTOU SABONETES E SHAMPOO, BEM COMO MANTAS GROSSAS.;9;;;;;;;
20 de novembro de 2024;Muito bom;Acomodação;Cafe da manhã. mJa foi melhor;8;;;;;;;
18 de novembro de 2024;Bom custo-benefício;O café da manhã era gostoso, tinha o essencial. A localização é boa, perto da praia. Tinha água quente no chuveiro. Funcionários sempre simpáticos e atenciosos.;O ar condicionado tinha problema, às vezes não gelava muito bem.;9;;;;;;;
18 de novembro de 2024;Muito bom;Da recepção que prontamente tentaram resolver meu problema;Alguns quartos não tem janela;8;;;;;;;
16 de novembro de 2024;Justo;Preço justo;Limpeza e atenção dos funcionários;8;;;;;;;
16 de novembro de 2024;Bom;Não tinha nada de excepcional ,café da manhã razoável;Quarto extremamente claustrofóbico, TV pequena;7;;;;;;;
12 de novembro de 2024;Bom;Custo x benefício , café simples, mas bom!;Água do chuveiro bem salobra.;8;;;;;;;
12 de novembro de 2024;Bom, mas pode melhorar.;;Banheiro entupido, luz do quarto tinha dia que funcionava, outros não, pouca opção na recepção para comprar lanches, deixou de arrumar o quarto uma noite.;7;;;;;;;
11 de novembro de 2024;Adequada;Bem localizado, quarto amplo.;Café da manhã fraco, falta de manutenção no sanitário (assento quebrado).;7;;;;;;;
8 de novembro de 2024;Agradável;Localização;Café da manhã poderia ser mais diversificado;8;;;;;;;
3 de novembro de 2024;Fantástico;Ótimo custo beneficio, próximo de tudo, café da manha simples mas atende muito bem!!;Por ser pequeno de manha faz muito barulho, as pessoas levantando, conversando, abrindo e fechando as portas!! Para nós que só estavamos de passagem deu certo;9;;;;;;;
30 de outubro de 2024;Muito bom;A localização é muito boa, um quarteirão da praia, fui caminhando tranquilamente de dia, café da manhã muito bom, com variedades, atendimento também muito bom, funcionários solícitos, o chuveiro maravilhoso!;Sem reclamações , atende bem comparando ao valor pago.;8;;;;;;;
29 de outubro de 2024;Boa estadia, nada excepcional;Bem localizado, estacionamento fechado, funcionários prestativos,;O quarto com pouco espaço e a parte do banho sem uma cortina ou boxe para não molhar o restante do banheiro, o cafè da manhã poderia ter mais variações.;7;;;;;;;
22 de outubro de 2024;Avaliação;Localização;Zuada nos Corredores;7;;;;;;;
19 de outubro de 2024;Zzz;Bom;Zzz;9;;;;;;;
16 de outubro de 2024;VOLTARIA APESAR DAS DIFICULDADES DESCRITAS;Quarto foi limpo no segundo dia de hospedagem.,agua DO CHUVEIRO ruim para ensaboar a pele.;;;;;;;;;
CAFE DA MANHÃ MUITO BOM ;;;;;;;;;;;
UM DOS ATENDENTES NÃO NOS FACILITOU A GUARDA DE BAGAGENS;MAS APOS A TROCA DE TURNO DESTE PROFISSIONAL GUARDAMOS AS BAGAGENS E PUDEMOS NOS TROCAR.UMA VEZ QUE TINHAMOS EVENTO DE TRABALHO E CHEGAMOS DE OUTRO ESTADO ANTES DO HORARIO DO CHECKIN-NÃO PUDEMOS TOMAR BANHO;"MESMO PAGANDO PELO SERVIÇO.AREA DE FUMANTE PROXIMA DA AREA DE NÃO FUMANTES.....SENTI MUITAS VEZES CHEIRO DE CIGARROS.....""";DEMAIS PROFISSIONAIS NOS ATENDEREM MUITO BEM.;7;;;;;;;
6 de outubro de 2024;Muito bom;Comodidades e iluminação muito boa.;O banheiro do esgoto estava com um mal cheiro, mesmo o banheiro limpo.;8;;;;;;;
6 de outubro de 2024;Bom;Bom café da manhã, ótima localização.;Tinha apenas uma tomada no quarto, e o ambiente ficava um pouco barulhento a partir das 5h da manhã. Os hóspedes e a equipe do hotel falavam um pouco alto.;7;;;;;;;
5 de outubro de 2024;Bom;Localização boa.;Muito barulho em todos os horários;7;;;;;;;
4 de outubro de 2024;Bom;A localização é otima;Teve overbooking e a gente foi redirecionado para outro hotel do mesmo proprietário. Achei o custo do hotel alto pra infraestrutura que oferece. A limpeza é razoável, mas Um dia o talher que peguei estava mal lavado e tinha até traça na fatia do queijo no café da manhã. O estacionamento é escasso e ainda pede pra assinar um documento cujo texto não reflete com a verdade (queriam que eu assinasse que estava obstruindo um veículo e que eu não me ausentaria do hotel, sendo que nada disso era verdade). Nosso quarto era ao lado da cozinha. Então 6hs já tinha muito barulho de conversa, rádio em volume alto, batidas de talheres e panelas.;7;;;;;;;
2 de outubro de 2024;Avaliações;O hotel é muito bem localizado. O quarto de casal é grande e confortável, o café da manhã apesar de simples é bom, os funcionários são bastante prestativos e educados. Apesar de não informar, o hotel tem estacionamento rotativo e não é cobrado nenhuma taxa.;Os quartos apesar de grandes, possuía apenas 2 tomadas. Uma é usada para o frigobar e a outra fica livre pra gente reversar. ;;;;;;;;
Outro ponto negativo é a qualidade da água que sai do chuveiro e da torneira.;;;;;;;;;;;
Foi preciso comprar água mineral para escovar os dentes;" porque o sabor salgado da água incomodava muito.""";7;;;;;;;;;
1º de outubro de 2024;BOM CUSTO BENEFÍCIO, PORÉM TEM PONTOS IMPORTANTES A MELHORAR.;1. Gostei do custo-benefício.;;;;;;;;;
2. Localização excelente.;;;;;;;;;;;
3. As comidas do café da manhã são gostosas.;;;;;;;;;;;
4. O quarto é bem confortável.;;;;;;;;;;;
5. Colocaram camas extras em nosso quarto.;;;;;;;;;;;
"6. Bom espaço e divisão para acomodação das malas.""";1. A água do local é salgada, ruim até para escovar os dentes. O gosto era estranho.;;;;;;;;;;
2. Não achei os funcionários receptivos. ;;;;;;;;;;;
3. Não gostei de uma situação que aconteceu logo quando chegamos em que a funcionária da recepção disse que conversaria com o dono sobre as condições de pagamento e menos de 2 segundos depois já nos informou que não teria conversa; sendo que não dava nem tempo dela ter conversado com o dono sobre;" conforme ela tinha nos dito. Seria muito mais de bom tom ela falar a verdade e não nos """"enganar"""". ";;;;;;;;;
4. Achei pouco tempo para o serviço de café da manhã. ;;;;;;;;;;;
5. Pouca quantidade de tomadas nos quartos. ;;;;;;;;;;;
6. Ar condicionado não gela tanto. ;;;;;;;;;;;
"7. Achei o quarto um pouco escuro.""";9;;;;;;;;;;
27 de setembro de 2024;Fantástico;Atendimento dos funcionários;Limpeza do banheiro;9;;;;;;;
25 de setembro de 2024;Muito bom;Café da manhã é bom,quarto confortável.;A água da pia e do chuveiro era doce e tinha cheiro forte ,quando eu ia escovar os dentes era desagradável. E o acesso é escada ,eu que estava com mala grande e pesada foi bem complicado pra subir .;8;;;;;;;
21 de setembro de 2024;Bom;;Café da manhã;7;;;;;;;
19 de setembro de 2024;Muito bom;MUITO BOM, EM TODOS OS ASPECTOS, FUNCIONÁRIOS BEM ATENCIOSOS E EDUCADOS, A LOCALIZAÇÃO ÓTIMA PERTO DE TUDO.;;8;;;;;;;
19 de setembro de 2024;Fantástico;Sempre me hospedo, e todas as vezes são mto bom;Escadas;9;;;;;;;
16 de setembro de 2024;Ótimo custo-benefício.;Hotel muito bem localizado, com bom café da manhã. Ótimo custo-benefício.;;8;;;;;;;
16 de setembro de 2024;Muito bom;Localização e café da manhã;;8;;;;;;;
9 de setembro de 2024;Bom café da manhã;Do conforto e da atenção dos funcionários;Não lembro e não tenho nada do que reclamar;9;;;;;;;
7 de setembro de 2024;Bom;Do atendimento do funcionário que fez nosso check-in. Muito educado, simpático e solícito. Inclusive nos ofereceu um quarto melhor por uma diferença pequena do que havíamos reservado.;Ficamos na ala dos quartos recém reformados. Contudo, o chuveiro era fraco e a água salobra (péssimo banho). ;;;;;;;;
Café da manhã com poucas opções e a comida não é saborosa.;;;;;;;;;;;
Equipe da manhã; altamente mal educada. Quando descemos para o café da manhã; passamos pelos corredores e recepção cumprimentando os funcionários que por acaso encontrávamos; nenhum deles respondeu ao nosso Bom Dia! Literalmente falamos com as paredes.;;;;;;;;
"Administração precisa urgentemente ministrar curso de bom atendimento ao hóspede/turista.""";7;;;;;;;;;;
30 de agosto de 2024;Bom custo benefício.;Limpeza e prestatividade dos funcionários.;O café da manhã poderia ser melhor.;8;;;;;;;
28 de agosto de 2024;Já havia ficado nesse hotel em 2019, quis repetir a estadia em 2024, saio satisfeita!;A equipe do hotel muito boa. A recepcionista fez questão de atender meus pedidos. O arrumador do quarto foi muito atencioso e fez questão de nos informar que ele passou no quarto, todo dia deixava uma figura nas toalhas, são pequenos detalhes que nos fazem sentir queridos.;Os detalhes ainda faltam serem arrumados no hotel. Exemplos: falta de suporte para toalhas, cheiro de esgoto no ralo do banheiro, a arrumadeira tinha dias que esquecia de deixar dois lenções e duas toalhas, a internet passou uns 4 dias sem funcionar, devido a um acidente na rua com os cabos (poderia ter um plano B).;7;;;;;;;
25 de agosto de 2024;Ótima e satisfatória. Fui à trabalho e atendeu as expectativas pela excelente localiação;Café da manhã é ótimo, localização excelente e custo benefício.;Realizaram a limpeza do quarto sem a solicitação. Mas, no geral foi ótima a estadia;8;;;;;;;
25 de agosto de 2024;Fantástico;Do atendimento, pessoas prestativas.;;9;;;;;;;
24 de agosto de 2024;Muito bom;;não gostei muito do travesseiro;8;;;;;;;
21 de agosto de 2024;Bom;Localização;Não tinha lençol e nem toalha suficiente;;;;;;;;
"Colchão muito duro""";7;;;;;;;;;;
20 de agosto de 2024;Mais ou menos boa;Do café da manhã;Quarto minúsculo, cama minúscula, banheiro muito próximo da cama e os ralos subiam um odor;7;;;;;;;
19 de agosto de 2024;Comodidade e muita paz.;Excelente localização, próximo de restaurantes, pizzaria, mercantil, igrejas, shoppings, etc. Café da manhã muito bem servido. Ambiente limpo e muito aconchegante. Pessoas muito atenciosas. Gostei muito e super indico.;;9;;;;;;;
18 de agosto de 2024;tudo em paz;tranquilidade;cafe da manha;9;;;;;;;
18 de agosto de 2024;Muito bom;Localização, limpeza dos ambientes, custo benefício e conforto.;Não tinha toalha de rosto, a mesa do quarto era pequena e só tinha uma cadeira no quarto para duas pessoas.;9;;;;;;;
16 de agosto de 2024;Muito bom;Bem limpo;Achei o café da manhã com poucas opções;8;;;;;;;
12 de agosto de 2024;Ótimo custo benefício e conforto;Café da manhã com boas opções ;;;;;;;;;
Funcionário na recepção cordial ;;;;;;;;;;;
"Localização Excelente""";Estacionamento;8;;;;;;;;;
7 de agosto de 2024;Bom custo beneficio;Gostei muito da Localização do hotel, muito acessível para todos os lugares para onde eu fui e gostei também do preço, que estava muito condizente com o esperado;O quarto não tinha janela para lugar algum e na ultima noite em que fiquei hospedado, alguns hospedes do quarto ao lado estavam fazendo muita bagunça e com som alto;7;;;;;;;
6 de agosto de 2024;Boa;Localização , quarto novinho;Café da manhã;9;;;;;;;
31 de julho de 2024;Excelente custo benefício;Excelente localização;O quarto que eu fiquei não tinha água quente;8;;;;;;;
27 de julho de 2024;Muito bom;Bom atendimento, camas confortáveis, ambiente limpo e com café da manhã muito bom! Com certeza me hospedaria novamente.;;8;;;;;;;
23 de julho de 2024;Fantástico;Localização excelente, perto da praia. O café é completo e bem variado. O quarto amplo e confortável. Recomendo!;;9;;;;;;;
22 de julho de 2024;Fantástico;Quarto confortável e higiênico. Funcionários educados.;;9;;;;;;;
21 de julho de 2024;Amei, assimq que possível voltarei!;Achei o café da manhã simples, porém muito gostoso. Quando algo terminava, rapidamente era reposto.;;;;;;;;;
A localização é excelente; cerca de 200 metros da praia ;" num bairro seguro e próximo de tudo como supermercados e restaurantes.""";O café da manhã poderia ser um pouco mais variado, mas pela questão do sabor estava excelente.;;;;;;;;
Não tenho muito do que reclamar; a equipe foi muito educada e prestativa.;;;;;;;;;;
"Recomendo a todos que quiserem um hotel mais no centro.""";9;;;;;;;;;;
21 de julho de 2024;Fantástico;Café da manhã;;9;;;;;;;
16 de julho de 2024;bom custo-benefício;Localização boa;N/A;8;;;;;;;
15 de julho de 2024;Bom;A localização é boa, fácil acesso.;O café da manhã não tem muitas opções e a reposição não é eficiente.;7;;;;;;;
13 de julho de 2024;Muito bom;Gostei da localização e limpeza.;Achei a cama um pouco dura;8;;;;;;;
10 de julho de 2024;Hotel simples, mas com bom custo beneficio para poucas noites;O hotel é simples, sem muito luxo, mas o suficiente para dormir por poucas noites. Café da manhã justo pelo preço. Ar condicionado bom, chuveiro simples mas funcional. Me hospedei somente 1 noite por conta do horário do meu voo, mas se fosse para me hospedar por turismo, talvez fosse um pouco simples para a minha realidade.;;7;;;;;;;
9 de julho de 2024;TUDO A CONTENTO;LOCAL CALMO, SEM MUITO BARULHO E INTERNET ÓTIMA.;FALTA DE ELEVADOR E POUCAS VAGAS NO ESTACIONAMENTO;9;;;;;;;
9 de julho de 2024;Até a próxima;Localização;Os lençóis são pequenos e finos;8;;;;;;;
9 de julho de 2024;Bom;Localização muito boa, café da manhã pontual, funcionárias simpáticas e limpeza bem legal.;Uma coisa que pecou muito no hotel é a falta de acessibilidade. Uma pessoa idosa ou com deficiência com toda certeza não consegue se acomodar. Dificuldade imensa em subir com as malas na escada, fora o “degrau” ao subir no quarto minha mãe acabou caindo e se machucando ao subir com as malas.;7;;;;;;;
8 de julho de 2024;A hospedagem no Uzi Mar é estratégia: perto do mar e do centro médido de Recife.;O café da manhã é básico, mas bem gostoso.;O quarto em que me hospedei não tinha janela com vista.;8;;;;;;;
4 de julho de 2024;Excelente;Excelente;Excelente;8;;;;;;;
1º de julho de 2024;Não pude aproveitar tendo em vista ter sido a estadia de 01 dia.;O quarto limpo e novo.;Atendimento da recepção da manhã.;8;;;;;;;
29 de junho de 2024;Bom custo - benefício;Localização;Café da manhã. Dispor de frutas seria interessante;7;;;;;;;
24 de junho de 2024;agradável , retornaria mais uma vez.;bem localizado, ambiente limpo, funcionários prestativos.;café da manhã encerra muto cedo.;7;;;;;;;
21 de junho de 2024;Fantástico;Espaço;;9;;;;;;;
9 de junho de 2024;Fantástico;Localização e café da manhã;Chuveiro com vazamento e ser 3* andar de escadas;9;;;;;;;
5 de junho de 2024;Bom;Localização.;Pelo nível do hotel poderia ser mais barato, visto que há outros hotéis na mesma região com o preço bem mais baixo.;7;;;;;;;
29 de maio de 2024;A Estadia foi boa;O café da manhã é bom, porém poderia oferecer mais variedades. A localização é muito boa, sendo próximo a praia de Boa Viagem e ao comércio (padaria, supermercado, bares, farmácia);Nada;8;;;;;;;
