data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;
18 de março de 2025;Fantástico;Localização próximo Shopping e Aeroporto. Restaurante Italiano anexo hotel muito bom, brusqueta e spaghetti grana padano saborosos!!! Atendimento de todos os colaboradores nota 10!!;Faltou um espelho grande no quarto!! Fica a dica , um espelho no quarto faz toda diferença.;9;;;;
18 de março de 2025;Hotel aconchegante;Melhor custo-benefício. Restaurante mt bom no térreo, funcionários educados e atenciosos;;9;;;;
17 de março de 2025;ótima estadia;Hotel excelente, atendimento ótimo e quartos muito confortáveis. Restaurante top, comida saborosa e preços justos, destaque para o garçom Ricardo. Indico e vou volar novamente!;nada;9;;;;
17 de março de 2025;Boa;Bem perto da praia e de vários restaurantes, café da manhã diferenciado pois tem MUITAS opções;Coberta pequena para dividir em duas pessoas;9;;;;
16 de março de 2025;Fantástico.;Gostei de tudo.. O café da manhã é super completo, a localização do hotel é excelente, perto de tudo. Os funcionários estão de parabéns, sempre solícitos e muito educados, desde as camareiras aos que auxiliam no café, em especial o Daniel e a Bianca, o atendimento deles me surpreendeu.;;;;;;
No hotel tem o restaurante Pilo onde o chef está de parabéns; os pratos são muito bem preparados. ;;;;;;;
"Com certeza se um dia eu voltar em Recife me hospedarei nesse hotel novamente.""";De nada. Tudo me agradou.;10;;;;;;
16 de março de 2025;Muito bom;Localização, café da manhã bom;Cama muito mole;8;;;;
16 de março de 2025;Ótima localização;A localização é muito boa, perto de restaurantes, da praia, do aeroporto e de supermercados. Os pessoal da recepção e os garçons do restaurante são atenciosos. O quarto tem um bom espaço e a limpeza é muito boa.;O café da manhã é cobrado à parte e pelo valor que pagamos, esperava que fosse bem melhor. A tapioca estava dura, seca e fria, não dava para comer. Além disso, havia pouca variedade de pães, frios e frutas. A relação custo-benefício não compensa.;9;;;;
15 de março de 2025;Excepcional;Do chuveiro,cama e do café da manhã;;10;;;;
15 de março de 2025;Estadia agradável!;Funcionários gentis, boas acomodações, boa localização.;O café da manhã acaba se tornando um pouco repetitivo, pois todo dia são as mesmas coisas, salvo o sabor de bolo que é alterado. Então eu não voltaria se fosse para uma estadia mais longa.;9;;;;
8 de março de 2025;Excepcional;Localização;;;;;;
"Café da manhã""";Estacionamento;10;;;;;;
8 de março de 2025;Excelente hotel;Limpeza;;10;;;;
6 de março de 2025;Excepcional;Tudo muito limpo e novinho, ambiente moderno e confortável, localização ótima. O café da manhã é muito bom!;;10;;;;
6 de março de 2025;Boa hospedagem;Boa hospedagem, bom café da manhã, limpeza e quarto muito bom, localização boa, muito bem cuidado e administrado.;;10;;;;
5 de março de 2025;Vale muito a pena a hospedagem no Fity Hotel Recife.;Localização excelente.;;;;;;
Café da manhã maravilhoso.;;;;;;;;
"Funcionários simpáticos e prestativos.""";Os corredores apresentam vazamento no teto e tem cheiro de mofo;10;;;;;;
28 de fevereiro de 2025;Bom hotel, ótima localização, mas precisa melhorar a manutenção dos quartos.;Localização, limpeza e café da manhã.;A manutenção ficou a desejar. Problemas com a água no primeiro, interfone sem funcionar e ar-condicionado vazando água, sem resfriar direito.;8;;;;
27 de fevereiro de 2025;Hotel Bom;Localização, cama, café da manhã, cortesia dos funcionários.;Tinha 1 elevador quebrado, passei quase 15 minutos esperando o elevador para tomar o café da manhã.;;;;;
O alisar da porta do AP estava solto; o que dá a impressão de falta de manutenção.;;;;;;;
"Pingando água do teto pelas saídas do ar condicionado.""";8;;;;;;;
24 de fevereiro de 2025;Surpresa boa!;Gostei do quarto, da localização, do restaurante e do café da manhã.;;9;;;;
24 de fevereiro de 2025;O atendimento é excelente. Café da manhã muito bom. Localização excelente. Porém, é precisa melhorar em termos de limpez;O quarto tem um bom tamanho, cama boa e boa quantidade de travesseiros (a qualidade poderia ser melhor).;Limpeza, dedetização, box do banheiro e barulho. A limpeza é feita de forma geral, mas falta um cuidado específicos com a pia, mesa e box. Apareceram formigas na mesa e área próximas ao frigobar. O box do chuveiro não tem porta. Você não pode aumentar a pressão do chuveiro, senão o piso externo vira uma lagoa. Mesmo com todo o cuidado, o piso sempre sai molhado. Num quarto próximo tinha um pet que latia o tempo todo. Além disso, duas famílias que estavam em quartos lado a lado abriam as portas e ficavam transitando de um quarto para o outro. E as crianças correndo pelo corredor. Isso tudo às 7h30. Falta orientação, comunicação e monitoramento dos andares.;8;;;;
23 de fevereiro de 2025;Muito bom !;Acomodação e café da manhã !!;--;9;;;;
23 de fevereiro de 2025;Excepcional;Adoramos a estadia, tudo novo, limpo, café da manhã maravilhoso, localização excelente.;;10;;;;
22 de fevereiro de 2025;Excepcional;Moderna é ótimo café da manhã;Tive que pagar o café da manhã por fora.;10;;;;
21 de fevereiro de 2025;O hotel é uma graça e a localização superou tudo! É perfeita!;Localização perfeita, café da manhã mt bom, roupas de cama limpas, toalhas limpas, restaurante mt bom.;O quarto é um pouco apertado. Não tem lugar para pendurar as roupas, somente dentro do guarda-roupas. Falta lugar para secar roupas de banho e toalhas molhadas. Poderia ter mais uma bancada para apoiar malas e outras coisas.;9;;;;
21 de fevereiro de 2025;Boa;Limpeza, conforto, drink de boas vindas e bolo de rolo de brinde;Café e estacionamento sao pagos.;9;;;;
20 de fevereiro de 2025;Fantástico;Hotel bem agradável.;;9;;;;
18 de fevereiro de 2025;Excelente custo benefício, recomendo!;Localização, serviço dos funcionários, café da manhã, quarto, instalações, banheiro.;Mofo no teto do banheiro e muito frio na área do café da manhã;9;;;;
17 de fevereiro de 2025;Excelente decisão em reservar o Hotel Fity;Quarto com tamanho excelente para três adultos, limpeza impecável, chuveiro maravilhoso, cama confortável. Localização excelente, café da manhã variado e tudo muito bom. O restaurante Pilo Cucina também é uma excelente opção.;Gostei de tudo. Nada a reclamar.;10;;;;
17 de fevereiro de 2025;Excelente. Voltarei outras vezes e indicarei.;A localização e instalações modernas, além do restaurante com bom custo benefício.;Poderia ter academia.;10;;;;
16 de fevereiro de 2025;Excepcional;Ficamos apenas 1 noite mas achamos tudo ótimo! Café da manhã excelente e equipe maravilhosa com especial destaque para Tiago da recepção e Daniel e Henrique do restaurante. Super indico!;;10;;;;
14 de fevereiro de 2025;Excepcional;Excelente Restaurante;Cama muito macia.;10;;;;
13 de fevereiro de 2025;Hotel confortável;Localização ótima e quarto espaçoso, muito bom para uma estada rápida.;Nada;9;;;;
11 de fevereiro de 2025;Surpresa;Quarto limpo, roupa de cama de qualidade, banheiro limpo. Atendimento ótimo, restaurante muito bom. Café da manhã 42 reais, com qualidade. O quarto é pequeno, mas atende bem um casal;;9;;;;
11 de fevereiro de 2025;Execelente! Super recomendo;Atendentes super simpáticos e atentos! Os quartos limpos com tudo funcionando, ar condicionado, televisão! O restaurante bristô excelente, com comidas para o jantar e café da manhã deliciosas! Super recomendo;;10;;;;
11 de fevereiro de 2025;Fantástico;Localização e atendimento.;Gostei de tudo;9;;;;
10 de fevereiro de 2025;Custo x Benefício pela localização.;Localização;Tamanho do quarto e cama;8;;;;
1º de fevereiro de 2025;Excepcional;O hotel tem uma ótima localização, quarto agradável e limpo, comodidades estavam de acordo com o anúncio e equipe simpática e agradável.;;10;;;;
1º de fevereiro de 2025;Poderia ser melhor.;Excelente atendimento. Localização a duas quadras da Boa Viagem. Bom comércio nas proximidades.;O quarto. Como ficamos no primeiro andar, não tinha nenhuma vista. Ao falar com a recepção fui informado que como escolhi no Booking a opção Standard eram esses os disponíveis. Uma pena.;8;;;;
31 de janeiro de 2025;Custo benefício;Ótima localização com bom café da manhã.;;10;;;;
30 de janeiro de 2025;Ótima acomadação e vista para o mar.;Acomodação, limpeza, acessibilidade, estrutura, restaurante, bar, vista para o mar e são ótimos e satisfatório para uma hospedagem.;Custo é bem elevado, levando em conta também que agendamos no mesmo dia, então não pegamos um bom preço.;9;;;;
27 de janeiro de 2025;Voltarei mais vezes;Funcionários atenciosos, limpeza boa;Estacionamento pago a parte;9;;;;
27 de janeiro de 2025;Muito bom;O café da manhã e a área do café são muito bons. Aliás, os alimentos estavam todos muito bem feitos, assim como a apresentação. O hotel é novo, moderno e limpo. Mas realmente o café da manhã estava excelente, o bolo de chocolate, o croquemonsier... enfim, valeu a pernoite.;Nada.;8;;;;
26 de janeiro de 2025;Boa;Quartos confortáveis;Estacionamento apertado;9;;;;
23 de janeiro de 2025;Muito boa. Excelente atendimento e custo benefício;O atendimento dos funcionários é excelente e o conforto das camas muito bom também. Excelente café da manhã, muito variado e saboroso. Muito bom também o serviço de manobrista e o drink que nos oferecem como boas vindas.;Só não gostei porque o chão estava sujo no quarto na hora que chegamos… parecia que tinham derramado algo da geladeira e não tinham limpado. Mas esse foi o único ponto negativo.;10;;;;
23 de janeiro de 2025;Confortável e agradável.;Hotel bem localizado. Instalações excelentes. Equipe muito atenciosa.;;;;;;
O restaurante do hotel foi um ponto que muito nos agradou. Ganhamos um drink de cortesia do hotel e aproveitamos para almoçar. Comemos muito bem e um ambiente muito agradável.;;;;;;;;
"Ficamos muito felizes com nossa escolha.""";;10;;;;;;
22 de janeiro de 2025;Boa opcao em Recife;Os funcionarios sao otimos. Gratidao ao Marcos.;Nao tenho nenhuma critica. Foi correu bem.;9;;;;
22 de janeiro de 2025;Hotel econômico, confortável, boa localização.;Confortável. Limpo. Chuveiro bom. Colchão confortável. Localização boa.;Roupa de cama furada.;8;;;;
21 de janeiro de 2025;Fantástico;A localização é excelente tudo muito próximo, o café da manhã é bem gostoso tem muita variedade. Excelente custo benefício;Apesar de ter muita variedade o café da manhã de um dia para o outro não muda, todos os dias é o msm café da manhã;9;;;;
21 de janeiro de 2025;Possui todas as comodidades necessárias;Quarto bem equipado, serviço de manobrista, restaurante;;8;;;;
19 de janeiro de 2025;Ótimo;Um ótimo hotel, com um excelente atendimento. O Restaurante dentro dele é um charme para o local.;;9;;;;
19 de janeiro de 2025;Excepcional;Preço bom, hotel confortável, bonito e climatizado. Bom restaurante, café da manhã delicioso e variado. Ganhamos duas taças de vinho no restaurante.;Nada a comentar.;10;;;;
19 de janeiro de 2025;Hotel confortável e bem localizado.;A localização é boa (próximo ao Shopping Recife) e o café da manhã (apesar de não estar incluído na diária - pago à parte) é excelente, bem diversificado.;O estacionamento é pequeno e também não está incluído na diária (pagamento à parte).;9;;;;
16 de janeiro de 2025;Hotel muito confortável e bem localizado.;Hotel bastante confortável. Quarto muito limpo, cama confortável. O café da manhã é bem servido e variado. A equipe do hotel é atenciosa e muito gentil. A garagem do hotel é no subsolo, o que facilita bastante. Recomendo!;;9;;;;
16 de janeiro de 2025;Excelente custo benefício;O hotel fica muito bem localizado, perto da praia e do comércio. É extremamente limpo e os funcionários muito atenciosos e simpáticos. ;;;;;;
"O café da manhã é gostoso e com muitas opções.""";Fiquei no primeiro andar e tinha um pouco de barulho da entrada dos hospedes e do restaurante.;10;;;;;;
15 de janeiro de 2025;Excepcional;Eu e minha família gostamos de tudo, o café da manhã maravilhoso.;;10;;;;
14 de janeiro de 2025;Foi boa, mas pode melhorar;Do tamanho do quarto;Não tinha touca de banho e nem hidratante;;;;;
;;;;;;;;
O café da manhã tinha muita comida fria;" qdo deveria ser quente""";9;;;;;;
14 de janeiro de 2025;Ótima estadia.;Hotel novo , ótimas instalações. Cama , chuveiro e espaço do quarto muito bons . Café da manhã excelente.;Ficamos no térreo próximo ao elevador e barulho incomodou um pouco.;9;;;;
14 de janeiro de 2025;Fantástico;Café excelente. Funcionários bastante atenciosos e prestativos;Box deixava passar água para banheiro.. Mas nada de mais. Não mudou minha avaliação;9;;;;
13 de janeiro de 2025;Hotel custo benefício!;Localização , restaurante muito bom !;;8;;;;
13 de janeiro de 2025;Muito bom;Localização e o restaurante do terreo;Cheiro do quarto;8;;;;
13 de janeiro de 2025;Excepcional;Hotel bem novo, limpo e organizado.;;;;;;
Excelentes instalações;" quarto amplo e confortável.""";;10;;;;;
12 de janeiro de 2025;Boa opção de hospedagem em Boa Viagem;Localização, café da manhã muito bom, instalações novas, quarto confortável e equipe atenciosa e profissional.;Estacionamento pago.;9;;;;
12 de janeiro de 2025;Boa localização.;Boa localização. Excelente café da manhã.;;9;;;;
9 de janeiro de 2025;Excepcional;Cafe da manhã muito bom e completo;Tamanho do frigobar;10;;;;
8 de janeiro de 2025;Fantástico;Camas confortáveis, banheiro amplo, chuveiro bom. Café da manhã excelente.;Ruido e vibração na parede ao lado da cama;9;;;;
8 de janeiro de 2025;Boa, sem nenhuma excepcionalidade.;Localização boa e instalações confortáveis.;O hotel é confortável, mas sem nenhum mimo extra, o café da manhã é simples e o banheiro é bom, mas apresentou mal cheiro no segundo dia de hospedagem.;8;;;;
8 de janeiro de 2025;Boa relacao custo benefício;Localizacao perfeita;A falta de piscina;9;;;;
8 de janeiro de 2025;Praticidade e comodidade;Localização;Nada;10;;;;
8 de janeiro de 2025;No mais, nada a declarar;Em geral bom;Lamentável, apenas uma pessoa na recepção durante o verão.;8;;;;
7 de janeiro de 2025;Excepcional;Tudo limpo e bem apresentável;O valor pago foi bem salgado;10;;;;
5 de janeiro de 2025;Fantástico;Hotel novo, moderno, quarto muito confortável, cama boa, banheiro amplo e muito funcional. Limpeza excelentem;Poucas vagas de garagem e sendo obrigado à pagar serviço de manobrista.;9;;;;
5 de janeiro de 2025;Ótima opção em Boa Viagem;Hotel bem localizado, com acesso rápido a vários restaurantes, Shopping Recife e praia de BV.;;;;;;
Ótimo café da manhã e o restaurante do próprio hotel é uma otima opçao para refeições e drinks.;;;;;;;;
"O ponto alto c ctz é o staff do hotel e do restaurante. Tds mto solícitos e gentis. Recomendo e voltarei ☺️""";Nada! ☺️;10;;;;;;
5 de janeiro de 2025;Excelente hotel;Tudo muito bom;Nada;10;;;;
5 de janeiro de 2025;Fantástico;Gostei da atenção dos funcionários, do restaurante, da localização.;- Quarto pequeno, mas o hotel também é pequeno.;;;;;
#NOME?; mesmo com as janelas abertas. Poderia ser resolvido com ambientador nos quartos.;;;;;;;
#NOME?;" mas que se resolvia deitando água no mesmo.""";9;;;;;;
4 de janeiro de 2025;Excelente custo benefício, ponto central e restaurante espetacular.;Quarto de bom tamanho, limpo, chuveiro bom.;;;;;;
Equipe do Hotel muito educada e receptiva.;;;;;;;;
O restaurante tem pratos deliciosos e uma caipirinha espetacular (comece com a de cortesia).;;;;;;;;
Do bar à mesa; fui muito bem servido; e como fui a negócios;" queria mesmo um restaurante bem avaliado no Hotel.""";;10;;;
4 de janeiro de 2025;Excelente hotel;Funcionários muito atenciosos e educados. Fomos muito bem atendidos. Foi uma excelente experiência. O restaurante do hotel é muito bom. Chuveiro e cama são maravilhosos. ;;;;;;
"Super recomendo o hotel!!!""";O café da manhã era todo dia igual, sem muitas opções, podiam variar um pouco. Podem melhorar muito aqui. ;;;;;;;
"O ar condicionado polar do restaurante é um desafio para qualquer um que deseje ter uma refeição ali .""";10;;;;;;;
3 de janeiro de 2025;Muito bom;Dos funcionários, da localização;Falta uma piscina, academia, mais quartos adaptados;8;;;;
3 de janeiro de 2025;Muito bom;Café da manhã e restaurante do hotel agradável, localização excelente, quarto limpo e confortável. Foi tudo ótimo, Excelente custo benefício.;;10;;;;
31 de dezembro de 2024;Jovial e funcional. Vou voltar.;Limpeza, gentileza.;Falta de lugar para colocar malas com duas partes.;10;;;;
31 de dezembro de 2024;Muito bom;;Limpeza do banheiro não era das melhores, ficamos em um quarto no piso térreo, muito barulho de buzina do estacionamento, e de vozes no corredor/elevador.;8;;;;
30 de dezembro de 2024;Tudo perfeito;Boa noite, atendimento ótimo em especial ao funcionário Gabriel que nos recepcionou muito bem e foi muito gentil, adequando nosso horário do check in.;;9;;;;
30 de dezembro de 2024;Ótimo custo benefício;Ótimo custo benefício, preço justo e um serviço maravilhoso;Nada;10;;;;
30 de dezembro de 2024;Fantástico;Otimo hotel.;Nada a reclamar;9;;;;
30 de dezembro de 2024;Excepcional;Recomendo!;;;;;;
Superou minha expectativa; tudo nota 10.;;;;;;;
"Bem próximo do aeroporto e localização privilegiada.""";;10;;;;;;
29 de dezembro de 2024;Excepcional;Restaurante muito bom.;;10;;;;
24 de dezembro de 2024;Hotel bem localizado, moderno, ótimo café da manhã!;Localização, ambiente, decoração do lobby e restaurante.;;8;;;;
23 de dezembro de 2024;Excepcional;Muito bom o café da manhã , proximo do shopping ,praia e restaurantes . O restaurante é maravilhoso !;A temperatura no restaurante poderia ser menos fria , mas o restante é perfeito;10;;;;
23 de dezembro de 2024;Fantástico;Estava tudo muito bom, exceto café da manhã.;Café da manhã deixou a desejar, não faziam omelete (tinha pronto com presunto e de forno), a tapioca estava pronta somente com um sabor, e ar condicionado muito forte, nada comia quente, esfriava tudo.;9;;;;
23 de dezembro de 2024;Excepcional;Hotel com instalações novas, recepcionista atencioso, conseguimos entrar antes do horário e sair com 1:30h extra (havia disponibilidade), tivemos upgrade de quarto sem cobrança extra, café da manhã com boas opções, ganhamos de cortesia uma bolo de rolo e uma taça de vinho. Localização boa, próxima de restaurantes, farmácias, lojas americanas e principalmente da praia. Em resumo acomodação muito boa, voltaria e recomendo.;;10;;;;
22 de dezembro de 2024;Ótimo custo benefício. Voltaria a me hospedar!;Ótimo café da manhã. Funcionários muito prestativos e boa localização.;;8;;;;
21 de dezembro de 2024;Excelente opção em Boa Viagem;Quarto bem cuidado, silencioso, bem localizado em Boa Viagem, com uma ducha excelente. Destaque para o café da manhã.;Foi sentida a falta do controle remoto do ar condicionado e o estacionamento é muito pequeno.;9;;;;
20 de dezembro de 2024;Ótima estadia;Quarto ótimo. Bom café da manhã. Restaurante anexo ao hotel muito bom tb. Flexível no check inn.;;9;;;;
20 de dezembro de 2024;Um hotel que disponibiliza para os hospedes muito conforto.;Local super confortável, desde a recepção até o banheiro. Camas ótimas, banheiro com o chuveiro super potente, café da manhã sensacional. E, além disso, não posso deixar de comentar sobre a hospitalidade dos funcionários, todos gentis e atenciosos. A localização do hotel é ótim.;;10;;;;
16 de dezembro de 2024;Boa;Café da manhã muito sortido e recepção muito boa dos funcionários.;Diária R$ 365,00 e cobrar por fora o café da manhã de quase R$ 50,00 e uma falta de bom censo em colocar no booking esta cobrança.;8;;;;
16 de dezembro de 2024;Excepcional;Localização prática, quarto confortável.;;10;;;;
16 de dezembro de 2024;Acomodação acolhedora;;;;;;;
costumo fazer cerca de 5 viagens por ano;" mas esse hotel surpreendeu positivamente.""";Nada.;10;;;;;
15 de dezembro de 2024;Excepcional!;Do quarto confortável! Ótimo café da manhã! Atendimento excepcional! Atendimento personalizado pelo funcionário Vinicius nota 10!;Tudo em ordem!;10;;;;
15 de dezembro de 2024;Confortável e bem localizada.;Do drink de boas-vindas, do restaurante que tem no hotel, da ambientação.;Estava sem papel higiênico (precisamos descer para buscar) e da água intermitente do chuveiro. Não atrapalhou a parte técnica do banho, pois a água é bem forte e não falta, mas ficou um pouco desconfortável.;8;;;;
14 de dezembro de 2024;Ótima;Boa localização, cordialidade dos funcionários, café da manhã;Instalações pensando em acessibilidades deveriam ser revisadas.;8;;;;
14 de dezembro de 2024;Excelente custo benefício!;Ótima localização, café da manhã delicioso e excelente custo benefício!;Gostei de tudo!;10;;;;
11 de dezembro de 2024;Muito bom;Limpeza e atendimento muito bons;Café da manhã com reposição;;;;;
"Demora do""";8;;;;;;;
9 de dezembro de 2024;Excelente custo benefício.;Do restaurante no hall do hotel;Do cheiro das toalhas e lençóis.;10;;;;
9 de dezembro de 2024;Muito bom;Café da manhã ótimo! Bom atendimento;A estrutura do quarto e do banheiro;8;;;;
9 de dezembro de 2024;Muito bom;Localização, quarto;Estacionamento. Quando cheguei de noite. Não tinha onde deixar o carro. Ficou por minha conta encontrar um local.;8;;;;
9 de dezembro de 2024;Boa opção de hospedagem;Quarto confortável;Café da manhã pago com pouca variedade;8;;;;
8 de dezembro de 2024;Muito bom;Os funcionários são extremamente atenciosos.;;8;;;;
8 de dezembro de 2024;Muito bom;Localização;;8;;;;
7 de dezembro de 2024;Foi só uma noite e não deu para ter maiores impressões.;Achei o café da manhã razoável, esperava que fosse melhor.;O café da manhã.;8;;;;
5 de dezembro de 2024;Excepcional;Excelente localização, muito bom café da manhã e serviço eficiente e gentil;;10;;;;
2 de dezembro de 2024;Excepcional;Gostamos de tudo!;Nada a reclamar.;10;;;;
1º de dezembro de 2024;Excelente café da manhã e tudo muito limpo;Excelente localização e equipe muito atenciosa. Café da manhã delicioso!;Nada;9;;;;
30 de novembro de 2024;Fantástico;Ótima localização e acomodações novas;;9;;;;
30 de novembro de 2024;Excelente localização.;Excelente localização e estrutura. Funcionários muito cordiais.;Tudo ótimo.;10;;;;
26 de novembro de 2024;Excelente opção de hospedagem em Boa Viagem! Com certeza, indicaria.;Instalações, café da manhã, restaurante e, principalmente, a cordialidade dos funcionários.;Não há como regular a temperatura do ar condicionado.;10;;;;
25 de novembro de 2024;Excelente custo benefício próximo ao aeroporto;Praticidade, localização e conforto do quarto;;9;;;;
24 de novembro de 2024;Boa opção! Ótimo custo benefício;Local bem agradável;Estávamos no 1º andar, tinha um barulho de como se estivesse passando com malas! Mas também nada de outro mundo! E faltou um espelho no quarto, só tinha no banheiro;10;;;;
24 de novembro de 2024;Ótimo custo benefício;Localização, limpeza, tudo muito novo. Cama espetacular.;Cobrança extra de manobrista e estacionamento;10;;;;
19 de novembro de 2024;Ótima experiência!;Quartos limpos, equipe prestativa, ótimo café da manhã e o restaurante que funciona no hotel é muito bom!;;10;;;;
19 de novembro de 2024;Muito bom;Da hospitalidade;;8;;;;
19 de novembro de 2024;Muito bom;Super novo e bem cuidado!;Pelo preço que paguei e não possuia café da manhã!;8;;;;
18 de novembro de 2024;Custo benefício excelente;Localização ótima, manobrista no estacionamento (pago por fora), restaurante excelente, café da manhã muito bom e ainda ganhamos água, bolo de rolo e 2 taças de vinho no check in. Tudo isso com um atendimento de excelência do recepcionista.;Não tem sabonete nem saboneteira no chuveiro e os lençóis são um pouco finos.;10;;;;
18 de novembro de 2024;Aniversário da sobrinha;Check in rápido, café da manhã e atendimento dos funcionários.;Senti falta de um espelho vertical no quarto e travesseiros mais firmes.;10;;;;
17 de novembro de 2024;Minha estadia foi maravilhosa, pessoas gentis e muito solícitas.;Acomodações atenderam minhas necessidades.;Camas, os canais de televisão;10;;;;
16 de novembro de 2024;Excepcional;Funcionários muito simpáticos e solícitos, hotel prático/compacto com tudo que é necessário. ótima localização. Tínhamos gostado tanto da primeira vez que fomos, que voltamos dessa vez! O hotel agora conta com restaurante, o que facilita ainda mais a estadia.;;10;;;;
15 de novembro de 2024;Custo benefício;Sim tudo novo e funcional quarto confortável;;9;;;;
14 de novembro de 2024;Excepcional;A atenção dos funcionários é impecável.;;;;;;
"Hotel minimalista mais muito confortável.""";;10;;;;;;
13 de novembro de 2024;Gostei;Simpatia dos funcionários, localização, restaurante.;;9;;;;
11 de novembro de 2024;Excelente Hotel;Hotel muito bom com excelente localização. Perto da praia, shopping e de mercados. Funcionários prestativos. Quartos bem confortáveis. Café da manhã bem servido.;Nada a comentar.;10;;;;
10 de novembro de 2024;Excelente estada;Chuveiro forte e quente, cama macia, manobristas, atendimento impecável destaco o funcionário Marcos que nos recebeu muito bem.;;10;;;;
9 de novembro de 2024;Muito bom;localização, café da manhã e equipe incríveis. a decoração do hotel é muito legal;o quarto é bem pequeno;8;;;;
8 de novembro de 2024;Boa estadia;Café da manhã bom;quando cheguei antes do horário do check-in, uma senhora que se encontrava na recepção, foi totalmente rispida,dizendo logo que o check-in seria a partir das 14 hs, ( o que eu já sabia ) só queria saber onde poderia deixar as malas, no qual a mesma senhor me disse que poderia deixar ali mesmo, podia ser mais simpática.;8;;;;
7 de novembro de 2024;Fantástico;Localização, funcionários atenciosos;Barulho em dia de restaurante cheio. O quarto era no térreo e próximo ao restaurante;9;;;;
7 de novembro de 2024;Fantástico;Funcionários atenciosos e prestativos, quarto limpo com roupa de cama impecáveis.;Atenção dos funcionários e o brinde na chegada bolo de rolo e água mineral.;9;;;;
5 de novembro de 2024;Excepcional;Confortável e limpa;;10;;;;
4 de novembro de 2024;A estadia foi excelente, nos proporcionou tudo que precisávamos.;Café da manhã excelente;;10;;;;
4 de novembro de 2024;Excepcional;Excelente hotel. Muito confortável, excelente café da manhã, ótima localização, funcionários muito simpáticos e atenciosos, quarto amplo, cama boa, tem um ótimo restaurante e ainda dá uns brindes legais pro hóspede no checkin. Super recomendo;;10;;;;
3 de novembro de 2024;Excelente opção em Boa Viagem;A uma quadra da praia de Boa Viagem e, apesar de região movimentada, em rua tranquila. Quarto silencioso, equipe gentil, café da manhã muito bom. Ótima opção para almoço e jantar o restaurante que funciona no térreo do hotel.;Não conseguimos operar a TV do quarto devido a oscilação da rede. Só notamos ao deitar e nem reportamos ao staff, o que provavelmente seria prontamente solucionado devido a boa vontade dos funcionários.;10;;;;
3 de novembro de 2024;Muito bom;O café da manhã é bom, com variedade boa!!! Quarto confortável, chuveiro muito bom!!!;;8;;;;
3 de novembro de 2024;Fantástico;Café da manhã e localização;O quarto cheirava um pouco de mofo e o banheiro poderia estar mais bem limpo;9;;;;
2 de novembro de 2024;Quase satisfatório;Cama;Encontrei pequena barata morta no quarto e fio de cabelo na geladeira !! Senti odor desagradável no banheiro ! Sugestivo de suspiro vindo do ralo;8;;;;
31 de outubro de 2024;Excepcional;Excelente custo benefício. Mimo na chegada dos hóspedes, café da manhã muito bom, além de terem atendido o quarto ao lado do outro como pedi. Funcionários muito prestativos.;Vaga de garagem é paga a parte, já sabia previamente, porém as vagas são bem limitadas. Mas deram um jeitinho de encaixar meu carro, e contam com manobrista.;10;;;;
30 de outubro de 2024;Excelente custo benefício;Localização.;;;;;;
"Restaurante do hotel é muito bom""";Ficar no quarto no térreo, pois é extremamente barulhento.;9;;;;;;
29 de outubro de 2024;Hotel muito bom, vale a pena.;Gostei de tudo.;Sem queixas.;10;;;;
