data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;
11 de fevereiro de 2025;Poderiam melhorar as instalações;Cama espaçosa;Quarto entrando água no quarto e sala;8;;;;
11 de fevereiro de 2025;Bom;Localização;Quarto muito simples e TV pessima. Apenas 2 canais funcionando;7;;;;
9 de fevereiro de 2025;Uma boa opção em Boa Viagem.;Visual da suíte, cama e travesseiros confortáveis .Atendimento excelente na recepção e no café da manhã.;Claridade excessiva no quarto, blackouts e cortinas velhos e desgastados. Sugiro uma escada acessível na piscina. Poucas opções de lanches e pratos no cardápio. Entrega demorada. Ausência de suco de laranja no café da manhã.;8;;;;
8 de fevereiro de 2025;Excelente;Quarto limpo e organizado;Não teve.;9;;;;
7 de fevereiro de 2025;Ótimo custo-benefício.;Localização e café da manhã.;Canais da televisão com imagens ruins.;8;;;;
6 de fevereiro de 2025;Um bom hotel mas com baixo custo benefício;Bom café da manhã, mas o grill não funcionava e faltou algumas frutas comuns no último dia, como banana e melão. A localização é muito boa. Funcionários muito cordiais;Chuveiro com jato muito fraco;;;;;
5 de fevereiro de 2025;Muito bom;O que mais me agradou foi a excelente localização, na beira da praia de Boa Viagem e o atendimento dos funcionários.;Não é que não gostei, mas o aspecto que menos me agradou foi a estrutura um pouco antiga dos quartos.;8;;;;
31 de janeiro de 2025;Pretendemos retornar.;Ficamos na suíte 801, que é bem ampla e com uma vista linda da praia de boa viagem. A limpeza era muito boa e o conforto da suíte excelente. Solicitamos check-in antecipado e a funcionária Edna foi super solicita, conseguindo uma acomodação disponível para nós e nosso filho. O café da manhã é variado e muito gostoso.;Existiam alguns sinais de infiltração, inclusive próximo a tomada elétrica. Comuniquei na recepção e ficaram de reparar. O preço dos itens que ficam no frigobar e na bandeja é absurdamente alto.;9;;;;
31 de janeiro de 2025;Foi satisfatório;Satisfatório;;8;;;;
30 de janeiro de 2025;Hotel antigo com ótima localização em frente à praia de boa Viagem;Localização em frente à praia;Carpetes com cheiro de mofo. O hotel precisa passar por reforma.;7;;;;
30 de janeiro de 2025;Euro suite Boa Viagem;Atendimento, bom café da manhã , localização;Imagem e som da TV ruim;9;;;;
28 de janeiro de 2025;Muito bom;Localização muito boa, e café da manhã bom.;;8;;;;
27 de janeiro de 2025;Bom;Café da manhã;Vazamento de água na pia do banheiro. ;;;;;
Casa de banho apertada.;;;;;;;;
"Toalhas velhas.""";7;;;;;;;
25 de janeiro de 2025;Apreciação de Philippe Estoppey;Positivo: Recepção: amigável, competente, Pessoal de limpeza: disponível, amigável Café da manhã: muitas opções Refeições no quarto: cozinha perfeita e muito boa Quarto: confortável, eu apreciaria uma luminária de cabeceira em cada cama;Negativo: WI-FI.;;;;;
25 de janeiro de 2025;Boa ,mas poderia ter sido melhor se a cama fosse mais confortável;A localização é muito boa .;A cama . Era de casal ,mas muito pequena . Colchão de espuma mole e desconfortável . Fiquei com dor na coluna;7;;;;
24 de janeiro de 2025;Muito bom;Localização, bem perto da praia e perto de vários pontos.;;8;;;;
22 de janeiro de 2025;Muito bom;;Só o entorno próximo a praia e mar. Saindo um pouco a algumas quadras, o que se vê é muita sujeira, calçadas esburacada e desniveladas, e um canal aberto com esgoto a céu aberto, muito mas muito fedido. Alô prefeitura de Recife, olhem com carinho esses itens e providenciei urgente, pois o turista não volta mais.;8;;;;
22 de janeiro de 2025;Muito bom;Acomodação com boa localização e um excelente café da manhã. Hotel silencioso, piscina boa pra relaxar e o calçadão de boa viagem bem à frente pra dar uma caminhada. Super recomendo.;;8;;;;
21 de janeiro de 2025;Atenção ao serviços de terceiros neste Hotel;O quarto em si é bom, a limpeza também é boa.;A péssima gestão em relação ao fornecedor da cadeira massageadora que fica dentro do hotel, depois que ocorreu o problema nenhum dos funcionários me ajudou a resolver muito pelo contrário um deles disse que o hotel não era responsável e eu deveria resolver direto com a empresa fornecedora do serviço. Quer dizer o aparelho está dentro do hotel e os funcionários não são capacitados para neste momento acolher o hóspede e harmonizar a situação.;8;;;;
20 de janeiro de 2025;Boa estádia;Quarto espaçoso, limpo, cama cama grande e confortável com vista para a praia;As instalações são um pouco mais antigas, mas não chega a ser um problema.;8;;;;
19 de janeiro de 2025;Hospedagem muito confortável.;Ótima localização e espaço do quarto. Excelente café da manhã. Chuveiro muito bom.;Baixa iluminação no quarto. Pequeno o espaço do café da manhã. Algumas toalhas necessitam ser substituídas.;9;;;;
16 de janeiro de 2025;Razoável;Localização;Preço caro, e até um copo que pedi eles disseram que cobravam. Meu marido pediu uma refeição,aí pediu q viesse dois pratos, não veio. Solicitou novamente e só chegou quando terminou de comer. Na reserva, era eu meu marido e filho, então pedi uma cama casal e uma solteiro e não atenderam. Colocaram três camas de casal, super pequena e desconfortáveis, lençóis pequenos e sem endredon. Quarto coloco no elevador então sempre tinha barulho.;8;;;;
16 de janeiro de 2025;Relação custo benefício ruim.;A localização é muito boa e o atendimento também. Os funcionários todos prestativos.;Banheiro precisa de uma reforma, era chuveiro elétrico, as toalhas velhas , umas rasgadas e com manchas de batom. Os lençóis eram um pouco vagabundos. Até algumas coisas passariam se não fosse um hotel caro, achei a relação custo benefício ruim.;8;;;;
15 de janeiro de 2025;Ótima localização com preço excelente !!!!;Localização excelente!! Café da manhã muito bom com frutas boas, frios, vários pães e bolos. Até sucrilhos tinha e uma máquina de café muito boa.;O chuveiro é elétrico e meio fraco, mas nada que atrapalhasse minha estadia.;9;;;;
14 de janeiro de 2025;Bom;A localização, receptividade e competência dos funcionários.;O banheiro do quarto que fiquei hospedada estava fedendo demais, acredito que tenha havido algum problema e o odor de outros banheiros estavam sendo direcionados para aquele quarto. Não sei se ocorre com os demais.;7;;;;
13 de janeiro de 2025;Ótima localização;Ótima localização, perto de mercados, restaurantes, feirinha de artesanato de Boa Viagem;;9;;;;
13 de janeiro de 2025;Bom;Localização ótima. Excelente café da manhã. E funcionários prestativos e solícitos.;O ar condicionado do primeiro quanto que ficamos não estava gelando. O segundo quanto, estava fazendo um barulho mas não quisemos trocar de quarto pela segunda vez. Algo que me incomodou foi o carpete dos corredores com aparência de antigo e sujo. Tb tenha sido isso que me remeteu a essa ideia de estrutura antiga.;7;;;;
9 de janeiro de 2025;Foi boa, porém poderia ser melhor. Um hotel que tem tudo para ser 5 estrelas mas por falta de cuidado não conseguem isso;A vista é localidade são muito boas.;;;;;;
O pequeno almoço também é bom; se ficar muitos dias não vai ter coisas diferentes;" mas é bom.""";Falta uma boa limpeza.;;;;;
As cortinas são velhas e muito sujas; jogam um tipo de veneno ou algum pó para matar algo. Isso fez com minha filha de 1 ano desse alergia; pedi para limpar e resolver;" entretanto não foi feito.""";7;;;;
9 de janeiro de 2025;Fantástico;Restaurante 24 horas disponível, cama super confortável, vista maravilhosa, café da manhã gostoso. Foi uma ótima estadia!;Único adendo que eu faria seria em relação a TV que é antiga e não possui streamings, apenas TV aberta e o hotel não disponibiliza cabo HDMI.;9;;;;
7 de janeiro de 2025;Bom;Do café da manhã e da localização.;;7;;;;
6 de janeiro de 2025;Bom;Localização;Decoração;7;;;;
3 de janeiro de 2025;Bom;Localização;Falta de luzes individuais de leitura;7;;;;
2 de janeiro de 2025;Foi ok, mas não vale o preço que cobram.;Localização e café da manhã.;Todas as partes do hotel pareciam ser mais novas nas fotos. O quarto era pequeno para 3 pessoas e uma criança. Os travesseiros extremamente desconfortáveis. A piscina também não tinha área para crianças.;8;;;;
1º de janeiro de 2025;Bom custo benefício. Voltaria a;Vista para o mar , localização , funcionários;Restaurante pequeno , mal explorado . Poderia ser em frente ao mar.;8;;;;
31 de dezembro de 2024;Muito bom;Localização;Do fato do meu esposo não poder levar o café da manhã no quarto como sempre faz, quando ele pegou o café para levar foi chamado atenção de que não poderia levar ao quarto.;8;;;;
31 de dezembro de 2024;Euro Suíte Boa Viagem;Localização com vista maravilhosa da praia de Boa Viagem. Cama super confortável!;Quarto claro e barulho da avenida, blackout ruim das cortinas...;8;;;;
31 de dezembro de 2024;Atende sem exigências;Funcionários são atenciosos. O elevador funciona bem. O ar condicionado é ótimo. O wi-fi é médio. Café da manhã bem variado.;O quarto é muito pequeno. O banheiro muito pequeno. As toalhas muito ruins.;7;;;;
30 de dezembro de 2024;Boa localização e bom café da manhã, mas não vale o custo benefício;Da localização e atendimento;Do colchão. Extremamente duro e parece ser muito antigo. ;;;;;
"Dos travesseiros. Não estavam propriamente limpos e cheiravam suor""";7;;;;;;;
30 de dezembro de 2024;Fantástico;Boa localização. Café da manhã excelente.;;9;;;;
29 de dezembro de 2024;Excelente custo benefício.;A localização é excelente, limpeza e o espaço do quarto são ótimos. Possui academia, piscina e bastante espaço para relaxar no hotel.;Gostamos de tudo!;9;;;;
29 de dezembro de 2024;Bom;Localização excelente, funcionários atenciosos.;O hotel estava com uma obra. Isso incomodou um pouco, porque um elevador ficou indisponível.;7;;;;
29 de dezembro de 2024;Fantástico;Localização em frente a praia.;;9;;;;
27 de dezembro de 2024;Boa escolha;O quarto bem bacana;Café da manhã com poucas opções saudáveis;9;;;;
22 de dezembro de 2024;adoravel;atendimento maravilhoso;apenas as toalhas acho que é necessário realizar troca, estão bem finas, no demais muito bom, adorei.;9;;;;
22 de dezembro de 2024;Foi bem legal.;Cama ótima, café da manhã farto;Televisão ruim;9;;;;
22 de dezembro de 2024;Muito bom;O café da manhã;A piscina fica na sombra e a água é bem gelada...;8;;;;
17 de dezembro de 2024;Tranquila e confortável;O hotel tem;;;;;;
Uma localização maravilhosa; espaçoso;" limpeza impecável e atendimento inigualável.""";De quase tudo, acho que o café da manhã poderia melhorar mais um pouco;9;;;;
15 de dezembro de 2024;Bom para mães, mas confirmem antes ligando para o hotel sobre o berço.;Café da manhã excelente. Camas confortáveis. Ótima localização. Tive grande ajuda dos funcionários com a lavagem e esterilização das mamadeiras da minha filha.;Eu tinha solicitado berço nos dois quartos, mas infelizmente quando cheguei nos quartos não tinha berço em nenhum. Após falar com a recepção, me informaram que não tinha berço disponível, então eu solicitei uma cama de solteiro, e eles me atenderam, a cama foi colocada no lugar e a minha bebê dormiu bem.;;;;;
;;;;;;;;
"Infelizmente não tem ferro de passar roupa disponível na recepção.""";7;;;;;;;
15 de dezembro de 2024;Muito bom;localização;;8;;;;
13 de dezembro de 2024;Bom;Localização e disponibilidade para estacionamento.;Quando chegamos não apareceu ninguém para nós ajudar com as malas. A internet com sinal fraco. A TV com imagem ruim, e o desconforto do quarto com cortinas, ao invés de vidros especiais nas janelas que permitam visualizar o exterior sem sermos vistos no interior dos quartos. As cortinas nos dá uma espécie de clausura, sobretudo para quem sofre de claustrofobia.;7;;;;
13 de dezembro de 2024;Obrigada à equipe.;Equipe excelente, café da manhã é bom, a localização é excelente. O chuveiro é muito bom. Achei o colchão e o travesseiro razoáveis. Fiquei no quarto 808, a porta do banheiro não fecha. Obrigada por tudo.;Gostei de tudo.;8;;;;
12 de dezembro de 2024;Ótima opção em Boa Viagem;Cama confortável, boa localização e café da manhã completo!!!;;8;;;;
10 de dezembro de 2024;Excelente localização;Saguão , piscina, banheiro. E a localização que é excelente;Café da manhã sem muitas variedades , local do café é minúsculo.;8;;;;
10 de dezembro de 2024;Boa Viagem top!;Localização e funcionários excelentes.;Estacionamento pago.;9;;;;
10 de dezembro de 2024;Custo benefício;Localização;Cortesia dos funcionários;7;;;;
10 de dezembro de 2024;Muito bom;Localização, conforto, vista;Não disponibilizam secador e ferro de passar roupas;8;;;;
8 de dezembro de 2024;O quarto precisa ser mais silencioso, mas não foi ruim;Quarto bem limpo;Quarto com entrada de claridade por baixo da porta, piso do banho escorregadio, barulho no corredor de acessos aos quartos e o coiceiro do banho não é tão bom;8;;;;
7 de dezembro de 2024;Bom;Simpatia e disponibilidade dos funcionários. ;;;;;;
"Também por ter restaurante 24 horas e com pedido via app online.""";Todos 5 dias que fiquei hospedado a Internet não funcionou. Informações que dia seguinte seria reparado mas nada.;;;;;;;
"Outro ponto foi o valor absurdo que cobram os alimentos do frigobar. Sabemos que mais caro mas lá estava muito mais""";7;;;;;;;
7 de dezembro de 2024;Localização excelente e quarto confortável.;Quarto espaçoso, camas confortáveis, café da manhã bem servido, tapiocas feitas na hora, vários tipos de pães, bolos... localização excelente.;Não tem escadas entre os andares (achei um absurdo).. Estávamos no 1o andar e não tinha como descer à pé para o café da manhã. ;;;;;
Só estava funcionando um elevador; demorava muito pra chegar.;;;;;;;
Não tinha toalhas de piscina/praia; problemas com a lavanderia.;;;;;;;
Café da manhã não tinha suco de laranja;;daí quase todos pediam e eles faziam individual ( podia colocar este suco que geralmente todos gostam e uma opção diferente; tinha suco de outras frutas; mas nada natural; e muitos nao gostavam).;;;
Box no banheiro é minúsculo. O banheiro é ótimo; mas o box muito pequeno.;;;;;;;
Tem carpetes nos corredores dos quartos e tinha um cheiro meio esquisito;" embora os quartos eram ótimos.""";7;;;;;;
7 de dezembro de 2024;Muito bom;Localização, cama confortável, ar condicionado;O wifi não atinge o quarto;8;;;;
6 de dezembro de 2024;Boa opção.;Atenção excepcional dos funcionários. ;;;;;;
"Facilidade de uso.""";;8;;;;;;
5 de dezembro de 2024;Muito bom;Café da manhã bastante variado. O hotel tem uma excelente localização. A prestação de serviços é muito boa!;;;;;;
"Recomendamos o hotel!""";O Wifi não estava funcionando. ;;;;;;;
"O box do banheiro é um pouco apertado.""";8;;;;;;;
5 de dezembro de 2024;Vista para o mar impecável, atendimento muito bom!;A vista para o mar, perfeita!;Não tenho o que reclamar.;8;;;;
5 de dezembro de 2024;Bom custo benefício;Os profissionais do hotel merecem nota máxima. Todos, sem exceção, que nos atenderam foram excelentes. Parabéns ao hotel pela seleção dos atendentes.;;7;;;;
2 de dezembro de 2024;Bom;Ótima localização na orla da praia de Boa Viagem, próximo à shoppings e com acesso rápido ao aeroporto.;Muito barulho no quarto proveniente do compressor de ar condicionado de apartamento vizinho. Não tem cortina blecaute. Banheiro escuro. Café da manhã com poucas opções.;7;;;;
29 de novembro de 2024;Excelente;Tudo ótimo! Atendimento excelente ótima estrutura.;Box do banheiro muito pequeno.;9;;;;
27 de novembro de 2024;Fantástico;Café da manhã é top!!;O colchão poderia ser um pouco mais macio. A coberta veio com um buraco grande de queimado e por isso ficava áspera.;9;;;;
27 de novembro de 2024;Ainda torcemos pela recuperação do hotel em seu explendor;Os quartos em frente ao mar sao lindíssimos. Ótima localização.;Hotel continua decadente. Já foi muito superior. Café da manhã poderia ser melhor, qualidade de toalhas, kits de higiene, etc, também. Business center era mera bancada, sem computador. Apesar da excelente localização, optaram por transformar esse hotel único em um local de custo baixo, decaindo na qualidade. Uma pena.;7;;;;
25 de novembro de 2024;Fantástico;Gostei do local fica bem em frente a praia café da manhã com bastante variedades;;9;;;;
24 de novembro de 2024;Bom;Localização ótima, área comum bonita, café da manhã muito bom.;O quarto precisa de uma modernização, sobretudo nos banheiros, que ainda têm box de alvenaria e chuveiros elétricos. Havia um leve cheiro de mofo. Mas o problema maior que vi é o acesso à internet, que só é possível no lobby do hotel. Nos quartos não há wi-fi... Algo de resolução simples e que elevaria bastante o conforto dos hóspedes.;7;;;;
23 de novembro de 2024;Hospedagem de bom padrão e de fácil acesso;Hotel com ótima localização, boa infraestrutura, limpeza e ótimo café da manhã;O colchão não é dos mais confortáveis, o estacionamento é pago;8;;;;
23 de novembro de 2024;Muito bom;Localização.;Espaço útil do apartamento e mobiliário.;8;;;;
23 de novembro de 2024;Muito bom;Da localização;Do banheiro;8;;;;
20 de novembro de 2024;Férias!;Localização excelente, quartos ,bem arrumados, chuveiro forte, café da manhã com várias opções ,à beira mar, perto da feirinha de artesanatos.;De não pegar uma vista ampla pro mar 🫤;9;;;;
20 de novembro de 2024;Muito boa!;Localização, café da manhã, quarto e vista;Faltou charme e mais cuidados com a decoração.;9;;;;
19 de novembro de 2024;Muito bom;DA localização;Do Box do banheiro;8;;;;
18 de novembro de 2024;Bom;Localização.;Hotel não apresenta opções para passar roupas (seja empréstimo de ferro de passar ou sala para tal finalidade);;;;;
"Cofre do quarto com problemas/sem funcionar.""";7;;;;;;;
17 de novembro de 2024;Muito bom;localização excelente, café da manhã muito bom;;8;;;;
15 de novembro de 2024;Bom;Localização;Wi-Fi e tv;7;;;;
15 de novembro de 2024;Experiência Incrível;localização excelente. Atendimento maravilhoso!;Moveis um pouco antigos.;9;;;;
13 de novembro de 2024;Bom custo X benefício;Localização, café da manhã;Toalhas, pois eram velhas e finas não dignas de um hotel 4 estrelas.;;;;;
"Não havia toalhas de praia e piscina pois cedo falaram que não tinha mais tanto para nós como para outro casal.""";8;;;;;;;
13 de novembro de 2024;Simpatia e cordialidade.;Da cordialidade dos funcionários, seja por telefone ou pessoalmente. Quanto a troca de mensagem pelo Booking, sinto que o tratamento muda completamente, deixando a desejar.;Parcialmente do café da manhã. O pão francês é de péssima qualidade: murcho, pequeno, uma borracha! Reclamei as meninas da cozinha, mas infelizmente isso não muda.;9;;;;
12 de novembro de 2024;Quart9 antigo Mas de boa localização;Localização.;Haviam dois funcionários mal educados e que não respondiam as solicitações ( extensao dos dias da diaria ). Com a virada de plantão os funcionari9s segu8ntes resolveram o problema com menos de 05 minutos.;;;;;
Quarto antigo.;;;;;;;;
"Banheiro pequeno.""";8;;;;;;;
11 de novembro de 2024;Sugestões e avaliações;Gostei do local tem manobrista o café da manhã é top agora pela estrutura do hotel deveria ter o espaço do café maior para as pessoas se servirem com mais conforto, a camareira dona rose é excepcional ela é bem atenciosa, tem uma pracinha bem proximo dar para ir andando é uns 5 minutos;Não gostei do banheiro o local do banho é pequeno e olhe que eu não sou Tão gigante até porque minha esposa também achou pequeno mais como não é um espaço que ficarmos muito tempo dar pra passar mais pela estrutura do hotel poderia ser maior;8;;;;
6 de novembro de 2024;muito bem localizada, vista belissíma e funcionários atenciosos, voltarei.;Atendimento da recepção e a vista para o mar.;;8;;;;
5 de novembro de 2024;Fantástico;Localização.;;9;;;;
3 de novembro de 2024;Viagem a Recife;Localização, conforto e atendimento.;;;;;;
;;;;;;;;
"Fomos muito bem tratados pelo mensageiro e pela Sra do café.""";;9;;;;;;
1º de novembro de 2024;Bom;A localização é o café da manhã.;as instalações, higienizacao do banheiro. estava subindo um mau cheiro pelos ralos.;7;;;;
1º de novembro de 2024;Muito bom;LOCALIZAÇÃO;;;;;;
;;;;;;;;
"CAFÉ DA MANHÃ BOM""";O CHUVEIRO É FRAQUINHO;;;;;;;
"A INTERNET NÃO FUNCIONA""";8;;;;;;;
1º de novembro de 2024;Um hotel com ótimo custo benefício e excelente localização;Ótimo custo benefício;As instalações são antigas e uma reforma cairia muito bem;8;;;;
31 de outubro de 2024;Bom custo- benefício;Comida, quarto;No anúncio disse que tinha berço e ferro de roupa disponível, mas na hora não foi disponibilizado;7;;;;
31 de outubro de 2024;Euro Suíte Hotel;A localização é excelente, o café da manhã tb é bom. Os funcionários são gentis.;Falta, contudo, melhorar os lençóis de cama, estão muito gastos. As toalhas tb precisam ser trocadas por outras de melhor qualidade.;8;;;;
30 de outubro de 2024;Fantástico;Localização e preço;Pouco funcionário da recepção;9;;;;
30 de outubro de 2024;Muito bom;Café da manhã, funcionários prestativos na recepção, cozinha e limpeza. Ótima localização, camas e quarto confortáveis com um bom preço;O quarto no primeiro dia estava com um cheiro sufocante de desinfetante (concentrado), tivemos que abrir as janelas pra respirar;8;;;;
29 de outubro de 2024;Fantástico;Localização e atendimento dos funcionários.;;9;;;;
29 de outubro de 2024;Bom;Localização e os funcionários;O banheiro com acesso limitado ao Box do chuveiro, cheiro de esgoto. Limpeza do banheiro muito superficial. Lençóis finos e velhos.;7;;;;
28 de outubro de 2024;Bom hotel;O hotel era bom. Achei o preço não muito alto e com qualidade boa. Café bom tb. Nada excepcional, mas td dentro do previsto.;O wifi oscila muito.;;;;;
A localização não é muito boa. Está em boa viagem; bom bairro;" porém não fica tão perto da feirinha e dos bares/restaurantes do bairro.""";7;;;;;
28 de outubro de 2024;Ótima;100% do atendimento e cozinha;Chuveiro;8;;;;
28 de outubro de 2024;Muito bom;o hotel tem uma bia estrutura;o café da manhã deixou a desejar para o tamanho do hotel. No meu quarto o sinal dr Internet estacs ruim;8;;;;
26 de outubro de 2024;Bom custo benefício mas não voltaria;Boa localização;Café da manhã com poucas opções e suco de laranja regulado;7;;;;
24 de outubro de 2024;Boa.;Localização e conforto do quarto.;1. Não houve serviço de quarto durante as duas diárias que estivemos hospedadas. Permanecer dois dias com banheiro sujo foi cruel! ;;;;;
"2. Os valores dos itens do cardápio são altos.""";9;;;;;;;
24 de outubro de 2024;Bom;Segunda vez no hotel e achei que o café da manhã perdeu um pouco da qualidade. A localização e equipe são pontos fortes.;Wi fi não estava bom;7;;;;
23 de outubro de 2024;Agradavel;Gostei da localização e os atendentes do hotel são muito solicitos e ageis com nossas solicitações.;Acredito que por ser um hotel antigo tem coisas que poderiam ser melhoradas, como o chuveiro, portas rangendo e moveis com marcas de uso excessivos.;9;;;;
22 de outubro de 2024;Bem mais elogios que críticas.;Bom quarto;Precisa de mais manutenção nas instalações, porta não estava fechando bem, torneira da pia sem fechar direito.;8;;;;
22 de outubro de 2024;Bom;café da manhã, localização, atendimento;colchão, chuveiro;7;;;;
18 de outubro de 2024;Fantástico;O hotel, os funcionários, a localização, tudo de bom, não tenho do que reclamar.;Da Internet, o Wi-Fi no 4° andar não funciona, diferente do 6° onde fiquei na semana anterior que estava funcionando de boa.;9;;;;
18 de outubro de 2024;valeu a pena;Tudo estava bom, o restaurante do hotel é muito bom, tanto na comida, como atendimento e custo.;;8;;;;
15 de outubro de 2024;Muito bom;Do café da manhã!!! Apesar de cheio,, a variedade de comidas típic, que mudavam cada dia , foi o ponto forte do hotel.;A vista do quarto. Tinha um predio enorme. Na frente. E das cortinas do quarto que davam um jeito deselegante ao quarto! Me senti sufocada!;8;;;;
15 de outubro de 2024;Muito bom;Atendimento , localização e café da manhã;Precisa melhorar a internet;8;;;;
15 de outubro de 2024;Fantástico;A localização é excelente próximo a praia, da uns 5 minutos caminhando.;;9;;;;
15 de outubro de 2024;Só fiquei um dia! Vale o custo benefício;Localização;Café da manhã muito fraco para 4 estrelas;7;;;;
14 de outubro de 2024;O hotel é bom, mas pode melhorar com poucos ajustes.;Localização, café da manhã, tamanho da suíte.;Chuveiro ruim, serviço de TV precário e limpeza das janelas ruim.;8;;;;
13 de outubro de 2024;Fantástico;Café da Manhã, localização e Instalações;Nada a declarar.;9;;;;
13 de outubro de 2024;Bem conservado, mas precisa de revitalização..;Localização e simpatia dos funcionários..Café da manhã bem variado..;Ok, para algumas noites..mas parece que estamos num hotel com mobília dos anos 80.. embora bem conservados..uma revitalização nos quartos iria bem..;8;;;;
11 de outubro de 2024;Hotel confortável e equipe eficiente;A equipe é muito educada e solícita. O café da manhã é variado. O quarto é espaçoso e as camas confortáveis.;;9;;;;
10 de outubro de 2024;Que visual...;Excelente localização, próximo de restaurantes, farmácias, lanchonetes e da feirinha de artesanato.;;9;;;;
10 de outubro de 2024;Custo benefício;Café da manhã e recepção;Garagem e limpeza, e;;;;;
"Instalações muito antigas""";8;;;;;;;
