data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;
8 de março de 2025;Nos surpreendeu positivamente;Hotel super bem localizado, ao lado da feirinha de boa viagem, a vista da piscina é de tirar o fôlego e mesmo nos quartos onde não tem vista pro mar, se consegue ver um pouco. O café da manhã é bem satisfatório. Mas o que realmente nos encantou foi a atenção e proatividade dos funcionários do hotel. Tivemos um contratempo durante a estadia e os funcionários foram ágeis e extremamente solícitos, conseguindo solucionar nosso problema de maneira discreta e eficaz.;O hotel é antigo e está passando por algumas reformas, talvez o ponto que nos desagradou, que foi a estrutura dos quartos e banheiros, seja solucionado em breve com essa nova fase de reformas.;8;;;;;;;;
8 de março de 2025;Muito bom;Rooftop lindo!;Nada adicional;8;;;;;;;;
5 de março de 2025;Vale o custo-benefício;Localização e funcionários excelentes. Quarto espaçoso e camas confortáveis. A vista para o mar é muito bonita. O rooftop e a piscina estão lindos e aconchegantes.;O café da manhã é bom, mas não possui muita variedade. As máquinas não possuem um passo a passo para uso, então é contar com a boa vontade de um funcionário para ajudar.;;;;;;;;;
;;;;;;;;;;;;
"Pratos do restaurante são caros e com pouco variedade.""";9;;;;;;;;;;;
5 de março de 2025;Valeu a pena, pois atendeu as expectativas;Gostei da vista para mar e da piscina;A janela do meu quarto não vedava 100% o vento do mar. Então a noite fazia muito barulho de assobio;8;;;;;;;;
5 de março de 2025;Muito bom;Café da manhã muito bom;;8;;;;;;;;
5 de março de 2025;Muito bom;Localizacao;;8;;;;;;;;
3 de março de 2025;Boa, relaxante;chuveiro;Obras de acesso incomodou;;;;;;;;;
"um pouco""";8;;;;;;;;;;;
2 de março de 2025;Muito boa!;Localização e equipe;;8;;;;;;;;
2 de março de 2025;Muito bom;Localização;;8;;;;;;;;
1º de março de 2025;Uma noite agradável no Recife.;Do quarto e café da manhã.;Estacionamento terceirizado com guarda do veículo fora do hotel.;9;;;;;;;;
1º de março de 2025;Ótimo hotel mas ainda em obras;O hotel é ótimo, tem excelente estrutura, café da manhã maravilhoso, quartos amplos e um rooftop bem agradável com vista incrível. A equipe é muito atenciosa, sobretudo no café da manhã, que é muito organizado, encontraram uma forma de evitar filas na tapioca. A localização também é excelente.;;;;;;;;;;
;;;;;;;;;;;;
Só não dou nota 10 porque algumas partes do hotel são antigas e necessitam de reforma (o que está sendo feito). Quando nos hospedamos; em janeiro/2025; o acesso principal e a recepção estavam em obras e por isso não havia acessibilidade. Além disso; o carpete nos corredores precisa ser retirado; pois tem odor ruim (mas nos quartos não há carpete). O vaso dos sanitários está na posição errada; fica apertado; seria necessário girar sua disposição (não é falta de espaço; mas sim má disposição arquitetônica;" já que estão em obras poderiam resolver isso).""";;9;;
28 de fevereiro de 2025;Excelente Localização;A obra na entrada do hotel e num prédio vizinho incomodaram um pouco. ;;;;;;;;;;
"O café da manhã poderia ser melhor.""";;8;;;;;;;;;;
28 de fevereiro de 2025;Conforto e boa localização;A localização, a agilidade nos processos de check in e check out. Também gostamos muito da reforma realizada no terraço, tornando a área super agradável. A piscina também melhorou bastante. Acredito que após a conclusão da obra na recepção, o hotel ficará ainda melhor. A comida do restaurante e o café da manhã também continuam de muita qualidade. Outros pontos de destaque foram a cama e os travesseiros, bastante confortáveis e ambiente muito arejado.;No quarto 1309, tivemos problemas quanto a regulagem da temperatura da água do chuveiro, pois ou o banho ficava muito quente ou frio. Ainda em relação ao banheiro, o box deveria ser um pouco melhor iluminado, pois à noite, a falta de luz nesta parte do cômodo atrapalha um pouco. Não chegou a comprometer nossa estadia.;9;;;;;;;;
26 de fevereiro de 2025;Bom;A localização do hotel é ótima e o café da manhã bem variado.;Nosso quarto estava com o ar condicionado quebrado, o que causou um grande transtorno na nossa viagem. Também tivemos problemas com os manobristas, que não tiveram cuidado com a movimentação do nosso carro.;7;;;;;;;;
24 de fevereiro de 2025;Bom;Café da manhã com bastante opção;Falta de limpeza da piscina. Era possível encontrar pele e sujeira de outros hóspedes.;;;;;;;;;
;;;;;;;;;;;;
"Ficamos de sexta a domingo e não vimos 1 vez sequer o filtro ligado.""";7;;;;;;;;;;;
24 de fevereiro de 2025;Muito bom;Boa localização.;Infelizmente passa por reforma.;8;;;;;;;;
21 de fevereiro de 2025;Muito bom;Hotel com localização muito boa, ao lado da feirinha de Boa Viagem, comércio próximo e em frente a praia. Quarto espaçoso e banheiro bom.;Os recepcionistas masculinos muito mal humorados.;8;;;;;;;;
20 de fevereiro de 2025;Ótimo custo benefício;Ótima localização, quarto grande e com vista para o mar, cama confortável e roupas de cama limpissimas.;Funcionários da recepção não foram tão simpáticos e café da manhã não tao saboraso, para um gotel de grande porte, nas mesas não tinha guardanapo..;8;;;;;;;;
20 de fevereiro de 2025;Muito bom;Funcionários excepcionalmente educados, bom café da manhã, limpeza dos andares, rooftop do hotel, vista linda e bem localizado, é só atravessar a rua para chegar na praia, restaurante ao lado e no proprio hotel (destaque para o pudim de leite), supermercado e lanchonete próximos.;As instalações são antigas, as cortinas sujas, não consigo temperar a água do chuveiro pq só tem opção quente e fria, e o chuveiro é elétrico, água fraca pra banho.;8;;;;;;;;
20 de fevereiro de 2025;Bom hotel com preço justo;Boa localização, quarto amplo, funcionários atenciosos.;Internet instável no quarto;8;;;;;;;;
19 de fevereiro de 2025;Foi uma ótima estadia no hotel;Localização, instalações, café da manhã, rooftop;Obra;8;;;;;;;;
19 de fevereiro de 2025;passamos uma noite apenas no hotel, mas ficamos com uma ótima impressão... voltaremos;Boa localização;;;;;;;;;;
Equipe atenciosa;;;;;;;;;;;;
"a Reforma na fachada deu uma pequena tumultuada... mas super entendemos (poderiam ter avisado)""";acho que só a questão da reforma mesmo;8;;;;;;;;;;
19 de fevereiro de 2025;Ótima experiência.;Café da manhã delicioso, com bolo de rolo. Rooftop lindo, piscina maravilhosa. Funcionários atenciosos e simpáticos. Restaurante do hotel muito bem servido. Táxis conveniados com preços justos. Em resumo, tudo ótimo.;Dos 3 elevadores tem momentos em que um não funciona ou ocorre tipo um “congestionamento” entre eles, mas nada que prejudique de forma significativa a estadia no hotel.;9;;;;;;;;
17 de fevereiro de 2025;Tranquilo e praticidade;Praticidade, localização hotel excelente;Chuveiro elétrico é o café da manhã peça um pouco.;9;;;;;;;;
17 de fevereiro de 2025;Bom custo benefício;Bom café da manhã, boa vista do mar, boa localização.;O conforto das camas deixou a desejar. Os colchões estão necessitando serem trocados(molas desgastadas), colchão encurvado, causando desconforto.;8;;;;;;;;
17 de fevereiro de 2025;Mediano para o preço;Café da manhã satisfatório. Rooftop excelente.;Barulho de obra na madrugada pois caiu um teto de gesso logo abaixo do meu quarto. Praticamente não consegui dormir. As instalações não tem bom isolamento acústico e são antigas. Chuveiro elétrico.;7;;;;;;;;
11 de fevereiro de 2025;Como sempre correu tudo dentro da normalidade;O café da manhã foi normal e a estadia,como de costume, foi boa.;Nada em especial;8;;;;;;;;
11 de fevereiro de 2025;Satisfatória;Da localização;Quarto pequeno e banheiro sem ventilação;8;;;;;;;;
11 de fevereiro de 2025;Ótima;Localização;Esta em reforma;9;;;;;;;;
9 de fevereiro de 2025;Bom;O rooftop ficou ótimo, comida excelente.;A importunação. Tinha acabado de fazer o check in e queria descansar, tocaram a campainha até atender para conferir os itens do frigobar que tinham esquecido de conferir. No dia seguinte tocaram a campainha as 8:30 da manhã para perguntar se queríamos que arrumassem o quarto, no mesmo dia, à tarde, tocaram novamente a campainha para perguntar se queriam reposição no frigobar. Acho que o hotel merecia um serviço de quarto melhor.;7;;;;;;;;
9 de fevereiro de 2025;Bem localizado em Boa Viagem;Bem localizado,ao lado da Praça e Igreja de Boa Viagem;;;;;;;;;;
"Bom custo benefício""";O hotel no momento encontra-se em reforma.;;;;;;;;;;;
"O isolamento acústico infelizmente deixa a desejar.""";8;;;;;;;;;;;
9 de fevereiro de 2025;Bom;Os funcionários são gentis, e em relação a isso não tenho reclamação.;A reforma na parte de fora do hotel atrapalhou a chegada e saída dos hóspedes.;7;;;;;;;;
5 de fevereiro de 2025;Não investe em conforto , lençol não era macio , roupa sem cheiro de lavada , recepcionista sem bom tratamento;Café;Lençóis da cama , travesseiro , tv;7;;;;;;;;
4 de fevereiro de 2025;Boa localização;Café da manhã gostoso, apesar de lotado, rooftop, quarto com vista mar e a localização.;O hotel é velho e está passando por muitas reformas. O banheiro precisa urgente de modernização, o box é minúsculo. Pelo preço esperava mais...fiquei dias depois no Transamerica Prestige por 100 reais a mais, não dá pra comparar, mil vezes melhor.;7;;;;;;;;
3 de fevereiro de 2025;Bom, mas com muita margem para melhoria dentro da categoria.;Bem localizado e próximo da orla de boa viagem. O café da manhã é excelente, assim como as instalações da piscina e academia.;Não houve a troca de roupa de cama antes de eu entrar no quarto. Havia fios de cabelo da hóspede anterior na fronha e nos lençóis. A internet não funcionou em nenhum momento da minha estadia, mesmo após reportar o problema aos funcionários.;7;;;;;;;;
3 de fevereiro de 2025;BOA;;OS PREÇOS DO RESTAURANTE SAO ALTOS,VEM PORÇÃO MINIMA,O RESTAURANTE MAIS CARO DE TODA MINHA VIAGEM.;8;;;;;;;;
1º de fevereiro de 2025;Foi suficiente, mas caro.;O atendimento dos funcionários, foi exelente.;;;;;;;;;;
Mas a porta do quarto com mau aspecto na fechadura;" não me inspirou segurança.""";Embora a porta do quarto é trancada com cartão, a maçaneta e fechadura, não encaixavam e me deu muita insegurança.;8;;;;;;;;;
1º de fevereiro de 2025;Muito bom;LOCALIZAÇÃO , CAFÉ DA MANHÃ , FUNCIONÁRIOS PRESTATIVOS.;NÃO TEVE;8;;;;;;;;
30 de janeiro de 2025;Muito bom;Da localização. Perto da praia e da pracinha da Boa Viagem;Falta estacionamento;8;;;;;;;;
30 de janeiro de 2025;2 dias;Da localização;De estar em obras;8;;;;;;;;
30 de janeiro de 2025;Muito bom;O hotel possui ótima localização e funcionários bem atenciosos. O quarto que ficamos para três pessoas tinham dois ambientes para os quartos, sendo bastante espaçoso. O café da manhã é bem variado, com opção de tapioca feita na hora. O ponto alto do hotel em minha opinião é o roof top com o restaurante 17. Excelente opção para almoço e jantar com uma vista incrível.;O hotel está em reforma e estava bastante confusa a entrada. Espero que eles estendam a reforma aos quartos. Apesar de amplo, o quarto que ficamos precisa de uma melhoria, principalmente o banheiro. Me deu uma impressão de sujo, com muitas mosquinhas de banheiro e rejuntes escuros. O salão do café da manhã, apesar de amplo, não comporta o número de hóspedes e algumas vezes enfrentamos fila de espera para o café.;8;;;;;;;;
29 de janeiro de 2025;voltaria com certeza;quarto espaçoso, café da manhã muito bom e com muitas variedades, ótima localização - localizado a 1 quarteirão da praia, feira de artesanato e restaurante do lado , parte da piscina muito grande e toda reformada;nada;9;;;;;;;;
29 de janeiro de 2025;Foi uma estadia sem luxo, mas confortável, funcional e gratificante. Vale bastante o custo benefício;Todos foram muito receptivos. A localização do hotel era mto boa, próxima a orla, a farmácia e mercados. O hotel não é luxuoso, mas completamente funcional. Atendeu a todas nossas necessidades. Tinha apenas 2 travesseiros na cama e quando solicitamos 2 extras e uma manta mais quente fomos prontamente atendidos. Tem um serviço de taxi de confiança, que nos permitiu fazer um passeio para porto de galinhas com um preço justo, num horário um pouco mais tarde que n encontraríamos mais passeios. O rooftop é muito bonito, bem estruturado e tem um restaurante muito bom, uma praticidade que foi importante quando chegamos cansados do passeio;Como falei não é um hotel de luxo, então a cama é um pouco dura e a estrutura do quarto é antiga. Os azulejos, o chuveiros, o guarda roupa sao antigos. Mas completamente funcional. O café da manhã tem uma boa variedade e atende bem, mas poderia ser mais saboroso;8;;;;;;;;
27 de janeiro de 2025;Vale a pena pela localização e para passar a noite;Quarto simples, mas tudo bem arrumado. O café da manhã tem o básico.;O banheiro é um pouco antigo;9;;;;;;;;
27 de janeiro de 2025;Muito bom;A equipe de funcionários é extremamente simpática e solícita. Foi um destaque em nossa estadia.;Banheiros merecem uma renovação.;8;;;;;;;;
27 de janeiro de 2025;Muito bom;Hotel muito bom, localização excelente, rooftop delicioso e os funcionários são excepcionais.;Estava em obras na entrada.;8;;;;;;;;
26 de janeiro de 2025;Boa;;Todos os dias que pedi tapioca no café da manhã demorou muito.;7;;;;;;;;
26 de janeiro de 2025;Hotel básico perto da praia;O hotel é bem localizado, perto da praia e da feirinha de artesanato, bem como de vários restaurantes. O quarto quádruplo e o banheiro têm bom espaço. A piscina no rooftop é pequena, mas o ambiente da piscina é gostoso para um fim de tarde. O restaurante do rooftop é uma boa opção para jantar.;Não havia cobertores no quarto. O chuveiro é elétrico e variava um pouco a temperatura e também a pressão da água.;8;;;;;;;;
25 de janeiro de 2025;Muito bom;Localização, custo-benefício e funcionários.;Ausência da informação da reforma.;9;;;;;;;;
25 de janeiro de 2025;Pela localização, sempre me hospedo no Park Hotel.;A localização do hotel é muito boa e o café da manhã é bem diversificado !!;Eu estive em setembro/2024 e agora em janeiro/2025, e o hotel estava ainda em reforma!!;9;;;;;;;;
23 de janeiro de 2025;Excelente localização e comida, mt acolhedor;Equipe 10. Super atenciosos, café da manhã com variedades os 3 dias, td muuuito gostoso;Chuveiro ruim e não tinha edredom pra alérgico;9;;;;;;;;
23 de janeiro de 2025;Fantástico;Localização;Banheiro;9;;;;;;;;
22 de janeiro de 2025;Estando em Recife é Park Hotel sem dúvidas. Heheh;Como sempre o café da manhã é um show a parte. Equipe formidável, desde a pessoa que recepciona ao encerramento com equipe de limpeza das mesas..... A Cláudia com suas tapiocas deliciosas e queijo coalho frito e demais funcionários da cozinha....Bom demais..... Há uma boa variação de opções salgadas (variadas de acordo com o dia) e doces para se consumir nesta importante refeição do dia, além de sucos, chás, frutas. Creio não precisa ser melhor. Opss...precisa voltar a servir o ;;;;;;;;;;
 bolo de rolo......Equipe da recepção sensacional com destaque par o Ítalo; Mohamed e Maximinio.;;;;;;;;;;;
Localização do hotel é outro ponto muito positivo com farmácia; supermercado; Mercado de Boa Viagem; Feirinha de Boa Viagem com suas inúmeras opções de comidas; além de pizzaria forno a lenha (come-se em pé ao lado das mesinhas) e caipirinha fantástica por 10;0; Praia de Boa Viagem (recomendada apenas no momento de maré baixa para usufruir das piscinas naturais para evitar ataque de tubarões; claro); restaurantes como Ilha Sertaneja; Parraxaxá; Chica Pitanga; casa lotérica; Caixa Econômica Federal.
Agora há um bar na cobertura do prédio......Sensacional atendimento;" além da vista panorâmica no 17° andar.""";Sinal da internet acabou caindo várias vezes ao longo dos dias. Creio ser preciso melhorar quando a isso.;8;;;;;;;;;
21 de janeiro de 2025;Bom;O staff é sensacional. Todos muito atenciosos, prestativos e rápidos . ;;;;;;;;;;
A vista e a localização são ótimas assim como a conveniência do estacionamento..;;;;;;;;;;;;
O bar-restaurante na cobertura é excelente; vista espetacular;" ótimo atendimento.""";- O hotel é antigo e carece de modernização. A planta do quarto é recortada, o banheiro é confuso, o chuveiro é elétrico.;;;;;;;;;
"- O café da manhã merece melhorias. Tem variedades mas não tem sabor.""";7;;;;;;;;;;;
21 de janeiro de 2025;Cama ruim e travesseiro;Prof top;Nada;8;;;;;;;;
19 de janeiro de 2025;Foi agradável, para 1 noite ótimo custo benefício;Lençóis e toalhas limpos, cama confortável, excelente vista do 14 andar;Conforto dos travesseiros e chuveiro;9;;;;;;;;
18 de janeiro de 2025;Apesar do problemas mencionados acima, conseguimos mais conforto.;Café da manhã, restaurante para jantar.;No chek-in nos ofereceram o quarto 205. pedi então uma acomodação melhor, mas disseram que não havia mais vaga. Lembrando que eu fiz a reserva antes de julho (2024). Quando adentramos no quarto 205 havia cheiro de mofo e depois encontramos duas baratas. Então solicitamos a troca para outra habitação. Por sorte eles nos atenderam prontamente, nos oferecendo um quarto no 11º andar com vista para o mar. Um quarto amplo, limpo e confortável.;7;;;;;;;;
15 de janeiro de 2025;Muito bom;Estrutura do terraço incrível. ;;;;;;;;;;
Comida ótima no café;" funcionário agradáveis.""";Cama e estrutura do quarto a serem reformados. Porém o custo benefício vale!;8;;;;;;;;;
15 de janeiro de 2025;Expectativas frustradas;Conforto da cama;;;;;;;;;;
"Excelente chuveiro""";CAFÉ DA MANHA: Em determinados horários, o fluxo de hóspedes para o café da manhã era tão grande, que não havia mesa disponível. Tive que esperar alguns minutos para tomar café. Sugestão: recepção do hotel realizar o agendamento do horário em que o hóspede tomará o seu desjejum. Isso já é feito em hotéis com grande fluxo de hospedes. Ou então, aumentar o tamanho do espaço físico destinado para isso. ;;;;;;;;;;;
;;;;;;;;;;;;
ESTACIONAMENTO: A cobrança do estacionamento já é algo ruim para o hóspedes. Ainda mais quando a diária tem um custo de 30;0; como é o caso desse hotel. Para piorar; a impressão que tive; foi de que havia um efetivo de profissionais para pegar o carro ou levar para o estacionamento muito reduzido. Em momentos de fluxo intenso de hóspedes; tive que esperar muito tempo pata alguém pegar meu carro. Pelo valor pago; o serviço oferecido foi precario. ;;;;;;
Tendo em vista isso tudo;" não retornaria a me hospedar nesse hotel novamente.""";8;;;;;;;;;;
14 de janeiro de 2025;Bom;Piscina;O teto dos corredores é muito baixo, uma pessoa com 2 metros sofreria muito ali, o hotel é um pouco antigo e está passando por reformas, um pouco caro pelo que oferece.;7;;;;;;;;
14 de janeiro de 2025;Razoável, poderia ser bem melhor.;A localização do Hotel é muito boa, próximo a praia, tem um feirinha na frente, muitas opções de lanches e restaurantes por perto. O Hotel tem um rooftop muito bom com piscina e restaurante.;Os quartos são antigos, o chuveiro é elétrico e ruim, cama muito usada.;;;;;;;;;
O café da manhã é razoável; mas não tem itens de boa qualidade; muito tumultuado e barulhento; pequeno para o tamanho do hotel.;;;;;;;;;
O serviço de limpeza é bem ruim; todos os dias meu quarto ficou sujo; os banheiros praticamente não eram limpos;" os cabelos ficavam no chão todos os dias.""";7;;;;;;;;
13 de janeiro de 2025;No geral fomos muito bem atendido;Conforto do quarto e localização;Único ponto de atenção é que o café da manhã podia ser mais organizado, achei bem bagunçado como se servir;8;;;;;;;;
13 de janeiro de 2025;Recepção atenciosa;Esta acomodação, do contrário da que eu fiquei na hospedagem anterior neste mesmo hotel, tinha um banheiro mais amplo e iluminado (parecendo já reformado). ;;;;;;;;;;
"Fiz o relato sobre o banheiro que havia não gostado na hospedagem anterior e o que eu gostei foi o interesse da recepção em me acomodar em uma acomodação melhor que a anterior.""";Nada, o processo de reforma do hotel não afetou minha hospedagem.;8;;;;;;;;;;
13 de janeiro de 2025;Muito bom;Gostei da simpatia dos Funcionários, do Rooftop, do café da manhã.;Das obras em curso, atrapalha um pouco.;8;;;;;;;;
12 de janeiro de 2025;Bom hotel e boa localização!!!;Poder ficar 4 pessoas no quarto;Da reforma que estava tendo;8;;;;;;;;
10 de janeiro de 2025;Bom;Localização em relação a praia, feirinha, mercado, farmácia e eventos na praça.;;;;;;;;;;
"Quarto""";Pagar estacionamento;;;;;;;;;;;
"Muito barulho durante o café da manhã. O hotel estava em reforma.""";7;;;;;;;;;;;
10 de janeiro de 2025;O preço qualidade é muito positivo.;MUITO BOM PEQUENO ALMOÇO, O ESPAÇO DA PISCINA ESTÁ MUITO BOM.;NÃO GOSTEI DAS OBRAS QUE ESTÃO A DECORRER, ATRAPALHA UM POUCO A VIDA A QUEM ESTÁ DE FÉRIAS.;;;;;;;;;
ACHO QUE NOS CORRERDORES ACESSO AOS QUARTOS A ALCATIFA PRECISA DE SER SUBSTITUIDA;" NÃO CHEIRA BEM.""";8;;;;;;;;;;
10 de janeiro de 2025;Fantástico;Localizado boa;Estacionamento pago;9;;;;;;;;
8 de janeiro de 2025;Férias em família merecidas;Hotel bem localizado próximo a praia da Boa Viagem, restaurante, feira de artesanato, igreja ... Área de lazer com uma vista maravilhosa, funcionários atenciosos com café da manhã bem variado.;Da cama de solteiro. Prefiro de casal;8;;;;;;;;
8 de janeiro de 2025;Boa estadia pra ficar uma noite e conhecer boa viagem;A localização é ótima, dá pra aproveitar muita coisa a pé ;;;;;;;;;;
Quarto limpo;" cama confortável""";A relação custo benefício é um pouco acima do que deveria. É um hotel simples, estava em reforma e a tarifa estava extremamente cara pelo estilo da acomodação;8;;;;;;;;;
7 de janeiro de 2025;Muito bom;Localização;Demora no check in.;8;;;;;;;;
7 de janeiro de 2025;Razoável;Boa localização, equipe muito prestativa, piscina e restaurantes localizados no rooftop eram muito bons. Café da manhã bem completo com opções de tapiocas feitas na hora.;Limpeza ficou a desejar. Chuveiro muito ruim, box apertado e ralo que não escoava a água. Quarto necessita urgente de retrofit. Janela não veda ruídos, principalmente porque ocorrem eventos musicais na praça em frente.;7;;;;;;;;
6 de janeiro de 2025;Fantástico;Recepção e organização do café da manhã, muito organizado e ótimas opções. Rooftop com restaurante MARAVILHOSO com atendimento dos funcionários impecável, comida deliciosa vale a pena;Hotel mais antigo, mas estão reformando;9;;;;;;;;
6 de janeiro de 2025;Conforto e excelente localização!;Quarto muito confortável e com excelente espaço, estrutura do Hotel fantástica e equipe extremamente acolhedora e educada.;Infelizmente no banheiro do quarto haviam algumas mosquinhas de banheiro e uma trilha de formigas na parede, mas nada que comprometesse o espaço.;9;;;;;;;;
6 de janeiro de 2025;Bom;Localização, Café da Manhã e Rooftop;Quartos antigos;7;;;;;;;;
6 de janeiro de 2025;Muito bom;Proximidade à praia de Boa Viagem.;Uma diária não deu pra reclamar.;8;;;;;;;;
5 de janeiro de 2025;Bom hotel, mas precisa de modernização.;O hotel tem conforto, entretanto, os quartos precisam de uma modernização. A limpeza é boa também.;;;;;;;;;;
