data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;;;;;;;;;;;;;;;;
21 de novembro de 2024;estadia muito barata que diz jus ao preço pago, não é perfeito mas quebra um galho muuuuuito bom!;o custo benefício realmente faz jus, o café da manhã é simples porém com tudo que é necessário, a localização é ótima, muito perto da praia de boa viagem, dando para ir a pé.;o quarto é extremamente pequeno, não cabe nem uma mala aberta no chão, e os funcionários tiram a hora do almoço, não podendo fazer checkin ou checkout entre 13h e 14h.;7;;;;;;;;;;;;;;;;;;;;;;;
21 de novembro de 2024;Uma ótima estadia, voltaria.;Localização excelente. Café da manhã satisfatório, atendeu as expectativas. Ambiente sempre limpo e bem conservado.;O quarto que ficamos instalados tinha fechadura diferente das demais, e não tivemos cartões de acesso, precisávamos de dois acessos e tínhamos apenas uma tag. Nada grave;8;;;;;;;;;;;;;;;;;;;;;;;
19 de novembro de 2024;Ótimo custo benefício em ótima localização;Localização muito boa e um ótimo custo benefício;Elevador é extremamente lento. Check-in apenas às 14h. Janela do banheiro no corredor.;8;;;;;;;;;;;;;;;;;;;;;;;
14 de novembro de 2024;Muito boa, mas precisa melhorar!;O quarto/hotel nos atendeu muito bem! O café da manhã é maravilhoso, bem completo! A localização perfeita, próxima a praia, e a vista do quarto dava pra ver o mar.;Infelizmente a internet não funcionava e o único elevador funcionando apresentou problemas várias vezes, o hotel informou que está realizando a modernização do outro elevador, espero que melhore!;8;;;;;;;;;;;;;;;;;;;;;;;
13 de novembro de 2024;Fantástico;Acomodações limpas e bem conservadas. Café da manhã maravilhoso.;;9;;;;;;;;;;;;;;;;;;;;;;;
12 de novembro de 2024;Bom;Localização muito boa. Perto de restaurantes e da orla de Boa Viagem. Fácil acesso aos principais pontos da cidade.;O banheiro é muito pequeno e poderia tem um cheuveiro melhor.;7;;;;;;;;;;;;;;;;;;;;;;;
7 de novembro de 2024;Voltarei mais vezes;Localização estratégica mesmo não sendo frente para o mar;;;;;;;;;;;;;;;;;;;;;;;;;
"Variedade do café da manhã""";Elevadores antigos precisam modernização;8;;;;;;;;;;;;;;;;;;;;;;;;;
6 de novembro de 2024;Hotel bem localizado e com bom custo benefício;O hotel é super bem localizado e confortável. É bem perto da orla e tem restaurantes e mercado perto. Fomos muito bem recepcionados e o café é bem gostoso. Tem opção de pedir tapioca na hora.;Ouvimos muito barulho vindo do bar que fica em frente, o que incomodou parte da nossa família na hora de dormir;9;;;;;;;;;;;;;;;;;;;;;;;
4 de novembro de 2024;Só amor e alegria;Localização, perto de tudo;Não possui ducha higiênica;8;;;;;;;;;;;;;;;;;;;;;;;
30 de outubro de 2024;Muito bom;O café da manhã é excelente.;Sou pcd e o elevador que dá acesso à entrada do hotel estava sem funcionar. Tive dificuldade em subir as escadas.;8;;;;;;;;;;;;;;;;;;;;;;;
28 de outubro de 2024;Boa mas podia melhorar! Preço um pouco acima da estadia!;Localização!;Café da manhã mais ou menos!;;;;;;;;;;;;;;;;;;;;;;;;
"Não disponibiliza lugar para estacionar!""";8;;;;;;;;;;;;;;;;;;;;;;;;;;
27 de outubro de 2024;Bom custo-beneficio;A localização é ótima, várias bares, restaurantes e mercados por perto, além de ser próximo da praia. O atendimento é o café da manhã também foram excelentes.;O ar condicionado parecia estar sujo, o que nos fez espirrar bastante, e apareceram algumas baratas pequenas no quarto, principalmente no banheiro;8;;;;;;;;;;;;;;;;;;;;;;;
26 de outubro de 2024;Fantástico;Gostei muito da localização, poréma falta de um estacionamentopróprioéu ponto negativo. A é cama confortável, mas achei o banheiro pequeno.;Não gostei da falta de estacionamento, café da manhã muito simples, não ter serviço de restaurante para os quartos.;9;;;;;;;;;;;;;;;;;;;;;;;
25 de outubro de 2024;Fantástico;Fomos recepcionados pela dona do local. Muito proativa e disposta a auxiliar. Precisamos imprimir um documento e a mesma não exitou em auxiliar, mesmo não fazendo parte do previsto em hospedagem, além disto nos auxiliou com táxi e informações importantes para nossa estadia.;Café da manhã.;9;;;;;;;;;;;;;;;;;;;;;;;
23 de outubro de 2024;Muito bom;Funcionários atenciosos, boa localização e um café da manhã com muitas opções;Referente a limpeza, deixaram bastante a desejar… No banheiro, possui apenas uma cortina no lugar de box o qual enchia de água como se estivesse entupido. Vasos sanitários com aspecto de sujo, amarelado. E não costumam colocar sacolas nos lixos do banheiro;8;;;;;;;;;;;;;;;;;;;;;;;
18 de outubro de 2024;Fantástico;Deixaram a gente guardar as malas na recepção enquanto fazíamos o passeio pra buscar só mais tarde perto da hora do nosso voo!;;;;;;;;;;;;;;;;;;;;;;;;;
Ótima localização;" perto do shopping e do aeroporto!""";Viajamos em grupo e o quarto de nossas amigas estava com banheiro muito sujo no momento do check in. Fizemos uma reclamação na recepção e prontamente trocaram elas de quarto.;;;;;;;;;;;;;;;;;;;;;;;;;
"Fora isso a estadia foi ótima!""";9;;;;;;;;;;;;;;;;;;;;;;;;;;
15 de outubro de 2024;Bom ótimo pena q não tem estacionamento.;Limpeza e o silêncio nos corredores! Café da manhã bom! Ambiente agradável! Localização perfeita;Não tem estacionamento no hotel, nem estacionamento privativo próximo! As ruas nunca tem vagas p deixar o carro na rua, tivemos q parar a duas quadras;8;;;;;;;;;;;;;;;;;;;;;;;
14 de outubro de 2024;Muito bom;Otimo atendimento, quartos limpos e cafe da manha muito bem feito;;8;;;;;;;;;;;;;;;;;;;;;;;
10 de outubro de 2024;Ótimo custo benefício.;Café.;No período que fiquei tive um problema com colcha de cama. Ao chegar percebi que a colcha da cama não havia sido trocada.;;;;;;;;;;;;;;;;;;;;;;;;
Informei na recepção e o mesmo prontamente trocou meu quarto.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
"O hotel está passando por uma manutenção no elevador e naquele período somente 1 elevador estava disponível.""";8;;;;;;;;;;;;;;;;;;;;;;;;;;
10 de outubro de 2024;Excelente custo benefício.;Instalações mto bem cuidadas, quarto limpo, arrumado e bem distribuído. Recepção limpa e organizada. Café bem servido e com boas opções.;O café poderia ter mais opções (ex. Bacon). Tv sem opções de canais, somente 1 elevador.;8;;;;;;;;;;;;;;;;;;;;;;;
8 de outubro de 2024;Muito bom;Atendimento dos colaboradores;Estava com uma idosa e o elevador para pessoas com necessidades especiais não está a funcionando, tendo que subir escadas para a recepção. E não tem onde estacionar veículos.;8;;;;;;;;;;;;;;;;;;;;;;;
1º de outubro de 2024;Muito boa estadia!;Cama, travesseiros e banheiro muito bons!;O blackout não bloqueia totalmente a luminosidade!;8;;;;;;;;;;;;;;;;;;;;;;;
23 de setembro de 2024;Muitl bom;Localização;Falta de Estacionamento e box do banheiro ser cortina (molha tudo).;8;;;;;;;;;;;;;;;;;;;;;;;
23 de setembro de 2024;Bom;O quarto era amplo e estava tudo bem organizado. Gostamos da localização e do café da manhã que foi excelente!;Tivemos um pequeno problema com o chuveiro pois estava queimado e tivemos que tomar banho frio por dois dias. O rapaz da manutenção verificou mas informou que a pessoa que poderia arrumar não estava e que teríamos que esperar até o outro dia 7h da manhã, tentei fazer a troca de quarto porém nos informaram que não tinha outra acomodação disponível. No dia seguinte acordamos bem cedo pensando que o rapaz iria consertar e o mesmo não apareceu… Quando fizemos o checkout a recepcionista perguntou sobre o chuveiro porém ainda não tinha sido arrumado… Foi bem inconveniente, imagina se tivéssemos com um bebê como faríamos para dr banho?;7;;;;;;;;;;;;;;;;;;;;;;;
18 de setembro de 2024;Localização ótima, porém barulhenta e devem ter mais atenção para com os clientes.;Localização ótima, pois está muito próximo do mar e há diversos restaurantes e padaria ao redor.;Barulho dos restaurantes, pois o meu quarto era de frente para a rua (em plena segunda-feira). A acústica da construção do hotel não é boa para a localização. A atendente no check out foi ótima, porém me senti desconfortável com outra funcionária, não sei se era a gerente ou proprietária que fez um questionamento/comentário desnecessário e que nem estava relacionado comigo. Devem ter mais cuidado com os clientes.;8;;;;;;;;;;;;;;;;;;;;;;;
17 de setembro de 2024;Fantástico;Uma localização privilegiada, grupo de funcionários atentos e simpáticos, ótimo café da manhã e preço OK para a hospedagem.;Do banheiro, apenas isso;9;;;;;;;;;;;;;;;;;;;;;;;
9 de setembro de 2024;Otimo custo benefício;Otima localização. Otimo café da manha. Otimo chuveiro. Quarto limpo e bem arrumado. Funcionários educados e prestativos.;A unica coisa que incomodou um pouco foi a janela, que batia um pouco com o vento.;9;;;;;;;;;;;;;;;;;;;;;;;
8 de setembro de 2024;Bom;Boa acomodação. Tudo ok. Móveis novos e funcionais. Quarto pequeno.;;7;;;;;;;;;;;;;;;;;;;;;;;
6 de setembro de 2024;Bom custo-benefício;Espaço;De frente para rua janela ampla e a cortina pesada. Difilculfade abrir a janela;7;;;;;;;;;;;;;;;;;;;;;;;
31 de agosto de 2024;Fantástico;Localização, café da manhã, gentileza dos funcionários, limpeza;Faltam tomadas no quarto, iluminação sem 2 seções, banheiro apenas um porta toalhas, ducha higiênica em posição desconfortável.;9;;;;;;;;;;;;;;;;;;;;;;;
29 de agosto de 2024;Muito bom;café da manha muito bom;;;;;;;;;;;;;;;;;;;;;;;;;
"localização boa""";;8;;;;;;;;;;;;;;;;;;;;;;;;;
28 de agosto de 2024;Agradável e segura.;Adorei o café da manhã, limpeza, cuidado das moças que estavam preparando e servindo, achei o ambiente tranquilo e a alimentação de qualidade. Um simples que me surpreendeu positivamente .;De ter indo embora logo rsss;8;;;;;;;;;;;;;;;;;;;;;;;
23 de agosto de 2024;Fantástico;Funcionários atenciosos. Localização boa. Cama confortável. Café da manhã com bastante opções de comida e bebida.;Frigobar gelava pouco.;9;;;;;;;;;;;;;;;;;;;;;;;
21 de agosto de 2024;Muito bom;Café da manhã muito bom, quarto simples, porém atende as demandas e não deixa a desejar. Equipe muito boa, comunicativos e atenciosos. Localização excelente.;Poucas tomadas no quarto perto da cama.;8;;;;;;;;;;;;;;;;;;;;;;;
20 de agosto de 2024;Ótimo custo benefício;Os funcionários são super atenciosos. Colocaram inclusive um bercinho para o meu bebê no quarto.;Muito barulho vindo dos barzinhos ao redor.;9;;;;;;;;;;;;;;;;;;;;;;;
19 de agosto de 2024;Fantástico;A poucos passos da praia,café da manhã excelente e funcionários super educados e prestativos.;Nada a comentar;9;;;;;;;;;;;;;;;;;;;;;;;
17 de agosto de 2024;Excelente custo benefício;Localização e conforto;O banheiro no primeiro dia estava sujo.;7;;;;;;;;;;;;;;;;;;;;;;;
13 de agosto de 2024;Ótima opção!;Localização, Staff e Café da manhã são excelentes!;Hotel está fazendo algumas melhorias, mas nada que atrapalhe o funcionamento. Tudo muito bom!;9;;;;;;;;;;;;;;;;;;;;;;;
13 de agosto de 2024;Ok.;Localização ótima!!!;Quarto pequeno, muito fechado sem janelas para serem abertas.;7;;;;;;;;;;;;;;;;;;;;;;;
9 de agosto de 2024;Gosto muito de me hospedar neste hotel, funcionários, localização e custo-beneficio ótimos!;Localização, funcionários e café da manhã.;Do valor da agua mineral.;9;;;;;;;;;;;;;;;;;;;;;;;
6 de agosto de 2024;Bom;Proximidade com a praia e café da manhã!;Quarto pouco arejado.;7;;;;;;;;;;;;;;;;;;;;;;;
5 de agosto de 2024;O hotel precisa de mais manutenção e melhor comunicação;Funcionários, café da manhã, próximo à praia, ótima localização.;O elevador de cadeirante esteve quebrado por todo período da hospedagem.;;;;;;;;;;;;;;;;;;;;;;;;
Também informaram que era pet friendly; no então meu pet não pode circular pelo café da manhã;" me trazendo constrangimento.""";7;;;;;;;;;;;;;;;;;;;;;;;;
4 de agosto de 2024;Hospedaria bom!;O hotel está de parabéns no quesito limpeza, café da manhã e, instalação.;Não gostei da cama do colchão, além de terem errado, pedi cama de casal me deram uma minúscula cama de solteiro com molas que cair da cama a noite.;9;;;;;;;;;;;;;;;;;;;;;;;
4 de agosto de 2024;Muito bom;Muito bom;;8;;;;;;;;;;;;;;;;;;;;;;;
1º de agosto de 2024;bem tranquilo e agradavel;A equipe que trabalha no hotel e muito atenciosa e respeitosa, o hotel fica próximo da praia e um ótimo custo beneficio;Pegamos um período de reforma dos elevadores, mas isso foi comunicado bem antes de inciarmos a estadia.;8;;;;;;;;;;;;;;;;;;;;;;;
31 de julho de 2024;Fantástico;;Não tem estacionamento;9;;;;;;;;;;;;;;;;;;;;;;;
29 de julho de 2024;Hotel com boa localização, está buscando melhorar sua estrutura. Vale o custo benefício.;A localização e simpatia das moças da cozinha são o diferencial na acomodação;Não gostamos muito da estrutura do quarto, pois as cortinas era antigas. No banheiro tbem era cortina o box, ai ficava molhando as áreas que deveriam permanecer secas. rs;;;;;;;;;;;;;;;;;;;;;;;;
Tinhamos solicitado um quarto mais novo devido termos alergias; mas acredito que devido às ocupações;" não conseguimos.""";7;;;;;;;;;;;;;;;;;;;;;;;;
23 de julho de 2024;Satisfação com atendimento no geral!;Atendimento dos recepcionistas e a gentileza das meninas que servem o café da manhã.A liberdade para poder preparar meus lanches ,a disponibilidade do microondas e das mesas durante toda estádia.;Banheiro(box) muito pequeno, apertado.;9;;;;;;;;;;;;;;;;;;;;;;;
22 de julho de 2024;Boa localização, confortável m, limpo e boa comida!;Quarto bastante confortável;;9;;;;;;;;;;;;;;;;;;;;;;;
18 de julho de 2024;Fantástico;Café da manhã muito bom;;;;;;;;;;;;;;;;;;;;;;;;;
Localização ótima - perto da praia; padarias; supermercados;" restaurantes.""";O único ponto ruim é a falta de estacionamento :(;9;;;;;;;;;;;;;;;;;;;;;;
16 de julho de 2024;Muito bom;Ótimo custo benefício.;;8;;;;;;;;;;;;;;;;;;;;;;;
15 de julho de 2024;Bom;Localização.;Cama;;;;;;;;;;;;;;;;;;;;;;;;
11 de julho de 2024;Fantástico;Muito bom;;9;;;;;;;;;;;;;;;;;;;;;;;
9 de julho de 2024;Boa;Café;Não tem estacionamento;9;;;;;;;;;;;;;;;;;;;;;;;
9 de julho de 2024;Excelente custo benefício para 1 ou 2 noites de estadia.;Localização, custo benefício, equipe muito solicita.;A cama tinha um buraco no meio e um pouco de barulho, poderia ter um acústico melhor.;9;;;;;;;;;;;;;;;;;;;;;;;
8 de julho de 2024;Espero voltar em breve!;Da equipe;;;;;;;;;;;;;;;;;;;;;;;;;
Da localização;;;;;;;;;;;;;;;;;;;;;;;;;;;
Da limpeza;;;;;;;;;;;;;;;;;;;;;;;;;;;
Do conforto;;;;;;;;;;;;;;;;;;;;;;;;;;;
Do ótimo café da manhã;;;;;;;;;;;;;;;;;;;;;;;;;;;
8 de julho de 2024;Primeiro andar do hotel proibido para alérgicos!;Cama confortável;Cheiro de morfo horrível em todo quarto e principalmente qd ligava o ar-condicionado;7;;;;;;;;;;;;;;;;;;;;;;;
5 de julho de 2024;Bom;Achei a localização em relação a distância para a praia muito boa.;Tem um barzinho em frente que ficou até tarde com música e pessoas falando, para quem quer sossego descansar achei ruim, o ar condicionado era muito barulhento, quarto e banheiro pequeno.;7;;;;;;;;;;;;;;;;;;;;;;;
5 de julho de 2024;Fantástico;Café da manhã excelente, atendimento bom.;;9;;;;;;;;;;;;;;;;;;;;;;;
3 de julho de 2024;Agradável;A localização, o café da manhã, o atendimento e cordialidade da dona Teresa e a limpeza;A falta do serviço de frigobar, talvez seja um pouco incômodo, quando de repente se quer uma água ou um refrigerante.;9;;;;;;;;;;;;;;;;;;;;;;;
1º de julho de 2024;Fantástico;O atendimento e a atenção dos funcionários são excelentes. O café da manhã é bom, atende ao que foi proposto. As camas são confortáveis. Chuveiro bom também. Ótimo custo-benefício.;;9;;;;;;;;;;;;;;;;;;;;;;;
1º de julho de 2024;Maravilhoso;;Adorei o hotel!! boa localização, tudo limpinho, organizado, café da manhã muito bom, porém, não gostei do colchão do quarto que fiquei, desconfortável.;9;;;;;;;;;;;;;;;;;;;;;;;
30 de junho de 2024;Muito bom;Hotel simples mas bom. Cafe da manhã muito gostoso e funcionários muito atenciosos.;O chuveiro do quarto q fiquei não esquentava.;8;;;;;;;;;;;;;;;;;;;;;;;
29 de junho de 2024;Ok para o preço;Localização era relativamente boa. Atendimento cordial das pessoas. Quarto aparentemente limpo, ar condicionado gela bem.;Cobertor com cheiro de guardado. Quarto pequeno demais, claustrofóbico. Internet lenta.;7;;;;;;;;;;;;;;;;;;;;;;;
20 de junho de 2024;Bom custo benefício;Localização perfeita e o café da manhã simplesmente fantástico. Funcionários bastante educados e café bem variado;Cortinas blackout vedam bem mas muito antigas no meu quarto. Cama, tv, wifi e ar condicionado funcionando perfeitamente bem;8;;;;;;;;;;;;;;;;;;;;;;;
