data_avaliacao,titulo,comentario_positivo,comentario_negativo
27 de fevereiro de 2025,Foi tudo ótimo,"Na recepção a funcionária Heloiza, foi muito solicita resolveu tudo como muita simpatia e agilidade, viajava com meus pais idosos foi muito bom, tomamos um café maravilhoso.",Tudo ótimo
26 de fevereiro de 2025,Excelente opção para quem vai para Recife,Cortesia dos empregados.,
25 de fevereiro de 2025,"Bom hotel, equipe atenciosa mas recomendo ficar em apto na parte já renovada do hotel.","A equipe do hotel é atenciosa e o apto que fiquei havia sido reformado (andar 11) e era muito bom. Café da manha correto e, para os aptos que tinham direito, o café servido no andar C1 era muito bom.","O primeiro apto que me colocaram foi na parte ainda não renovada do hotel e, apesar de amplo, apresentou problema com o ar condicionado. Isso não aconteceu somente com o meu quarto. Éramos um grupo que ocupou 7 aptos dos quais 3 apresentaram esse problema. A área da piscina não aproveita a vista da localização do hotel."
25 de fevereiro de 2025,Excepcional,"Hotel bonito, ótimas instalações, excelente café da manha",
23 de fevereiro de 2025,Tudo ótimo,Tudo,Gostei de tudo
23 de fevereiro de 2025,Excepcional,"A equipe é excelente, são prestativos: recepção, manobristas, em especial o sr. Roberto. O café da manhã excelente com muitas opções e piano ou sax. Academia bem conservada, ótima piscina, decoração de bom gosto e ótimos restaurantes. Recomendo!",
22 de fevereiro de 2025,"Hotel maravilhoso, gostaria de parabenizar em especial a funcionária da recepção Heloise, que fez toda a diferença, e co",Da vista linda do mar e do espaço do quarto.,Nada
21 de fevereiro de 2025,"Excelência em atendimento, especialmente da recepção.",Conforto,
21 de fevereiro de 2025,Ótimo,Excelente café da manhã!!!!!!!!!!,Nada a declarar
20 de fevereiro de 2025,"O hotel não apenas atendeu às expectativas — superou-as em todos os aspectos, tornando a estadia per","O café da manhã era uma experiência verdadeiramente sublime. Tinha a tapioca, preparada na hora, recheada com opções que iam desde o clássico queijo coalho derretido até combinações sofisticadas.

Para os que apreciam um toque de requinte logo pela manhã, a opção de um elegante drink Mimosa — a perfeita fusão entre o frescor cítrico da laranja e a efervescência do espumante — adicionava um charme sofisticado ao banquete. Sobre a mesa, uma seleção primorosa de bolos macios e aromáticos.

Os queijos, em uma exibição exuberante, encantavam pela diversidade de texturas e sabores, desde os mais curados e intensos até os mais cremosos e suaves, harmonizando-se perfeitamente com as frutas frescas, coloridas e suculentas, que proporcionavam um equilíbrio refrescante à refeição.

E, para coroar essa experiência matinal digna de celebração, o café fumegante e encorpado, ao lado de uma variedade de chás delicadamente perfumados, envolvia o ambiente em um abraço acolhedor, tornando cada gole um momento de puro prazer. O café da manhã transcendia o simples ato de alimentar-se; era um ritual de deleite, uma celebração dos sabores e da arte de bem começar o dia.","A experiência no hotel foi simplesmente impecável, uma verdadeira fusão de conforto, sofisticação e hospitalidade primorosa. Desde o momento da chegada até a despedida, cada detalhe foi pensado para proporcionar bem-estar e encantamento, tornando a estadia inesquecível.

As acomodações eram um convite ao descanso absoluto: quartos amplos, elegantemente decorados, com camas incrivelmente macias, roupas de cama impecavelmente limpas e uma vista de tirar o fôlego. O atendimento era irretocável, com uma equipe atenciosa, sempre pronta a atender com cortesia e eficiência, antecipando necessidades e garantindo que cada instante fosse perfeito."
19 de fevereiro de 2025,Estadia Recife,Instalações de modo geral.,A localização é um pouco ruim.
17 de fevereiro de 2025,Muito boa e confortável.,"Quartos novos, cama boa e todo automatizado.",Não tem secador no banheiro.
17 de fevereiro de 2025,.,A localização é perfeita e os funcionários são super atenciosos.,"Da área de lazer que é pequena e sem uma vista limpa para o mar, já que fica localizado de frente a praia, mas o que mais me preocupou foram os banheiros. Realizamos uma viagem em família e meus sogros foram acomodados em um quarto onde a parte do banho precisa subir uma altura e sem degrau para entrar numa banheira escorregadia, o que foi inadmissível para um casal de idoso. Como estávamos em muitas pessoas, trocamos de quarto com eles, mas mesmo assim este tipo de banheiro é perigoso para qualquer pessoa, mas ainda mais para idosos, crianças e portadores de necessidades especiais."
15 de fevereiro de 2025,"Um lugar onde a organização, a hospitalidade e os pequenos detalhes fazem você se sentir em casa.","Um ambiente acolhedor, limpo e extremamente organizado. Logo na entrada, a plantação de uvas encanta e dá um toque especial ao local. O mercadinho interno é um diferencial conveniente, mas o serviço de lavanderia realmente faz toda a diferença. Saímos cedo para o passeio e, ao retornar, encontramos nossas roupas limpas e perfumadas, prontas para o uso. A anfitriã nos recebeu com muita simpatia, oferecendo um café delicioso acompanhado de bolo caseiro, tornando nossa experiência ainda mais agradável. Enfim, já estamos ansiosos para voltar!",Gostei de tudo
15 de fevereiro de 2025,Excepcional,"Excelente quarto, ótima estrutura e bom restaurante. Convenientemente localizado próximo ao aeroporto.",
15 de fevereiro de 2025,Conforto e luxo,"Eu gostei muito do café da manhã bastante diversificado, os serviços de quarto muito bons, os funcionários super atenciosos, o quarto bem espaçoso.","Não chega a ser uma grande reclamação, mas o ar condicionado no momento da minha estadia às vezes gelava e tinha alguns momentos que não muito devido a alguma manutenção que estava ocorrendo, mas os funcionários super atenciosos com relação a isso, e resolviam no mesmo dia, além de perguntarem se dormiram bem e se houve algum incômodo no quarto."
13 de fevereiro de 2025,"“Se todos fossem iguais a você, que maravilha viver…”","O hotel superou todas as minhas expectativas, desde a recepção, onde fomos muito bem acolhidos, no check in pelo Clayton, e no check out pela Beatriz, até as acomodações confortáveis e impecavelmente limpas, passando pelo café da manhã simplesmente extraordinário, com variedade e qualidade. Voltando ao Recife, certamente escolherei o Atlante Plaza. Recomendo muito. Parabéns a todos e muito obrigado pela maravilhosa estadia.",Absolutamente nenhum reparo a fazer. Tudo perfeito!
11 de fevereiro de 2025,Excelente!,Localização excelente; funcionários gentis e solicitos; quarto confortável e espaçoso; comida servida no Restaurante que funciona dentro do Hotel é maravilhosa!,
11 de fevereiro de 2025,Fantástico,Pessoal muito atencioso,
10 de fevereiro de 2025,Excepcional,O atendimento dos funcionários foi fantástico,
10 de fevereiro de 2025,Muito Confortável,"Atendimento da equipe.
Quarto e banheiro espaçoso.
Chuveiro excelente.
Custo-benefício 
Café da manhã",Travesseiros velhos. Cheiro desagradável.
7 de fevereiro de 2025,Excepcional,Já frequento há pelo menos 4 anos esse hotel e ele é excelente e os empregados são simpáticos e muito prestativos.,
7 de fevereiro de 2025,Estadia maravilhosa,"Espaço do quarto , limpeza , estrutura do hotel e TODOS os funcionários do hotel como recepção , portaria e restaurantes extremante simpáticos e atenciosos sempre prontos a auxiliar .",
7 de fevereiro de 2025,Excelente hotel,"Hotel muito bem localizado, café da manhã muito bom, funcionários simpáticos e prestativos. Viajei com pet e eles disponibilizaram uma cama com cobertor para ela mais um pote para ela se alimentar. Tudo muito limpo e cheiroso. Experiência excelente",Nada
5 de fevereiro de 2025,Excelente a minha estadia,Acomodação,
4 de fevereiro de 2025,Uma ótima escolha,Ganhamos um Up grade do quarto escolhido e um voucher para experimentar um café da manhã. Instalações e acolhimento perfeitos.,Não conseguimos utilizar o voucher do café da manhã. O restaurante estava fechado para o time do Fortaleza 😕
3 de fevereiro de 2025,"Recomendo a todos pela excelente localização e conforto, funcionários excelentes.","De tudo, ambiente e luxo",
3 de fevereiro de 2025,Muito bom,Das instalações do hotel e do café da manhã,"O banheiro não tinha suooetr para pendirar toalha de rosto e banho.
Os travesseiros estavam com cheiro de suor, apesar da fronha limpa"
3 de fevereiro de 2025,Café espetacular!!,"Ótimo hotel, em nível nacional. Pessoal muito atencioso, confortável na medida certa, e com um café da manhã esplêndido. Recomendo demais.",Gostei de tudo.
3 de fevereiro de 2025,Excepcional,Tudo,
2 de fevereiro de 2025,Excepcional,Tudo,
1º de fevereiro de 2025,Conforto e comidade a beira mar,"Conforto e excelente localização, café da manhã incrível e os manobristas são muito atenciosos e prestativos , com destaque especial para o Genario.",Nada a reclamar
1º de fevereiro de 2025,Otimo,Tudo ótimo,Gostei de tudo e sempre me hospedo neste hotel
31 de janeiro de 2025,Muito boa,Bom gosto,
31 de janeiro de 2025,A simpatia do Sr. Heron é merecedora de aplausos. Ótimo atendimento. Cancelei reserva em outro hotel e reservei novament,Atendimento.,
29 de janeiro de 2025,Excelente!,"Das acomodações dos apartamentos reformados, do atendimento e do café da manhã.",
29 de janeiro de 2025,Muito boa.,"Café da manha, localização.",A canja de galinha.
29 de janeiro de 2025,Excepcional,"Quarto espaçoso , limpo. Ótimo café da manhã",Não teve nada que não gostei
28 de janeiro de 2025,Muito agradável.,"Atenção da equipe. 
Localização em frente à praia.","O café da manhã é muito farto e variado, mas a qualidade de alguns alimentos deixa a desejar. Um pouco decepcionante para um hotel do seu padrão."
28 de janeiro de 2025,Excepcional,"Ótima Localização, quarto e banheiro amplos, ótimo café da manhã.",
27 de janeiro de 2025,Excelente opção em Boa Viagem,Organização e limpeza.,Gastamos de tudo.
24 de janeiro de 2025,"Excelente hotel, ótima localização, conforto e buffet de café da manhã sem igual.",Buffet de café da manhã excelente.,
24 de janeiro de 2025,Viagem dos Sonhos,Os Apartamentos reformados estão super modernos e confortáveis com Alexa integrada. Equipe de atendimento Nota 1000 com destaque para o Heron no restaurante Mirage. Café da manhã excepcional no Mirage. Wi Fi funcionando super rápido. Localização maravilhosa na Beira-Mar da Praia de Boa Viagem.,Nada. Tudo perfeito.
22 de janeiro de 2025,MUITO BOA,atendentes super simpáticos e quarto espaçoso,
21 de janeiro de 2025,Excelente,Localização e café da manhã,Gostei de tudo
20 de janeiro de 2025,Fantástico,Hotel muito bem cuidado com equipe super profissional e excelente localização,Uma prateleira metálica no apartamento apresenta risco de acidente (fica na altura da cabeça)
20 de janeiro de 2025,Hotel excepcional!!,"Tudo excelente! Camas confortáveis, chuveiro bom, boa localização, quarto bem arrumado e reformado. Café da manhã excepcional!!",
20 de janeiro de 2025,Espetáculo,Cafe da manhã e localização,
20 de janeiro de 2025,"Fui recebido muito bem, a estrutura do hotel é muito boa e café excelente.","Estrutura, atendimento e localização.",Nada
19 de janeiro de 2025,"Salvo o acima mencionado,o restante transcorreu normalmente.",A suíte de luxo é ótima.,"O problema foi na chegada.Ao invez de haverem intenção de não nos colocarem no décimo andar,haviam reservado para mim e minha esposa, no primeiro andar. Reclamei que tínhamos reservado uma suite de luxo pelo BOOKING e não admitia ficar no primeiro andar. Aí então,num instante apareceu um aposento no décimo andar. Estava havendo uma enrolação,porém,comigo NÃO PEGA."
19 de janeiro de 2025,Hospedagem em Recife show!,Localização e café da manhã...,Elevadores sem ventilação. Muito quente!
18 de janeiro de 2025,No geral foi boa,Satisfatório. Podia ser melhor,
18 de janeiro de 2025,Bom hotel em frente à praia,"Localização 
Café da manhã","Quarto com aspecto de antigo
Piscina"
18 de janeiro de 2025,Excepcional,"Tudo ótimo, atendimento fantástico.",
17 de janeiro de 2025,Foi razoável,Mais ou menos,
17 de janeiro de 2025,Espetacular!,"Tudo espetacular! Apto amplo, novo, super limpo.
Roupa de cama e travesseiros maravilhosos.
Toalhas grandes e confortáveis.",Tudo estava perfeito!
17 de janeiro de 2025,Excelente,Localização e ambiente,
16 de janeiro de 2025,Melhor ponto de parada em Recife,"Café da manha no restaurante vip , vale muito , só esta incluso nas diárias das suítes , mas aconselho a solicitar o mesmo sempre , mesmo que tenha um custo extra",toalhas de banho
15 de janeiro de 2025,Excelente 😄,Tudo,Quarto escuro
15 de janeiro de 2025,Excepcional,A suíte frente ao mar é fantástica! O café da manhã no restaurante Mirage é coisa fora de série!,
14 de janeiro de 2025,Incrível,"Tudo. Conforto, limpeza, beleza, gentileza de toda equipe",
14 de janeiro de 2025,,,
14 de janeiro de 2025,Extraordinário,"Extraordinario , um dos melhores que conheço",
14 de janeiro de 2025,Foi uma estadia muito boa,"Da cama, café da manhã",Limpeza
13 de janeiro de 2025,Excepcional,De tudo...hotel perfeito e aconchegante.,Tudo perfeito
13 de janeiro de 2025,Muito bom,Café da manhã maravilhoso. Ótima localização.,"Tivemos problemas com nosso quarto. Primeiro, no banheiro. Foi resolvido. Quando fomos usar a TV o controle não funcionava."
12 de janeiro de 2025,Excelente,"Adoro a localização do hotel, em frente à praia, com uma vista deslumbrante do mar, está bastante próximo ao aeroporto facilitando a chegada e a saída. Excelente restaurante que oferece almoço e janta, além de um delicioso café da manhã!","Não há nada que eu não gosto, por isso sempre volto."
12 de janeiro de 2025,Excepcional,"Localização muito boa em frente à praia de Boa Viagem (com ótimo calçadão), apartamentos muito bons, grandes, bem equipados, café da manhã excelente.",
12 de janeiro de 2025,Excepcional,"Atendimento muito bom, café da manhã variado e espaço de lazer da piscina muito bonito.",Pouco local para estender a toalha no banheiro
12 de janeiro de 2025,Excepcional,Hotel muito bom com excelente café da manhã e pé na areia,
11 de janeiro de 2025,Boa,"Localização, limpeza",
10 de janeiro de 2025,Maravilhoso super indico tudo perfeito,Tudo,Nada
10 de janeiro de 2025,Fantástico,"Ótimos funcionários, acomodação perfeita,.café da manhã top 10.","A praia, acabei tendo que me deslocar para outra região, mas no geral foi ótimo e recomendo"
9 de janeiro de 2025,Excepcional,"Café da manha excelente, localização perfeita, equipe prestativa",Gostei de tudo
9 de janeiro de 2025,Voltaria,"Hotel atende todas as expectativas. Atendimento muito bom da recepção e, sobretudo, no restaurante. Destaque para as cozinheiras responsáveis pelos sanduíches e tapiocas, muito gentias que foram. O restaurante é muito bonito, mas um pouco pequeno, a depender do horário. Os quartos são bem organizados. Ponto positivo para ter sempre táxis na frente. Vista beira-mar excelente. Localização boa.","Poderia ter mais mesas para 2 no restaurante, descongestionando-o."
8 de janeiro de 2025,Muito bom,"Equipe de funcionários muito simpáticos
Cafe da manhã delicioso especialmente no restaurante do 1 andar.
Localização muito boa.","A Limpeza poderia ser melhor especialmente do enxoval
Elevador faz muito calor 
Os ar condicionados não são tão potentes e chega até fazer um certo calor no quarto."
8 de janeiro de 2025,Maravilhoso!,"Simplesmente tudo! Quarto e cama confortáveis, bom chuveiro, ótimo café da manhã com muitas opções, academia com muitos aparelhos com instrutor, a área da piscina é muito boa com uma linda vista, os funcionários nos atendem super bem, em especial a Eduarda da recepção, hotel lindo em frente à praia. Com certeza voltarei!",Gostei de tudo.
8 de janeiro de 2025,Perfeito,Amei tudo! Café da manhã perfeito! Atendimento excelente.,
8 de janeiro de 2025,"Serviço de limpeza, atendimento e café da manhã são dignos de 5 estrelas x","Excelente hotel, rico em serviço e repleto de comodidades. Uma experiência maravilhosa.",
8 de janeiro de 2025,Excepcional,Tudo ! Fincionarios mto atenciosos e prestativos e o hotel é lindo e agradável . O quarto é moderno e muito confortável. Voltarei com certeza !,
7 de janeiro de 2025,excelente!!!,"Localização e café da manhã!!! 
E os funcionários muito atenciosos!!!",
7 de janeiro de 2025,Ótima localização e funcionários cordiais.,"Localização é ótima e funcionários extremamente educados, no quarto que havíamos reservado eram duas camas separadas, eu e meu esposo solicitamos juntar as camas, a Nathalia que nos atendeu na recepção prontamente tentou a junção das camas, porém não era possível ela então nos trocou de quarto para um com cama de casal. O hotel estava bem cheio e mesmo assim ela foi super cordial e buscou o ajuste.
Foi ótima nossa estada e agradeço a Nathália por tornar ainda melhor.",Nada
5 de janeiro de 2025,Momentos agradáveis e tranquilos,A hospedagem superou a nossa expectativa.,
5 de janeiro de 2025,Excelente,"Quarto top, localização, café da manhã campeão e funcionários atenciosos.",Não há.
4 de janeiro de 2025,Incrível semana.,"Atendimento incrível, desde a chegada até o check out. Massagem maravilhosa no spa. Comida incrível, música ao vivo durante o café da manhã e o jantar. Perfeito.","De vir embora, rsrs"
4 de janeiro de 2025,Excepcional,"Café da manhã espetacular. Saxofonista tocando no café da manhã! Dando um glamour! Quartos espaçosos, limpeza maravilhosa, funcionários super atenciosos! Tudo perfeito!",
4 de janeiro de 2025,"Confortável, bem localizado.",Os funcionários são excelentes Heloise da recepção e Ana do restaurante. Simplesmente maravilhosas.,Nada
3 de janeiro de 2025,Excepcional,Conforto,
3 de janeiro de 2025,O melhor,Tudo perfeito,
3 de janeiro de 2025,Muito bom,"serviços de quarto e restaurante, além das hospitalidade dos funcionários",
2 de janeiro de 2025,Excepcional,"Melhor hotel de Recife, com atendimento, café da manhã, instalações, piscina, e localização maravilhosos. Nota 1000!",
1º de janeiro de 2025,Tem capacidade pra ser melhor.,"As instalações são muito boas.: Cama, chuveiro... Os pratos do jantar estavam muito bem feitos e com preço justo.","O café da manhã è bom, mas um oouco decepcionante. O croissant estava duro, os pães bem comuns. Nada especial!"
30 de dezembro de 2024,Boa,Localização,"Ar condicionado precário 
Quarto pequeno
Instalações antigas"
30 de dezembro de 2024,Excelência,De tudo,De nada
30 de dezembro de 2024,Uma excelente estadia pra quem procura conforto!,Quase tudo perfeito,Por ser um hotel de excelente categoria deveria ter uma piscina maior
29 de dezembro de 2024,Boa,"Chuveiro 
Máquina de café no quarto","Elevador estragou muitas vezes
Não gostei da indicação de agência de turismo para maragogi, cobra mais cara pra hóspedes do hotel enqto os outros hóspedes de outros hotéis pagaram menos pelo passeio.. preço das bebidas do bar são caras .. pouco variação do café da manhã a mesma coisa todos os dias…"
29 de dezembro de 2024,nota 10,"gostei de tudo. 
a localização é excelente. 
o hotel é nota 10",não existe nada que não tenha gostado.
29 de dezembro de 2024,Maravilhosa,"Tudo, suite excelente",Colocar mais água
29 de dezembro de 2024,Muito boa,Up grade que ganhei,Zoada dos pesos da academia que o povo joga ao chão. Quarto 14 andar fica bem embaixo da academia.
28 de dezembro de 2024,Ótima,"Já é minha segunda vez que me hospedo aqui neste hotel, sem palavras nível 5 estrelas com certeza.",Só deveriam colocar um ar nos elevadores pois são muito quentes
27 de dezembro de 2024,Excelente!,"cordialidade dos funcionários, limpeza, café da manhã",
27 de dezembro de 2024,Eu e meus pais vivemos dias maravilhosos se hospedando no Atlante Plaza🤍,Tudo maravilhoso!,De ter que Ir embora 😅
27 de dezembro de 2024,Excepcional,Excelente custo benefício,Demora no elevador chegar
26 de dezembro de 2024,Excepcional,Estrutura do hotel impecável. Atendimento excelente. Ótima localização.,
26 de dezembro de 2024,Estada perfeita!,Gostei de tudo!,
26 de dezembro de 2024,Excepcional,Tudo,Nada
25 de dezembro de 2024,"Ponto se parada com.exelencia , perto do aeroporto e uma vista incrível pro mar","Atendimento de excelência, café da manhã no Mirage u..dos melhores que já tomei !!!",
25 de dezembro de 2024,Excepcional,"Gostamos de tudo, do conforto do hotel que apesar de antigo segue extremamente conservado e bem cuidado, da gentileza de todos os funcionários, a recepcionista foi incrível e muito disposta a fazer da nossa estadia a melhor experiência possível, e o café da manhã é um show a parte, um dos mais variados e mais gostosos de todos os hotéis que já me hóspedei.",De nada rsrsrs
25 de dezembro de 2024,"Recomendo, irei novamente tenha oportunidade. Gostamos","Atendimento, café da manhã, localização, tudo muito bom.","Tivemos um problema de obstrução do vaso sanitário, mas que foi resolvido. Acredito que foi pontual."
25 de dezembro de 2024,Bom !,Ar condicionado muito sujo e não funcionava direito.,Atenção e gentileza.
24 de dezembro de 2024,Uma Experiência máxima,"Minha estadia foi simplesmente perfeita! Desde o atendimento impecável até o conforto das instalações, tudo superou as expectativas. Cada detalhe foi pensado para oferecer uma experiência incrível. Com certeza voltarei e recomendo a todos!",
24 de dezembro de 2024,"Uma experiência incrível, com conforto, excelente café da manhã e ótima localização!","Gostei de absolutamente tudo! O hotel superou minhas expectativas com um atendimento impecável, ambientes limpos e confortáveis. O café da manhã foi excelente, com opções variadas e de qualidade. A localização é ótima, facilitando o acesso aos principais pontos da cidade.","Honestamente, não tive nenhum ponto negativo relevante durante a minha estadia. Tudo foi muito bem organizado e atendeu plenamente minhas expectativas."
23 de dezembro de 2024,Ficaremos neste hotel sempre que voltarmos a Recife.,"Café da manhã excelente com muitas opções, muitas variedades e de ótima qualidade, ótimo atendimento, ambiente agradável ao som do piano.","É difícil dizer alguma coisa que não gostamos, tudo foi muito bom."
23 de dezembro de 2024,Atendimento excelente e melhor hotel do Recife.,"Eu gostei desde o atendimento da recepção, com destaque para recepcionista Daiane atendimento foi incrível, até o café da manhã no outro dia. Não há nada que eu não tenha gostado nesse hotel.",Não gostei de ter que ir embora. Rsrsrs não há nada que desabone a impecável equipe e estrutura do hotel.
23 de dezembro de 2024,Um bom final de semana.,"Não é a primeira vez que fico hospedado no Atlante. Quarto espaçoso, banheiro com um bom tamanho, um ótimo café da manhã e um bom serviço de quarto. A equipe é muito prestativa.","A demora em receber e trazer o carro, principalmente a noite. No horário do check-out que o fluxo estava grande só um elevador estava funcionando."
21 de dezembro de 2024,Fantástico,"Café da manhã muito bom, muito farto e com várias opções. O hotel é bem localizado, beira mar e bem confortável.",
20 de dezembro de 2024,Excepcional,Localização perfeita. Café da manhã excepcional.,
20 de dezembro de 2024,Bom Hotel em Recife,Super atenciosos desde a nossa chegada. Fizeram um upgrade para uma suite enorme e muito confortável. Boa vista. Pequeno almoço excelente e com uma variedade enorme. Recomendamos!,"As instalações podiam ter um update, apesar de (ainda) não ser problemático."
19 de dezembro de 2024,Retornaria outras vezes,"Café da manhã muito bom 
Simpatia dos funcionários 
Quartos confortáveis",Nada
19 de dezembro de 2024,BOA OPÇÃO EM RECIFE,"CAFÉ DA MANHÃ
RECEPÇÃO
PIANO NO LOBBY","QUARTO PEQUENO PARA O PADRÃO DO HOTEL
ESTACIONAMENTO LONGE, CARRO DEMORA PARA CHEGAR QUANDO SOLICITADO AO MANOBRISTA.
SOMENTE 1 VAGA PARA DESCARREGAR O VEÍCULO"
19 de dezembro de 2024,"Luxo conforto , recepção dos funcionários","Luxo , conforto , funcionários recepção café da amanhã tudo maravilhoso",
19 de dezembro de 2024,"Luxo, conforto , qualidade",Todos os funcionários são receptivos desde a recepção ao do café da amanhã ! Todos excelentes,
19 de dezembro de 2024,Excepcional,Quartos e café da manha.,
18 de dezembro de 2024,Um dos melhores hotéis na cidade do Recife!,"O hotel é simplesmente incrível! O quarto é super aconchegante e confortável, a cama é muito macia, o banheiro é espaçoso e a limpeza estava impecável! O café da manhã é bem variado e muito delicioso! Os funcionários são super educados e atenciosos! A piscina é uma delícia e o SPA é muito relaxante! Gostamos de tudo e com certeza voltaremos em breve!","Nada deixou a desejar, foi tudo perfeito!"
17 de dezembro de 2024,"Lugar de acolhimento, respeito, empatia, segurança, só coisas boas a dizer.","De tudo, desde a recepção, pessoal da limpeza, conforto, tudo em perfeita ordem.","não existe, talvez ficar pouco tempo, mas com certeza voltarei"
16 de dezembro de 2024,Excepcional,"Localização excelente, café da manhã muito bom, maravilhoso, funcionários prestativos e educados e localização perfeita, segura e muito tranquila.",Nada.
16 de dezembro de 2024,Excepcional,Q,Quarto muito confortável. O gerente Marcelo é excepcional. Totalmente preocupado em oferecer o melhor atendimento aos hóspedes. Parabéns!!!
16 de dezembro de 2024,Excepcional,"Café da manhã farto e para mim que sou celíaca e, portanto, não posso comer glúten, me fartei com a tapioca! A massagem nos pés (brinde de boas-vindas) foi super bem-vinda, porque os pés já estavam sofrendo de tanto andar no calor!",
16 de dezembro de 2024,.,De tudo,.
15 de dezembro de 2024,Muito bom,Estrutura,Os quartos ja estão precisando de algumas reformas. O cheiro ja esta nos moveis.
